Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,225.255,57.1011,1.41551,3.54608,54.7673,0.276312,0.131212,0,0.001644,0,0,0.143456,320992,484055936,285268,430184144,283991,428258428,10151,39,0,0,0,0
1,0,0,0.127049,5.21468,0.338152,54.32,54.0358,0,0.134628,0,0,0.149556,0,0,0,0,0,0,0,0,283991,428258428,0,0
2,0,54.7052,1.3368,5.71881,52.5386,0.40634,0.127004,0,0.001988,0,0,0.277348,320998,484064984,273616,412612928,272075,410289100,9724,48,0,0,0,0
3,0,0,0.135639,7.37331,0.325784,52.1608,51.773,0,0.134756,0,0,0.253004,0,0,0,0,0,0,0,0,272075,410289100,0,0
4,0,55.5841,1.40786,4.91032,53.4525,0.231692,0.129752,0,0.002364,0,0,0.099576,321003,484072524,278383,419801564,276446,416880568,9881,62,0,0,0,0
5,0,0,0.149287,6.6418,0.332064,52.8739,52.6108,0,0.135276,0,0,0.127768,0,0,0,0,0,0,0,0,276474,416922792,0,0
6,0,57.8642,1.41882,2.74354,55.4922,0.350116,0.132116,0,0.002336,0,0,0.215664,321008,484080064,289051,435888908,287786,433981288,10286,39,0,0,0,0
7,0,0,0.120664,4.42336,0.341488,55.1485,54.7599,0,0.13544,0,0,0.253232,0,0,0,0,0,0,0,0,287814,434023512,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,227.357,57.3706,1.46656,3.12931,55.0855,0.323732,0.133856,0,0.001572,0,0,0.188304,320992,484055936,286896,432639168,285331,430279148,10199,48,0,0,0,0
1,0,0,0.140534,4.83055,0.342684,54.686,54.299,0,0.134532,0,0,0.252492,0,0,0,0,0,0,0,0,285331,430279148,0,0
2,0,55.307,1.36414,5.07401,53.1033,0.46316,0.128384,0,0.001392,0,0,0.333384,320998,484064984,276585,417090180,275068,414802544,9831,47,0,0,0,0
3,0,0,0.196922,6.74354,0.329376,52.7294,52.3482,0,0.13302,0,0,0.248156,0,0,0,0,0,0,0,0,275096,414844768,0,0
