Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,17.7144,5.03732,9.32286,12.0083,28.4855,10.1795,0.227004,0,0.210816,0,0,9.7417,123257,185871556,143688,216681504,25053,37779924,1449,3748,0,0,0,0
1,0,0,1.03247,17.875,0.3438,40.7449,7.80009,0,0.43022,14.5041,0,18.0105,0,0,0,0,0,0,0,0,25043,37764844,0,0
2,0,4.07421,7.20719,15.2996,24.8767,12.6176,0.203784,0,0.261044,0,0,12.1528,122536,184784288,125791,189692828,20263,30556604,1186,3381,0,0,0,0
3,0,0,1.034,19.7515,0.307504,38.9031,6.39366,0,0.459692,13.7541,0,18.2956,0,0,0,0,0,0,0,0,20263,30556604,0,0
4,0,4.40256,6.53403,15.8675,24.682,12.9125,0.20276,0,0.2619,0,0,12.4478,122532,184778256,125003,188504524,21896,33019168,1281,3232,0,0,0,0
5,0,0,1.03344,19.9879,0.307344,38.6674,6.88311,0,0.455064,13.3074,0,18.0218,0,0,0,0,0,0,0,0,21896,33019168,0,0
6,0,4.20028,7.53304,15.1944,25.138,12.1305,0.20688,0,0.252752,0,0,11.6709,122651,184957708,127082,191639656,20890,31502120,1280,3327,0,0,0,0
7,0,0,1.03345,19.5972,0.312892,39.0524,6.88893,0,0.453392,13.6816,0,18.0285,0,0,0,0,0,0,0,0,20890,31502120,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,17.3567,4.71702,8.3629,12.9632,27.6831,10.9911,0.225948,0,0.23226,0,0,10.5329,122983,185458364,139720,210697760,23460,35377680,1361,3690,0,0,0,0
1,0,0,1.0445,18.088,0.34146,40.5211,7.30275,0,0.443712,14.9215,0,17.8531,0,0,0,0,0,0,0,0,23460,35377680,0,0
2,0,4.10679,8.80121,13.3303,26.2923,11.5733,0.218156,0,0.239416,0,0,11.1157,122992,185471936,132658,200048264,20425,30800900,1252,3682,0,0,0,0
3,0,0,1.0456,18.5618,0.328652,40.059,6.72281,0,0.460696,14.4683,0,18.4072,0,0,0,0,0,0,0,0,20425,30800900,0,0
4,0,4.34264,7.16124,15.5284,24.9036,12.4018,0.204444,0,0.253028,0,0,11.9443,122567,184831036,125943,189922044,21598,32569784,1273,3291,0,0,0,0
5,0,0,1.04522,19.8888,0.309472,38.7515,6.85394,0,0.455556,13.4409,0,18.0011,0,0,0,0,0,0,0,0,21598,32569784,0,0
6,0,4.19023,7.34987,15.7093,24.7186,12.2206,0.199168,0,0.255104,0,0,11.7664,122725,185069300,124885,188326580,20840,31426720,1270,3227,0,0,0,0
7,0,0,1.04541,20.3788,0.301988,38.2688,6.83976,0,0.454868,13.0701,0,17.9041,0,0,0,0,0,0,0,0,20843,31431244,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,15.8175,4.30926,8.94802,12.7781,28.7684,9.56128,0.237248,0,0.2019,0,0,9.12213,123171,185741868,145383,219237564,21432,32319456,1295,3955,0,0,0,0
1,0,0,1.02936,18.3397,0.35614,40.3305,6.98952,0,0.419028,16.4109,0,16.511,0,0,0,0,0,0,0,0,21431,32317948,0,0
2,0,3.70707,5.98559,18.7391,23.5,11.8304,0.196008,0,0.244292,0,0,11.3901,122514,184751112,119187,179733996,18437,27802996,1126,3175,0,0,0,0
3,0,0,1.03013,22.8105,0.295316,35.9198,6.07544,0,0.425684,13.3153,0,16.1033,0,0,0,0,0,0,0,0,18437,27802996,0,0
4,0,3.84641,7.95751,14.1296,27.3017,10.6723,0.225756,0,0.211784,0,0,10.2347,122759,185120572,138228,208447824,19130,28848040,1169,3827,0,0,0,0
5,0,0,1.02997,19.3845,0.337696,39.3036,6.32779,0,0.425216,15.673,0,16.8776,0,0,0,0,0,0,0,0,19108,28814864,0,0
6,0,3.95478,9.22217,13.1053,28.2837,9.44458,0.232992,0,0.19472,0,0,9.01686,122841,185244228,142990,215628920,19669,29660852,1232,3909,0,0,0,0
7,0,0,1.02964,18.6246,0.34896,40.0525,6.6622,0,0.412496,16.243,0,16.7349,0,0,0,0,0,0,0,0,19669,29660852,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,14.9459,3.79513,8.61133,13.3081,28.7891,9.29735,0.239604,0,0.183716,0,0,8.87403,123001,185485508,145740,219775920,18875,28463500,1175,4112,0,0,0,0
1,0,0,0.95201,18.6031,0.357676,40.0878,6.35443,0,0.38834,17.3164,0,16.0286,0,0,0,0,0,0,0,0,18875,28463500,0,0
2,0,3.74567,8.80321,12.7173,29.1181,9.36469,0.245084,0,0.18856,0,0,8.93105,122962,185426696,147269,222081652,18629,28092532,1188,4152,0,0,0,0
3,0,0,0.952072,18.0555,0.365704,40.6272,6.44955,0,0.395592,17.2997,0,16.4823,0,0,0,0,0,0,0,0,18629,28092532,0,0
4,0,3.70385,6.22747,18.124,24.589,11.0601,0.20572,0,0.224068,0,0,10.6303,122908,185345264,124762,188141096,18421,27778868,1140,3370,0,0,0,0
5,0,0,0.952435,21.9837,0.309628,36.7548,6.14117,0,0.412,14.6407,0,15.5609,0,0,0,0,0,0,0,0,18421,27778868,0,0
6,0,3.70124,8.26887,13.9107,28.1752,9.65122,0.237092,0,0.185136,0,0,9.229,122913,185352804,142521,214921668,18408,27759264,1170,3980,0,0,0,0
7,0,0,0.952017,18.9541,0.354452,39.74,6.32467,0,0.399504,16.6492,0,16.3666,0,0,0,0,0,0,0,0,18408,27759264,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,12.6322,3.23134,7.68659,14.5958,29.2538,8.49095,0.247984,0,0.175428,0,0,8.06754,122602,184883816,148353,223716324,16071,24235068,1050,4302,0,0,0,0
1,0,0,0.891752,19.9432,0.367744,38.8192,5.71406,0,0.377368,18.6149,0,14.1129,0,0,0,0,0,0,0,0,16071,24235068,0,0
2,0,3.08235,8.03741,13.7439,29.7392,8.50138,0.256796,0,0.173764,0,0,8.07082,122726,185070808,150591,227091228,15330,23117640,1012,4470,0,0,0,0
3,0,0,0.891812,19.2094,0.379724,39.5409,5.5045,0,0.378168,19.0751,0,14.5832,0,0,0,0,0,0,0,0,15330,23117640,0,0
4,0,3.10387,7.62037,14.8774,29.126,8.40068,0.247716,0,0.172188,0,0,7.98078,122788,185164304,147792,222870336,15437,23278996,1035,4327,0,0,0,0
5,0,0,0.891758,20.2666,0.367612,38.4959,5.62108,0,0.37874,18.4431,0,14.053,0,0,0,0,0,0,0,0,15437,23278996,0,0
6,0,3.21465,7.48835,14.9849,29.0636,8.48594,0.25156,0,0.18288,0,0,8.0515,122627,184921516,147339,222187212,15988,24109904,1056,4332,0,0,0,0
7,0,0,0.891624,20.2505,0.3729,38.5069,5.73704,0,0.381324,18.4248,0,13.9637,0,0,0,0,0,0,0,0,15972,24085776,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,15.5185,4.071,7.50003,15.3343,26.7992,10.3837,0.22398,0,0.20948,0,0,9.95026,123017,185509636,135709,204649172,20247,30532476,1242,3662,0,0,0,0
1,0,0,0.981631,20.1823,0.336892,38.5164,6.6743,0,0.40568,15.4163,0,16.0202,0,0,0,0,0,0,0,0,20247,30532476,0,0
2,0,3.87998,7.60004,15.6282,26.3001,10.4871,0.216984,0,0.212064,0,0,10.0581,122846,185251768,133181,200836948,19297,29099876,1210,3587,0,0,0,0
