Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,45.3681,14.7251,5.27855,5.78208,35.564,13.3841,0.350748,0,6.29946,0,0,6.73388,320992,484055936,179154,270164232,73235,110438380,4921,1481,0,0,0,0
1,0,0,0.785272,11.2306,0.571316,47.4162,26.4149,0,6.43185,3.2851,0,11.2844,0,0,0,0,0,0,0,0,73243,110450444,0,0
2,0,14.3288,4.82958,8.27048,32.1735,14.7298,0.32178,0,6.49981,0,0,7.90822,320998,484064984,161941,244207028,71264,107466112,4107,1688,0,0,0,0
3,0,0,0.715686,13.0831,0.518444,45.686,22.0679,0,6.44221,4.6068,0,12.5691,0,0,0,0,0,0,0,0,71281,107491748,0,0
4,0,7.33552,3.02018,28.4232,21.0889,7.47612,0.17706,0,0.165776,0,0,7.13329,321003,484072524,106176,160113408,36483,55016364,2379,1418,0,0,0,0
5,0,0,0.806967,29.8337,0.287536,29.0749,12.765,0,0.514828,4.68018,0,11.115,0,0,0,0,0,0,0,0,36488,55023904,0,0
6,0,8.97863,2.79835,28.6532,16.6052,11.9466,0.1056,0,3.02734,0,0,8.81366,321008,484080064,83360,125706880,44655,67339740,1856,1123,0,0,0,0
7,0,0,0.713888,30.0705,0.177712,29.0413,9.94398,0,1.15618,2.00202,0,15.9391,0,0,0,0,0,0,0,0,44655,67339740,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,177,61.0344,1.45832,0.173648,58.2645,0.130228,0.130228,0,0,0,0,0,320992,484055936,303581,457800148,303553,457757924,10853,0,0,0,0,0
1,0,0,1.46067,0.356704,0.347288,57.8568,57.7185,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303553,457757924,0,0
2,0,61.0372,1.48541,0.173648,58.2672,0.130228,0.130228,0,0,0,0,0,320998,484064984,303595,457821260,303567,457779036,10853,0,0,0,0,0
3,0,0,1.48761,0.356847,0.347288,57.8594,57.7211,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303567,457779036,0,0
4,0,30.5802,2.0195,0.743656,34.5172,22.7458,0.114828,0,0.238256,0,0,22.3927,321003,484072524,178760,269570080,152090,229351720,5457,934,0,0,0,0
5,0,0,1.40396,1.39996,0.244528,56.9725,29.0623,0,0.379692,3.81998,0,23.7105,0,0,0,0,0,0,0,0,152090,229351720,0,0
6,0,24.3486,1.91086,1.07253,28.5792,28.4583,0.102888,0,0.172084,0,0,28.1833,321008,484080064,148153,223414724,121097,182614276,4398,896,0,0,0,0
7,0,0,1.40903,1.38326,0.211796,57.0168,23.4474,0,0.366492,4.483,0,28.7199,0,0,0,0,0,0,0,0,121097,182614276,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,103.87,20.2468,2.13784,3.25194,27.0567,27.5716,0.12684,0,18.4734,0,0,8.97138,320992,484055936,139169,209866852,100697,151851076,3870,1105,0,0,0,0
1,0,0,1.38046,7.30653,0.23784,51.0933,20.6545,0,18.4548,1.62914,0,10.3548,0,0,0,0,0,0,0,0,100724,151891792,0,0
2,0,61.0356,1.49951,0.173648,58.2657,0.130232,0.130232,0,0,0,0,0,320998,484064984,303587,457809196,303559,457766972,10853,0,0,0,0,0
3,0,0,1.50186,0.356704,0.347292,57.8579,57.7196,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303559,457766972,0,0
4,0,16.4776,1.9926,3.52855,25.4861,29.0162,0.1317,0,21.3248,0,0,7.55973,321003,484072524,131058,197635464,81951,123582108,3351,1330,0,0,0,0
5,0,0,1.38224,7.31065,0.23684,51.0884,17.9072,0,21.1972,3.23699,0,8.747,0,0,0,0,0,0,0,0,81951,123582108,0,0
6,0,6.11042,4.55219,7.3973,16.3042,31.7645,0.112008,0,0.37508,0,0,31.2774,321008,484080064,80075,120753100,30390,45828120,1402,1461,0,0,0,0
7,0,0,1.39044,7.94358,0.179708,50.5044,7.53392,0,0.574032,4.57009,0,37.8263,0,0,0,0,0,0,0,0,30390,45828120,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,109.88,0.209713,0.673265,29.6771,4.03934,25.6325,0.03426,0,0.212096,0,0,25.3862,320991,484054428,19729,29751332,1043,1572844,107,598,0,0,0,0
1,0,0,0.104114,26.3828,0.05014,33.4799,0.5944,0,0.429404,2.81963,0,29.6364,0,0,0,0,0,0,0,0,1043,1572844,0,0
2,0,26.6484,1.65954,1.27187,31.0576,26.0628,0.11472,0,0.329616,4.8e-05,0,25.6185,320998,484064984,160882,242610056,132535,199862780,4836,912,0,0,0,0
3,0,0,1.35307,4.03699,0.235188,54.4266,25.804,0,0.41506,3.63648,0,24.571,0,0,0,0,0,0,0,0,132617,199986436,0,0
4,0,56.1183,1.5717,0.875622,55.8566,1.71301,0.148056,0,0.102988,0,0,1.46196,321003,484072524,290805,438533940,279103,420887324,10106,284,0,0,0,0
5,0,0,1.52539,1.36419,0.361536,56.7659,53.8184,0,0.251824,1.09161,0,1.604,0,0,0,0,0,0,0,0,279130,420928040,0,0
6,0,26.9037,1.56123,1.17238,30.7718,26.5518,0.127284,0,0.3383,8.4e-05,0,26.0861,321008,484080064,159454,240456632,133805,201777940,4839,857,0,0,0,0
7,0,0,1.35485,2.38464,0.253128,56.0592,25.8404,0,9.88795,3.60416,0,16.7267,0,0,0,0,0,0,0,0,133836,201824688,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,175.577,23.2373,2.20291,1.16858,28.545,28.1107,0.108444,0,0.23892,0,0,27.7633,320992,484055936,147376,222243008,115570,174279560,4233,1032,0,0,0,0
1,0,0,1.42965,1.8232,0.21726,56.5518,22.5752,0,0.407296,4.16489,0,29.4043,0,0,0,0,0,0,0,0,115570,174279560,0,0
2,0,30.2776,2.21005,0.927666,35.2697,21.6145,0.126336,0,0.240064,0,0,21.2481,320998,484064984,182508,275222064,150585,227082180,5480,1043,0,0,0,0
3,0,0,1.42461,1.62002,0.261244,56.716,29.2048,0,0.383448,4.62219,0,22.5055,0,0,0,0,0,0,0,0,150585,227082180,0,0
4,0,61.0332,1.47775,0.173632,58.2634,0.13022,0.13022,0,0,0,0,0,321003,484072524,303575,457791100,303547,457748876,10852,0,0,0,0,0
5,0,0,1.4801,0.356672,0.34726,57.8556,57.7173,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303547,457748876,0,0
6,0,61.0292,1.45045,0.173632,58.2596,0.13022,0.13022,0,0,0,0,0,321008,484080064,303555,457760940,303527,457718716,10852,0,0,0,0,0
7,0,0,1.4528,0.356672,0.34726,57.8518,57.7135,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303527,457718716,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,220.741,61.0352,1.50683,0.173648,58.2653,0.130228,0.130228,0,0,0,0,0,320992,484055936,303585,457806180,303557,457763956,10853,0,0,0,0,0
1,0,0,1.49897,0.366915,0.347288,57.8575,57.7192,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303557,457763956,0,0
2,0,60.0574,1.66091,0.200672,57.9267,0.214684,0.214684,0,0,0,0,0,320998,484064984,301295,454352860,298694,450430552,10759,13,0,0,0,0
3,0,0,0.157379,1.95835,0.465524,57.4166,57.2788,0,0.137824,0,0,0,0,0,0,0,0,0,0,0,298694,450430552,0,0
4,0,49.4789,2.53702,2.03099,54.9007,0.58944,0.535772,0,0.000308,0,0,0.05336,321003,484072524,283477,427483316,246082,371091656,10100,31,0,0,0,0
5,0,0,0.7937,4.20986,0.910544,54.1853,54.047,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,246082,371091656,0,0
6,0,50.1694,2.15004,3.12752,49.8854,4.89481,0.211452,0,0.090068,0,0,4.59329,321008,484080064,258752,390198016,249516,376270128,8989,252,0,0,0,0
7,0,0,1.01949,4.69934,0.43478,53.8988,47.9838,0,0.234512,0,0,5.68044,0,0,0,0,0,0,0,0,249790,376683320,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,179.467,61.0362,1.44466,0.173648,58.2663,0.130232,0.130232,0,0,0,0,0,320992,484055936,303590,457813720,303562,457771496,10853,0,0,0,0,0
1,0,0,1.447,0.356704,0.347292,57.8585,57.7202,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303562,457771496,0,0
2,0,28.5418,1.43367,0.416425,30.7469,27.4547,0.092264,0,27.3625,0,0,0,320998,484064984,159636,240731088,141952,214063616,5073,629,0,0,0,0
3,0,0,1.30773,0.597296,0.2083,57.933,27.0239,0,27.5657,3.34347,0,1.2e-05,0,0,0,0,0,0,0,0,141952,214063616,0,0
4,0,61.042,1.4262,0.17368,58.2716,0.130252,0.130252,0,0,0,0,0,321003,484072524,303619,457857452,303591,457815228,10855,0,0,0,0,0
5,0,0,1.42854,0.356752,0.347352,57.8637,57.7257,0,0.13806,0,0,0,0,0,0,0,0,0,0,0,303591,457815228,0,0
6,0,28.8474,1.30257,0.503813,31.0418,27.1982,0.092916,0,27.1052,2.4e-05,0,0,321008,484080064,161176,243053408,143472,216355776,5127,632,0,0,0,0
7,0,0,1.30753,0.614112,0.2103,57.9144,27.3191,0,0.414164,3.35184,0,26.8294,0,0,0,0,0,0,0,0,143526,216437208,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,112.108,28.4606,1.55947,0.616558,31.3706,26.4571,0.10194,0,0.165032,0,0,26.1901,320992,484055936,162777,245467716,141548,213454384,5299,516,0,0,0,0
1,0,0,1.36873,0.966627,0.2239,57.4392,28.2406,0,0.32748,2.29541,0,26.5756,0,0,0,0,0,0,0,0,141548,213454384,0,0
2,0,25.3449,1.61455,0.892446,29.059,28.4358,0.098784,0,0.166824,0,0,28.1702,320998,484064984,150625,227142500,126052,190086416,4528,854,0,0,0,0
3,0,0,1.34561,1.2937,0.207864,57.1546,24.1368,0,0.367956,4.11089,0,28.539,0,0,0,0,0,0,0,0,126052,190086416,0,0
4,0,27.9173,1.5619,0.726455,30.9258,26.7842,0.098724,0,0.165744,0,0,26.5198,321003,484072524,160464,241979712,138846,209379768,4975,759,0,0,0,0
5,0,0,1.37011,1.02725,0.214484,57.3866,26.5095,0,0.331244,3.79088,0,26.7549,0,0,0,0,0,0,0,0,138846,209379768,0,0
6,0,30.3856,1.48333,0.708062,33.7566,24.0591,0.115248,0,0.240432,0,0,23.7034,321008,484080064,175114,264071912,151122,227891976,5824,432,0,0,0,0
7,0,0,1.3397,1.17095,0.250628,57.2405,31.0353,0,0.33174,1.48026,0,24.3932,0,0,0,0,0,0,0,0,151122,227891976,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
