Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,69.8122,16.5896,0.981826,2.30923,16.6082,40.1049,0.047036,0,36.7885,0,0,3.2694,320992,484055936,85905,129544740,82508,124422064,2956,113,0,0,0,0
1,0,0,0.984839,2.3693,0.110976,56.5391,15.7413,0,36.9268,0.601612,0,3.2694,0,0,0,0,0,0,0,0,82508,124422064,0,0
2,0,16.851,0.981881,2.31853,16.8943,39.8094,0.04466,0,36.4366,0,0,3.32815,320998,484064984,87417,131824836,83808,126382464,2998,126,0,0,0,0
3,0,0,0.984982,2.37966,0.10824,56.5313,15.9574,0,36.5749,0.670824,0,3.32815,0,0,0,0,0,0,0,0,83808,126382464,0,0
4,0,19.3688,0.981205,3.22445,18.6919,37.1066,0.042792,0,34.9979,0,0,2.0659,321003,484072524,96854,146055832,96330,145265640,3458,2,0,0,0,0
5,0,0,0.983595,3.28916,0.112492,55.6189,18.4064,0,35.1359,0.010648,0,2.0659,0,0,0,0,0,0,0,0,96330,145265640,0,0
6,0,17.0028,0.982069,2.56039,16.9358,39.5313,0.04242,0,36.3882,0,0,3.10061,321008,484080064,87649,132174692,84563,127521004,3027,105,0,0,0,0
7,0,0,0.984968,2.62146,0.1055,56.2922,16.1061,0,36.5265,0.55902,0,3.10061,0,0,0,0,0,0,0,0,84563,127521004,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,88.8598,28.4753,5.65164,5.48121,36.6112,12.2814,0.134392,0,9.3298,0,0,2.81726,320992,484055936,184573,278336084,141621,213564468,5060,1533,0,0,0,0
1,0,0,0.653473,12.4523,0.26662,46.6477,27.0155,0,10.9805,0,0,8.65173,0,0,0,0,0,0,0,0,141789,213817812,0,0
2,0,21.3042,2.64376,11.2794,25.9014,20.1956,0.09098,0,9.48802,0,0,10.6166,320998,484064984,132528,199852224,105956,159781648,3786,949,0,0,0,0
3,0,0,0.651709,16.7998,0.186296,42.3824,20.2609,0,9.16548,0,0,12.9561,0,0,0,0,0,0,0,0,106376,160415008,0,0
4,0,22.4278,3.32528,3.82359,28.325,24.5522,0.104496,0,14.7021,0,0,9.74555,321003,484072524,144425,217792900,111544,168208352,3984,1174,0,0,0,0
