Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,160.6,47.9733,2.62465,0.520083,56.1456,0.714516,0.42584,0,0.0026,0,0,0.286076,320992,484055936,290162,437564296,238594,359799752,9875,497,0,0,0,0
1,0,0,0.0115134,5.36564,0.7514,53.871,52.7529,0,0.160712,0,0,0.957384,0,0,0,0,0,0,0,0,238594,359799752,0,0
2,0,51.9562,2.85151,0.435784,56.145,0.576876,0.389696,0,0.00462,0,0,0.18256,320998,484064984,290054,437401432,258403,389671724,9799,569,0,0,0,0
3,0,0,0.0115497,5.45393,0.699056,53.8393,52.3211,0,0.174328,0,0,1.34389,0,0,0,0,0,0,0,0,258403,389671724,0,0
4,0,59.8988,1.52622,0.535008,57.7906,0.155028,0.133352,0,0.000144,0,0,0.021532,321003,484072524,301028,453950224,297905,449240740,10641,112,0,0,0,0
5,0,0,0.0115156,2.71906,0.348532,56.9224,56.6488,0,0.137196,0,0,0.136444,0,0,0,0,0,0,0,0,297905,449240740,0,0
6,0,0.771292,2.23757,25.1803,31.437,1.1545,0.280788,0,0.00498,0,0,0.868732,321008,484080064,161334,243291672,3836,5784688,587,5182,0,0,0,0
7,0,0,0.0115921,27.5505,0.406716,32.0351,3.3269,0,0.143908,27.2003,0,1.36398,0,0,0,0,0,0,0,0,3856,5814848,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,234.021,61.0344,1.45818,0.173648,58.2645,0.130228,0.130228,0,0,0,0,0,320992,484055936,303581,457800148,303553,457757924,10853,0,0,0,0,0
1,0,0,1.46053,0.356704,0.347288,57.8568,57.7185,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303553,457757924,0,0
2,0,61.037,1.48537,0.173648,58.267,0.130228,0.130228,0,0,0,0,0,320998,484064984,303594,457819752,303566,457777528,10853,0,0,0,0,0
3,0,0,1.48772,0.356704,0.347288,57.8592,57.7209,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303566,457777528,0,0
4,0,56.6278,2.5271,0.513454,55.9933,0.99264,0.135992,0,0.010132,0,0,0.846516,321003,484072524,290431,437969948,281637,424708596,10069,313,0,0,0,0
5,0,0,0.228907,3.1081,0.343692,56.3405,53.563,0,0.152492,0,0,2.62496,0,0,0,0,0,0,0,0,281637,424708596,0,0
6,0,55.3223,2.97606,0.462853,54.8352,1.75634,0.133496,0,0.009248,0,0,1.6136,321008,484080064,283814,427991512,275144,414917152,9829,309,0,0,0,0
7,0,0,0.22966,2.90862,0.336588,56.5503,52.3365,0,0.14704,0,0,4.06673,0,0,0,0,0,0,0,0,275172,414959376,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,175.704,27.8608,1.6178,0.636414,30.2282,27.5372,0.092088,0,1.02668,0,0,26.4184,320992,484055936,156689,236287012,138565,208956020,4950,647,0,0,0,0
1,0,0,0.0886611,3.93116,0.204776,55.795,26.3784,0,1.13022,1.61336,0,26.6731,0,0,0,0,0,0,0,0,138565,208956020,0,0
2,0,61.0356,1.49928,0.173648,58.2657,0.130232,0.130232,0,0,0,0,0,320998,484064984,303587,457809196,303559,457766972,10853,0,0,0,0,0
3,0,0,1.50163,0.356704,0.347292,57.8579,57.7196,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303559,457766972,0,0
4,0,28.2456,1.56824,0.657866,30.7802,27.0187,0.094056,0,3.57778,0,0,23.3468,321003,484072524,159573,240636084,140479,211842332,5018,681,0,0,0,0
5,0,0,0.0885448,2.69123,0.208516,57.0313,26.7412,0,1.04981,2.90177,0,26.3385,0,0,0,0,0,0,0,0,140479,211842332,0,0
6,0,58.5621,2.39023,0.279955,57.0076,0.343668,0.133252,0,0.002264,0,0,0.208152,321008,484080064,296138,446576104,291257,439215556,10409,174,0,0,0,0
7,0,0,0.088486,2.44301,0.344912,57.1397,55.3867,0,0.14062,0,0,1.61236,0,0,0,0,0,0,0,0,291257,439215556,0,0
Node,Aggregate thput,Throughput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,151.175,52.7695,2.62381,0.490887,56.5476,0.360412,0.165008,0,0.002404,0,0,0.193,320992,484055936,293100,441994800,262448,395771584,9375,1094,0,0,0,0
1,0,0,0.0363068,7.11953,0.374388,52.4872,49.942,0,0.162308,0,0,2.38286,0,0,0,0,0,0,0,0,262448,395771584,0,0
2,0,14.7492,2.28413,27.3688,25.1053,5.29533,0.199196,0,0.214772,0,0,4.88136,320998,484064984,128649,194002692,73355,110619340,2904,1695,0,0,0,0
3,0,0,0.378676,16.95,0.326432,42.3984,15.5811,0,0.479408,1.93813,0,24.3998,0,0,0,0,0,0,0,0,73410,110702280,0,0
4,0,57.946,2.467,0.239772,56.9834,0.329904,0.136624,0,0.001172,0,0,0.192108,321003,484072524,295816,446090528,288193,434595044,10298,272,0,0,0,0
5,0,0,0.170139,2.6289,0.348024,56.8677,54.8076,0,0.14276,0,0,1.91729,0,0,0,0,0,0,0,0,288193,434595044,0,0
