Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,141.284,10.1074,153.353,0,36.5278,1.35541,10.7633,11.3408,0.044108,0,0.073812,0,0,11.2229,115390,174008120,54958,82876664,50269,75805652,1864,102,0,0,0,0
1,0,0,0,0,0.0555431,4.33984,0.090448,55.5161,9.92808,0,0.675736,0,0,44.9123,0,0,0,0,0,0,0,0,50253,75781524,0,0
2,0,31.3763,0,38.4848,3.16357,1.76073,33.5981,21.4859,0.230756,0,0.086052,0,0,21.169,320998,484064984,171393,258460644,156049,235321892,5774,352,0,0,0,0
3,0,0,0,0,0.0553531,4.52119,0.413548,55.0128,30.8406,0,0.398144,0,0,23.7741,0,0,0,0,0,0,0,0,156076,235362608,0,0
4,0,53.4614,0,59.8399,1.68092,5.73844,52.0762,0.509668,0.122456,0,0.005272,0,0,0.38194,321003,484072524,270819,408395052,265889,400960612,9497,176,0,0,0,0
5,0,0,0,0,0.055028,7.92922,0.315968,51.6996,50.5686,0,0.144424,0,0,0.98662,0,0,0,0,0,0,0,0,265917,401002836,0,0
6,0,46.3388,0,55.0287,2.21909,8.12857,48.0694,1.59019,0.154752,0,0.01366,0,0,1.42178,321008,484080064,248941,375403028,230465,347541220,8296,596,0,0,0,0
7,0,0,0,0,0.0551469,11.5439,0.343908,48.0591,44.2079,0,0.162396,0.814572,0,2.8742,0,0,0,0,0,0,0,0,230493,347583444,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
