Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,13.7415,4.7872,11.2756,4.17776,9.13171,4.85171,37.8736,8.14793,0.328044,0,1.0778,0,0,6.74208,320992,484055936,186043,280552844,23809,35903972,1985,4661,0,0,0,0
1,0,0,0,0,0.564693,12.8762,0.495284,46.0635,10.7977,0,1.84865,16.8081,0,16.6091,0,0,0,0,0,0,0,0,23810,35905480,0,0
2,0,2.65509,0,2.4321,8.22017,6.42332,35.2763,10.085,0.309768,0,1.1918,0,0,8.58347,320998,484064984,173695,261932060,13205,19913140,1206,5002,0,0,0,0
3,0,0,0,0,0.498251,13.7147,0.458044,45.329,6.65074,0,1.8832,19.2908,0,17.5043,0,0,0,0,0,0,0,0,13208,19917664,0,0
4,0,3.75995,0,3.09019,5.17522,10.7989,41.1024,2.9296,0.363804,0,0.061396,0,0,2.5044,321003,484072524,208372,314224976,18700,28199600,1889,5554,0,0,0,0
5,0,0,0,0,0.574045,16.5461,0.544744,42.3359,10.3134,0,0.264516,25.3088,0,6.44915,0,0,0,0,0,0,0,0,18700,28199600,0,0
6,0,2.53927,0,1.57556,4.80954,17.6886,29.9216,7.58564,0.257592,0,1.67962,0.000108,0,5.64832,321008,484080064,150095,226343260,12629,19044532,1146,4217,0,0,0,0
7,0,0,0,0,0.499146,21.736,0.38376,37.3811,6.32275,0,0.99608,17.2749,0,12.7874,0,0,0,0,0,0,0,0,12639,19059612,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,147.868,61.0344,147.386,61.039,1.45832,0.173648,58.2645,0.130228,0.130228,0,0,0,0,0,320992,484055936,303581,457800148,303553,457757924,10853,0,0,0,0,0
1,0,0,0,0,1.46067,0.356704,0.347288,57.8568,57.7185,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303553,457757924,0,0
2,0,61.0372,0,61.039,1.48547,0.173878,58.2672,0.130228,0.130228,0,0,0,0,0,320998,484064984,303595,457821260,303567,457779036,10853,0,0,0,0,0
3,0,0,0,0,1.48711,0.357642,0.347288,57.8594,57.7211,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303567,457779036,0,0
4,0,12.6771,0,11.798,4.79316,6.37717,38.8186,10.042,0.29532,0,0.25924,0,0,9.48739,321003,484072524,196892,296913136,63049,95077892,3798,3240,0,0,0,0
5,0,0,0,0,1.88785,9.5599,0.47544,48.1023,20.3904,0,0.437092,12.6941,0,14.5807,0,0,0,0,0,0,0,0,63052,95082416,0,0
6,0,13.1192,0,13.5099,9.74327,2.40597,38.0532,9.82838,0.2712,0,0.13124,0,0,9.42594,321008,484080064,186605,281400340,65248,98393984,3108,3557,0,0,0,0
7,0,0,0,0,1.88898,9.57007,0.430888,48.1355,16.7225,0,0.343552,8.08963,0,22.9799,0,0,0,0,0,0,0,0,65248,98393984,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,81.8102,8.9342,80.0977,8.22584,3.55556,4.01537,27.258,25.1881,0.206172,0,15.1876,0,0,9.79437,320992,484055936,138520,208888160,44434,67006472,2513,2436,0,0,0,0
1,0,0,0,0,1.4118,10.7186,0.32984,47.5568,13.5113,0,14.8043,6.97444,0,12.2668,0,0,0,0,0,0,0,0,44428,66997424,0,0
2,0,60.878,0,60.887,1.4939,0.331003,58.1156,0.129896,0.129896,0,0,0,0,0,320998,484064984,302803,456626924,302775,456584700,10825,0,0,0,0,0
3,0,0,0,0,1.65405,0.355808,0.346396,57.7088,57.5705,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,302775,456584700,0,0
4,0,9.8012,0,8.83929,3.24389,4.52253,26.5491,25.7069,0.195432,0,14.7308,0,0,10.7806,321003,484072524,135191,203868028,48746,73508968,2654,2176,0,0,0,0
5,0,0,0,0,1.41138,10.7161,0.31674,47.5729,14.2467,0,14.0796,6.277,0,12.9695,0,0,0,0,0,0,0,0,48746,73508968,0,0
6,0,2.19685,0,2.14558,9.96886,5.7326,29.727,14.5913,0.246444,0,0.267752,0,0,14.0771,321008,484080064,142631,215087548,10926,16476408,1041,4057,0,0,0,0
7,0,0,0,0,1.41831,10.9019,0.364744,47.3321,5.70634,0,0.503128,15.3124,0,25.8103,0,0,0,0,0,0,0,0,10926,16476408,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,68.6092,0.417012,69.0911,0.242486,6.51193,16.0258,26.6285,10.8531,0.22674,0,0.145312,0,0,10.481,320992,484055936,130511,196810588,2074,3127592,343,4319,0,0,0,0
1,0,0,0,0,0.199199,18.1369,0.326768,41.3512,1.98914,0,0.381484,20.8535,0,18.127,0,0,0,0,0,0,0,0,2074,3127592,0,0
2,0,12.2021,0,12.2039,1.91035,4.13416,24.3384,29.6721,0.16284,0,0.664328,4.8e-05,0,28.8448,320998,484064984,125319,188981052,60687,91515996,3006,1473,0,0,0,0
3,0,0,0,0,1.10482,18.0833,0.27618,40.5905,16.1079,0,0.395396,6.68714,0,17.4001,0,0,0,0,0,0,0,0,60767,91636636,0,0
4,0,27.486,0,27.7991,3.27171,3.67488,50.2834,2.78474,0.320004,0,0.073556,0,0,2.39118,321003,484072524,258966,390520728,136701,206145108,6539,2720,0,0,0,0
5,0,0,0,0,1.6264,6.74317,0.551556,51.0936,34.9562,0,0.241232,11.8035,0,4.09262,0,0,0,0,0,0,0,0,136707,206154156,0,0
6,0,28.504,0,28.8456,2.68718,1.3881,34.1585,21.8266,0.247548,0,0.394036,0,0,21.185,321008,484080064,175900,265257200,141764,213780112,5373,911,0,0,0,0
7,0,0,0,0,1.10533,5.8327,0.431424,52.6855,28.728,0,5.02788,1.78354,0,17.1461,0,0,0,0,0,0,0,0,141764,213780112,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,153.964,16.0701,162.644,19.3308,7.49027,2.48192,36.9549,13.0946,0.240696,0,0.168128,0,0,12.6857,320992,484055936,183894,277312152,79924,120525392,3478,3092,0,0,0,0
1,0,0,0,0,1.79756,8.20314,0.393188,49.6239,18.6688,0,0.378028,7.18759,0,23.3896,0,0,0,0,0,0,0,0,79930,120534440,0,0
2,0,15.8316,0,21.2525,4.11163,5.27522,37.3018,13.3345,0.256452,0,0.273812,0,0,12.8042,320998,484064984,189968,286471744,78738,118736904,3947,2841,0,0,0,0
3,0,0,0,0,1.7969,7.76264,0.422612,50.0357,21.1623,0,0.446588,11.3409,0,17.0859,0,0,0,0,0,0,0,0,78742,118742936,0,0
4,0,61.0332,0,61.0221,1.47775,0.173632,58.2634,0.13022,0.13022,0,0,0,0,0,321003,484072524,303575,457791100,303547,457748876,10852,0,0,0,0,0
5,0,0,0,0,1.4801,0.356672,0.34726,57.8556,57.7173,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303547,457748876,0,0
6,0,61.0292,0,61.039,1.45045,0.173632,58.2596,0.13022,0.13022,0,0,0,0,0,321008,484080064,303555,457760940,303527,457718716,10852,0,0,0,0,0
7,0,0,0,0,1.4528,0.356672,0.34726,57.8518,57.7135,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303527,457718716,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,225.635,61.0352,227.928,61.039,1.50683,0.173648,58.2653,0.130228,0.130228,0,0,0,0,0,320992,484055936,303585,457806180,303557,457763956,10853,0,0,0,0,0
1,0,0,0,0,1.49828,0.367601,0.347288,57.8575,57.7192,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303557,457763956,0,0
2,0,59.9531,0,59.8356,1.68391,0.207567,57.8901,0.222292,0.222292,0,0,0,0,0,320998,484064984,301057,453993956,298175,449647900,10749,15,0,0,0,0
3,0,0,0,0,0.154353,2.00135,0.476152,57.367,57.2287,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,298175,449647900,0,0
4,0,48.9438,0,49.4009,2.67387,1.40462,55.3553,0.624616,0.58646,0,0.000592,0,0,0.037564,321003,484072524,285545,430601860,243421,367078868,10193,21,0,0,0,0
5,0,0,0,0,0.304991,4.14751,0.98372,54.6634,54.5254,0,0.13806,0,0,0,0,0,0,0,0,0,0,0,243421,367078868,0,0
6,0,55.7025,0,57.6526,2.7293,0.297318,56.3218,0.7109,0.243144,0,0.000944,0,0,0.466812,321008,484080064,291763,439978604,277035,417768780,9982,439,0,0,0,0
