Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,42.5907,13.0275,43.2687,13.2988,5.07482,6.06515,32.935,15.9267,0.318368,0,7.45777,0,0,8.15061,320992,484055936,165668,249827344,64792,97706336,4267,1653,0,0,0,0
1,0,0,0,0,0.845791,11.3907,0.5156,47.2496,22.9265,0,7.62486,4.31263,0,12.3856,0,0,0,0,0,0,0,0,64826,97757608,0,0
2,0,10.9207,0,10.9728,5.14434,9.1529,29.4761,16.2283,0.28644,0,7.26999,0,0,8.67189,320998,484064984,147623,222615484,54314,81905512,3238,2038,0,0,0,0
3,0,0,0,0,0.767843,14.2394,0.455444,44.539,17.4238,0,7.35857,6.03628,0,13.7203,0,0,0,0,0,0,0,0,54351,81961308,0,0
4,0,7.70126,0,8.14199,3.84391,23.3124,25.2544,7.59648,0.2178,0,0.16124,0,0,7.21744,321003,484072524,127003,191520524,38302,57759416,2678,1858,0,0,0,0
5,0,0,0,0,0.866117,25.4753,0.350144,33.3102,14.402,0,0.47488,6.22908,0,12.2043,0,0,0,0,0,0,0,0,38309,57769972,0,0
6,0,10.9412,0,10.8552,2.98327,23.9136,19.2474,13.8628,0.115944,0,3.2073,1.2e-05,0,10.5395,321008,484080064,97164,146523312,54416,82059328,2234,1237,0,0,0,0
7,0,0,0,0,0.765496,27.0305,0.19834,32.0073,11.9663,0,1.28369,2.15641,0,16.6009,0,0,0,0,0,0,0,0,54417,82060836,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,177.443,61.0344,178.875,61.039,1.45832,0.173648,58.2645,0.130228,0.130228,0,0,0,0,0,320992,484055936,303581,457800148,303553,457757924,10853,0,0,0,0,0
1,0,0,0,0,1.46067,0.356704,0.347288,57.8568,57.7185,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303553,457757924,0,0
2,0,61.0372,0,61.039,1.48541,0.173648,58.2672,0.130228,0.130228,0,0,0,0,0,320998,484064984,303595,457821260,303567,457779036,10853,0,0,0,0,0
3,0,0,0,0,1.48758,0.356883,0.347288,57.8594,57.7211,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303567,457779036,0,0
4,0,30.5026,0,30.0526,1.87965,0.887494,34.1264,23.1358,0.11166,0,0.24618,0,0,22.778,321003,484072524,176955,266848140,151704,228769632,5441,882,0,0,0,0
5,0,0,0,0,1.38686,1.38686,0.2398,57.0106,28.9903,0,0.386316,3.79145,0,23.8425,0,0,0,0,0,0,0,0,151704,228769632,0,0
6,0,24.8683,0,26.7447,1.66152,0.851267,28.7924,28.7189,0.100812,0,0.168356,0,0,28.4497,321008,484080064,149259,225082572,123682,186512456,4465,870,0,0,0,0
7,0,0,0,0,1.39121,1.25225,0.20986,57.1708,23.7946,0,0.360552,4.05118,0,28.9645,0,0,0,0,0,0,0,0,123682,186512456,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,98.6119,19.4779,104.529,21.2996,2.29948,4.00545,27.3018,26.4118,0.143148,0,16.3357,0,0,9.9329,320992,484055936,140309,211585972,96873,146084484,3853,1159,0,0,0,0
1,0,0,0,0,1.43933,8.09831,0.260656,50.2202,20.5861,0,16.3356,2.00715,0,11.2914,0,0,0,0,0,0,0,0,96873,146084484,0,0
2,0,61.0356,0,61.039,1.49951,0.173648,58.2657,0.130232,0.130232,0,0,0,0,0,320998,484064984,303587,457809196,303559,457766972,10853,0,0,0,0,0
3,0,0,0,0,1.50186,0.356704,0.347292,57.8579,57.7196,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303559,457766972,0,0
4,0,12.7165,0,15.3599,2.26152,4.40384,24.9349,28.4236,0.15336,0,21.2427,0,0,7.02749,321003,484072524,127845,192790260,63245,95373460,2944,1623,0,0,0,0
5,0,0,0,0,1.44284,8.10411,0.261556,50.21,15.7611,0,21.1504,4.946,0,8.35256,0,0,0,0,0,0,0,0,63245,95373460,0,0
6,0,5.38195,0,6.83064,6.40791,8.17446,19.3032,26.1329,0.141624,0,0.332064,0,0,25.6592,321008,484080064,93252,140624016,26767,40364636,1338,1997,0,0,0,0
7,0,0,0,0,1.44902,8.8727,0.220772,49.476,7.2067,0,0.549836,5.53754,0,36.182,0,0,0,0,0,0,0,0,26740,40323920,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,108.894,0.221575,110.569,0.165277,0.836211,29.5285,4.55478,25.0949,0.038724,0,0.217236,0,0,24.8389,320976,484031808,22371,33735468,1102,1661816,103,698,0,0,0,0
1,0,0,0,0,0.113318,26.2707,0.05654,33.5728,0.57238,0,0.425724,3.29042,0,29.2842,0,0,0,0,0,0,0,0,1102,1661816,0,0
2,0,26.199,0,26.8285,1.61743,1.46206,30.6804,26.3005,0.114888,0,0.346848,8.4e-05,0,25.8386,320998,484064984,158966,239720728,130300,196492400,4758,921,0,0,0,0
3,0,0,0,0,1.35369,4.68746,0.234352,53.7795,25.4122,0,0.41088,3.80818,0,24.1482,0,0,0,0,0,0,0,0,130369,196596452,0,0
4,0,55.4329,0,55.8328,1.5737,0.932088,55.5074,2.00652,0.149988,0,0.103724,0,0,1.75281,321003,484072524,288971,435768268,275694,415746552,9995,328,0,0,0,0
5,0,0,0,0,1.52974,1.49789,0.362408,56.6243,53.2219,0,0.254552,1.25133,0,1.8966,0,0,0,0,0,0,0,0,275694,415746552,0,0
6,0,27.0409,0,27.7424,1.74709,1.25817,31.0574,25.9923,0.133692,0,0.311792,2.4e-05,0,25.5468,321008,484080064,160717,242361236,134487,202806396,4869,873,0,0,0,0
7,0,0,0,0,1.35539,2.4981,0.262632,55.9389,25.9874,0,9.8698,3.59542,0,16.4862,0,0,0,0,0,0,0,0,134489,202809412,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,176.383,23.7444,179.469,25.1444,2.08044,0.915365,28.4592,28.5698,0.10344,0,0.23476,0,0,28.2316,320992,484055936,147026,221715208,118092,178082736,4284,969,0,0,0,0
1,0,0,0,0,1.4056,1.52987,0.2108,56.8732,22.8358,0,0.403724,3.98254,0,29.6511,0,0,0,0,0,0,0,0,118092,178082736,0,0
2,0,30.576,0,32.264,1.97821,0.901608,34.9963,22.1434,0.120348,0,0.246684,0,0,21.7763,320998,484064984,181377,273516516,152069,229320052,5521,960,0,0,0,0
3,0,0,0,0,1.40087,1.35049,0.253376,57.0147,29.4268,0,0.388012,4.39326,0,22.8066,0,0,0,0,0,0,0,0,152069,229320052,0,0
4,0,61.0332,0,61.0221,1.47775,0.173632,58.2634,0.13022,0.13022,0,0,0,0,0,321003,484072524,303575,457791100,303547,457748876,10852,0,0,0,0,0
5,0,0,0,0,1.4801,0.356672,0.34726,57.8556,57.7173,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303547,457748876,0,0
6,0,61.0292,0,61.039,1.45045,0.173632,58.2596,0.13022,0.13022,0,0,0,0,0,321008,484080064,303555,457760940,303527,457718716,10852,0,0,0,0,0
7,0,0,0,0,1.4528,0.356672,0.34726,57.8518,57.7135,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303527,457718716,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,223.968,61.035,226.922,61.0384,1.50686,0.173664,58.26,0.130276,0.130276,0,0,0,0,0,320992,484055936,303557,457763956,303556,457762448,10853,0,0,0,0,0
1,0,0,0,0,1.49971,0.366191,0.347356,57.8576,57.7193,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303556,457762448,0,0
2,0,59.9834,0,59.899,1.67796,0.202672,57.8996,0.220936,0.220936,0,0,0,0,0,320998,484064984,301115,454081420,298326,449875608,10752,14,0,0,0,0
3,0,0,0,0,0.162694,1.9771,0.474276,57.382,57.244,0,0.13806,0,0,0,0,0,0,0,0,0,0,0,298326,449875608,0,0
4,0,48.5715,0,49.2356,2.6243,2.0755,54.7336,0.623168,0.570752,0,0.000236,0,0,0.05218,321003,484072524,282388,425841104,241569,364286052,10067,28,0,0,0,0
5,0,0,0,0,0.391495,4.73158,0.959572,54.0152,53.8771,0,0.13806,0,0,0,0,0,0,0,0,0,0,0,241569,364286052,0,0
6,0,54.3781,0,56.7491,2.66167,0.845236,55.0697,1.47947,0.236672,0,0.013704,0,0,1.2291,321008,484080064,285393,430372644,270448,407835584,9743,450,0,0,0,0
7,0,0,0,0,0.431084,3.75613,0.481432,55.3821,51.9541,0,0.161788,0,0,3.2662,0,0,0,0,0,0,0,0,270448,407835584,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,179.498,61.0362,179.656,61.039,1.44466,0.173648,58.2663,0.130232,0.130232,0,0,0,0,0,320992,484055936,303590,457813720,303562,457771496,10853,0,0,0,0,0
1,0,0,0,0,1.447,0.356704,0.347292,57.8585,57.7202,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303562,457771496,0,0
2,0,28.5464,0,28.418,1.39657,0.483827,30.7152,27.4531,0.09218,0,27.361,0,0,0,320998,484064984,159468,240477744,141975,214098300,5074,622,0,0,0,0
3,0,0,0,0,1.30839,0.639481,0.208808,57.8867,27.0294,0,27.5457,3.31153,0,2.4e-05,0,0,0,0,0,0,0,0,141975,214098300,0,0
4,0,61.042,0,61.0559,1.4262,0.17368,58.2716,0.130252,0.130252,0,0,0,0,0,321003,484072524,303619,457857452,303591,457815228,10855,0,0,0,0,0
5,0,0,0,0,1.42854,0.356752,0.347352,57.8637,57.7257,0,0.13806,0,0,0,0,0,0,0,0,0,0,0,303591,457815228,0,0
6,0,28.8738,0,29.1436,1.30317,0.530524,31.0315,27.1782,0.093072,0,27.0851,2.4e-05,0,0,321008,484080064,161120,242968960,143603,216553324,5132,625,0,0,0,0
7,0,0,0,0,1.30813,0.640418,0.210936,57.8839,27.3459,0,0.431308,3.31457,0,26.7921,0,0,0,0,0,0,0,0,143657,216634756,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,111.614,27.5833,113.882,28.3794,1.69112,0.817529,30.9129,26.5819,0.104604,0,0.164232,0,0,26.313,320992,484055936,160347,241803276,137185,206874980,5197,534,0,0,0,0
1,0,0,0,0,1.37718,1.23434,0.226144,57.1605,27.6815,0,0.329272,2.25871,0,26.891,0,0,0,0,0,0,0,0,137185,206874980,0,0
2,0,23.7987,0,25.8827,1.7217,0.928392,27.5501,29.8041,0.095364,0,0.17642,0,0,29.5323,320998,484064984,142724,215227792,118362,178489896,4259,841,0,0,0,0
3,0,0,0,0,1.37492,1.26563,0.199052,57.1647,22.7081,0,0.374124,4.04244,0,30.04,0,0,0,0,0,0,0,0,118362,178489896,0,0
4,0,28.2645,0,28.6538,2.0545,0.816304,31.6494,25.4779,0.103548,0,0.159632,0,0,25.2147,321003,484072524,163980,247281840,140573,211984084,5041,824,0,0,0,0
5,0,0,0,0,1.37771,1.29424,0.222308,57.1039,26.8586,0,0.3287,3.71388,0,26.2027,0,0,0,0,0,0,0,0,140573,211984084,0,0
6,0,31.9672,0,30.9665,1.56432,0.639067,35.2357,22.5706,0.118956,0,0.234972,0,0,22.2166,321008,484080064,182818,275689544,158988,239753904,6081,450,0,0,0,0
7,0,0,0,0,1.36722,1.0638,0.259736,57.3135,32.4097,0,0.330716,1.628,0,22.9451,0,0,0,0,0,0,0,0,158988,239753904,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,109.664,57.0581,109.679,57.035,1.59919,0.356739,55.6318,2.48468,0.1356,0,0.138248,0,0,2.21083,320992,484055936,289720,436897760,283777,427935716,10168,182,0,0,0,0
1,0,0,0,0,1.56065,0.83652,0.34462,57.3253,54.1292,0,0.289728,0.56986,0,2.33647,0,0,0,0,0,0,0,0,283777,427935716,0,0
2,0,0.248921,0,0.334776,0.360299,31.9293,3.36798,24.3728,0.029028,0,0.067196,0,0,24.2766,320998,484064984,16584,25008672,1238,1866904,87,507,0,0,0,0
3,0,0,0,0,0.0932489,54.7991,0.042428,5.09564,0.484176,0,0.147888,2.42927,0,2.03431,0,0,0,0,0,0,0,0,1238,1866904,0,0
4,0,27.2592,0,27.214,1.46249,1.1848,31.2493,26.137,0.112728,0,20.3292,0,0,5.69506,321003,484072524,162026,244335208,135573,204444084,4990,798,0,0,0,0
5,0,0,0,0,1.35594,5.50231,0.234548,52.9355,26.599,0,25.4067,0.149072,0,0.78082,0,0,0,0,0,0,0,0,135573,204444084,0,0
