Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,14.7663,5.70567,12.5152,5.02767,10.1512,3.68797,40.0299,6.14072,0.346824,0,0.905636,0,0,4.88826,320992,484055936,196113,295738404,28377,42792516,2298,4706,0,0,0,0
1,0,0,0,0,0.610687,12.5051,0.526312,46.3623,12.4796,0,1.85646,16.3449,0,15.6814,0,0,0,0,0,0,0,0,28379,42795532,0,0
2,0,3.40929,0,3.00575,8.11036,7.11999,34.3864,10.3879,0.30366,0,1.31807,0,0,8.76619,320998,484064984,169143,255067644,16956,25569648,1413,4642,0,0,0,0
3,0,0,0,0,0.546593,14.0338,0.453316,44.9707,7.72383,0,2.04091,17.7721,0,17.4339,0,0,0,0,0,0,0,0,16941,25547028,0,0
4,0,3.99077,0,3.10829,4.80415,13.1095,38.3536,3.73717,0.33714,0,0.082228,0,0,3.3178,321003,484072524,194372,293112976,19848,29930784,1823,5121,0,0,0,0
5,0,0,0,0,0.636064,18.4279,0.506484,40.434,9.95883,0,0.283568,23.0727,0,7.1189,0,0,0,0,0,0,0,0,19857,29944356,0,0
6,0,1.66061,0,1.37349,4.80978,18.606,28.2502,8.3438,0.246372,0,1.84025,0.000108,0,6.25707,321008,484080064,141474,213342792,8259,12454572,987,4066,0,0,0,0
7,0,0,0,0,0.547757,22.6393,0.365684,36.4517,5.47449,0,1.121,16.5074,0,13.3487,0,0,0,0,0,0,0,0,8270,12471160,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
