Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,158.266,45.8038,160.948,47.2861,3.11087,0.578514,55.1849,1.13126,0.44822,0,0.010564,0,0,0.672476,320992,484055936,284599,429175292,227804,343528432,9608,557,0,0,0,0
1,0,0,0,0,0.019336,5.70915,0.779268,53.4925,51.403,0,0.235444,0,0,1.85409,0,0,0,0,0,0,0,0,227804,343528432,0,0
2,0,51.3104,0,52.8222,3.06367,0.420865,55.7599,0.76492,0.430448,0,0.003796,0,0,0.330676,320998,484064984,287707,433862156,255191,384828028,9759,520,0,0,0,0
3,0,0,0,0,0.0192984,5.25038,0.756188,53.9782,52.1748,0,0.212572,0,0,1.59077,0,0,0,0,0,0,0,0,255191,384828028,0,0
4,0,59.9416,0,60.5323,1.60598,0.39836,57.7845,0.218476,0.132672,0,0.0012,0,0,0.084604,321003,484072524,301002,453911016,298118,449561944,10648,102,0,0,0,0
5,0,0,0,0,0.0192407,2.50876,0.347672,57.1263,56.6887,0,0.137676,0,0,0.29992,0,0,0,0,0,0,0,0,298118,449561944,0,0
6,0,1.21022,0,0.307632,2.65472,21.0242,35.0754,1.243,0.311064,0,0.010136,0,0,0.921804,321008,484080064,180016,271464128,6019,9076652,750,5681,0,0,0,0
7,0,0,0,0,0.0192808,23.7558,0.452252,35.77,4.25156,0,0.143228,29.7614,0,1.61382,0,0,0,0,0,0,0,0,6031,9094748,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,237.641,61.0344,242.245,61.039,1.45818,0.173648,58.2645,0.130228,0.130228,0,0,0,0,0,320992,484055936,303581,457800148,303553,457757924,10853,0,0,0,0,0
1,0,0,0,0,1.46053,0.356704,0.347288,57.8568,57.7185,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303553,457757924,0,0
2,0,61.037,0,61.039,1.48537,0.173648,58.267,0.130228,0.130228,0,0,0,0,0,320998,484064984,303594,457819752,303566,457777528,10853,0,0,0,0,0
3,0,0,0,0,1.48772,0.356704,0.347288,57.8592,57.7209,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303566,457777528,0,0
4,0,58.0365,0,60.3116,2.20815,0.489627,56.6346,0.694336,0.133496,0,0.007144,0,0,0.553696,321003,484072524,294250,443729000,288643,435273644,10313,201,0,0,0,0
5,0,0,0,0,0.145365,2.69573,0.343848,56.8365,54.8911,0,0.150064,0,0,1.7953,0,0,0,0,0,0,0,0,288643,435273644,0,0
6,0,57.533,0,59.8549,2.64033,0.262173,56.556,0.568736,0.135584,0,0.000972,0,0,0.43218,321008,484080064,293356,442380848,286139,431497612,10223,258,0,0,0,0
7,0,0,0,0,0.145227,2.67156,0.345424,56.8597,54.4191,0,0.137276,0,0,2.30337,0,0,0,0,0,0,0,0,286139,431497612,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,173.868,27.5518,175.521,27.5578,1.57712,0.698351,30.1266,27.6153,0.092916,0,1.5558,0,0,25.9666,320992,484055936,156129,235442532,137028,206638224,4895,682,0,0,0,0
1,0,0,0,0,0.124864,4.01564,0.205056,55.6718,26.0866,0,1.66986,1.64531,0,26.2701,0,0,0,0,0,0,0,0,137028,206638224,0,0
2,0,61.0356,0,61.039,1.49928,0.173648,58.2657,0.130232,0.130232,0,0,0,0,0,320998,484064984,303587,457809196,303559,457766972,10853,0,0,0,0,0
3,0,0,0,0,1.50163,0.356704,0.347292,57.8579,57.7196,0,0.138296,0,0,0,0,0,0,0,0,0,0,0,303559,457766972,0,0
4,0,28.2495,0,28.0808,1.62194,0.691993,30.7689,26.9398,0.094308,0,4.19098,0,0,22.6545,321003,484072524,159489,240509412,140498,211870984,5019,677,0,0,0,0
5,0,0,0,0,0.124861,2.79101,0.209024,56.8925,26.7468,0,1.65944,2.85386,0,25.6324,0,0,0,0,0,0,0,0,140498,211870984,0,0
6,0,57.0308,0,58.8434,2.60583,0.355213,55.9289,1.13221,0.132532,0,0.007336,0,0,0.99234,321008,484080064,290025,437357700,283641,427730628,10137,227,0,0,0,0
7,0,0,0,0,0.12508,2.66147,0.339812,56.8905,53.9405,0,0.1471,0,0,2.80288,0,0,0,0,0,0,0,0,283641,427730628,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,150.889,52.4933,150.663,52.6105,2.69228,0.529831,56.4107,0.389764,0.165668,0,0.002392,0,0,0.221704,320992,484055936,292356,440872848,261074,393699592,9326,1117,0,0,0,0
1,0,0,0,0,0.0371731,7.33818,0.374588,52.2673,49.6821,0,0.161748,0,0,2.4235,0,0,0,0,0,0,0,0,261074,393699592,0,0
2,0,14.206,0,15.299,2.22931,27.4569,24.6453,5.72177,0.199652,0,0.205924,0,0,5.3162,320998,484064984,126313,190480004,70653,106544724,2822,1691,0,0,0,0
3,0,0,0,0,0.375354,17.0947,0.325748,42.2571,15.1446,0,0.469388,1.81016,0,24.833,0,0,0,0,0,0,0,0,70655,106547740,0,0
4,0,57.679,0,58.9785,2.42694,0.283423,56.8709,0.438776,0.137296,0,0.00214,0,0,0.29934,321003,484072524,295209,445175172,286865,432592420,10254,297,0,0,0,0
5,0,0,0,0,0.156978,2.79702,0.348316,56.7124,54.556,0,0.142688,0,0,2.01372,0,0,0,0,0,0,0,0,286865,432592420,0,0
6,0,26.5112,0,23.7751,2.72985,17.6902,37.6881,1.95003,0.267,0,0.027476,0,0,1.65555,321008,484080064,193693,292089044,131853,198834324,4970,1949,0,0,0,0
7,0,0,0,0,0.456288,16.4556,0.452964,42.688,26.6278,0,0.371768,1.91664,0,13.7717,0,0,0,0,0,0,0,0,131906,198914248,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,238.682,58.3383,241.2,59.4176,2.22915,0.293569,57.0261,0.477816,0.134792,0,0.001448,0,0,0.341576,320992,484055936,296182,446642456,290144,437537152,10369,216,0,0,0,0
1,0,0,0,0,0.123449,2.58006,0.346492,56.9713,55.1766,0,0.142056,0,0,1.65266,0,0,0,0,0,0,0,0,290144,437537152,0,0
2,0,58.2812,0,59.7216,2.5564,0.219128,56.9227,0.32868,0.133756,0,0.000664,0,0,0.19426,320998,484064984,295407,445473756,289860,437108880,10355,198,0,0,0,0
