Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,233.226,3.05267,233.071,3.45513,0.79422,42.7706,6.78812,49.6448,0.028268,0,11.1541,0,0,38.4625,534988,806761904,34049,51345892,25304,38158432,908,309,0,0,0,0
1,0,0,0,0,0.796464,43.7861,0.053668,55.3612,4.84209,0,9.54956,1.62382,0,39.3457,0,0,0,0,0,0,0,0,25304,38158432,0,0
2,0,2.57989,0,2.78316,0.333805,38.6614,4.39519,56.6115,0.010532,0,0.452376,0,0,56.1486,534996,806773968,21645,32640660,21385,32248580,766,8,0,0,0,0
3,0,0,0,0,0.294644,39.5603,0.026444,60.1205,4.07938,0,0.680336,0.021296,0,55.3395,0,0,0,0,0,0,0,0,21413,32290804,0,0
4,0,4.44619,0,3.83092,0.85441,50.2639,9.057,39.8214,0.032028,0,7.13358,0,0,32.6558,535005,806787540,45897,69212676,36855,55577340,1317,323,0,0,0,0
5,0,0,0,0,1.04969,50.0174,0.065228,48.8644,7.02924,0,7.35899,0.708092,0,33.768,0,0,0,0,0,0,0,0,36883,55619564,0,0
6,0,8.89829,0,8.67703,1.09551,35.4885,14.623,48.7948,0.038664,0,0.805496,0,0,47.9507,535013,806799604,75042,113163336,73759,111228572,2662,19,0,0,0,0
7,0,0,0,0,1.14017,35.1559,0.094872,63.611,14.178,0,1.0124,0.095832,0,48.3248,0,0,0,0,0,0,0,0,73787,111270796,0,0
8,0,4.19321,0,3.76638,0.825337,52.6648,8.15724,38.3493,0.031404,0,7.93084,0,0,30.387,535022,806813176,41193,62119044,34758,52415064,1277,195,0,0,0,0
9,0,0,0,0,0.333664,61.1327,0.065072,38.4652,6.81156,0,7.90397,0.575944,0,23.1738,0,0,0,0,0,0,0,0,34758,52415064,0,0
10,0,31.1073,0,30.654,2.1713,29.9003,50.491,17.4919,0.119232,0,0.435076,0,0,16.9376,535031,806826748,262399,395697692,257852,388840816,9212,160,0,0,0,0
11,0,0,0,0,1.93702,30.8229,0.307412,66.9819,49.0959,0,0.662688,0.457864,0,16.7654,0,0,0,0,0,0,0,0,258132,389263056,0,0
12,0,44.2722,0,43.1191,2.24852,7.10702,70.5218,20.1258,0.157488,0,0.605576,0,0,19.3628,535039,806838812,367091,553573228,366978,553402824,13108,3,0,0,0,0
13,0,0,0,0,2.13933,7.33277,0.41976,90.106,69.7839,0,0.841628,0,0,19.4805,0,0,0,0,0,0,0,0,367006,553445048,0,0
14,0,54.4632,0,53.7258,2.43116,2.26464,86.7143,8.63244,0.193956,0,0.395808,0,0,8.04268,535048,806852384,451676,681127408,451452,680789616,16131,8,0,0,0,0
15,0,0,0,0,2.16731,2.83719,0.516736,94.5213,85.8407,0,0.627668,0,0,8.05296,0,0,0,0,0,0,0,0,451452,680789616,0,0
16,0,3.5806,0,4.03661,0.452319,84.2197,5.94249,9.39255,0.012768,0,0.074928,0,0,9.30486,535056,806864448,29736,44841888,29680,44757440,1060,1,0,0,0,0
17,0,0,0,0,0.467716,84.0065,0.03402,15.4935,5.6488,0,0.268452,0,0,9.57629,0,0,0,0,0,0,0,0,29708,44799664,0,0
18,0,2.72441,0,2.88571,0.699485,52.8395,5.95968,40.4991,0.024296,0,5.01271,0,0,35.4621,535065,806878020,29736,44841888,22583,34055164,811,251,0,0,0,0
19,0,0,0,0,0.77946,42.6234,0.046692,56.5482,4.32887,0,7.59925,1.331,0,43.289,0,0,0,0,0,0,0,0,22583,34055164,0,0
20,0,11.9698,0,11.6448,1.62295,12.6903,21.3041,64.3846,0.074756,0,1.01694,0,0,63.2929,535074,806891592,109791,165564828,99219,149622252,3618,306,0,0,0,0
21,0,0,0,0,1.62132,12.0551,0.160412,86.1651,19.2855,0,1.26243,1.60348,0,64.0137,0,0,0,0,0,0,0,0,99240,149653920,0,0
22,0,13.371,0,13.6546,1.30024,42.9881,21.7015,34.0311,0.052452,0,0.837224,0,0,33.1414,535079,806899132,112030,168941240,110834,167137672,3967,35,0,0,0,0
23,0,0,0,0,1.68496,42.853,0.134324,55.3487,21.2042,0,1.0619,0.101156,0,32.9815,0,0,0,0,0,0,0,0,111282,167813256,0,0
24,0,22.9889,0,23.7263,2.01575,4.80895,40.076,53.1066,0.114864,0,1.04898,0,0,51.9428,535088,806912704,207844,313428752,190558,287361464,6808,615,0,0,0,0
25,0,0,0,0,2.26143,3.13066,0.26498,94.3449,36.2704,0,1.28093,3.26932,0,53.5243,0,0,0,0,0,0,0,0,190558,287361464,0,0
26,0,8.43334,0,9.1234,1.24576,25.9806,15.0935,57.6781,0.048168,0,6.19966,0,0,51.4302,535096,806924768,77431,116765948,69905,105416740,2510,256,0,0,0,0
27,0,0,0,0,1.23477,27.506,0.10602,71.1511,13.3842,0,7.55736,1.33632,0,48.8732,0,0,0,0,0,0,0,0,69961,105501188,0,0
28,0,16.1007,0,16.7997,1.79003,8.65599,29.4308,60.1252,0.102168,0,1.03177,0,0,58.9912,535105,806938340,152165,229464820,133461,201259188,4818,618,0,0,0,0
29,0,0,0,0,1.79697,6.83139,0.217144,91.1565,25.6811,0,1.27802,3.28529,0,60.912,0,0,0,0,0,0,0,0,133461,201259188,0,0
30,0,1.04462,0,1.1883,0.318935,56.9028,2.12866,40.6463,0.006144,0,1.07986,0,0,39.5603,535114,806951912,9800,14778400,8659,13057772,312,38,0,0,0,0
31,0,0,0,0,0.322123,59.2345,0.013576,40.4265,1.69483,0,1.2697,0.170368,0,37.2916,0,0,0,0,0,0,0,0,8827,13311116,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,235.541,14.7771,235.766,14.5812,1.71805,7.76753,29.0119,61.5163,0.105096,0,13.5529,0,0,47.8583,534988,806761904,149928,226091424,122489,184713412,4382,974,0,0,0,0
