Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,230.054,18.4526,228.534,17.6152,14.1169,2.87124,81.9493,1.06297,0.79172,0,0.00396,0,0,0.267292,534988,806761904,409238,617130904,152956,230657648,12161,2464,0,0,0,0
1,0,0,0,0,0.00115979,15.5169,1.30402,83.1783,65.1888,0,0.357696,0.191664,0,17.4401,0,0,0,0,0,0,0,0,152956,230657648,0,0
2,0,10.1953,0,9.21871,4.57853,33.5554,59.6095,2.26132,0.607544,0,0.015532,0,0,1.63824,534996,806773968,305493,460683444,84510,127441080,7701,3222,0,0,0,0
3,0,0,0,0,0.00508968,41.5765,0.979288,57.4439,41.4535,0,0.304208,9.06278,0,6.6234,0,0,0,0,0,0,0,0,84763,127822604,0,0
4,0,27.4993,0,27.0571,2.13846,1.20379,50.6596,46.008,0.157608,0,45.8503,0,0,1.2e-05,535005,806787540,262918,396480344,227945,343741060,8142,1249,0,0,0,0
5,0,0,0,0,0.0198374,10.7645,0.34544,88.8747,43.3924,0,45.4823,0,0,2e-05,0,0,0,0,0,0,0,0,227973,343783284,0,0
6,0,10.1879,0,9.84181,4.69749,20.793,73.5319,0.982332,0.75586,0,0.001812,0,0,0.22466,535013,806799604,378370,570581960,84449,127349092,9585,3963,0,0,0,0
7,0,0,0,0,0.00811972,28.6665,1.21684,70.1133,51.5179,0,0.23346,17.4632,0,0.89878,0,0,0,0,0,0,0,0,84504,127432032,0,0
8,0,28.6177,0,29.1774,2.13999,1.06174,52.1257,44.6771,0.16176,0,44.51,0,0,0.005372,535022,806813176,270600,408064800,237216,357721728,8476,1191,0,0,0,0
9,0,0,0,0,0.00884284,5.29303,0.359836,94.3428,45.1638,0,43.8705,5.1909,0,0.117588,0,0,0,0,0,0,0,0,237216,357721728,0,0
10,0,17.547,0,17.1092,16.8868,1.1596,79.396,2.62136,0.688296,0,0.032852,0,0,1.90022,535031,806826748,392714,592212712,145449,219337092,8682,5344,0,0,0,0
11,0,0,0,0,0.0683017,18.9067,1.10535,79.978,46.6635,0,0.403696,10.3128,0,22.598,0,0,0,0,0,0,0,0,145477,219379316,0,0
12,0,57.7808,0,58.4718,2.76803,0.66454,96.145,0.426952,0.242148,0,0.004472,0,0,0.180332,535039,806838812,500428,754645424,478952,722259616,17111,767,0,0,0,0
13,0,0,0,0,0.349852,6.21331,0.599804,92.8362,91.1076,0,0.252976,0,0,1.47568,0,0,0,0,0,0,0,0,479008,722344064,0,0
14,0,59.7735,0,60.0425,2.47905,0.747546,96.5883,0.232192,0.226604,0,0.00012,0,0,0.005468,535048,806852384,503170,758780360,495470,747168760,17704,274,0,0,0,0
15,0,0,0,0,0.146362,4.80384,0.586584,94.5049,94.2207,0,0.229112,0,0,0.055112,0,0,0,0,0,0,0,0,495470,747168760,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,284.66,27.8345,288.383,27.79,2.17909,1.21994,50.3152,46.3076,0.15384,0,0.276996,0,0,45.8767,534988,806761904,261192,393877536,230724,347931792,8244,1087,0,0,0,0
1,0,0,0,0,1.00853,4.21605,0.341664,94.4556,43.9336,0,0.59732,4.09967,0,45.825,0,0,0,0,0,0,0,0,230780,348016240,0,0
2,0,27.4088,0,27.2381,2.68757,1.28562,50.4304,45.609,0.167004,0,0.709328,0,0,44.7326,534996,806773968,261188,393871504,227195,342610060,8125,1204,0,0,0,0
3,0,0,0,0,0.0843659,7.42382,0.358464,92.1405,43.3096,0,0.846964,2.81126,0,45.1727,0,0,0,0,0,0,0,0,227195,342610060,0,0
4,0,58.216,0,60.1776,3.69155,0.428028,95.3117,0.597452,0.228416,0,0.002588,0,0,0.366448,535005,806787540,495079,746579132,482560,727700480,17239,446,0,0,0,0
5,0,0,0,0,0.177715,4.77874,0.582176,94.4848,91.7721,0,0.234352,0,0,2.47832,0,0,0,0,0,0,0,0,482560,727700480,0,0
6,0,57.8348,0,60.3465,4.19848,0.331111,94.9622,0.537144,0.23486,0,0.001376,0,0,0.300908,535013,806799604,492540,742750320,479400,722935200,17128,463,0,0,0,0
7,0,0,0,0,0.0756995,4.91185,0.58964,94.4465,91.2046,0,0.229196,0,0,3.01263,0,0,0,0,0,0,0,0,479400,722935200,0,0
8,0,29.165,0,28.7913,2.34168,1.0803,52.4273,44.1779,0.158256,0,0.26882,0,0,43.7508,535022,806813176,272214,410498712,241752,364562016,8636,1087,0,0,0,0
9,0,0,0,0,0.120089,6.31329,0.353832,93.2346,46.0291,0,0.550556,3.04552,0,43.6094,0,0,0,0,0,0,0,0,241808,364646464,0,0
10,0,26.661,0,26.8364,2.51223,1.48482,48.8854,47.1289,0.161372,0,0.319804,0,0,46.6478,535031,806826748,253603,382433324,220996,333261968,7904,1154,0,0,0,0
11,0,0,0,0,0.0124808,8.31081,0.347308,91.3355,42.1216,0,0.539184,2.60876,0,46.066,0,0,0,0,0,0,0,0,220996,333261968,0,0
12,0,28.1277,0,28.1441,2.69913,1.08262,51.6059,44.6196,0.16266,0,30.0106,0,0,14.4463,535039,806838812,267365,403186420,233154,351596232,8331,1220,0,0,0,0
13,0,0,0,0,0.0843969,7.30879,0.3554,92.2586,44.3963,0,0.891724,2.60705,0,44.3635,0,0,0,0,0,0,0,0,233154,351596232,0,0
14,0,29.4124,0,29.0586,2.49915,1.31348,53.0928,43.1006,0.161448,0,0.338072,0,0,42.6011,535048,806852384,275662,415698296,243803,367654924,8710,1136,0,0,0,0
15,0,0,0,0,0.0105033,7.86615,0.359504,91.7699,46.4099,0,0.563756,2.44372,0,42.3526,0,0,0,0,0,0,0,0,243803,367654924,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,237.138,27.9921,239.824,27.3032,2.17464,1.17695,51.1342,45.5322,0.159864,0,0.528212,0,0,44.8441,534988,806761904,265402,400226216,232030,349901240,8290,1192,0,0,0,0
1,0,0,0,0,0.0273593,7.83357,0.350824,91.8062,44.1769,0,0.75016,2.69946,0,44.1797,0,0,0,0,0,0,0,0,232030,349901240,0,0
