Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,127.685,0.009048,123.754,0,52.776,36.0507,0.405244,10.687,0.001368,0,0.217912,0,0,10.4677,46075,69481100,813,1226004,75,113100,6,24,0,0,0,0
1,0,0,0,0,0.0601447,74.2589,0.002096,25.6748,0.032952,0,1.02911,0.0907,0,24.5221,0,0,0,0,0,0,0,0,75,113100,0,0
2,0,0.00325728,0,0,39.02,22.5143,0.429148,38.0369,0.00162,0,1.02838,0,0,37.0069,27663,41715804,917,1382836,27,40716,3,32,0,0,0,0
3,0,0,0,0,0.196164,71.8774,0.002544,27.9243,0.017268,0,0.969468,0.147748,0,26.7898,0,0,0,0,0,0,0,0,27,40716,0,0
4,0,21.8871,0,20.7404,3.84885,3.08715,57.4459,35.6231,0.423648,0,35.1523,0,0,0.047152,535005,806787540,296242,446732936,181425,273588900,7328,3254,0,0,0,0
5,0,0,0,0,1.3636,12.1047,0.710156,85.8212,39.2634,0,34.5957,11.3158,0,0.646304,0,0,0,0,0,0,0,0,181425,273588900,0,0
6,0,1.00083,0,0.720824,3.57165,60.4003,26.7702,9.26347,0.255312,0,0.307304,0,0,8.70086,535013,806799604,134911,203445788,8296,12510368,2148,2671,0,0,0,0
7,0,0,0,0,0.963241,28.2946,0.395676,70.3469,11.6197,0,1.2668,11.7567,0,45.7037,0,0,0,0,0,0,0,0,8303,12520924,0,0
8,0,11.8507,0,11.5513,3.39852,5.178,39.1995,52.2237,0.352456,0,50.7664,0,0,1.10488,535022,806813176,200932,303005456,98232,148133856,4604,2577,0,0,0,0
9,0,0,0,0,0.929479,16.7907,0.568512,81.711,24.7092,0,23.8727,6.55384,0,26.5752,0,0,0,0,0,0,0,0,98232,148133856,0,0
10,0,7.42394,0,5.59468,4.63898,21.9872,53.5453,19.8849,0.5151,0,0.6197,0,0,18.7501,535031,806826748,273871,412997468,61538,92799304,6481,3302,0,0,0,0
11,0,0,0,0,1.57275,28.1133,0.828904,69.5262,34.8551,0,0.916752,13.6403,0,20.114,0,0,0,0,0,0,0,0,61552,92820416,0,0
12,0,56.2864,0,56.1302,3.01231,1.77863,94.6542,0.555964,0.478464,0,0.04016,0,0,0.03734,535039,806838812,491487,741162396,466565,703580020,17412,155,0,0,0,0
13,0,0,0,0,2.13879,3.62883,0.939308,93.2889,92.835,0,0.27116,0.096024,0,0.086728,0,0,0,0,0,0,0,0,466592,703620736,0,0
14,0,29.2236,0,29.0169,4.15967,12.5402,82.5399,0.808176,0.689624,0,0.042076,0,0,0.076476,535048,806852384,426128,642601024,242238,365294904,14109,1114,0,0,0,0
15,0,0,0,0,1.70912,17.9584,1.18917,79.1859,75.5252,0,0.36738,2.14386,0,1.1495,0,0,0,0,0,0,0,0,242270,365343160,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,153.618,22.3681,140.544,14.9461,1.86196,3.04668,40.4118,54.7001,0.135288,0,0.640192,0.000156,0,53.9244,534988,806761904,209454,315856632,185412,279601296,6690,793,0,0,0,0
1,0,0,0,0,1.70515,3.6239,0.292492,94.399,35.7199,0,0.761592,3.97722,0,53.9403,0,0,0,0,0,0,0,0,185743,280100444,0,0
