Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,118.424,0.183735,120.909,0,24.6917,50.3932,1.45706,23.4531,0.011232,0,0.460308,0,0,22.9816,192833,290792164,6246,9418968,1523,2296684,112,113,0,0,0,0
1,0,0,0,0,0.0402969,65.8232,0.017592,34.1142,0.598572,0,1.27044,0.49,0,31.7552,0,0,0,0,0,0,0,0,1523,2296684,0,0
2,0,0.356612,0,0,5.85272,23.13,4.64093,66.3702,0.040404,0,1.40654,1.2e-05,0,64.9232,403679,608747932,22364,33724912,2956,4457648,263,540,0,0,0,0
3,0,0,0,0,0.20503,67.6488,0.06142,32.0844,1.43092,0,1.01369,2.284,0,27.3558,0,0,0,0,0,0,0,0,2957,4459156,0,0
4,0,16.7953,0,19.1432,3.32224,13.7779,48.791,34.1139,0.3966,0,32.8646,0,0,0.852704,535005,806787540,251199,378808092,139218,209940744,5838,3133,0,0,0,0
5,0,0,0,0,1.34651,20.2438,0.649992,77.7594,31.3394,0,32.776,12.2718,0,1.37222,0,0,0,0,0,0,0,0,139223,209948284,0,0
6,0,3.67059,0,3.16439,4.66836,53.1749,34.0034,8.15298,0.3062,0,0.345888,0,0,7.50089,535013,806799604,171320,258350560,30426,45882408,3097,3030,0,0,0,0
7,0,0,0,0,0.994259,21.2045,0.481328,77.3196,16.6765,0,1.34665,11.7727,0,47.5237,0,0,0,0,0,0,0,0,30426,45882408,0,0
8,0,10.082,0,10.4372,3.21163,12.9135,36.436,47.4386,0.349272,0,43.2694,0,0,3.8199,535022,806813176,186418,281118344,83571,126025068,4314,2349,0,0,0,0
9,0,0,0,0,0.976455,18.9475,0.559912,79.5158,23.2009,0,12.2725,7.66029,0,36.3821,0,0,0,0,0,0,0,0,83620,126098960,0,0
10,0,4.57141,0,4.41,5.81696,14.0554,57.0279,23.1607,0.563628,0,0.737872,0,0,21.8592,535031,806826748,290777,438491716,37893,57142644,6181,4209,0,0,0,0
11,0,0,0,0,1.22228,20.5987,0.892604,77.3268,33.2904,0,1.88792,17.6707,0,24.4777,0,0,0,0,0,0,0,0,37905,57160740,0,0
12,0,56.5659,0,57.155,3.15504,0.585939,95.1787,1.08118,0.496608,0,0.102568,0,0,0.482008,535039,806838812,494130,745148040,468882,707074056,17508,149,0,0,0,0
13,0,0,0,0,1.9862,2.39951,0.966148,94.6436,93.3758,0,0.335452,0.404624,0,0.527772,0,0,0,0,0,0,0,0,468882,707074056,0,0
14,0,26.1985,0,26.5993,4.35522,9.26766,84.3851,2.03791,0.751916,0,0.131044,0,0,1.15495,535048,806852384,435341,656494228,217163,327481804,14436,1143,0,0,0,0
15,0,0,0,0,1.60405,13.7371,1.28243,83.4168,77.1897,0,0.459872,3.57262,0,2.19463,0,0,0,0,0,0,0,0,217199,327536092,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,154.205,29.8942,151.82,29.7565,2.56012,1.79685,54.7346,40.9311,0.201816,0,0.59116,0.000204,0,40.1379,534988,806761904,283961,428213188,247797,373677876,8998,1145,0,0,0,0
1,0,0,0,0,2.15952,3.04045,0.421552,94.4011,48.0752,0,0.70826,5.16447,0,40.4532,0,0,0,0,0,0,0,0,248114,374155912,0,0
2,0,22.4361,0,21.2031,2.61706,5.33984,46.4092,45.6432,0.19458,0,35.1911,0,0,10.2575,534996,806773968,240051,361996908,185976,280451808,6947,1627,0,0,0,0
3,0,0,0,0,2.23947,7.04272,0.387136,90.3347,37.0731,0,34.113,7.20471,0,11.9439,0,0,0,0,0,0,0,0,185976,280451808,0,0
4,0,38.584,0,37.4611,3.0361,1.30906,68.3973,27.2878,0.257508,0,0.495684,0,0,26.5347,535005,806787540,354949,535263092,319828,482300624,11583,1097,0,0,0,0
5,0,0,0,0,2.21511,2.83397,0.538684,94.4372,61.7441,0,0.719968,4.42501,0,27.5481,0,0,0,0,0,0,0,0,319828,482300624,0,0
6,0,14.3359,0,15.6506,2.70851,3.73609,33.7527,59.8095,0.217068,0,0.354016,0,0,59.2384,535013,806799604,173555,261720940,118832,179198656,4993,1208,0,0,0,0
7,0,0,0,0,1.04878,6.64281,0.382476,91.9327,26.6966,0,0.66634,4.81841,0,59.7513,0,0,0,0,0,0,0,0,118832,179198656,0,0
8,0,24.7942,0,24.4073,2.6801,2.01912,47.59,47.7388,0.223428,0,0.383432,7.2e-05,0,47.1318,535022,806813176,246357,371506356,205522,309927176,7699,1101,0,0,0,0
9,0,0,0,0,1.36857,4.09176,0.4322,94.1301,41.1161,0,0.631988,4.82374,0,47.5583,0,0,0,0,0,0,0,0,205598,310041784,0,0
10,0,2.24089,0,2.46287,3.79964,19.4074,13.3436,63.4534,0.11904,0,0.72194,2.4e-05,0,62.6124,535031,806826748,64712,97585696,18575,28011100,1228,1090,0,0,0,0
11,0,0,0,0,0.096876,24.2307,0.187192,75.4893,6.61233,0,0.886288,2.73331,0,65.2573,0,0,0,0,0,0,0,0,18580,28018640,0,0
12,0,21.2468,0,20.048,2.6091,5.54985,44.9047,46.9404,0.19986,0,38.8547,0,0,7.88589,535039,806838812,232131,350053548,176117,265584436,6847,1447,0,0,0,0
13,0,0,0,0,2.24777,7.15814,0.396616,90.2015,36.5417,0,37.2832,6.14108,0,10.2356,0,0,0,0,0,0,0,0,176132,265607056,0,0
