Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,32.0723,34.7099,1.5
1,-82,0,10.1.1.2,29.4721,36.2063,1.5
2,-82,0,10.1.2.1,15.9114,25.4878,1.5
3,-82,0,10.1.2.2,18.3697,23.7683,1.5
4,-82,0,10.1.3.1,31.4701,17.519,1.5
5,-82,0,10.1.3.2,29.0777,15.7089,1.5
6,-82,0,10.1.4.1,23.0974,31.5652,1.5
7,-82,0,10.1.4.2,22.0735,34.3851,1.5
8,-82,0,10.1.5.1,30.4526,17.4536,1.5
9,-82,0,10.1.5.2,29.3195,20.2314,1.5
10,-82,0,10.1.6.1,10.5747,32.1939,1.5
11,-82,0,10.1.6.2,11.2236,29.265,1.5
12,-82,0,10.1.7.1,46.1696,38.8523,1.5
13,-82,0,10.1.7.2,43.8562,36.9423,1.5
14,-82,0,10.1.8.1,5.92197,10.8066,1.5
15,-82,0,10.1.8.2,6.75622,13.6882,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,8.41894,11.2047,1.5
1,-82,0,10.1.1.2,9.27715,8.33004,1.5
2,-82,0,10.1.2.1,41.3526,10.7221,1.5
3,-82,0,10.1.2.2,38.8375,9.08676,1.5
4,-82,0,10.1.3.1,34.2729,38.3507,1.5
5,-82,0,10.1.3.2,36.0122,35.9063,1.5
6,-82,0,10.1.4.1,24.6509,34.0317,1.5
7,-82,0,10.1.4.2,26.8282,31.9679,1.5
8,-82,0,10.1.5.1,11.0268,17.5064,1.5
9,-82,0,10.1.5.2,9.50449,20.0915,1.5
10,-82,0,10.1.6.1,31.4303,14.9306,1.5
11,-82,0,10.1.6.2,32.8774,17.5584,1.5
12,-82,0,10.1.7.1,43.6839,10.6919,1.5
13,-82,0,10.1.7.2,46.1444,12.4083,1.5
14,-82,0,10.1.8.1,27.8436,10.5347,1.5
15,-82,0,10.1.8.2,26.8246,7.713,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,35.5279,12.5831,1.5
1,-82,0,10.1.1.2,37.6795,14.6737,1.5
2,-82,0,10.1.2.1,10.0638,27.0392,1.5
3,-82,0,10.1.2.2,9.50327,29.9864,1.5
4,-82,0,10.1.3.1,37.788,11.5193,1.5
5,-82,0,10.1.3.2,39.315,14.1016,1.5
6,-82,0,10.1.4.1,34.3432,25.621,1.5
7,-82,0,10.1.4.2,32.4248,23.3145,1.5
8,-82,0,10.1.5.1,17.206,22.5433,1.5
9,-82,0,10.1.5.2,14.2159,22.3006,1.5
10,-82,0,10.1.6.1,34.1278,34.0927,1.5
11,-82,0,10.1.6.2,31.1389,34.3513,1.5
12,-82,0,10.1.7.1,46.973,5.77492,1.5
13,-82,0,10.1.7.2,45.3559,8.30178,1.5
14,-82,0,10.1.8.1,13.1605,40.0547,1.5
15,-82,0,10.1.8.2,10.1609,40.1018,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,33.0082,29.4116,1.5
1,-82,0,10.1.1.2,31.9012,26.6233,1.5
2,-82,0,10.1.2.1,23.8056,22.0662,1.5
3,-82,0,10.1.2.2,26.7301,21.3976,1.5
4,-82,0,10.1.3.1,40.2383,43.637,1.5
5,-82,0,10.1.3.2,37.427,44.6842,1.5
6,-82,0,10.1.4.1,19.4577,16.0109,1.5
7,-82,0,10.1.4.2,17.7956,18.5084,1.5
8,-82,0,10.1.5.1,18.9039,37.6471,1.5
9,-82,0,10.1.5.2,21.8712,37.2056,1.5
10,-82,0,10.1.6.1,6.91636,20.279,1.5
11,-82,0,10.1.6.2,8.60673,22.7574,1.5
12,-82,0,10.1.7.1,14.2879,24.7174,1.5
13,-82,0,10.1.7.2,14.4885,21.7241,1.5
14,-82,0,10.1.8.1,26.5153,41.3061,1.5
15,-82,0,10.1.8.2,29.4937,41.6647,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,36.3397,10.0758,1.5
