Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,340.387,7.15588,356.796,7.68115,1.0523,29.516,15.8563,53.5952,0.064332,0,0.774404,0.003816,0,52.7527,534988,806761904,81257,122535556,59316,89448528,2117,786,0,0,0,0
1,0,0,0,0,0.0380199,14.2136,0.135312,85.6331,12.9943,0,1.01944,1.56545,0,70.0538,0,0,0,0,0,0,0,0,68124,102730992,0,0
2,0,31.963,0,32.3647,2.13136,17.065,54.5324,26.3365,0.155636,0,0.212528,0.002412,0,25.9659,534996,806773968,283292,427204336,264945,399537060,9482,638,0,0,0,0
3,0,0,0,0,0.0714304,44.2579,0.369148,55.3614,51.5744,0,0.261324,0.117512,0,3.40823,0,0,0,0,0,0,0,0,270566,408013528,0,0
4,0,8.57835,0,8.54674,1.11525,24.155,20.4569,54.2827,0.091596,0,0.654064,0.010284,0,53.5267,535005,806787540,105169,158594852,71107,107229356,2533,1223,0,0,0,0
5,0,0,0,0,0.00773874,27.4268,0.197264,72.3727,17.9786,0,0.826208,0.915728,0,52.6522,0,0,0,0,0,0,0,0,94226,142092808,0,0
6,0,0.0325728,0,0,2.15876,90.7032,0.31726,6.85845,0.000548,0,0.04664,2.4e-05,0,6.81124,5577,8410116,533,803764,270,407160,10,10,0,0,0,0
7,0,0,0,0,0.0579653,90.3415,0.00106,9.53939,0.059116,0,0.262724,0.031944,0,9.1856,0,0,0,0,0,0,0,0,270,407160,0,0
8,0,0.0236454,0,0,3.23457,23.8062,0.273204,72.6905,0.000504,0,19.0164,3.6e-05,0,53.6735,37124,55982992,393,592644,196,295568,6,9,0,0,0,0
9,0,0,0,0,0.00679034,30.6642,0.0009,69.3325,0.04824,0,18.8522,0.02662,0,50.4055,0,0,0,0,0,0,0,0,252,380016,0,0
10,0,20.5797,0,22.4776,1.94325,10.7527,38.4203,48.9718,0.123456,0,0.260092,0.002592,0,48.5857,535031,806826748,199054,300173432,170588,257246704,6096,1014,0,0,0,0
11,0,0,0,0,0.10787,15.4247,0.273248,84.2822,33.6428,0,0.501812,1.83716,0,48.3004,0,0,0,0,0,0,0,0,176632,266361056,0,0
12,0,55.1774,0,58.1509,3.01958,3.896,90.4499,2.6391,0.218136,0,0.033724,0.000204,0,2.38704,535039,806838812,470133,708960564,457372,689716976,16342,450,0,0,0,0
13,0,0,0,0,0.0713569,7.48909,0.5547,91.8841,87.1063,0,0.270592,0.161812,0,4.34538,0,0,0,0,0,0,0,0,457848,690434784,0,0
14,0,54.2355,0,59.7216,2.6352,6.49876,88.3388,2.57589,0.210044,0,0.008472,0,0,2.35737,535048,806852384,459670,693182360,449565,677944020,16064,354,0,0,0,0
15,0,0,0,0,0.112474,10.3592,0.538588,89.0331,85.5366,0,0.237512,0.149072,0,3.10992,0,0,0,0,0,0,0,0,449621,678028468,0,0
16,0,40.0264,0,39.167,2.59392,17.543,78.4062,1.52654,0.271844,0,0.006308,0.027732,0,1.22065,535056,806864448,407342,614271736,331784,500330272,11850,2698,0,0,0,0
17,0,0,0,0,0.0777301,21.7346,0.637076,77.6149,75.5172,0,0.234996,0.132528,0,1.73017,0,0,0,0,0,0,0,0,396576,598036608,0,0
18,0,0.155264,0,0,1.90672,43.2014,0.722064,54.1896,0.002904,0,8.14403,0.00024,0,46.0424,89938,135626504,2604,3926832,1287,1940796,46,47,0,0,0,0
19,0,0,0,0,0.0371279,43.1295,0.005444,56.8477,0.353148,0,14.3135,0.085184,0,42.0959,0,0,0,0,0,0,0,0,1847,2785276,0,0
20,0,4.39974,0,3.7326,0.622531,63.9947,9.98719,25.1701,0.04218,0,0.175872,0.00252,0,24.9495,534852,806556816,50688,76437504,36470,54996760,1315,497,0,0,0,0
21,0,0,0,0,0.00958948,53.5769,0.086268,46.3317,8.13874,0,0.596516,0.337128,0,37.2593,0,0,0,0,0,0,0,0,42040,63396320,0,0
22,0,21.6544,0,20.3152,2.01312,10.8884,40.3623,46.7615,0.129132,0,0.510776,0.007464,0,46.1142,535079,806899132,209193,315463044,179496,270679968,6417,1054,0,0,0,0
23,0,0,0,0,0.0723045,16.3314,0.299128,83.3453,37.5157,0,0.715096,0.165044,0,44.9495,0,0,0,0,0,0,0,0,196856,296858848,0,0
24,0,22.9678,0,21.6754,1.98475,7.16481,41.3586,49.5172,0.125048,0,0.499368,0.001596,0,48.8912,535088,806912704,214410,323330280,190383,287097564,6865,794,0,0,0,0
25,0,0,0,0,0.166494,11.1165,0.284416,88.4527,37.2814,0,0.708276,1.53864,0,48.9244,0,0,0,0,0,0,0,0,194026,292591208,0,0
26,0,22.0238,0,24.4736,1.89845,16.7441,40.2691,41.1083,0.134652,0,1.35435,0.003444,0,39.6158,535096,806924768,208683,314693964,182558,275297464,6637,817,0,0,0,0
27,0,0,0,0,0.0400964,40.2555,0.301024,59.4233,36.9079,0,1.89694,0.74806,0,19.8704,0,0,0,0,0,0,0,0,190353,287052324,0,0
28,0,25.3264,0,29.1285,2.24477,6.66548,45.8139,45.296,0.141468,0,0.466524,0.002232,0,44.6858,535105,806938340,237504,358156032,209934,316580472,7509,975,0,0,0,0
29,0,0,0,0,0.059188,11.3775,0.319,88.2644,41.0067,0,1.0987,1.60405,0,44.5549,0,0,0,0,0,0,0,0,215109,324384372,0,0
30,0,26.0876,0,29.3608,1.98942,25.9812,52.4357,19.5982,0.19098,0,0.390692,0.018312,0,18.9982,535114,806951912,271989,410159412,216243,326094444,7723,1993,0,0,0,0
31,0,0,0,0,0.00901866,29.6865,0.437504,69.8714,49.3325,0,0.631008,0.882836,0,19.0251,0,0,0,0,0,0,0,0,258968,390523744,0,0
