Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,174.236,58.1012,179.452,60.1608,2.96561,0.910101,93.7361,2.41509,0.217436,0,0.576768,0,0,1.62088,534988,806761904,487567,735251036,481608,726264864,17208,206,0,0,0,0
1,0,0,0,0,0.167333,4.03595,0.56622,95.2521,91.6242,0,1.09042,0.101156,0,2.43633,0,0,0,0,0,0,0,0,481664,726349312,0,0
2,0,57.9023,0,60.1101,3.04479,1.03217,93.4796,2.5428,0.217724,0,0.548492,0,0,1.77658,534996,806773968,486281,733311748,479959,723778172,17152,219,0,0,0,0
3,0,0,0,0,0.241734,4.10967,0.565948,95.1767,91.3378,0,0.779572,0.10648,0,2.95286,0,0,0,0,0,0,0,0,480153,724070724,0,0
4,0,56.9428,0,59.1812,2.70175,4.72139,91.57,1.01186,0.210044,0,0.00682,0,0,0.795,535005,806787540,476516,718586128,472006,711785048,16860,161,0,0,0,0
5,0,0,0,0,0.0758132,7.76023,0.550464,91.6132,89.7544,0,0.235516,0,0,1.62327,0,0,0,0,0,0,0,0,472006,711785048,0,0
6,0,1.28988,0,0,0.251389,90.3201,2.46505,5.17316,0.00788,0,0.553868,0,0,4.61141,79381,119706548,12417,18724836,10692,16123536,389,57,0,0,0,0
7,0,0,0,0,0.20833,90.4368,0.017032,7.54748,2.07041,0,0.635648,0.186532,0,4.65489,0,0,0,0,0,0,0,0,10720,16165760,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,185.212,60.712,185.321,60.9039,2.37135,0.848005,96.5919,0.215812,0.215812,0,0,0,0,0,534988,806761904,503277,758941716,503249,758899492,17985,0,0,0,0,0
1,0,0,0,0,2.32941,1.19726,0.575512,95.9196,95.6892,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,503249,758899492,0,0
2,0,60.3258,0,60.4817,2.37657,1.45806,96.0064,0.214672,0.214672,0,0,0,0,0,534996,806773968,500216,754325728,500048,754072384,17870,5,0,0,0,0
3,0,0,0,0,2.20787,1.95905,0.572172,95.3113,95.0808,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,500048,754072384,0,0
4,0,38.8552,0,38.0064,3.14568,2.56114,65.488,28.8746,0.16832,0,13.4797,0,0,15.2266,535005,806787540,339532,512014256,322076,485690608,11539,590,0,0,0,0
5,0,0,0,0,2.23784,3.75925,0.412252,93.6548,61.536,0,13.9837,0.1331,0,18.002,0,0,0,0,0,0,0,0,322580,486450640,0,0
6,0,25.3186,0,25.9286,5.63651,3.45247,47.6312,43.3022,0.146072,0,11.3079,0,0,31.8482,535013,806799604,242289,365371812,209869,316482452,7509,1149,0,0,0,0
7,0,0,0,0,1.71646,5.50679,0.320668,92.4785,40.1595,0,14.73,0.346444,0,37.2425,0,0,0,0,0,0,0,0,210709,317749172,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,174.107,20.7834,178.741,18.6274,1.96948,1.79612,35.3119,60.9416,0.093,0,11.9886,0,0,48.86,534988,806761904,182965,275911220,172276,259792208,6154,383,0,0,0,0
1,0,0,0,0,0.378495,4.57767,0.224264,94.8387,32.7748,0,12.4978,0.820088,0,48.7461,0,0,0,0,0,0,0,0,172276,259792208,0,0
2,0,57.9586,0,59.2149,3.2686,1.86636,94.279,0.65254,0.223172,0,0.003448,0,0,0.42592,534996,806773968,489976,738883808,480426,724482408,17166,341,0,0,0,0
3,0,0,0,0,0.690267,4.60015,0.573652,94.1971,91.3625,0,0.229296,0,0,2.60537,0,0,0,0,0,0,0,0,480426,724482408,0,0
4,0,38.1103,0,41.0417,2.31526,1.30779,65.5301,30.8713,0.177876,0,28.0677,0,0,2.62574,535005,806787540,340576,513588608,315901,476378708,11283,881,0,0,0,0
5,0,0,0,0,0.37707,7.31806,0.421848,91.9021,60.0996,0,27.8107,0.6231,0,3.36872,0,0,0,0,0,0,0,0,315901,476378708,0,0
6,0,57.2544,0,59.8567,3.49524,0.985183,94.5579,0.984144,0.234396,0,0.004388,0,0,0.74536,535013,806799604,491208,740741664,474589,715680212,16973,577,0,0,0,0
7,0,0,0,0,0.969441,3.98834,0.586788,94.4726,90.3613,0,0.229936,0.000192,0,3.88112,0,0,0,0,0,0,0,0,474645,715764660,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,174.215,58.2345,180.128,60.095,3.25768,0.982457,94.8274,1.02826,0.22712,0,0.012544,0,0,0.7886,534988,806761904,493012,743462096,482713,727931204,17271,339,0,0,0,0
1,0,0,0,0,0.199016,4.59291,0.581016,94.7175,91.9692,0,0.242284,0.015972,0,2.49006,0,0,0,0,0,0,0,0,482791,728048828,0,0
2,0,25.7264,0,31.9002,2.31243,1.95709,44.2664,51.5151,0.120888,0,0.910348,0,0,50.4838,534996,806773968,229378,345902024,213249,321579492,7634,562,0,0,0,0
3,0,0,0,0,0.194366,6.27861,0.2858,93.2922,40.6549,0,1.11377,0.33028,0,51.1932,0,0,0,0,0,0,0,0,213277,321621716,0,0
4,0,56.4108,0,60.2452,4.69462,1.29708,93.0024,1.02778,0.224032,0,0.005912,0,0,0.79784,535005,806787540,481347,725871276,467596,705134768,16702,492,0,0,0,0
5,0,0,0,0,0.407051,4.80973,0.567944,94.2318,88.9278,0,0.228516,0,0,5.07552,0,0,0,0,0,0,0,0,467596,705134768,0,0
6,0,33.8435,0,27.8871,2.59459,1.57053,56.9523,38.9389,0.146312,0,1.89037,0,0,36.9022,535013,806799604,295724,445951792,280533,423043764,10025,537,0,0,0,0
7,0,0,0,0,0.208119,6.11954,0.357748,93.3656,53.401,0,2.29318,0.276848,0,37.3946,0,0,0,0,0,0,0,0,280617,423170436,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,230.461,53.5172,238.447,59.198,4.65887,2.00058,90.7013,2.66127,0.23432,0,0.009472,0,0,2.41748,534988,806761904,469365,707802420,443611,668965388,15847,920,0,0,0,0
1,0,0,0,0,1.39056,4.98012,0.569724,93.0763,84.3932,0,0.228376,0,0,8.45468,0,0,0,0,0,0,0,0,443667,669049836,0,0
2,0,55.4202,0,57.7624,3.60543,2.0616,91.5044,2.91813,0.224096,0,0.012824,0,0,2.68121,534996,806773968,475009,716313572,459385,692752580,16411,557,0,0,0,0
3,0,0,0,0,1.38394,4.39325,0.563668,93.7433,87.3745,0,0.240328,0,0,6.12853,0,0,0,0,0,0,0,0,459413,692794804,0,0
4,0,61.0355,0,61.039,2.4363,0.28928,97.1053,0.216956,0.216956,0,0,0,0,0,535005,806787540,505959,762986172,505931,762943948,18080,0,0,0,0,0
