Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,65.752,71.6267,1.5
1,-82,0,10.1.1.2,64.8852,72.1255,1.5
2,-82,0,10.1.2.1,29.7572,51.0865,1.5
3,-82,0,10.1.2.2,30.5766,50.5133,1.5
4,-82,0,10.1.3.1,64.4107,33.3379,1.5
5,-82,0,10.1.3.2,63.6132,32.7345,1.5
6,-82,0,10.1.4.1,45.7625,64.6226,1.5
7,-82,0,10.1.4.2,45.4212,65.5625,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,13.0695,19.274,1.5
1,-82,0,10.1.1.2,13.3555,18.3158,1.5
2,-82,0,10.1.2.1,86.4216,18.1992,1.5
3,-82,0,10.1.2.2,85.5833,17.6541,1.5
4,-82,0,10.1.3.1,70.6534,79.7357,1.5
5,-82,0,10.1.3.2,71.2331,78.9209,1.5
6,-82,0,10.1.4.1,49.2225,70.1161,1.5
7,-82,0,10.1.4.2,49.9482,69.4282,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,73.4484,22.3442,1.5
1,-82,0,10.1.1.2,74.1657,23.041,1.5
2,-82,0,10.1.2.1,16.733,54.5419,1.5
3,-82,0,10.1.2.2,16.5461,55.5243,1.5
4,-82,0,10.1.3.1,78.4823,19.9749,1.5
5,-82,0,10.1.3.2,78.9913,20.8356,1.5
6,-82,0,10.1.4.1,70.8098,51.3831,1.5
7,-82,0,10.1.4.2,70.1704,50.6143,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,67.8364,59.8258,1.5
1,-82,0,10.1.1.2,67.4674,58.8963,1.5
2,-82,0,10.1.2.1,47.3397,43.4656,1.5
3,-82,0,10.1.2.2,48.3145,43.2427,1.5
4,-82,0,10.1.3.1,83.9398,91.5097,1.5
5,-82,0,10.1.3.2,83.0027,91.8587,1.5
6,-82,0,10.1.4.1,37.6557,29.9788,1.5
7,-82,0,10.1.4.2,37.1017,30.8113,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,75.2567,16.7598,1.5
1,-82,0,10.1.1.2,74.7117,15.9214,1.5
2,-82,0,10.1.2.1,45.5749,5.44495,1.5
3,-82,0,10.1.2.2,46.3261,4.78493,1.5
4,-82,0,10.1.3.1,4.91454,81.302,1.5
5,-82,0,10.1.3.2,4.33336,80.4883,1.5
