Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,241.282,60.2979,242.248,60.6506,2.77661,0.287856,96.7421,0.220784,0.220784,0,0,0,0,0,534988,806761904,503619,759457452,499817,753724036,17855,135,0,0,0,0
1,0,0,0,0,0.0244689,3.36047,0.580604,96.0565,95.0493,0,0.228048,0.074536,0,0.704576,0,0,0,0,0,0,0,0,499817,753724036,0,0
2,0,59.4898,0,59.9243,3.54461,0.285424,96.0489,0.222128,0.222128,0,0,0,0,0,534996,806773968,499384,753071072,493118,743621944,17615,224,0,0,0,0
3,0,0,0,0,0.0984172,3.6638,0.578908,95.7546,93.7732,0,0.226868,0.086704,0,1.66786,0,0,0,0,0,0,0,0,493118,743621944,0,0
4,0,60.6714,0,60.7187,2.45819,0.29448,97.021,0.236084,0.236084,0,0,0,0,0,535005,806787540,505395,762135660,502913,758392804,17982,75,0,0,0,0
5,0,0,0,0,0.00528225,3.45229,0.604184,95.9426,95.7128,0,0.229628,0,0,0.000192,0,0,0,0,0,0,0,0,502913,758392804,0,0
6,0,60.8233,0,60.9546,2.46303,0.28912,97.0915,0.219028,0.219028,0,0,0,0,0,535013,806799604,505869,762850452,504172,760291376,18009,61,0,0,0,0
7,0,0,0,0,0.0614194,3.22972,0.580428,96.1858,95.8669,0,0.2301,0.077008,0,0.011792,0,0,0,0,0,0,0,0,504172,760291376,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,242.689,61.043,242.298,61.0559,2.40484,0.289328,97.1172,0.216988,0.216988,0,0,0,0,0,534988,806761904,506021,763079668,505993,763037444,18083,0,0,0,0,0
1,0,0,0,0,1.31376,1.68929,0.578648,96.4413,96.211,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505993,763037444,0,0
2,0,61.0243,0,61.039,2.44079,0.289296,97.1094,0.217108,0.217108,0,0,0,0,0,534996,806773968,505978,763014824,505838,762803704,18077,4,0,0,0,0
3,0,0,0,0,0.193843,2.86649,0.578728,96.4122,96.1817,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,505838,762803704,0,0
4,0,60.4627,0,60.2959,2.84459,0.288,96.716,0.218948,0.218948,0,0,0,0,0,535005,806787540,503639,759487612,501183,755783964,17918,77,0,0,0,0
5,0,0,0,0,0.111428,3.15522,0.578948,96.222,95.3598,0,0.358396,0.012552,0,0.49122,0,0,0,0,0,0,0,0,501183,755783964,0,0
6,0,60.1589,0,59.9074,2.90376,0.287376,96.6173,0.220892,0.220892,0,0,0,0,0,535013,806799604,502839,758281212,498665,751986820,17812,149,0,0,0,0
7,0,0,0,0,0.0557523,3.39891,0.580112,95.9892,94.8281,0,0.306744,0.064464,0,0.789912,0,0,0,0,0,0,0,0,498665,751986820,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,174.581,25.1497,175.027,27.6923,2.83231,1.56111,47.4815,48.1463,0.156768,0,47.4728,0,0,0.516764,534988,806761904,245964,370913712,208469,314371252,7460,1328,0,0,0,0
1,0,0,0,0,0.54412,5.16053,0.338472,93.9728,39.7643,0,47.0251,4.88863,0,2.29478,0,0,0,0,0,0,0,0,208476,314381808,0,0
2,0,60.9129,0,60.8194,2.48538,0.289072,97.0756,0.217916,0.217916,0,0,0,0,0,534996,806773968,505766,762695128,504915,761411820,18036,31,0,0,0,0
3,0,0,0,0,0.589809,2.59062,0.579256,96.303,96.0071,0,0.230644,0,0,0.06526,0,0,0,0,0,0,0,0,504915,761411820,0,0
4,0,30.2726,0,28.1164,2.67803,1.25033,55.6851,40.4025,0.175176,0,39.4343,0.000624,0,0.79242,535005,806787540,288768,435462144,250933,378406964,8970,1345,0,0,0,0
5,0,0,0,0,0.54299,5.1554,0.390036,93.9275,48.1452,0,39.0363,4.42987,0,2.31621,0,0,0,0,0,0,0,0,251876,379829008,0,0
6,0,58.246,0,58.3988,3.80832,0.289312,95.6825,0.242824,0.242824,0,0,0,0,0,535013,806799604,496685,749000980,482808,728074464,17364,386,0,0,0,0
7,0,0,0,0,0.133013,4.03063,0.604464,95.2496,92.4066,0,0.229128,0,0,2.61385,0,0,0,0,0,0,0,0,482808,728074464,0,0
