Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,179.56,59.8594,182.256,60.8026,2.53626,0.704806,96.1388,0.64536,0.220664,0,0.093476,0.000276,0,0.330944,534988,806761904,500792,755194336,496182,748242456,17725,161,0,0,0,0
1,0,0,0,0,0.0486737,3.78277,0.57922,95.6093,94.488,0,0.3343,0.255552,0,0.531448,0,0,0,0,0,0,0,0,496826,749213608,0,0
2,0,59.6514,0,60.7688,2.64698,0.714799,95.9999,0.699036,0.221588,0,0.098596,0.00054,0,0.378312,534996,806773968,499989,753983412,494458,745642664,17662,198,0,0,0,0
3,0,0,0,0,0.0887883,3.90358,0.580356,95.488,94.2676,0,0.321572,0.196988,0,0.701888,0,0,0,0,0,0,0,0,495718,747542744,0,0
4,0,59.8209,0,60.6843,2.56581,0.92945,96.0791,0.430524,0.220332,0,0.00154,0,0,0.208652,535005,806787540,500418,754630344,495863,747761404,17713,159,0,0,0,0
5,0,0,0,0,0.0434629,4.10754,0.577832,95.2707,94.3098,0,0.231672,0.223992,0,0.505208,0,0,0,0,0,0,0,0,495863,747761404,0,0
6,0,0.228251,0,0,0.19242,85.2288,0.857928,3.66865,0.004896,0,0.173284,7.2e-05,0,3.4904,45421,68494868,4122,6215976,1892,2853136,72,77,0,0,0,0
7,0,0,0,0,0.0879451,85.4512,0.008208,4.4005,0.413924,0,0.223916,0.314308,0,3.44835,0,0,0,0,0,0,0,0,2024,3052192,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,210.636,59.3321,216.59,59.9358,2.6512,1.853,95.1982,0.32686,0.32686,0,0,0,0,0,534988,806761904,495297,746907876,491811,741650988,17683,17,0,0,0,0
1,0,0,0,0,0.734365,4.15832,0.7284,94.4028,94.1727,0,0.2301,0,0,0,0,0,0,0,0,0,0,0,491839,741693212,0,0
2,0,59.2687,0,60.3839,2.48367,1.55225,95.7812,0.238888,0.238888,0,0,0,0,0,534996,806773968,498880,752311040,491286,740859288,17712,110,0,0,0,0
3,0,0,0,0,0.353472,4.56577,0.604172,94.5273,94.2979,0,0.229392,0,0,0,0,0,0,0,0,0,0,0,491342,740943736,0,0
4,0,47.0786,0,48.642,5.61906,0.953821,92.4484,1.04928,0.316812,0,0.094116,0.026088,0,0.61226,535005,806787540,477208,719629664,390240,588481920,13945,3100,0,0,0,0
5,0,0,0,0,0.347403,6.26,0.72756,92.7303,85.9295,0,0.46494,0.7138,0,5.62207,0,0,0,0,0,0,0,0,450830,679851640,0,0
6,0,44.9561,0,47.6287,6.6894,0.747861,91.5708,1.02162,0.329672,0,0.071732,0.029256,0,0.590964,535013,806799604,471140,710479120,372647,561951676,13325,3509,0,0,0,0
