Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,349.89,60.2369,360.2,60.8532,2.76241,0.287904,96.752,0.221504,0.221504,0,0,0,0,0,534988,806761904,503641,759490628,499311,752960988,17839,155,0,0,0,0
1,0,0,0,0,0.0248071,3.47302,0.581384,95.9446,94.9515,0,0.227848,0.082712,0,0.682524,0,0,0,0,0,0,0,0,499311,752960988,0,0
2,0,0.00687648,0,0,34.8011,52.3068,0.159176,12.4325,0.000128,0,0.027,0,0,12.4054,10059,15168972,87,131196,57,85956,3,2,0,0,0,0
3,0,0,0,0,0.0894654,81.1109,0.000228,18.499,0.010912,0,0.15776,0.005324,0,18.325,0,0,0,0,0,0,0,0,57,85956,0,0
4,0,27.7816,0,27.1241,2.11035,0.982757,50.4544,46.4624,0.153564,0,35.3547,0,0,10.9541,535005,806787540,261892,394933136,230285,347269780,8225,1129,0,0,0,0
5,0,0,0,0,0.00543339,8.2535,0.340924,91.4047,43.831,0,38.8048,0.31944,0,8.44938,0,0,0,0,0,0,0,0,230285,347269780,0,0
6,0,60.5925,0,60.7519,2.50305,0.289056,97.0508,0.221256,0.221256,0,0,0,0,0,535013,806799604,505623,762479484,502259,757406572,17942,118,0,0,0,0
7,0,0,0,0,0.061371,3.53341,0.582576,95.8814,95.5241,0,0.229936,0.066744,0,0.060708,0,0,0,0,0,0,0,0,502259,757406572,0,0
8,0,30.1092,0,30.5436,2.10894,0.82771,52.4628,44.6051,0.16532,0,25.8537,0,0,18.5861,535022,806813176,272388,410761104,249579,376365132,8961,770,0,0,0,0
9,0,0,0,0,0.00518253,4.50795,0.36964,95.1218,47.742,0,25.9028,2.96014,0,18.5169,0,0,0,0,0,0,0,0,249579,376365132,0,0
10,0,50.7721,0,59.8127,2.49672,3.04643,82.0286,12.5213,0.207156,0,0.037004,0,0,12.2771,535031,806826748,426633,643362564,420856,634650848,15079,160,0,0,0,0
11,0,0,0,0,0.0909599,5.97975,0.519688,93.4973,80.2942,0,0.258352,0.000192,0,12.9446,0,0,0,0,0,0,0,0,420856,634650848,0,0
12,0,59.696,0,60.3122,3.28437,0.28632,96.2114,0.222332,0.222332,0,0,0,0,0,535039,806838812,500548,754826384,494828,746200624,17684,203,0,0,0,0
13,0,0,0,0,0.0014137,3.74438,0.580232,95.6731,94.0972,0,0.225936,0,0,1.35002,0,0,0,0,0,0,0,0,494828,746200624,0,0
14,0,60.6952,0,60.8026,2.44766,0.2892,97.0911,0.220424,0.220424,0,0,0,0,0,535048,806852384,505856,762830848,503110,758689880,17977,98,0,0,0,0
15,0,0,0,0,0.0617411,3.50385,0.581924,95.8955,95.6663,0,0.229192,0,0,0,0,0,0,0,0,0,0,0,503110,758689880,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,334.325,50.7992,350.624,56.7322,3.12209,2.46709,83.5556,10.8825,0.202384,0,0.057392,0,0,10.6227,534988,806761904,433762,654113096,421081,634990148,15046,448,0,0,0,0
1,0,0,0,0,0.0692045,6.15514,0.512504,93.2851,80.1128,0,0.270664,0.463188,0,12.4385,0,0,0,0,0,0,0,0,421081,634990148,0,0
2,0,29.3117,0,28.9922,2.86781,0.992938,52.7426,43.454,0.160596,0,26.8287,1.2e-05,0,16.4647,534996,806773968,273567,412539036,242968,366395744,8711,1060,0,0,0,0
3,0,0,0,0,0.0576363,7.39075,0.360484,92.2432,46.4271,0,17.4647,2.71524,0,25.6362,0,0,0,0,0,0,0,0,243022,366477176,0,0
4,0,60.0537,0,59.823,3.00703,0.287296,96.5558,0.221444,0.221444,0,0,0,0,0,535005,806787540,502561,757861988,497793,750671844,17790,165,0,0,0,0
5,0,0,0,0,0.0730041,3.5984,0.580564,95.8143,94.6846,0,0.233168,0.054572,0,0.841988,0,0,0,0,0,0,0,0,497793,750671844,0,0
6,0,60.0647,0,60.1608,2.84069,0.287712,96.6779,0.222764,0.222764,0,0,0,0,0,535013,806799604,503374,759087992,497884,750809072,17788,194,0,0,0,0
7,0,0,0,0,0.0281251,3.8471,0.582404,95.5661,94.6867,0,0.228352,0.064272,0,0.586728,0,0,0,0,0,0,0,0,497884,750809072,0,0
8,0,48.173,0,58.0158,3.34276,4.56687,79.3587,12.7587,0.192272,0,0.038508,0,0,12.5279,535022,806813176,411410,620406280,399312,602162496,14271,424,0,0,0,0
9,0,0,0,0,0.031408,8.2177,0.486452,91.2861,75.9881,0,0.261944,0.14432,0,14.8917,0,0,0,0,0,0,0,0,399312,602162496,0,0
10,0,32.2309,0,29.3372,2.08976,3.13767,54.2302,40.5486,0.140636,0,0.231164,0,0,40.1768,535031,806826748,281744,424869952,267166,402886328,9564,502,0,0,0,0
11,0,0,0,0,0.00840916,7.88085,0.342728,91.7743,50.9237,0,0.457756,0.244904,0,40.148,0,0,0,0,0,0,0,0,267194,402928552,0,0
12,0,26.7845,0,27.7695,2.84814,1.24195,49.4156,46.5464,0.16382,0,45.194,2.4e-05,0,1.1886,535039,806838812,256124,386234992,222020,334806160,7948,1203,0,0,0,0
13,0,0,0,0,0.0614256,7.5797,0.355948,92.055,42.3788,0,44.5396,2.83769,0,2.299,0,0,0,0,0,0,0,0,222155,335009740,0,0
14,0,26.9068,0,29.7933,1.80273,3.68988,45.6488,48.8702,0.120312,0,0.29696,0,0,48.4529,535048,806852384,236994,357386952,223034,336335272,7970,494,0,0,0,0
15,0,0,0,0,0.0127122,8.00957,0.290124,91.6939,42.4565,0,0.485476,0.553696,0,48.1982,0,0,0,0,0,0,0,0,223062,336377496,0,0
