Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,292.336,36.6817,297.559,37.0956,2.46701,5.82714,62.4743,29.2531,0.168056,0,0.117264,0,0,28.9678,534988,806761904,324521,489377668,304059,458520972,10897,694,0,0,0,0
1,0,0,0,0,0.092349,10.4525,0.401636,89.0752,58.0438,0,0.347392,0.590964,0,30.093,0,0,0,0,0,0,0,0,304087,458563196,0,0
2,0,22.4686,0,22.9536,1.51186,34.2479,38.1509,26.1737,0.10058,0,0.153836,0,0,25.9193,534996,806773968,197793,298271844,186245,280857460,6666,399,0,0,0,0
3,0,0,0,0,0.12531,37.3475,0.24248,62.3691,35.5001,0,0.372952,0.87846,0,25.6176,0,0,0,0,0,0,0,0,186245,280857460,0,0
4,0,27.6582,0,27.293,2.16035,1.34636,50.0768,46.4173,0.151548,0,28.0882,0,0,18.1776,535005,806787540,259838,391835704,229262,345727096,8189,1094,0,0,0,0
5,0,0,0,0,0.0323751,8.17377,0.33756,91.4571,43.6359,0,45.9429,0.830544,0,1.0477,0,0,0,0,0,0,0,0,229262,345727096,0,0
6,0,22.4311,0,23.2739,1.45445,51.6862,38.2668,8.65638,0.102072,0,0.034208,0,0,8.5201,535013,806799604,198316,299060528,185934,280388472,6662,422,0,0,0,0
7,0,0,0,0,0.115905,56.8443,0.244632,42.8537,35.4904,0,0.239676,0.724256,0,6.39933,0,0,0,0,0,0,0,0,185962,280430696,0,0
8,0,29.3495,0,29.9537,2.19856,1.21433,52.018,44.5752,0.15852,0,32.1766,0,0,12.2401,535022,806813176,269952,407087616,243282,366869256,8710,932,0,0,0,0
9,0,0,0,0,0.0180081,5.95901,0.35658,93.6672,46.4133,0,32.0221,2.5078,0,12.7241,0,0,0,0,0,0,0,0,243282,366869256,0,0
