Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,301.896,38.4035,301.429,38.3394,2.12637,34.3392,63.3786,0.181496,0.181496,0,0,0,0,0,534988,806761904,329531,496932748,318331,480043148,11773,0,0,0,0,0
1,0,0,0,0,2.13033,0.935286,0.433716,96.5211,62.6828,0,0.523752,0,0,33.3145,0,0,0,0,0,0,0,0,318331,480043148,0,0
2,0,14.6965,0,15.4419,1.4283,39.2381,23.6247,35.7692,0.060956,0,0.189288,0,0,35.519,534996,806773968,122053,184055924,121821,183706068,4360,0,0,0,0,0
3,0,0,0,0,1.48241,74.32,0.151824,24.106,23.214,0,0.253564,0,0,0.638412,0,0,0,0,0,0,0,0,121821,183706068,0,0
4,0,28.2593,0,27.1585,2.12376,0.849947,51.1798,45.8564,0.15426,0,45.7021,0,0,0,535005,806787540,265690,400660520,234245,353241460,8367,1123,0,0,0,0
5,0,0,0,0,2.1326,1.09539,0.34404,96.4325,44.5804,0,46.1765,0,0,5.67558,0,0,0,0,0,0,0,0,234245,353241460,0,0
6,0,23.5538,0,23.4355,1.60436,59.5058,38.4425,0.49892,0.126276,0,0.001884,0,0,0.37076,535013,806799604,199263,300488604,195240,294421920,7119,1,0,0,0,0
7,0,0,0,0,1.64557,59.964,0.285676,38.1564,37.9189,0,0.2323,0.000192,0,0.005052,0,0,0,0,0,0,0,0,195240,294421920,0,0
8,0,28.7267,0,29.4555,2.12324,0.904061,51.8571,45.1202,0.1554,0,44.9648,0,0,0,535022,806813176,269228,405995824,238119,359083452,8506,1112,0,0,0,0
9,0,0,0,0,2.13209,7.01319,0.34774,90.5115,45.3166,0,45.1949,0,0,0,0,0,0,0,0,0,0,0,238119,359083452,0,0
10,0,46.1738,0,45.4523,2.43472,0.825925,76.7201,20.1129,0.194808,0,0.224456,0,0,19.6937,535031,806826748,399282,602117256,382740,577171920,13678,586,0,0,0,0
11,0,0,0,0,2.37638,1.08337,0.481216,96.1474,72.8185,0,0.4632,3.11454,0,19.7512,0,0,0,0,0,0,0,0,382740,577171920,0,0
12,0,61.0414,0,61.0728,2.3831,0.289312,97.1147,0.21698,0.21698,0,0,0,0,0,535039,806838812,506008,763060064,505980,763017840,18082,0,0,0,0,0
13,0,0,0,0,2.387,0.594272,0.57862,96.4388,96.2085,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505980,763017840,0,0
14,0,61.0408,0,61.0728,2.42774,0.289328,97.1138,0.216992,0.216992,0,0,0,0,0,535048,806852384,506003,763052524,505975,763010300,18083,0,0,0,0,0
15,0,0,0,0,2.43165,0.594304,0.578652,96.4379,96.2076,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505975,763010300,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,294.533,34.6862,294.849,33.8082,2.35906,0.770269,60.0981,36.792,0.179904,0,0.30982,0,0,36.3023,534988,806761904,312348,471020784,287518,433577144,11004,154,0,0,0,0
1,0,0,0,0,2.36369,0.966764,0.419924,96.2691,58.6119,0,0.520548,0.814764,0,36.3219,0,0,0,0,0,0,0,0,287518,433577144,0,0
2,0,28.2119,0,27.8196,2.15908,0.948895,50.9722,45.9698,0.162108,0,36.1287,0,0,9.67903,534996,806773968,264588,398998704,233852,352648816,8361,1091,0,0,0,0
3,0,0,0,0,2.07219,1.37283,0.355068,96.2499,44.5525,0,0.791032,5.67558,0,45.2308,0,0,0,0,0,0,0,0,233852,352648816,0,0
4,0,61.0382,0,61.0728,2.45478,0.289296,97.1098,0.216968,0.216968,0,0,0,0,0,535005,806787540,505981,763019348,505953,762977124,18081,0,0,0,0,0
5,0,0,0,0,2.45869,0.594256,0.578588,96.4339,96.2034,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,505953,762977124,0,0
6,0,61.0282,0,61.0004,2.41025,0.290048,97.1066,0.219224,0.219224,0,0,0,0,0,535013,806799604,505952,762975616,505870,762851960,18081,0,0,0,0,0
7,0,0,0,0,2.33439,0.67476,0.581784,96.4299,96.1996,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505870,762851960,0,0
