Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,65.752,71.6267,1.5
1,-82,0,10.1.1.2,64.8852,72.1255,1.5
2,-82,0,10.1.2.1,29.7572,51.0865,1.5
3,-82,0,10.1.2.2,30.5766,50.5133,1.5
4,-82,0,10.1.3.1,64.4107,33.3379,1.5
5,-82,0,10.1.3.2,63.6132,32.7345,1.5
6,-82,0,10.1.4.1,45.7625,64.6226,1.5
7,-82,0,10.1.4.2,45.4212,65.5625,1.5
8,-82,0,10.1.5.1,62.1445,33.1922,1.5
9,-82,0,10.1.5.2,61.7668,34.1181,1.5
10,-82,0,10.1.6.1,17.8708,66.0229,1.5
11,-82,0,10.1.6.2,18.0872,65.0466,1.5
12,-82,0,10.1.7.1,97.1505,80.8529,1.5
13,-82,0,10.1.7.2,96.3794,80.2162,1.5
14,-82,0,10.1.8.1,7.50803,18.3874,1.5
15,-82,0,10.1.8.2,7.78611,19.3479,1.5
16,-82,0,10.1.9.1,39.4822,18.5377,1.5
17,-82,0,10.1.9.2,39.2149,17.5741,1.5
18,-82,0,10.1.10.1,68.5064,66.1466,1.5
19,-82,0,10.1.10.2,68.0124,67.016,1.5
20,-82,0,10.1.11.1,77.5506,24.3331,1.5
21,-82,0,10.1.11.2,76.5653,24.1624,1.5
22,-82,0,10.1.12.1,52.2467,85.8647,1.5
23,-82,0,10.1.12.2,51.2501,85.9464,1.5
24,-82,0,10.1.13.1,87.0372,5.94741,1.5
25,-82,0,10.1.13.2,87.3636,5.00217,1.5
26,-82,0,10.1.14.1,69.6125,79.7652,1.5
27,-82,0,10.1.14.2,70.0541,78.868,1.5
28,-82,0,10.1.15.1,70.8627,5.30202,1.5
29,-82,0,10.1.15.2,71.8608,5.36289,1.5
30,-82,0,10.1.16.1,64.5065,45.258,1.5
31,-82,0,10.1.16.2,65.502,45.3529,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,13.0695,19.274,1.5
1,-82,0,10.1.1.2,13.3555,18.3158,1.5
2,-82,0,10.1.2.1,86.4216,18.1992,1.5
3,-82,0,10.1.2.2,85.5833,17.6541,1.5
4,-82,0,10.1.3.1,70.6534,79.7357,1.5
5,-82,0,10.1.3.2,71.2331,78.9209,1.5
6,-82,0,10.1.4.1,49.2225,70.1161,1.5
7,-82,0,10.1.4.2,49.9482,69.4282,1.5
8,-82,0,10.1.5.1,18.8779,33.3098,1.5
9,-82,0,10.1.5.2,18.3705,34.1715,1.5
10,-82,0,10.1.6.1,64.3219,27.5727,1.5
11,-82,0,10.1.6.2,64.8043,28.4486,1.5
12,-82,0,10.1.7.1,91.6142,18.1319,1.5
13,-82,0,10.1.7.2,92.4344,18.7041,1.5
14,-82,0,10.1.8.1,56.3334,17.7817,1.5
15,-82,0,10.1.8.2,55.9938,16.8412,1.5
16,-82,0,10.1.9.1,71.1558,76.135,1.5
17,-82,0,10.1.9.2,71.4893,77.0778,1.5
18,-82,0,10.1.10.1,59.1375,54.3141,1.5
19,-82,0,10.1.10.2,60.1123,54.5369,1.5
20,-82,0,10.1.11.1,29.1063,16.7272,1.5
21,-82,0,10.1.11.2,28.1203,16.5608,1.5
22,-82,0,10.1.12.1,8.68238,8.3926,1.5
23,-82,0,10.1.12.2,9.48513,8.98892,1.5
24,-82,0,10.1.13.1,31.0597,83.2409,1.5
25,-82,0,10.1.13.2,31.989,82.8714,1.5
26,-82,0,10.1.14.1,33.489,45.7518,1.5
27,-82,0,10.1.14.2,34.0318,44.9119,1.5
28,-82,0,10.1.15.1,91.8627,97.9806,1.5
29,-82,0,10.1.15.2,90.9006,97.708,1.5
30,-82,0,10.1.16.1,24.5269,65.0323,1.5
31,-82,0,10.1.16.2,23.9154,65.8236,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,73.4484,22.3442,1.5
1,-82,0,10.1.1.2,74.1657,23.041,1.5
2,-82,0,10.1.2.1,16.733,54.5419,1.5
3,-82,0,10.1.2.2,16.5461,55.5243,1.5
4,-82,0,10.1.3.1,78.4823,19.9749,1.5
5,-82,0,10.1.3.2,78.9913,20.8356,1.5
6,-82,0,10.1.4.1,70.8098,51.3831,1.5
7,-82,0,10.1.4.2,70.1704,50.6143,1.5
8,-82,0,10.1.5.1,32.6407,44.5283,1.5
9,-82,0,10.1.5.2,31.644,44.4474,1.5
10,-82,0,10.1.6.1,70.33,70.2519,1.5
11,-82,0,10.1.6.2,69.3337,70.3381,1.5
12,-82,0,10.1.7.1,98.9398,7.1805,1.5
13,-82,0,10.1.7.2,98.4008,8.02278,1.5
14,-82,0,10.1.8.1,23.6302,83.531,1.5
15,-82,0,10.1.8.2,22.6303,83.5467,1.5
16,-82,0,10.1.9.1,60.1753,8.72095,1.5
17,-82,0,10.1.9.2,59.6126,9.5476,1.5
18,-82,0,10.1.10.1,53.3643,11.243,1.5
19,-82,0,10.1.10.2,54.2408,10.7617,1.5
20,-82,0,10.1.11.1,91.1736,48.0743,1.5
21,-82,0,10.1.11.2,92.0774,48.5022,1.5
22,-82,0,10.1.12.1,45.6086,36.8619,1.5
23,-82,0,10.1.12.2,44.6897,37.2563,1.5
24,-82,0,10.1.13.1,70.2938,1.57292,1.5
25,-82,0,10.1.13.2,69.4784,2.15179,1.5
26,-82,0,10.1.14.1,40.3701,94.1888,1.5
27,-82,0,10.1.14.2,41.3701,94.196,1.5
28,-82,0,10.1.15.1,43.747,75.422,1.5
29,-82,0,10.1.15.2,44.6805,75.0633,1.5
30,-82,0,10.1.16.1,84.7517,71.002,1.5
31,-82,0,10.1.16.2,83.7595,71.1261,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,67.8364,59.8258,1.5
1,-82,0,10.1.1.2,67.4674,58.8963,1.5
2,-82,0,10.1.2.1,47.3397,43.4656,1.5
3,-82,0,10.1.2.2,48.3145,43.2427,1.5
4,-82,0,10.1.3.1,83.9398,91.5097,1.5
5,-82,0,10.1.3.2,83.0027,91.8587,1.5
