Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,241.392,60.0042,243.48,60.7857,2.42667,1.18868,96.1889,0.21962,0.21962,0,0,0,0,0,534988,806761904,501134,755710072,497382,750052056,17770,133,0,0,0,0
1,0,0,0,0,0.245503,4.38824,0.577712,94.8124,94.5838,0,0.228684,0,0,0,0,0,0,0,0,0,0,0,497410,750094280,0,0
2,0,60.137,0,60.8194,2.50823,1.01763,96.3519,0.220112,0.220112,0,0,0,0,0,534996,806773968,501983,756990364,498483,751712364,17811,124,0,0,0,0
3,0,0,0,0,0.322371,4.17421,0.578992,95.0169,94.7878,0,0.229156,0,0,0,0,0,0,0,0,0,0,0,498483,751712364,0,0
4,0,61.0333,0,61.039,2.39995,0.289264,97.1018,0.216944,0.216944,0,0,0,0,0,535005,806787540,505941,762959028,505913,762916804,18079,0,0,0,0,0
5,0,0,0,0,2.40386,0.594176,0.578524,96.4261,96.1958,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505913,762916804,0,0
6,0,60.2179,0,60.8363,2.43487,1.52689,95.8894,0.214744,0.214744,0,0,0,0,0,535013,806799604,499602,753399816,499154,752724232,17836,15,0,0,0,0
7,0,0,0,0,0.450608,3.88115,0.57186,95.157,94.9271,0,0.229864,0,0,0,0,0,0,0,0,0,0,0,499238,752850904,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,244.164,61.043,244.207,61.0559,2.40484,0.289328,97.1172,0.216988,0.216988,0,0,0,0,0,534988,806761904,506021,763079668,505993,763037444,18083,0,0,0,0,0
1,0,0,0,0,2.40875,0.594304,0.578648,96.4413,96.211,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505993,763037444,0,0
2,0,61.0378,0,61.039,2.44012,0.289296,97.1092,0.216964,0.216964,0,0,0,0,0,534996,806773968,505978,763014824,505950,762972600,18081,0,0,0,0,0
3,0,0,0,0,2.44403,0.594256,0.578584,96.4334,96.2028,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,505950,762972600,0,0
4,0,61.0382,0,61.039,2.45461,0.289296,97.1098,0.216968,0.216968,0,0,0,0,0,535005,806787540,505981,763019348,505953,762977124,18081,0,0,0,0,0
5,0,0,0,0,2.45852,0.594256,0.578588,96.4339,96.2034,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,505953,762977124,0,0
6,0,61.0448,0,61.0728,2.40412,0.289344,97.1201,0.217004,0.217004,0,0,0,0,0,535013,806799604,506036,763102288,506008,763060064,18084,0,0,0,0,0
7,0,0,0,0,2.40803,0.594336,0.578684,96.4442,96.2138,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,506008,763060064,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,179.168,28.2047,179.044,27.7074,2.12774,0.894144,51.1615,45.8339,0.157608,0,45.6763,0,0,0,534988,806761904,265605,400532340,233792,352558336,8354,1135,0,0,0,0
1,0,0,0,0,2.1364,1.07954,0.348588,96.4528,44.5083,0,45.9069,6.03761,0,0,0,0,0,0,0,0,0,0,233792,352558336,0,0
2,0,61.0336,0,61.039,2.45921,0.28928,97.1025,0.216956,0.216956,0,0,0,0,0,534996,806773968,505943,762962044,505915,762919820,18080,0,0,0,0,0
3,0,0,0,0,2.46312,0.594224,0.578556,96.4267,96.1962,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,505915,762919820,0,0
4,0,28.8885,0,29.2413,2.12695,0.908563,52.2504,44.7367,0.159828,0,44.5769,0,0,0,535005,806787540,271296,409114368,239460,361105680,8555,1135,0,0,0,0
