Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,65.109,70.744,1.5
1,-82,0,10.1.1.2,62.5089,72.2403,1.5
2,-82,0,10.1.2.1,30.5835,51.0421,1.5
3,-82,0,10.1.2.2,33.0418,49.3226,1.5
4,-82,0,10.1.3.1,63.8225,34.018,1.5
5,-82,0,10.1.3.2,61.4301,32.2079,1.5
6,-82,0,10.1.4.1,45.9354,64.0257,1.5
7,-82,0,10.1.4.2,44.9115,66.8456,1.5
8,-82,0,10.1.5.1,61.6488,33.8782,1.5
9,-82,0,10.1.5.2,60.5157,36.656,1.5
10,-82,0,10.1.6.1,19.1822,65.3689,1.5
11,-82,0,10.1.6.2,19.8312,62.4399,1.5
12,-82,0,10.1.7.1,95.226,79.5936,1.5
13,-82,0,10.1.7.2,92.9126,77.6835,1.5
14,-82,0,10.1.8.1,9.24239,19.6777,1.5
15,-82,0,10.1.8.2,10.0766,22.5593,1.5
16,-82,0,10.1.9.1,39.9115,19.8218,1.5
17,-82,0,10.1.9.2,39.1095,16.931,1.5
18,-82,0,10.1.10.1,67.7511,65.4875,1.5
19,-82,0,10.1.10.2,66.269,68.0959,1.5
20,-82,0,10.1.11.1,76.4261,25.3807,1.5
21,-82,0,10.1.11.2,73.4701,24.8687,1.5
22,-82,0,10.1.12.1,52.155,84.4009,1.5
23,-82,0,10.1.12.2,49.165,84.6459,1.5
24,-82,0,10.1.13.1,85.5255,7.74547,1.5
25,-82,0,10.1.13.2,86.5046,4.90977,1.5
26,-82,0,10.1.14.1,68.8119,78.5503,1.5
27,-82,0,10.1.14.2,70.1368,75.8587,1.5
28,-82,0,10.1.15.1,70.0111,7.12643,1.5
29,-82,0,10.1.15.2,73.0056,7.30903,1.5
30,-82,0,10.1.16.1,63.9144,45.4516,1.5
31,-82,0,10.1.16.2,66.9008,45.7362,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,14.5768,20.5281,1.5
1,-82,0,10.1.1.2,15.435,17.6535,1.5
2,-82,0,10.1.2.1,84.935,19.4971,1.5
3,-82,0,10.1.2.2,82.4199,17.8618,1.5
4,-82,0,10.1.3.1,69.8104,78.522,1.5
5,-82,0,10.1.3.2,71.5496,76.0776,1.5
6,-82,0,10.1.4.1,49.2542,69.2951,1.5
7,-82,0,10.1.4.2,51.4315,67.2312,1.5
8,-82,0,10.1.5.1,20.1482,33.991,1.5
9,-82,0,10.1.5.2,18.6259,36.5761,1.5
10,-82,0,10.1.6.1,63.7374,28.4881,1.5
11,-82,0,10.1.6.2,65.1846,31.1159,1.5
12,-82,0,10.1.7.1,89.9157,19.4327,1.5
13,-82,0,10.1.7.2,92.3762,21.1491,1.5
14,-82,0,10.1.8.1,56.0749,19.0968,1.5
15,-82,0,10.1.8.2,55.056,16.2751,1.5
16,-82,0,10.1.9.1,70.2923,75.0683,1.5
17,-82,0,10.1.9.2,71.2929,77.8965,1.5
18,-82,0,10.1.10.1,58.7645,54.138,1.5
19,-82,0,10.1.10.2,61.6891,54.8062,1.5
20,-82,0,10.1.11.1,29.9591,18.0853,1.5
21,-82,0,10.1.11.2,27.001,17.5861,1.5
22,-82,0,10.1.12.1,10.3688,10.0909,1.5
23,-82,0,10.1.12.2,12.7771,11.8798,1.5
24,-82,0,10.1.13.1,31.8328,81.8841,1.5
25,-82,0,10.1.13.2,34.6206,80.7758,1.5
26,-82,0,10.1.14.1,34.163,45.9252,1.5
27,-82,0,10.1.14.2,35.7911,43.4054,1.5
28,-82,0,10.1.15.1,90.1541,96.0222,1.5
29,-82,0,10.1.15.2,87.2677,95.2043,1.5
30,-82,0,10.1.16.1,25.5666,64.4187,1.5
31,-82,0,10.1.16.2,23.7321,66.7925,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,72.4914,23.473,1.5
1,-82,0,10.1.1.2,74.643,25.5635,1.5
2,-82,0,10.1.2.1,18.0908,54.3565,1.5
3,-82,0,10.1.2.2,17.5303,57.3037,1.5
4,-82,0,10.1.3.1,77.3198,21.2004,1.5
5,-82,0,10.1.3.2,78.8468,23.7827,1.5
6,-82,0,10.1.4.1,69.9605,51.3267,1.5
7,-82,0,10.1.4.2,68.0421,49.0202,1.5
8,-82,0,10.1.5.1,33.3493,44.7517,1.5
9,-82,0,10.1.5.2,30.3591,44.509,1.5
10,-82,0,10.1.6.1,69.5002,69.4253,1.5
11,-82,0,10.1.6.2,66.5114,69.6839,1.5
12,-82,0,10.1.7.1,96.9423,8.92823,1.5
13,-82,0,10.1.7.2,95.3252,11.4551,1.5
14,-82,0,10.1.8.1,24.7065,82.1624,1.5
15,-82,0,10.1.8.2,21.7069,82.2094,1.5
16,-82,0,10.1.9.1,59.76,10.4058,1.5
17,-82,0,10.1.9.2,58.0718,12.8857,1.5
18,-82,0,10.1.10.1,53.227,12.8249,1.5
19,-82,0,10.1.10.2,55.8566,11.3809,1.5
20,-82,0,10.1.11.1,89.4931,48.1529,1.5
21,-82,0,10.1.11.2,92.2045,49.4367,1.5
22,-82,0,10.1.12.1,45.7878,37.3981,1.5
23,-82,0,10.1.12.2,43.031,38.5814,1.5
24,-82,0,10.1.13.1,69.4655,3.54954,1.5
25,-82,0,10.1.13.2,67.0193,5.28614,1.5
26,-82,0,10.1.14.1,40.7632,92.3851,1.5
27,-82,0,10.1.14.2,43.7631,92.407,1.5
28,-82,0,10.1.15.1,44.0022,74.3843,1.5
29,-82,0,10.1.15.2,46.8026,73.3084,1.5
30,-82,0,10.1.16.1,83.3333,70.1447,1.5
31,-82,0,10.1.16.2,80.3565,70.5172,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,67.1084,59.4247,1.5
1,-82,0,10.1.1.2,66.0014,56.6364,1.5
2,-82,0,10.1.2.1,47.4483,43.7323,1.5
3,-82,0,10.1.2.2,50.3728,43.0637,1.5
4,-82,0,10.1.3.1,82.5545,89.8154,1.5
5,-82,0,10.1.3.2,79.7433,90.8626,1.5
6,-82,0,10.1.4.1,38.1596,30.796,1.5
7,-82,0,10.1.4.2,36.4975,33.2935,1.5
8,-82,0,10.1.5.1,36.9764,77.0187,1.5
9,-82,0,10.1.5.2,39.9438,76.5773,1.5
10,-82,0,10.1.6.1,11.3668,39.9142,1.5
11,-82,0,10.1.6.2,13.0571,42.3926,1.5
12,-82,0,10.1.7.1,27.1151,49.3962,1.5
13,-82,0,10.1.7.2,27.3157,46.4029,1.5
14,-82,0,10.1.8.1,53.2371,84.8357,1.5
15,-82,0,10.1.8.2,56.2156,85.1944,1.5
16,-82,0,10.1.9.1,17.0929,54.7574,1.5
17,-82,0,10.1.9.2,19.8555,55.927,1.5
18,-82,0,10.1.10.1,68.6017,3.94143,1.5
19,-82,0,10.1.10.2,68.1196,6.90244,1.5
20,-82,0,10.1.11.1,21.3785,29.2008,1.5
21,-82,0,10.1.11.2,21.4276,32.2004,1.5
22,-82,0,10.1.12.1,57.8763,14.1389,1.5
23,-82,0,10.1.12.2,60.8126,14.7539,1.5
24,-82,0,10.1.13.1,70.3299,67.2488,1.5
25,-82,0,10.1.13.2,73.0075,68.6018,1.5
