Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,440.568,7.34468,440.519,7.61238,1.04992,17.2117,14.8412,66.9162,0.060072,0,0.825488,0,0,66.0306,534988,806761904,76021,114639668,60881,91808548,2270,446,0,0,0,0
1,0,0,0,0,1.05711,19.9996,0.119628,78.8426,12.1104,0,1.01339,2.36937,0,63.3495,0,0,0,0,0,0,0,0,60881,91808548,0,0
2,0,13.7615,0,12.9519,1.66586,69.5351,22.7821,6.06548,0.080976,0,0.045964,0,0,5.93854,534996,806773968,117517,177215636,114071,172019068,4192,6,0,0,0,0
3,0,0,0,0,1.67334,75.4645,0.177664,22.7331,22.3412,0,0.230992,0.026812,0,0.134056,0,0,0,0,0,0,0,0,114071,172019068,0,0
4,0,20.1538,0,17.944,2.08308,11.5174,37.2452,49.1602,0.130992,0,22.7507,0,0,26.2785,535005,806787540,192865,290840420,167057,251921956,5980,908,0,0,0,0
5,0,0,0,0,1.54229,17.4164,0.275568,80.7662,31.9086,0,23.9602,1.58123,0,23.3161,0,0,0,0,0,0,0,0,167197,252133076,0,0
6,0,20.199,0,22.0819,1.67117,64.0506,34.1197,0.218504,0.124992,0,0.000624,0,0,0.092888,535013,806799604,176616,266336928,167432,252487456,6156,154,0,0,0,0
7,0,0,0,0,1.64798,64.4269,0.271484,33.705,33.0829,0,0.228364,0.30366,0,0.090048,0,0,0,0,0,0,0,0,168877,254666516,0,0
8,0,13.8491,0,13.9146,1.71786,14.8946,26.1263,57.2618,0.089232,0,32.9604,0,0,24.2122,535022,806813176,134905,203436740,114797,173113876,4132,687,0,0,0,0
9,0,0,0,0,1.86752,18.396,0.188488,79.5485,22.0445,0,30.2526,0.894432,0,26.357,0,0,0,0,0,0,0,0,114878,173236024,0,0
10,0,46.6666,0,47.537,2.41339,1.1756,77.4109,19.0931,0.196812,0,0.23548,0,0,18.6608,535031,806826748,402889,607556612,386825,583332100,13825,569,0,0,0,0
11,0,0,0,0,2.41316,0.936622,0.486192,96.2517,73.598,0,0.496428,3.02632,0,19.1309,0,0,0,0,0,0,0,0,386825,583332100,0,0
12,0,61.0412,0,61.0728,2.38321,0.289344,97.1148,0.217076,0.217076,0,0,0,0,0,535039,806838812,506008,763060064,505978,763014824,18082,0,0,0,0,0
13,0,0,0,0,2.3854,0.596016,0.578756,96.4389,96.2086,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505978,763014824,0,0
14,0,61.0408,0,61.0728,2.42774,0.289328,97.1138,0.216992,0.216992,0,0,0,0,0,535048,806852384,506003,763052524,505975,763010300,18083,0,0,0,0,0
15,0,0,0,0,2.43165,0.594304,0.578652,96.4379,96.2076,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505975,763010300,0,0
16,0,59.9706,0,60.0594,2.43405,1.98588,95.4326,0.213416,0.213416,0,0,0,0,0,535056,806864448,497218,749804744,497104,749632832,17765,3,0,0,0,0
17,0,0,0,0,3.55836,1.1654,0.568912,94.7679,94.5373,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,497188,749759504,0,0
18,0,13.3182,0,12.4404,1.46775,25.5153,24.2648,48.771,0.13962,0,0.581256,0,0,48.0501,535065,806878020,124854,188279832,110396,166477168,4039,421,0,0,0,0
19,0,0,0,0,0.890901,19.1014,0.259696,79.7669,21.6845,0,13.2986,0.63888,0,44.1449,0,0,0,0,0,0,0,0,110975,167350300,0,0
20,0,10.185,0,11.3498,0.919116,71.2776,17.9745,9.82926,0.0618,0,0.050908,0,0,9.71655,535074,806891592,92442,139402536,84425,127312900,3158,149,0,0,0,0
21,0,0,0,0,0.921574,53.1487,0.135192,45.795,16.8104,0,0.531308,0.745552,0,27.7078,0,0,0,0,0,0,0,0,84425,127312900,0,0
22,0,23.0691,0,20.5305,1.6339,40.1291,37.0478,21.2015,0.08778,0,0.42524,0,0,20.6884,535079,806899132,192193,289827044,191223,288364284,6843,23,0,0,0,0
23,0,0,0,0,1.9785,61.0019,0.227032,36.833,36.4312,0,0.257844,0.111804,0,0.0321,0,0,0,0,0,0,0,0,191251,288406508,0,0
24,0,34.1054,0,34.3076,2.25644,2.05139,58.6079,37.1079,0.165564,0,0.551184,0,0,36.3912,535088,806912704,304586,459315688,282704,426317632,10129,749,0,0,0,0
25,0,0,0,0,18.0608,1.27174,0.386756,80.2991,53.96,0,0.553976,3.98274,0,21.8024,0,0,0,0,0,0,0,0,282704,426317632,0,0
26,0,27.7382,0,30.2324,1.79845,21.0404,46.6029,30.5824,0.132264,0,0.655268,0,0,29.7949,535096,806924768,241939,364844012,229925,346726900,8282,359,0,0,0,0
