Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,124.363,1.80321,125.583,1.59969,5.49639,15.3002,22.0058,57.2165,0.198372,0,1.34964,0.00372,0,55.6648,534988,806761904,107693,162401044,14947,22540076,1319,2531,0,0,0,0
1,0,0,0,0,1.42227,41.9862,0.383084,56.2273,7.39746,0,1.11335,9.62864,0,38.0879,0,0,0,0,0,0,0,0,15114,22791912,0,0
2,0,0.0139942,0,0.0174928,3.60586,53.0577,39.3499,4.04505,0.347796,0,0.28046,0,0,3.41679,534996,806773968,202097,304762276,116,174928,111,7109,0,0,0,0
3,0,0,0,0,1.55119,59.6481,0.495124,38.3586,0.851208,0,0.227132,37.2454,0,0.0349,0,0,0,0,0,0,0,0,116,174928,0,0
4,0,0.0243693,0,0.033176,4.34584,9.73345,40.3688,45.5574,0.356808,0,29.458,2.4e-05,0,15.7426,535005,806787540,206629,311596532,202,304616,202,7178,0,0,0,0
5,0,0,0,0,0.212106,27.4355,0.509048,71.8377,1.35214,0,25.4104,33.3047,0,11.7705,0,0,0,0,0,0,0,0,204,307632,0,0
6,0,0,0,0,1.33382,81.1814,17.2679,0.238508,0.150768,0,0.00324,0,0,0.0845,535013,806799604,87922,132586376,0,0,0,3141,0,0,0,0
7,0,0,0,0,0.957491,81.6389,0.218076,17.2072,0.115452,0,0.281544,16.2546,0,0.55564,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.0242486,0,0.0265408,5.3,9.5951,38.1087,47.0017,0.333924,0,30.5141,0,0,16.1537,535022,806813176,193344,291562752,201,303108,191,6715,0,0,0,0
9,0,0,0,0,1.09689,19.9719,0.476536,78.4548,1.26593,0,1.33604,30.193,0,45.6599,0,0,0,0,0,0,0,0,201,303108,0,0
10,0,24.6664,0,25.4134,4.26761,3.5654,72.601,19.658,0.56058,0,0.313892,0,0,18.7835,535031,806826748,375064,565596512,204463,308330204,9239,4158,0,0,0,0
11,0,0,0,0,3.71949,4.56801,0.933352,90.8658,49.5219,0,0.746664,20.9855,0,19.6117,0,0,0,0,0,0,0,0,204463,308330204,0,0
12,0,6.82834,0,6.26785,5.19807,0.426752,93.4435,0.936312,0.936312,0,0,0,0,0,535039,806838812,481792,726542336,56601,85354308,9554,7659,0,0,0,0
13,0,0,0,0,3.43818,3.10391,1.46975,91.9874,51.4652,0,0.236732,40.2812,0,0.00432,0,0,0,0,0,0,0,0,56601,85354308,0,0
14,0,38.8047,0,38.7948,4.45088,0.534432,94.0795,0.982364,0.982364,0,0,0,0,0,535048,806852384,485424,732019392,321657,485058756,17248,113,0,0,0,0
15,0,0,0,0,4.45524,0.829664,1.6504,93.1065,92.2825,0,0.230336,0.593628,0,0,0,0,0,0,0,0,0,0,321657,485058756,0,0
16,0,2.67495,0,2.79101,5.61759,0.35896,93.205,0.886944,0.886944,0,0,0,0,0,535056,806864448,480562,724687496,22173,33436884,5276,11890,0,0,0,0
17,0,0,0,0,5.10118,1.46677,1.33564,92.1596,28.7018,0,0.230336,63.2274,0,0,0,0,0,0,0,0,0,0,22173,33436884,0,0
18,0,0.00265408,0,0,6.28152,23.9415,33.9797,35.821,0.29148,0,1.18187,0,0,34.3476,535065,806878020,169837,256114196,22,33176,22,6045,0,0,0,0
19,0,0,0,0,1.00005,19.3018,0.416388,79.3006,0.337196,0,16.7292,27.0879,0,35.1462,0,0,0,0,0,0,0,0,22,33176,0,0
20,0,0.031849,0,0.0313664,1.1249,85.5259,11.3035,2.04377,0.09768,0,0.017528,0,0,1.92856,535074,806891592,56785,85631780,264,398112,28,2001,0,0,0,0
21,0,0,0,0,0.153689,45.7032,0.1405,54.0007,0.22298,0,1.06512,9.66858,0,43.0441,0,0,0,0,0,0,0,0,264,398112,0,0
22,0,3.72126,0,3.83876,4.73148,22.8318,64.6901,7.76577,0.618696,0,0.22584,0,0,6.92124,535079,806899132,332172,500915376,30846,46515768,4446,7442,0,0,0,0
23,0,0,0,0,3.74957,31.2753,0.945612,64.0793,24.106,0,0.335628,37.1996,0,2.43812,0,0,0,0,0,0,0,0,30894,46588152,0,0
24,0,33.5631,0,34.1646,3.10515,5.62602,65.2456,26.0446,0.299028,0,0.705364,0,0,25.0402,535088,806912704,338229,510049332,278209,419539172,10871,1211,0,0,0,0
25,0,0,0,0,5.35837,4.24211,0.587392,89.8335,58.025,0,0.918144,5.44988,0,25.4405,0,0,0,0,0,0,0,0,278235,419578380,0,0
26,0,0.0124259,0,0.0193024,8.07025,23.6167,48.7959,19.5414,0.421044,0,0.765596,1.2e-05,0,18.3548,535096,806924768,244918,369336344,103,155324,103,8644,0,0,0,0
27,0,0,0,0,1.01557,21.0116,0.599824,77.3919,0.869488,0,1.21509,39.7335,0,35.5738,0,0,0,0,0,0,0,0,104,156832,0,0
28,0,11.6788,0,12.1231,4.01024,13.2627,33.3018,49.452,0.333732,0,0.362904,0,0,48.7554,535105,806938340,169340,255364720,96807,145984956,4763,1301,0,0,0,0
29,0,0,0,0,2.5731,9.44609,0.545344,87.4569,25.5673,0,0.767116,4.72925,0,56.3932,0,0,0,0,0,0,0,0,96828,146016624,0,0
30,0,0.512479,0,0.461448,5.63784,15.2262,31.7888,47.3474,0.28416,0,1.04373,0.00018,0,46.0193,535114,806951912,159104,239928832,4248,6405984,932,4752,0,0,0,0
31,0,0,0,0,1.58504,28.7269,0.41882,69.2694,5.25282,0,1.12216,21.4732,0,41.4212,0,0,0,0,0,0,0,0,4287,6464796,0,0
