Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,65.752,71.6267,1.5
1,-82,0,10.1.1.2,64.8852,72.1255,1.5
2,-82,0,10.1.2.1,29.7572,51.0865,1.5
3,-82,0,10.1.2.2,30.5766,50.5133,1.5
4,-82,0,10.1.3.1,64.4107,33.3379,1.5
5,-82,0,10.1.3.2,63.6132,32.7345,1.5
6,-82,0,10.1.4.1,45.7625,64.6226,1.5
7,-82,0,10.1.4.2,45.4212,65.5625,1.5
8,-82,0,10.1.5.1,62.1445,33.1922,1.5
9,-82,0,10.1.5.2,61.7668,34.1181,1.5
10,-82,0,10.1.6.1,17.8708,66.0229,1.5
11,-82,0,10.1.6.2,18.0872,65.0466,1.5
12,-82,0,10.1.7.1,97.1505,80.8529,1.5
13,-82,0,10.1.7.2,96.3794,80.2162,1.5
14,-82,0,10.1.8.1,7.50803,18.3874,1.5
15,-82,0,10.1.8.2,7.78611,19.3479,1.5
16,-82,0,10.1.9.1,39.4822,18.5377,1.5
17,-82,0,10.1.9.2,39.2149,17.5741,1.5
18,-82,0,10.1.10.1,68.5064,66.1466,1.5
19,-82,0,10.1.10.2,68.0124,67.016,1.5
20,-82,0,10.1.11.1,77.5506,24.3331,1.5
21,-82,0,10.1.11.2,76.5653,24.1624,1.5
22,-82,0,10.1.12.1,52.2467,85.8647,1.5
23,-82,0,10.1.12.2,51.2501,85.9464,1.5
24,-82,0,10.1.13.1,87.0372,5.94741,1.5
25,-82,0,10.1.13.2,87.3636,5.00217,1.5
26,-82,0,10.1.14.1,69.6125,79.7652,1.5
27,-82,0,10.1.14.2,70.0541,78.868,1.5
28,-82,0,10.1.15.1,70.8627,5.30202,1.5
29,-82,0,10.1.15.2,71.8608,5.36289,1.5
30,-82,0,10.1.16.1,64.5065,45.258,1.5
31,-82,0,10.1.16.2,65.502,45.3529,1.5
32,-82,0,10.1.17.1,15.4493,94.3711,1.5
33,-82,0,10.1.17.2,16.3859,94.7216,1.5
34,-82,0,10.1.18.1,92.4376,17.5955,1.5
35,-82,0,10.1.18.2,93.3592,17.9834,1.5
36,-82,0,10.1.19.1,16.7444,57.5525,1.5
37,-82,0,10.1.19.2,16.3197,58.4578,1.5
38,-82,0,10.1.20.1,60.9002,31.7316,1.5
39,-82,0,10.1.20.2,61.3406,32.6294,1.5
40,-82,0,10.1.21.1,46.6864,77.3021,1.5
41,-82,0,10.1.21.2,46.587,78.2971,1.5
42,-82,0,10.1.22.1,29.4295,46.4578,1.5
43,-82,0,10.1.22.2,29.7133,47.4167,1.5
44,-82,0,10.1.23.1,95.5606,97.2503,1.5
45,-82,0,10.1.23.2,94.5606,97.2484,1.5
46,-82,0,10.1.24.1,10.3728,86.542,1.5
47,-82,0,10.1.24.2,11.3522,86.744,1.5
48,-82,0,10.1.25.1,45.6609,12.6423,1.5
49,-82,0,10.1.25.2,44.6626,12.7004,1.5
50,-82,0,10.1.26.1,91.4237,8.58122,1.5
51,-82,0,10.1.26.2,91.1782,7.61183,1.5
52,-82,0,10.1.27.1,51.2908,58.611,1.5
53,-82,0,10.1.27.2,51.5229,59.5837,1.5
54,-82,0,10.1.28.1,47.7496,31.6929,1.5
55,-82,0,10.1.28.2,46.896,32.2139,1.5
56,-82,0,10.1.29.1,95.0471,47.9632,1.5
57,-82,0,10.1.29.2,95.7211,48.702,1.5
58,-82,0,10.1.30.1,49.7764,30.9061,1.5
59,-82,0,10.1.30.2,48.7851,30.7747,1.5
60,-82,0,10.1.31.1,62.445,59.1089,1.5
61,-82,0,10.1.31.2,61.5801,59.6109,1.5
62,-82,0,10.1.32.1,76.442,88.618,1.5
63,-82,0,10.1.32.2,75.4431,88.5698,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,13.0695,19.274,1.5
1,-82,0,10.1.1.2,13.3555,18.3158,1.5
2,-82,0,10.1.2.1,86.4216,18.1992,1.5
3,-82,0,10.1.2.2,85.5833,17.6541,1.5
4,-82,0,10.1.3.1,70.6534,79.7357,1.5
5,-82,0,10.1.3.2,71.2331,78.9209,1.5
6,-82,0,10.1.4.1,49.2225,70.1161,1.5
7,-82,0,10.1.4.2,49.9482,69.4282,1.5
8,-82,0,10.1.5.1,18.8779,33.3098,1.5
9,-82,0,10.1.5.2,18.3705,34.1715,1.5
10,-82,0,10.1.6.1,64.3219,27.5727,1.5
11,-82,0,10.1.6.2,64.8043,28.4486,1.5
12,-82,0,10.1.7.1,91.6142,18.1319,1.5
13,-82,0,10.1.7.2,92.4344,18.7041,1.5
14,-82,0,10.1.8.1,56.3334,17.7817,1.5
15,-82,0,10.1.8.2,55.9938,16.8412,1.5
16,-82,0,10.1.9.1,71.1558,76.135,1.5
17,-82,0,10.1.9.2,71.4893,77.0778,1.5
18,-82,0,10.1.10.1,59.1375,54.3141,1.5
19,-82,0,10.1.10.2,60.1123,54.5369,1.5
20,-82,0,10.1.11.1,29.1063,16.7272,1.5
21,-82,0,10.1.11.2,28.1203,16.5608,1.5
22,-82,0,10.1.12.1,8.68238,8.3926,1.5
23,-82,0,10.1.12.2,9.48513,8.98892,1.5
24,-82,0,10.1.13.1,31.0597,83.2409,1.5
25,-82,0,10.1.13.2,31.989,82.8714,1.5
26,-82,0,10.1.14.1,33.489,45.7518,1.5
27,-82,0,10.1.14.2,34.0318,44.9119,1.5
28,-82,0,10.1.15.1,91.8627,97.9806,1.5
29,-82,0,10.1.15.2,90.9006,97.708,1.5
30,-82,0,10.1.16.1,24.5269,65.0323,1.5
31,-82,0,10.1.16.2,23.9154,65.8236,1.5
32,-82,0,10.1.17.1,38.1438,53.7062,1.5
33,-82,0,10.1.17.2,37.5773,54.5303,1.5
34,-82,0,10.1.18.1,60.5735,55.1236,1.5
35,-82,0,10.1.18.2,61.1877,55.9128,1.5
36,-82,0,10.1.19.1,18.4721,18.6589,1.5
37,-82,0,10.1.19.2,19.4369,18.3958,1.5
38,-82,0,10.1.20.1,18.9964,54.9249,1.5
39,-82,0,10.1.20.2,18.0147,54.7346,1.5
