Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,933.588,6.08291,926.746,6.15988,2.15871,44.3882,22.1195,31.3353,0.209676,0,0.89254,0,0,30.2331,534988,806761904,112897,170248676,50422,76036376,2901,1132,0,0,0,0
1,0,0,0,0,0.00370321,68.0788,0.34454,31.5746,15.727,0,0.78978,3.01871,0,12.0391,0,0,0,0,0,0,0,0,50968,76859744,0,0
2,0,27.1734,0,27.3195,2.24036,1.3845,51.2836,45.1066,0.17102,0,0.458508,0,0,44.4771,534996,806773968,266108,401290864,225244,339667952,8052,1455,0,0,0,0
3,0,0,0,0,0.0105707,8.95221,0.363704,90.6832,42.9083,0,0.657196,4.94067,0,42.1771,0,0,0,0,0,0,0,0,225272,339710176,0,0
4,0,17.2769,0,16.5747,2.97089,5.80615,36.4003,54.8273,0.283872,0,1.43315,0,0,53.1103,535005,806787540,187233,282347364,143210,215960680,5372,1316,0,0,0,0
5,0,0,0,0,0.00518711,17.384,0.483544,82.1319,28.7757,0,1.78117,1.13934,0,50.4356,0,0,0,0,0,0,0,0,143209,215959172,0,0
6,0,26.1783,0,26.5547,2.88502,47.1212,48.4362,1.56078,0.23132,0,0.324796,0,0,1.00466,535013,806799604,250825,378244100,216995,327228460,7825,1134,0,0,0,0
7,0,0,0,0,0.00370396,43.2191,0.445656,56.3347,41.7638,0,0.384804,2.99741,0,11.1886,0,0,0,0,0,0,0,0,217023,327270684,0,0
8,0,10.4179,0,10.5295,2.84828,9.91766,31.8787,55.3653,0.3363,0,1.39406,0,0,53.635,535022,806813176,163419,246435852,86355,130223340,4917,922,0,0,0,0
9,0,0,0,0,0.0051871,16.8029,0.553492,82.643,26.4268,0,1.54734,3.15732,0,51.5115,0,0,0,0,0,0,0,0,86515,130464620,0,0
10,0,18.1354,0,18.0339,9.79778,1.80794,85.7208,2.68754,0.651772,0,0.121032,0,0,1.91474,535031,806826748,435676,656999408,150327,226693116,8639,6930,0,0,0,0
11,0,0,0,0,0.0230815,17.7402,1.0538,81.1917,46.4052,0,0.407564,23.974,0,10.4049,0,0,0,0,0,0,0,0,150513,226973604,0,0
12,0,58.7985,0,59.1812,2.50179,0.755477,96.4777,0.26684,0.234836,0,0,0,0,0.032004,535039,806838812,502508,757782064,487388,734981104,17414,539,0,0,0,0
13,0,0,0,0,0.00765623,6.44709,0.593928,92.9478,92.6981,0,0.22302,0,0,0.026668,0,0,0,0,0,0,0,0,487416,735023328,0,0
14,0,61.0408,0,61.039,2.42754,0.289328,97.1138,0.216992,0.216992,0,0,0,0,0,535048,806852384,506003,763052524,505975,763010300,18083,0,0,0,0,0
15,0,0,0,0,2.43136,0.594391,0.578652,96.4379,96.2076,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505975,763010300,0,0
16,0,2.62175,0,1.68232,14.721,7.44253,59.4407,18.4296,0.507888,0,0.312592,0,0,17.6091,535056,806864448,291345,439348260,21732,32771856,2812,7594,0,0,0,0
17,0,0,0,0,0.0341393,17.5708,0.76352,81.66,15.4285,0,0.59474,30.4054,0,35.2314,0,0,0,0,0,0,0,0,21792,32862336,0,0
18,0,14.8082,0,12.78,4.84021,3.05837,71.5314,20.5976,0.644192,0,0.45452,0,0,19.4988,535065,806878020,368139,555153612,122747,185102476,8035,5126,0,0,0,0
19,0,0,0,0,0.024149,15.9014,1.03356,83.0631,43.2143,0,0.730544,20.8754,0,18.2428,0,0,0,0,0,0,0,0,122878,185300024,0,0
