Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,65.109,70.744,1.5
1,-82,0,10.1.1.2,62.5089,72.2403,1.5
2,-82,0,10.1.2.1,30.5835,51.0421,1.5
3,-82,0,10.1.2.2,33.0418,49.3226,1.5
4,-82,0,10.1.3.1,63.8225,34.018,1.5
5,-82,0,10.1.3.2,61.4301,32.2079,1.5
6,-82,0,10.1.4.1,45.9354,64.0257,1.5
7,-82,0,10.1.4.2,44.9115,66.8456,1.5
8,-82,0,10.1.5.1,61.6488,33.8782,1.5
9,-82,0,10.1.5.2,60.5157,36.656,1.5
10,-82,0,10.1.6.1,19.1822,65.3689,1.5
11,-82,0,10.1.6.2,19.8312,62.4399,1.5
12,-82,0,10.1.7.1,95.226,79.5936,1.5
13,-82,0,10.1.7.2,92.9126,77.6835,1.5
14,-82,0,10.1.8.1,9.24239,19.6777,1.5
15,-82,0,10.1.8.2,10.0766,22.5593,1.5
16,-82,0,10.1.9.1,39.9115,19.8218,1.5
17,-82,0,10.1.9.2,39.1095,16.931,1.5
18,-82,0,10.1.10.1,67.7511,65.4875,1.5
19,-82,0,10.1.10.2,66.269,68.0959,1.5
20,-82,0,10.1.11.1,76.4261,25.3807,1.5
21,-82,0,10.1.11.2,73.4701,24.8687,1.5
22,-82,0,10.1.12.1,52.155,84.4009,1.5
23,-82,0,10.1.12.2,49.165,84.6459,1.5
24,-82,0,10.1.13.1,85.5255,7.74547,1.5
25,-82,0,10.1.13.2,86.5046,4.90977,1.5
26,-82,0,10.1.14.1,68.8119,78.5503,1.5
27,-82,0,10.1.14.2,70.1368,75.8587,1.5
28,-82,0,10.1.15.1,70.0111,7.12643,1.5
29,-82,0,10.1.15.2,73.0056,7.30903,1.5
30,-82,0,10.1.16.1,63.9144,45.4516,1.5
31,-82,0,10.1.16.2,66.9008,45.7362,1.5
32,-82,0,10.1.17.1,16.8596,92.56,1.5
33,-82,0,10.1.17.2,19.6692,93.6116,1.5
34,-82,0,10.1.18.1,90.7054,18.9181,1.5
35,-82,0,10.1.18.2,93.4704,20.082,1.5
36,-82,0,10.1.19.1,18.1018,57.2443,1.5
37,-82,0,10.1.19.2,16.8276,59.9602,1.5
38,-82,0,10.1.20.1,60.4553,32.4772,1.5
39,-82,0,10.1.20.2,61.7764,35.1707,1.5
40,-82,0,10.1.21.1,46.8217,76.1877,1.5
41,-82,0,10.1.21.2,46.5235,79.1729,1.5
42,-82,0,10.1.22.1,30.2691,46.6024,1.5
43,-82,0,10.1.22.2,31.1207,49.479,1.5
44,-82,0,10.1.23.1,93.701,95.3217,1.5
45,-82,0,10.1.23.2,90.701,95.316,1.5
46,-82,0,10.1.24.1,11.9902,85.0505,1.5
47,-82,0,10.1.24.2,14.9284,85.6565,1.5
48,-82,0,10.1.25.1,45.838,14.1671,1.5
49,-82,0,10.1.25.2,42.843,14.3414,1.5
50,-82,0,10.1.26.1,89.733,10.2718,1.5
51,-82,0,10.1.26.2,88.9964,7.36362,1.5
52,-82,0,10.1.27.1,51.2381,58.2595,1.5
53,-82,0,10.1.27.2,51.9345,61.1776,1.5
54,-82,0,10.1.28.1,47.8414,32.4401,1.5
55,-82,0,10.1.28.2,45.2808,34.0031,1.5
56,-82,0,10.1.29.1,93.2084,48.0464,1.5
57,-82,0,10.1.29.2,95.2305,50.2625,1.5
58,-82,0,10.1.30.1,49.7856,31.6854,1.5
59,-82,0,10.1.30.2,46.8115,31.2914,1.5
60,-82,0,10.1.31.1,61.937,58.7372,1.5
61,-82,0,10.1.31.2,59.3423,60.2429,1.5
62,-82,0,10.1.32.1,75.3627,87.0417,1.5
63,-82,0,10.1.32.2,72.3662,86.8972,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,14.5768,20.5281,1.5
1,-82,0,10.1.1.2,15.435,17.6535,1.5
2,-82,0,10.1.2.1,84.935,19.4971,1.5
3,-82,0,10.1.2.2,82.4199,17.8618,1.5
4,-82,0,10.1.3.1,69.8104,78.522,1.5
5,-82,0,10.1.3.2,71.5496,76.0776,1.5
6,-82,0,10.1.4.1,49.2542,69.2951,1.5
7,-82,0,10.1.4.2,51.4315,67.2312,1.5
8,-82,0,10.1.5.1,20.1482,33.991,1.5
9,-82,0,10.1.5.2,18.6259,36.5761,1.5
10,-82,0,10.1.6.1,63.7374,28.4881,1.5
11,-82,0,10.1.6.2,65.1846,31.1159,1.5
12,-82,0,10.1.7.1,89.9157,19.4327,1.5
13,-82,0,10.1.7.2,92.3762,21.1491,1.5
14,-82,0,10.1.8.1,56.0749,19.0968,1.5
15,-82,0,10.1.8.2,55.056,16.2751,1.5
16,-82,0,10.1.9.1,70.2923,75.0683,1.5
17,-82,0,10.1.9.2,71.2929,77.8965,1.5
18,-82,0,10.1.10.1,58.7645,54.138,1.5
19,-82,0,10.1.10.2,61.6891,54.8062,1.5
20,-82,0,10.1.11.1,29.9591,18.0853,1.5
21,-82,0,10.1.11.2,27.001,17.5861,1.5
22,-82,0,10.1.12.1,10.3688,10.0909,1.5
23,-82,0,10.1.12.2,12.7771,11.8798,1.5
24,-82,0,10.1.13.1,31.8328,81.8841,1.5
25,-82,0,10.1.13.2,34.6206,80.7758,1.5
26,-82,0,10.1.14.1,34.163,45.9252,1.5
27,-82,0,10.1.14.2,35.7911,43.4054,1.5
28,-82,0,10.1.15.1,90.1541,96.0222,1.5
29,-82,0,10.1.15.2,87.2677,95.2043,1.5
30,-82,0,10.1.16.1,25.5666,64.4187,1.5
31,-82,0,10.1.16.2,23.7321,66.7925,1.5
32,-82,0,10.1.17.1,38.6277,53.5549,1.5
33,-82,0,10.1.17.2,36.9282,56.0271,1.5
34,-82,0,10.1.18.1,60.142,54.9145,1.5
35,-82,0,10.1.18.2,61.9845,57.282,1.5
36,-82,0,10.1.19.1,19.759,19.9382,1.5
37,-82,0,10.1.19.2,22.6533,19.1489,1.5
38,-82,0,10.1.20.1,20.2619,54.7239,1.5
39,-82,0,10.1.20.2,17.3167,54.153,1.5
40,-82,0,10.1.21.1,92.1554,34.9037,1.5
41,-82,0,10.1.21.2,93.6115,32.2808,1.5
42,-82,0,10.1.22.1,79.9384,90.5827,1.5
43,-82,0,10.1.22.2,80.3787,93.5503,1.5
44,-82,0,10.1.23.1,61.8807,29.8898,1.5
45,-82,0,10.1.23.2,59.066,30.9276,1.5
46,-82,0,10.1.24.1,13.0939,55.3838,1.5
47,-82,0,10.1.24.2,16.0592,54.9292,1.5
48,-82,0,10.1.25.1,50.9757,57.6099,1.5
49,-82,0,10.1.25.2,53.7705,58.7003,1.5
50,-82,0,10.1.26.1,72.0222,42.8524,1.5
51,-82,0,10.1.26.2,69.3294,44.1749,1.5
52,-82,0,10.1.27.1,96.3352,7.86683,1.5
53,-82,0,10.1.27.2,97.439,5.07725,1.5
54,-82,0,10.1.28.1,71.0636,6.47494,1.5
55,-82,0,10.1.28.2,73.0552,8.71852,1.5
56,-82,0,10.1.29.1,36.6047,22.6091,1.5
57,-82,0,10.1.29.2,39.2509,24.0226,1.5
58,-82,0,10.1.30.1,17.4408,38.4772,1.5
