Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,181.653,60.4285,182.158,60.6638,2.48443,0.327484,96.823,0.390964,0.238136,0,0.065672,0,0,0.087156,534988,806761904,504336,760538688,500899,755355692,17933,82,0,0,0,0
1,0,0,0,0,2.4718,0.968592,0.606356,95.9738,95.4712,0,0.297348,0.07986,0,0.125388,0,0,0,0,0,0,0,0,500899,755355692,0,0
2,0,60.1732,0,60.4774,2.64308,0.357754,96.6694,0.394648,0.27938,0,0.054984,0,0,0.060284,534996,806773968,503272,758934176,498783,752164764,17894,83,0,0,0,0
3,0,0,0,0,2.62312,1.00711,0.6642,95.7651,95.2949,0,0.285936,0.074536,0,0.109764,0,0,0,0,0,0,0,0,498783,752164764,0,0
4,0,61.0196,0,61.0167,2.4053,0.289888,97.0934,0.218888,0.218888,0,0,0,0,0,535005,806787540,505885,762874580,505799,762744892,18077,0,0,0,0,0
5,0,0,0,0,2.40921,0.594768,0.581248,96.4169,96.1866,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505799,762744892,0,0
6,0,0.0317283,0,0,23.7511,74.3396,0.4555,0.810964,0.002136,0,0.000948,0,0,0.80788,69872,105366976,1269,1913652,263,396604,22,26,0,0,0,0
7,0,0,0,0,2.54515,95.705,0.003356,1.76704,0.10428,0,0.194004,0.1331,0,1.33565,0,0,0,0,0,0,0,0,263,396604,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,127.605,61.043,127.076,61.0559,2.40532,0.289328,97.1172,0.216988,0.216988,0,0,0,0,0,534988,806761904,506021,763079668,505993,763037444,18083,0,0,0,0,0
1,0,0,0,0,2.40922,0.594304,0.578648,96.4413,96.211,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505993,763037444,0,0
2,0,61.0379,0,61.039,2.44045,0.289296,97.1094,0.216964,0.216964,0,0,0,0,0,534996,806773968,505979,763016332,505951,762974108,18081,0,0,0,0,0
3,0,0,0,0,2.44436,0.594256,0.578584,96.4336,96.203,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,505951,762974108,0,0
