Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,94.6473,15.8782,89.2368,13.1558,6.81953,6.52443,76.195,10.4852,0.537384,0,0.282384,0,0,9.66539,534988,806761904,390020,588150160,131616,198476928,6178,7753,0,0,0,0
1,0,0,0,0,3.01693,13.8897,0.854848,82.2573,33.2396,0,0.579648,33.3539,0,15.0842,0,0,0,0,0,0,0,0,131616,198476928,0,0
2,0,15.879,0,13.0388,5.55738,6.9694,78.9861,8.54912,0.573516,0,0.120992,0,0,7.85462,534996,806773968,406252,612628016,131623,198487484,6105,8405,0,0,0,0
3,0,0,0,0,3.13295,11.3703,0.905484,84.6479,32.879,0,0.386244,40.292,0,11.0906,0,0,0,0,0,0,0,0,131623,198487484,0,0
4,0,60.2146,0,60.162,2.73152,0.329856,96.6045,0.343,0.343,0,0,0,0,0,535005,806787540,502566,757869528,499126,752682008,17960,0,0,0,0,0
5,0,0,0,0,2.73543,0.632864,0.75532,95.88,95.6497,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,499126,752682008,0,0
6,0,2.67555,0,2.88028,8.51571,20.591,64.7955,6.12295,0.572436,0,0.04428,0,0,5.50624,535013,806799604,327745,494239460,22178,33444424,2283,9457,0,0,0,0
7,0,0,0,0,3.03231,28.0912,0.845672,68.0506,12.5637,0,0.302796,46.3462,0,8.83788,0,0,0,0,0,0,0,0,22178,33444424,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,127.582,61.043,127.284,61.0559,2.40532,0.289328,97.1172,0.216988,0.216988,0,0,0,0,0,534988,806761904,506021,763079668,505993,763037444,18083,0,0,0,0,0
1,0,0,0,0,2.40922,0.594304,0.578648,96.4413,96.211,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505993,763037444,0,0
2,0,61.0379,0,61.039,2.44045,0.289296,97.1094,0.216964,0.216964,0,0,0,0,0,534996,806773968,505979,763016332,505951,762974108,18081,0,0,0,0,0
3,0,0,0,0,2.44436,0.594256,0.578584,96.4336,96.203,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,505951,762974108,0,0
4,0,5.44798,0,5.15133,4.87655,0.558978,93.5766,1.0585,0.99644,0,0.061776,0,0,0.000288,535005,806787540,482501,727611508,45159,68099772,14533,2774,0,0,0,0
5,0,0,0,0,5.00606,0.843504,1.62962,92.5861,77.8768,0,0.230572,14.4788,0,0,0,0,0,0,0,0,0,0,45159,68099772,0,0
6,0,0.0530816,0,0.0380016,10.9543,0.260992,88.0449,0.770952,0.770952,0,0,0,0,0,535013,806799604,447388,674661104,440,663520,334,15645,0,0,0,0
7,0,0,0,0,1.29016,10.7477,1.09719,86.8908,2.35342,0,0.299276,74.3073,0,9.93079,0,0,0,0,0,0,0,0,440,663520,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,141.88,10.9746,141.453,11.2859,2.99611,4.3491,39.8018,52.872,0.42534,0,52.4466,0,0,0,534988,806761904,204204,307939632,90970,137182760,6437,871,0,0,0,0
1,0,0,0,0,3.00742,9.17126,0.69912,87.1412,34.4642,0,0.974096,0,0,51.7029,0,0,0,0,0,0,0,0,90970,137182760,0,0
2,0,61.0336,0,61.039,2.4596,0.28928,97.1025,0.216956,0.216956,0,0,0,0,0,534996,806773968,505943,762962044,505915,762919820,18080,0,0,0,0,0
3,0,0,0,0,2.46351,0.594224,0.578556,96.4267,96.1962,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,505915,762919820,0,0
4,0,34.4122,0,34.0259,2.99452,2.06012,59.4993,35.4703,0.35046,0,35.1199,0,0,0,535005,806787540,308065,464562020,285247,430152476,10373,631,0,0,0,0
5,0,0,0,0,3.00191,2.2496,0.668196,94.0993,55.3947,0,1.18968,3.35431,0,34.1605,0,0,0,0,0,0,0,0,285247,430152476,0,0
6,0,35.4594,0,35.1026,4.35242,0.52336,94.1964,0.9516,0.9516,0,0,0,0,0,535013,806799604,486221,733221268,293927,443241916,17180,190,0,0,0,0
7,0,0,0,0,4.19777,0.979279,1.6058,93.2356,92.0003,0,0.230336,1.00491,0,0,0,0,0,0,0,0,0,0,293927,443241916,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,104.926,22.3229,103.734,21.8497,5.92169,0.417929,92.959,0.795984,0.795984,0,0,0,0,0,534988,806761904,478664,721825312,185037,279035796,10652,6444,0,0,0,0
1,0,0,0,0,1.69538,5.19454,1.28742,91.8867,57.2124,0,0.251344,32.5458,0,1.87721,0,0,0,0,0,0,0,0,185037,279035796,0,0
2,0,0.0902387,0,0.0717808,5.04495,5.96809,57.5018,31.5443,0.51156,0,0.30354,0,0,30.7292,534996,806773968,295075,444973100,748,1127984,470,10071,0,0,0,0
3,0,0,0,0,3.1944,37.4888,0.731896,58.6387,2.87476,0,0.258256,52.8552,0,2.65054,0,0,0,0,0,0,0,0,748,1127984,0,0
4,0,61.0358,0,61.039,2.40897,0.289296,97.1057,0.216964,0.216964,0,0,0,0,0,535005,806787540,505961,762989188,505933,762946964,18081,0,0,0,0,0
5,0,0,0,0,2.41287,0.59424,0.578584,96.4299,96.1996,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505933,762946964,0,0
6,0,21.4771,0,20.7736,5.76721,5.13963,73.3533,15.7986,0.44412,0,0.43854,0,0,14.9159,535013,806799604,376744,568129952,178026,268463208,6622,6834,0,0,0,0
7,0,0,0,0,3.20793,11.1654,0.728772,84.9513,35.5292,0,0.705628,29.2556,0,19.461,0,0,0,0,0,0,0,0,178026,268463208,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,234.266,54.8729,233.814,54.6668,4.21718,0.51168,94.3861,0.907592,0.907592,0,0,0,0,0,534988,806761904,487496,735143968,454848,685910784,17429,0,0,0,0,0
1,0,0,0,0,4.22109,0.806192,1.54719,93.4428,93.2124,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,454848,685910784,0,0
2,0,57.3249,0,57.0694,3.89828,0.465216,94.9602,0.763448,0.763448,0,0,0,0,0,534996,806773968,491383,741005564,475173,716560884,17561,0,0,0,0,0
3,0,0,0,0,3.90219,0.761856,1.34497,94.0728,93.8422,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,475173,716560884,0,0
4,0,61.0355,0,61.039,2.43669,0.28928,97.1053,0.216956,0.216956,0,0,0,0,0,535005,806787540,505959,762986172,505931,762943948,18080,0,0,0,0,0
5,0,0,0,0,2.4406,0.594208,0.578556,96.4295,96.1992,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505931,762943948,0,0
6,0,61.0331,0,61.039,2.40403,0.28928,97.1015,0.216956,0.216956,0,0,0,0,0,535013,806799604,505939,762956012,505911,762913788,18080,0,0,0,0,0
7,0,0,0,0,2.40794,0.594208,0.578556,96.4257,96.1954,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505911,762913788,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,244.144,61.0333,244.139,61.0221,2.46322,0.28928,97.1021,0.216952,0.216952,0,0,0,0,0,534988,806761904,505941,762959028,505913,762916804,18080,0,0,0,0,0
1,0,0,0,0,2.46713,0.594224,0.578552,96.4263,96.1958,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,505913,762916804,0,0
2,0,61.036,0,61.039,2.38932,0.289312,97.1061,0.216976,0.216976,0,0,0,0,0,534996,806773968,505963,762992204,505935,762949980,18082,0,0,0,0,0
3,0,0,0,0,2.39322,0.594272,0.578616,96.4305,96.2,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,505935,762949980,0,0
4,0,61.045,0,61.0559,2.47927,0.289328,97.1207,0.216992,0.216992,0,0,0,0,0,535005,806787540,506038,763105304,506010,763063080,18083,0,0,0,0,0
5,0,0,0,0,2.48318,0.59432,0.578652,96.4448,96.2142,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,506010,763063080,0,0
6,0,61.0297,0,61.0221,2.45389,0.289264,97.0964,0.216944,0.216944,0,0,0,0,0,535013,806799604,505911,762913788,505883,762871564,18079,0,0,0,0,0
7,0,0,0,0,2.4578,0.594192,0.578524,96.4206,96.1901,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,505883,762871564,0,0
