Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,182.633,60.8914,182.771,61.0052,2.41223,0.294752,96.886,0.434936,0.216848,0,0.066996,0,0,0.151092,534988,806761904,504812,761256496,504736,761141888,18031,1,0,0,0,0
1,0,0,0,0,2.41615,0.598928,0.577668,96.4299,95.9761,0,0.297332,0.005324,0,0.151092,0,0,0,0,0,0,0,0,504736,761141888,0,0
2,0,60.6323,0,60.729,2.5681,0.307877,96.7326,0.455872,0.259208,0,0.067168,0,0,0.129496,534996,806773968,503748,759651984,502589,757904212,17989,5,0,0,0,0
3,0,0,0,0,2.57204,0.611521,0.637048,96.2385,95.7846,0,0.29774,0.02662,0,0.129496,0,0,0,0,0,0,0,0,502589,757904212,0,0
4,0,61.0267,0,61.0366,2.40328,0.289632,97.0978,0.218084,0.218084,0,0,0,0,0,535005,806787540,505913,762916804,505858,762833864,18078,0,0,0,0,0
5,0,0,0,0,2.40719,0.594528,0.580124,96.4216,96.1913,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505858,762833864,0,0
6,0,0.0821558,0,0,0.101333,94.4565,0.232812,2.76896,0.000564,0,0.001008,0,0,2.76739,32366,48807928,821,1238068,681,1026948,27,5,0,0,0,0
7,0,0,0,0,2.48817,95.9989,0.001204,1.5343,0.129676,0,0.06954,0.02662,0,1.30847,0,0,0,0,0,0,0,0,681,1026948,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,127.364,61.043,127.086,61.0559,2.40532,0.289328,97.1172,0.216988,0.216988,0,0,0,0,0,534988,806761904,506021,763079668,505993,763037444,18083,0,0,0,0,0
1,0,0,0,0,2.40922,0.594304,0.578648,96.4413,96.211,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505993,763037444,0,0
2,0,61.0379,0,61.039,2.44045,0.289296,97.1094,0.216964,0.216964,0,0,0,0,0,534996,806773968,505979,763016332,505951,762974108,18081,0,0,0,0,0
3,0,0,0,0,2.44436,0.594256,0.578584,96.4336,96.203,0,0.230572,0,0,0,0,0,0,0,0,0,0,0,505951,762974108,0,0
4,0,5.25846,0,4.97097,4.8728,0.681276,93.3366,1.17994,0.991716,0,0.187872,0,0,0.000348,535005,806787540,481275,725762700,43588,65730704,14415,2810,0,0,0,0
5,0,0,0,0,5.25371,0.839808,1.62136,92.3505,77.2509,0,0.230572,14.869,0,0,0,0,0,0,0,0,0,0,43590,65733720,0,0
6,0,0.0242486,0,0.0205088,10.5933,0.260208,88.4017,0.773424,0.773424,0,0,0,0,0,535013,806799604,449768,678250144,201,303108,200,15864,0,0,0,0
7,0,0,0,0,1.72886,14.6972,1.09868,82.4986,1.64307,0,0.319848,70.4633,0,10.0723,0,0,0,0,0,0,0,0,201,303108,0,0
