Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,64.4661,69.8613,1.5
1,-82,0,10.1.1.2,60.1325,72.3552,1.5
2,-82,0,10.1.2.1,31.4097,50.9978,1.5
3,-82,0,10.1.2.2,35.5069,48.1319,1.5
4,-82,0,10.1.3.1,63.2343,34.698,1.5
5,-82,0,10.1.3.2,59.247,31.6812,1.5
6,-82,0,10.1.4.1,46.1084,63.4289,1.5
7,-82,0,10.1.4.2,44.4018,68.1286,1.5
8,-82,0,10.1.5.1,61.1531,34.5642,1.5
9,-82,0,10.1.5.2,59.2645,39.1938,1.5
10,-82,0,10.1.6.1,20.4936,64.7149,1.5
11,-82,0,10.1.6.2,21.5753,59.8333,1.5
12,-82,0,10.1.7.1,93.3015,78.3343,1.5
13,-82,0,10.1.7.2,89.4459,75.1509,1.5
14,-82,0,10.1.8.1,10.9768,20.968,1.5
15,-82,0,10.1.8.2,12.3672,25.7708,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,16.0842,21.7823,1.5
1,-82,0,10.1.1.2,17.5145,16.9912,1.5
2,-82,0,10.1.2.1,83.4484,20.7951,1.5
3,-82,0,10.1.2.2,79.2566,18.0696,1.5
4,-82,0,10.1.3.1,68.9674,77.3083,1.5
5,-82,0,10.1.3.2,71.8661,73.2343,1.5
6,-82,0,10.1.4.1,49.286,68.474,1.5
7,-82,0,10.1.4.2,52.9147,65.0342,1.5
8,-82,0,10.1.5.1,21.4185,34.6723,1.5
9,-82,0,10.1.5.2,18.8813,38.9807,1.5
10,-82,0,10.1.6.1,63.1528,29.4035,1.5
11,-82,0,10.1.6.2,65.5648,33.7832,1.5
12,-82,0,10.1.7.1,88.2171,20.7334,1.5
13,-82,0,10.1.7.2,92.3179,23.5941,1.5
14,-82,0,10.1.8.1,55.8164,20.4118,1.5
15,-82,0,10.1.8.2,54.1181,15.709,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,71.5343,24.6018,1.5
1,-82,0,10.1.1.2,75.1204,28.086,1.5
2,-82,0,10.1.2.1,19.4487,54.1711,1.5
3,-82,0,10.1.2.2,18.5145,59.0831,1.5
4,-82,0,10.1.3.1,76.1572,22.4259,1.5
5,-82,0,10.1.3.2,78.7022,26.7298,1.5
6,-82,0,10.1.4.1,69.1111,51.2702,1.5
7,-82,0,10.1.4.2,65.9138,47.4261,1.5
8,-82,0,10.1.5.1,34.0578,44.975,1.5
9,-82,0,10.1.5.2,29.0742,44.5705,1.5
10,-82,0,10.1.6.1,68.6704,68.5987,1.5
11,-82,0,10.1.6.2,63.689,69.0297,1.5
12,-82,0,10.1.7.1,94.9448,10.676,1.5
13,-82,0,10.1.7.2,92.2496,14.8874,1.5
14,-82,0,10.1.8.1,25.7828,80.7938,1.5
15,-82,0,10.1.8.2,20.7834,80.8722,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,66.3804,59.0237,1.5
1,-82,0,10.1.1.2,64.5354,54.3765,1.5
2,-82,0,10.1.2.1,47.5569,43.999,1.5
3,-82,0,10.1.2.2,52.4311,42.8848,1.5
4,-82,0,10.1.3.1,81.1692,88.1211,1.5
5,-82,0,10.1.3.2,76.4838,89.8665,1.5
6,-82,0,10.1.4.1,38.6634,31.6132,1.5
7,-82,0,10.1.4.2,35.8933,35.7757,1.5
8,-82,0,10.1.5.1,37.5306,75.869,1.5
9,-82,0,10.1.5.2,42.4762,75.1332,1.5
10,-82,0,10.1.6.1,13.0107,40.3434,1.5
11,-82,0,10.1.6.2,15.828,44.4741,1.5
12,-82,0,10.1.7.1,28.0889,49.4219,1.5
13,-82,0,10.1.7.2,28.4232,44.433,1.5
14,-82,0,10.1.8.1,53.0994,83.3534,1.5
15,-82,0,10.1.8.2,58.0635,83.9511,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,73.1949,19.4733,1.5
1,-82,0,10.1.1.2,70.4698,15.2812,1.5
2,-82,0,10.1.2.1,45.9361,9.08209,1.5
3,-82,0,10.1.2.2,49.6923,5.78201,1.5
4,-82,0,10.1.3.1,8.59498,78.7468,1.5
5,-82,0,10.1.3.2,5.6891,74.6779,1.5
6,-82,0,10.1.4.1,65.0388,88.3121,1.5
7,-82,0,10.1.4.2,70.0347,88.5155,1.5
8,-82,0,10.1.5.1,47.3314,32.8424,1.5
9,-82,0,10.1.5.2,46.1192,27.9916,1.5
10,-82,0,10.1.6.1,35.4224,6.90252,1.5
