Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,237.479,39.7438,239.556,39.8233,3.40569,17.4449,77.6161,1.56137,0.449748,0,0.0233,0,0,1.08832,534988,806761904,402061,606307988,329441,496797028,12119,2246,0,0,0,0
1,0,0,0,0,3.12485,3.35962,0.819132,92.7192,64.7206,0,0.67006,11.3669,0,15.9615,0,0,0,0,0,0,0,0,329441,496797028,0,0
2,0,8.86656,0,9.0667,2.45182,32.6325,26.323,38.6529,0.27498,0,0.722064,0,0,37.6558,534996,806773968,134789,203261812,73496,110831968,3851,968,0,0,0,0
3,0,0,0,0,3.43519,69.6384,0.447788,26.5387,20.6863,0,0.356292,5.03955,0,0.45662,0,0,0,0,0,0,0,0,73514,110859112,0,0
4,0,33.471,0,34.0778,2.61233,1.24155,61.0359,35.1158,0.203976,0,34.9118,0,0,0,535005,806787540,316962,477978696,277445,418387060,9930,1391,0,0,0,0
5,0,0,0,0,2.62262,8.87299,0.437916,88.0668,52.9258,0,35.141,0,0,0,0,0,0,0,0,0,0,0,277445,418387060,0,0
6,0,0.0670758,0,0.078416,2.87459,65.0176,30.0542,2.07642,0.269796,0,0.117912,0,0,1.68872,535013,806799604,153836,231984688,556,838448,523,4973,0,0,0,0
7,0,0,0,0,2.67567,66.0071,0.390124,30.9498,2.98213,0,0.361476,26.0935,0,1.51271,0,0,0,0,0,0,0,0,556,838448,0,0
8,0,16.612,0,16.6344,2.61028,4.03245,39.6441,53.7135,0.35454,0,53.3589,0,0,0,535022,806813176,203883,307455564,137699,207650092,6369,917,0,0,0,0
9,0,0,0,0,2.62066,8.86563,0.5978,87.9162,34.0985,0,3.87842,0.228932,0,49.7104,0,0,0,0,0,0,0,0,137682,207624456,0,0
10,0,26.9724,0,28.1085,4.27318,2.02163,74.4463,19.3524,0.619776,0,0.338772,0,0,18.3939,535031,806826748,384483,579800364,223578,337155624,12296,1442,0,0,0,0
11,0,0,0,0,3.71527,2.83295,1.06276,92.4773,65.796,0,0.742728,6.97825,0,18.9603,0,0,0,0,0,0,0,0,223580,337158640,0,0
12,0,50.7207,0,50.7532,4.26046,0.519392,94.2895,0.931004,0.931004,0,0,0,0,0,535039,806838812,486845,734162260,420430,634008440,17421,2,0,0,0,0
13,0,0,0,0,4.26437,0.813808,1.58024,93.342,93.1112,0,0.230336,0.000384,0,0,0,0,0,0,0,0,0,0,420430,634008440,0,0
14,0,61.0253,0,61.0137,2.43417,0.290144,97.106,0.219512,0.219512,0,0,0,0,0,535048,806852384,505947,762968076,505846,762815768,18081,0,0,0,0,0
15,0,0,0,0,2.43808,0.595088,0.582192,96.4292,96.1988,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505846,762815768,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,130.155,27.975,133.772,28.4837,3.0151,1.60702,52.2764,43.1308,0.175272,0,0.31484,0,0,42.6407,534988,806761904,271054,408749432,231888,349687104,8334,1348,0,0,0,0
1,0,0,0,0,2.86174,2.07964,0.373448,94.7091,44.4267,0,0.48634,6.23517,0,43.5609,0,0,0,0,0,0,0,0,231888,349687104,0,0
2,0,0.766305,0,0.809494,2.77742,4.11419,31.3803,61.7788,0.310056,0,47.5355,1.2e-05,0,13.9333,534996,806773968,160742,242398936,6352,9578816,2950,2793,0,0,0,0
