Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,241.388,40.67,244.647,41.6636,3.30553,16.8059,78.2527,1.66404,0.427704,0,0.02944,0,0,1.2069,534988,806761904,405686,611774488,337119,508375452,12330,2162,0,0,0,0
1,0,0,0,0,3.06397,2.89114,0.791204,93.2765,65.8469,0,0.678452,11.3818,0,15.3694,0,0,0,0,0,0,0,0,337119,508375452,0,0
2,0,8.96958,0,9.08118,2.34177,32.3819,23.3799,41.9569,0.246804,0,0.719912,0,0,40.9902,534996,806773968,119576,180320608,74350,112119800,3599,677,0,0,0,0
3,0,0,0,0,3.45696,72.5406,0.403828,23.6497,19.3008,0,0.348892,3.57735,0,0.42266,0,0,0,0,0,0,0,0,74350,112119800,0,0
4,0,33.5902,0,34.0506,2.57961,1.16692,60.9428,35.3169,0.197544,0,35.1194,0,0,0,535005,806787540,316516,477306128,278433,419876964,9958,1348,0,0,0,0
5,0,0,0,0,2.58972,8.56423,0.429224,88.4177,53.0685,0,35.3492,0,0,0,0,0,0,0,0,0,0,0,278433,419876964,0,0
6,0,0.0623709,0,0.0597168,2.89933,65.9985,29.2595,1.87107,0.262296,0,0.098016,0,0,1.51076,535013,806799604,149694,225738552,517,779636,486,4862,0,0,0,0
7,0,0,0,0,2.71793,66.9722,0.379216,29.9537,2.77999,0,0.344004,25.4976,0,1.3321,0,0,0,0,0,0,0,0,517,779636,0,0
8,0,17.2515,0,17.5911,2.57769,3.92784,39.6533,53.8421,0.346188,0,53.4959,0,0,0,535022,806813176,203987,307612396,143000,215644000,6417,871,0,0,0,0
9,0,0,0,0,2.58793,8.5572,0.586688,88.269,34.3612,0,3.79355,0.181588,0,49.9327,0,0,0,0,0,0,0,0,143000,215644000,0,0
10,0,29.015,0,30.277,4.08737,1.48027,75.1985,19.3227,0.606936,0,0.333696,0,0,18.3821,535031,806826748,388634,586060072,240509,362687572,12950,958,0,0,0,0
11,0,0,0,0,3.67399,2.05168,1.05414,93.3091,69.2263,0,0.731152,4.65704,0,18.6946,0,0,0,0,0,0,0,0,240509,362687572,0,0
12,0,50.7962,0,50.8884,4.27531,0.521184,94.268,0.936528,0.936528,0,0,0,0,0,535039,806838812,486698,733940584,421056,634952448,17417,3,0,0,0,0
13,0,0,0,0,4.27923,0.8156,1.58801,93.3129,93.082,0,0.230336,0.000576,0,0,0,0,0,0,0,0,0,0,421056,634952448,0,0
14,0,61.033,0,61.0354,2.43098,0.289728,97.1101,0.218228,0.218228,0,0,0,0,0,535048,806852384,505976,763011808,505910,762912280,18082,0,0,0,0,0
15,0,0,0,0,2.43489,0.594688,0.580388,96.4337,96.2034,0,0.230336,0,0,0,0,0,0,0,0,0,0,0,505910,762912280,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,136.645,28.3911,137.972,28.883,2.75173,1.28567,51.7401,44.2509,0.162588,0,0.30892,0,0,43.7794,534988,806761904,268439,404806012,235337,354888196,8437,1152,0,0,0,0
1,0,0,0,0,2.81274,1.54071,0.356888,95.3127,44.9591,0,0.486256,5.69212,0,44.1753,0,0,0,0,0,0,0,0,235337,354888196,0,0
2,0,0.887428,0,0.894546,2.82858,4.21803,32.3499,60.6539,0.323988,0,52.1856,1.2e-05,0,8.14434,534996,806773968,165739,249934412,7356,11092848,3391,2534,0,0,0,0
3,0,0,0,0,1.70059,6.62609,0.545304,91.134,18.278,0,0.579652,12.6474,0,59.6289,0,0,0,0,0,0,0,0,7362,11101896,0,0
4,0,1.9528,0,1.75592,5.49628,0.470141,93.0864,1.01867,0.896016,0,0.122112,0,0,0.00054,535005,806787540,479968,723791744,16187,24409996,6388,10771,0,0,0,0
5,0,0,0,0,5.45907,1.13952,1.36528,92.1023,34.607,0,0.230572,57.2648,0,0,0,0,0,0,0,0,0,0,16188,24411504,0,0
6,0,0.125104,0,0.108576,8.91354,0.871248,89.4477,0.796332,0.796332,0,0,0,0,0,535013,806799604,457274,689569192,1037,1563796,1037,15296,0,0,0,0
7,0,0,0,0,1.53387,12.2966,1.14369,85.0493,6.1089,0,0.293264,71.4753,0,7.1719,0,0,0,0,0,0,0,0,1037,1563796,0,0
8,0,28.1779,0,28.5247,2.87872,1.27606,51.4064,44.4619,0.163152,0,0.305612,0,0,43.9931,535022,806813176,266728,402225824,233570,352223560,8380,1153,0,0,0,0
9,0,0,0,0,2.80982,1.5055,0.357036,95.3507,44.6359,0,0.485572,5.83948,0,44.3897,0,0,0,0,0,0,0,0,233570,352223560,0,0
10,0,2.61825,0,2.57024,3.56937,4.28069,37.6356,54.5203,0.388992,0,0.535044,0,0,53.5963,535031,806826748,192772,290700176,21703,32728124,4968,1931,0,0,0,0
11,0,0,0,0,3.09365,21.8406,0.625796,74.4458,26.6639,0,0.485792,9.5429,0,37.7532,0,0,0,0,0,0,0,0,21703,32728124,0,0
12,0,40.0197,0,40.0501,2.96912,0.85591,67.6375,28.5932,0.218508,0,28.3745,0.000132,0,1.2e-05,535039,806838812,351544,530128352,331728,500245824,11885,672,0,0,0,0
13,0,0,0,0,2.72114,1.16032,0.4925,95.6764,63.4683,0,0.961884,3.42885,0,27.8173,0,0,0,0,0,0,0,0,332457,501345156,0,0
