Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,204.969,20.1913,204.716,20.2307,1.67353,4.92316,34.4593,58.9526,0.091616,0,50.5172,0,0,8.3438,534988,806761904,178585,269306180,167368,252390944,5979,399,0,0,0,0
1,0,0,0,0,1.67998,3.71929,0.219476,94.3846,31.842,0,50.7634,2.12428,0,9.65494,0,0,0,0,0,0,0,0,167368,252390944,0,0
2,0,10.5964,0,10.8769,1.03936,7.89345,17.0648,74.0058,0.037748,0,62.6452,0,0,11.3228,534996,806773968,87837,132458196,87835,132455180,3138,0,0,0,0,0
3,0,0,0,0,1.04328,8.00949,0.100548,90.85,16.7017,0,60.3516,0,0,13.7968,0,0,0,0,0,0,0,0,87835,132455180,0,0
4,0,4.4895,0,4.30685,0.597295,38.9663,7.37372,53.0661,0.01596,0,19.0046,0,0,34.0455,535005,806787540,37214,56118712,37214,56118712,1330,0,0,0,0,0
5,0,0,0,0,0.601359,38.6688,0.04256,60.6907,7.07598,0,13.5575,0,0,40.0572,0,0,0,0,0,0,0,0,37214,56118712,0,0
6,0,6.31731,0,6.24915,0.625353,24.712,10.2795,64.3821,0.0225,0,27.0118,0,0,37.3478,535013,806799604,52393,79008644,52365,78966420,1871,1,0,0,0,0
7,0,0,0,0,0.719281,24.6686,0.059972,74.5555,9.96219,0,26.6834,0,0,37.9099,0,0,0,0,0,0,0,0,52393,79008644,0,0
8,0,10.5404,0,10.2653,1.07042,16.4894,17.261,65.1839,0.052044,0,32.3189,0,0,32.813,535022,806813176,88777,133875716,87371,131755468,3149,21,0,0,0,0
9,0,0,0,0,1.07076,16.213,0.120964,82.5946,16.7739,0,35.1418,0.111804,0,30.5672,0,0,0,0,0,0,0,0,87371,131755468,0,0
10,0,8.56592,0,8.43575,0.971751,16.8449,14.0788,68.1092,0.039752,0,45.6477,0,0,22.4217,535031,806826748,72185,108854980,71004,107074032,2573,5,0,0,0,0
11,0,0,0,0,1.01004,16.8104,0.094912,82.0839,13.7002,0,44.6104,0.02662,0,23.7467,0,0,0,0,0,0,0,0,71004,107074032,0,0
