Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,5.64294,5.88272,1.5
1,-82,15,10.1.1.2,3.04276,7.37908,1.5
2,-82,23,10.1.2.1,14.1738,5.04435,1.5
3,-82,15,10.1.2.2,16.6321,3.32483,1.5
4,-82,23,10.1.3.1,25.5882,4.31991,1.5
5,-82,15,10.1.3.2,23.1958,2.50981,1.5
6,-82,23,10.1.4.1,34.827,5.59684,1.5
7,-82,15,10.1.4.2,33.8031,8.41669,1.5
8,-82,23,10.1.5.1,45.4957,4.31397,1.5
9,-82,15,10.1.5.2,44.3626,7.09173,1.5
10,-82,23,10.1.6.1,53.6886,5.654,1.5
11,-82,15,10.1.6.2,54.3376,2.72503,1.5
12,-82,23,10.1.7.1,66.9245,6.2593,1.5
13,-82,15,10.1.7.2,64.6111,4.34925,1.5
14,-82,23,10.1.8.1,73.2656,3.70969,1.5
15,-82,15,10.1.8.2,74.0999,6.59136,1.5
16,-82,23,10.1.9.1,84.5707,3.71582,1.5
17,-82,15,10.1.9.2,83.7687,0.825021,1.5
18,-82,23,10.1.10.1,95.7554,5.65904,1.5
19,-82,15,10.1.10.2,94.2734,8.26742,1.5
20,-82,23,10.1.11.1,6.12451,13.9524,1.5
21,-82,15,10.1.11.2,3.16854,13.4403,1.5
22,-82,23,10.1.12.1,15.0917,16.4639,1.5
23,-82,15,10.1.12.2,12.1017,16.7089,1.5
24,-82,23,10.1.13.1,26.5117,13.2019,1.5
25,-82,15,10.1.13.2,27.4909,10.3662,1.5
26,-82,23,10.1.14.1,35.8005,16.2149,1.5
27,-82,15,10.1.14.2,37.1254,13.5233,1.5
28,-82,23,10.1.15.1,45.8515,13.1756,1.5
29,-82,15,10.1.15.2,48.846,13.3582,1.5
30,-82,23,10.1.16.1,55.5921,14.8064,1.5
31,-82,15,10.1.16.2,58.5786,15.0911,1.5
32,-82,23,10.1.17.1,63.5898,16.8111,1.5
33,-82,15,10.1.17.2,66.3994,17.8626,1.5
34,-82,23,10.1.18.1,76.7321,13.6774,1.5
35,-82,15,10.1.18.2,79.4972,14.8412,1.5
36,-82,23,10.1.19.1,83.6426,15.3083,1.5
37,-82,15,10.1.19.2,82.3684,18.0242,1.5
38,-82,23,10.1.20.1,95.4449,14.2544,1.5
39,-82,15,10.1.20.2,96.7659,16.9478,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,3.49263,3.74588,1.5
1,-82,15,10.1.1.2,4.35084,0.871252,1.5
2,-82,23,10.1.2.1,16.4866,3.70201,1.5
3,-82,15,10.1.2.2,13.9715,2.0667,1.5
4,-82,23,10.1.3.1,25.843,6.2137,1.5
5,-82,15,10.1.3.2,27.5822,3.7693,1.5
6,-82,23,10.1.4.1,34.9683,5.82107,1.5
7,-82,15,10.1.4.2,37.1455,3.75722,1.5
8,-82,23,10.1.5.1,43.7297,4.31877,1.5
9,-82,15,10.1.5.2,42.2074,6.90382,1.5
10,-82,23,10.1.6.1,55.5846,4.0846,1.5
11,-82,15,10.1.6.2,57.0318,6.71246,1.5
12,-82,23,10.1.7.1,66.6985,3.69926,1.5
13,-82,15,10.1.7.2,69.159,5.41567,1.5
14,-82,23,10.1.8.1,75.2585,3.68497,1.5
15,-82,15,10.1.8.2,74.2396,0.863315,1.5
16,-82,23,10.1.9.1,85.8635,6.06674,1.5
17,-82,15,10.1.9.2,86.8641,8.89495,1.5
18,-82,23,10.1.10.1,95.373,5.17609,1.5
19,-82,15,10.1.10.2,98.2976,5.84428,1.5
20,-82,23,10.1.11.1,4.1472,13.6419,1.5
21,-82,15,10.1.11.2,1.18901,13.1428,1.5
22,-82,23,10.1.12.1,13.3136,13.3017,1.5
23,-82,15,10.1.12.2,15.7218,15.0907,1.5
24,-82,23,10.1.13.1,24.2269,16.3568,1.5
25,-82,15,10.1.13.2,27.0147,15.2485,1.5
26,-82,23,10.1.14.1,34.3261,14.8266,1.5
27,-82,15,10.1.14.2,35.9542,12.3069,1.5
28,-82,23,10.1.15.1,46.7087,16.9584,1.5
29,-82,15,10.1.15.2,43.8223,16.1405,1.5
30,-82,23,10.1.16.1,53.9603,15.6136,1.5
31,-82,15,10.1.16.2,52.1258,17.9873,1.5
32,-82,23,10.1.17.1,64.5161,15.1513,1.5
33,-82,15,10.1.17.2,62.8165,17.6234,1.5
34,-82,23,10.1.18.1,75.4316,15.2091,1.5
35,-82,15,10.1.18.2,77.2741,17.5766,1.5
36,-82,23,10.1.19.1,83.7131,13.7208,1.5
37,-82,15,10.1.19.2,86.6074,12.9315,1.5
38,-82,23,10.1.20.1,93.7345,15.201,1.5
39,-82,15,10.1.20.2,90.7894,14.6302,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,5.95708,3.87119,1.5
1,-82,15,10.1.1.2,8.10872,5.96175,1.5
2,-82,23,10.1.2.1,13.6422,5.18538,1.5
3,-82,15,10.1.2.2,13.0816,8.13255,1.5
4,-82,23,10.1.3.1,26.1625,3.77448,1.5
5,-82,15,10.1.3.2,27.6895,6.3568,1.5
6,-82,23,10.1.4.1,35.8494,5.05645,1.5
7,-82,15,10.1.4.2,33.931,2.74995,1.5
8,-82,23,10.1.5.1,44.2915,4.77667,1.5
9,-82,15,10.1.5.2,41.3013,4.53396,1.5
10,-82,23,10.1.6.1,55.8298,5.82661,1.5
11,-82,15,10.1.6.2,52.841,6.08519,1.5
12,-82,23,10.1.7.1,66.9975,3.25227,1.5
13,-82,15,10.1.7.2,65.3805,5.77913,1.5
14,-82,23,10.1.8.1,73.9237,6.36861,1.5
15,-82,15,10.1.8.2,70.9241,6.41568,1.5
16,-82,23,10.1.9.1,85.4153,3.31514,1.5
17,-82,15,10.1.9.2,83.7272,5.79508,1.5
18,-82,23,10.1.10.1,95.1373,3.41808,1.5
19,-82,15,10.1.10.2,97.7669,1.9741,1.5
20,-82,23,10.1.11.1,6.68056,14.9214,1.5
21,-82,15,10.1.11.2,9.39199,16.2052,1.5
22,-82,23,10.1.12.1,14.8208,14.4638,1.5
23,-82,15,10.1.12.2,12.0639,15.647,1.5
24,-82,23,10.1.13.1,25.8283,13.0234,1.5
25,-82,15,10.1.13.2,23.3821,14.76,1.5
26,-82,23,10.1.14.1,34.6069,16.8036,1.5
27,-82,15,10.1.14.2,37.6069,16.8254,1.5
28,-82,23,10.1.15.1,44.7448,16.0376,1.5
29,-82,15,10.1.15.2,47.5452,14.9617,1.5
30,-82,23,10.1.16.1,56.4184,15.8572,1.5
31,-82,15,10.1.16.2,53.4416,16.2297,1.5
32,-82,23,10.1.17.1,63.6426,15.5026,1.5
33,-82,15,10.1.17.2,61.9563,13.0213,1.5
34,-82,23,10.1.18.1,73.2879,16.9071,1.5
35,-82,15,10.1.18.2,74.9928,19.3756,1.5
36,-82,23,10.1.19.1,83.6631,13.4609,1.5
37,-82,15,10.1.19.2,84.8643,10.7119,1.5
38,-82,23,10.1.20.1,95.5092,13.4357,1.5
39,-82,15,10.1.20.2,96.4744,16.2762,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,5.72802,5.40105,1.5
1,-82,15,10.1.1.2,4.62103,2.61276,1.5
2,-82,23,10.1.2.1,14.8914,4.73329,1.5
3,-82,15,10.1.2.2,17.816,4.06474,1.5
4,-82,23,10.1.3.1,26.3853,6.69427,1.5
5,-82,15,10.1.3.2,23.574,7.74147,1.5
6,-82,23,10.1.4.1,34.4962,4.18281,1.5
7,-82,15,10.1.4.2,32.8341,6.6803,1.5
8,-82,23,10.1.5.1,44.4458,6.14973,1.5
9,-82,15,10.1.5.2,47.4131,5.70828,1.5
10,-82,23,10.1.6.1,53.356,4.57082,1.5
11,-82,15,10.1.6.2,55.0464,7.04925,1.5
12,-82,23,10.1.7.1,64.0262,4.9743,1.5
13,-82,15,10.1.7.2,64.2267,1.98102,1.5
14,-82,23,10.1.8.1,75.1378,6.48237,1.5
15,-82,15,10.1.8.2,78.1162,6.841,1.5
16,-82,23,10.1.9.1,83.5997,5.20244,1.5
17,-82,15,10.1.9.2,86.3623,6.37203,1.5
18,-82,23,10.1.10.1,95.7916,3.04006,1.5
19,-82,15,10.1.10.2,95.3095,6.00107,1.5
20,-82,23,10.1.11.1,3.78206,14.1149,1.5
21,-82,15,10.1.11.2,3.83121,17.1145,1.5
22,-82,23,10.1.12.1,15.3352,13.474,1.5
23,-82,15,10.1.12.2,18.2715,14.089,1.5
24,-82,23,10.1.13.1,25.8651,15.734,1.5
25,-82,15,10.1.13.2,28.5427,17.087,1.5
26,-82,23,10.1.14.1,36.062,14.7068,1.5
27,-82,15,10.1.14.2,36.1328,17.7059,1.5
28,-82,23,10.1.15.1,43.2557,14.1292,1.5
29,-82,15,10.1.15.2,43.2836,11.1294,1.5
30,-82,23,10.1.16.1,56.5451,15.6374,1.5
31,-82,15,10.1.16.2,53.6201,14.9708,1.5
32,-82,23,10.1.17.1,65.6114,16.3616,1.5
33,-82,15,10.1.17.2,62.7196,17.16,1.5
34,-82,23,10.1.18.1,74.8397,16.1397,1.5
35,-82,15,10.1.18.2,75.3327,13.1804,1.5
36,-82,23,10.1.19.1,84.5674,14.6731,1.5
37,-82,15,10.1.19.2,86.7249,16.7577,1.5
38,-82,23,10.1.20.1,96.0682,16.9305,1.5
39,-82,15,10.1.20.2,95.5228,19.8805,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,23,10.1.1.1,6.03089,3.64326,1.5
1,-82,15,10.1.1.2,4.39581,1.128,1.5
2,-82,23,10.1.2.1,14.8194,3.18143,1.5
3,-82,15,10.1.2.2,17.0731,1.20137,1.5
4,-82,23,10.1.3.1,23.1598,6.27763,1.5
5,-82,15,10.1.3.2,21.4162,3.8363,1.5
6,-82,23,10.1.4.1,35.6684,6.70276,1.5
7,-82,15,10.1.4.2,38.6659,6.82479,1.5
8,-82,23,10.1.5.1,44.8814,4.23744,1.5
9,-82,15,10.1.5.2,44.154,1.32695,1.5
10,-82,23,10.1.6.1,54.3521,3.08456,1.5
