Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,295.473,46.8843,322.129,52.7227,1.33239,2.06754,39.232,7.37767,0.10512,0,2.96823,4.8e-05,0,4.30427,267494,403380952,203950,307556600,194315,293027020,7024,262,0,0,0,0
1,0,0,0,0,1.39603,2.6363,0.254484,45.7175,37.4003,0,1.20952,0.426112,0,6.68156,0,0,0,0,0,0,0,0,194315,293027020,0,0
2,0,1.85014,0,0,1.39858,6.4055,2.05836,40.1419,0.012216,0,0.646764,1.2e-05,0,39.4829,151354,228241832,10025,15117700,7668,11563344,290,69,0,0,0,0
3,0,0,0,0,0.046402,7.99734,0.021688,41.9389,1.55584,0,0.659448,0.165236,0,39.5584,0,0,0,0,0,0,0,0,7669,11564852,0,0
4,0,6.0928,0,6.14661,0.401501,7.35484,5.68029,36.568,0.017408,0,0.308572,0,0,36.242,267502,403393016,28925,43618900,25252,38080016,903,131,0,0,0,0
5,0,0,0,0,0.0717653,7.75468,0.03824,42.1399,4.8127,0,0.804928,0,0,36.5223,0,0,0,0,0,0,0,0,25280,38122240,0,0
6,0,37.4826,0,44.6851,1.28169,4.66134,31.8911,12.1757,0.088428,0,1.37037,0,0,10.7169,267506,403399048,165537,249629796,155349,234266292,5553,359,0,0,0,0
7,0,0,0,0,0.14614,7.30481,0.208632,42.345,29.5912,0,2.22224,0.266392,0,10.2652,0,0,0,0,0,0,0,0,155405,234350740,0,0
8,0,6.9672,0,5.60132,0.616484,13.783,7.42816,28.1724,0.039384,0,1.02505,0,0,27.108,267511,403406588,37720,56881760,28876,43545008,1094,255,0,0,0,0
9,0,0,0,0,0.112249,29.3394,0.072436,20.476,5.86019,0,1.19417,0.308984,0,13.1126,0,0,0,0,0,0,0,0,28958,43668664,0,0
10,0,8.0409,0,7.96526,0.865378,9.66746,9.77036,29.697,0.054792,0,0.953576,0,0,28.6887,267515,403412620,49712,74965696,33326,50255608,1354,423,0,0,0,0
11,0,0,0,0,0.110231,23.4106,0.098064,26.3812,7.24506,0,1.552,1.11823,0,16.4659,0,0,0,0,0,0,0,0,33373,50326484,0,0
12,0,8.72396,0,8.46169,1.01935,12.6023,12.4675,23.9112,0.094068,0,1.30726,2.4e-05,0,22.5098,267519,403418652,63660,95999280,36157,54524756,1879,396,0,0,0,0
13,0,0,0,0,0.105181,15.744,0.161544,33.989,10.0709,0,2.01729,0.979808,0,20.9209,0,0,0,0,0,0,0,0,36200,54589600,0,0
14,0,18.4367,0,13.9611,0.807434,7.27109,16.7071,25.216,0.051264,0,1.35484,0,0,23.8099,267524,403426192,86353,130220324,76412,115229296,2756,328,0,0,0,0
15,0,0,0,0,0.0640024,9.16214,0.114028,40.6561,14.6972,0,1.72423,0.2238,0,24.0109,0,0,0,0,0,0,0,0,76468,115313744,0,0
16,0,22.2072,0,37.3302,1.3362,9.08907,21.1222,18.4488,0.07314,0,2.00961,0,0,16.3661,267528,403432224,108837,164126196,92039,138794812,3347,541,0,0,0,0
17,0,0,0,0,0.141535,10.7722,0.15382,38.9286,17.8442,0,1.86706,0.894624,0,18.3228,0,0,0,0,0,0,0,0,92039,138794812,0,0
18,0,5.56102,0,2.40556,1.69333,20.5782,11.2714,16.472,0.077388,0,1.28888,0,0,15.1057,267532,403438256,56609,85366372,23048,34756384,1061,966,0,0,0,0
19,0,0,0,0,0.428954,21.9165,0.125888,27.5383,5.67728,0,3.85195,3.71406,0,14.295,0,0,0,0,0,0,0,0,23048,34756384,0,0
20,0,4.21589,0,3.14689,1.00474,4.40618,6.70952,37.9016,0.03918,0,2.86596,0,0,34.9965,267537,403445796,33630,50714040,17473,26349284,697,505,0,0,0,0
21,0,0,0,0,0.203369,4.51362,0.06596,45.2214,3.73394,0,37.4187,1.38496,0,2.68372,0,0,0,0,0,0,0,0,17473,26349284,0,0
22,0,0.695369,0,0,0.850723,35.9563,2.14975,11.0253,0.015864,0,4.67212,0,0,6.33726,150657,227190756,10375,15645500,2882,4346056,150,222,0,0,0,0
23,0,0,0,0,0.144013,38.0113,0.025472,11.8013,0.809544,0,2.02678,0.862908,0,8.10205,0,0,0,0,0,0,0,0,2882,4346056,0,0
24,0,44.8933,0,52.1213,1.31833,6.10991,37.978,4.60175,0.099024,0,0.20794,0,0,4.29478,267544,403456352,197291,297514828,186063,280583004,6648,400,0,0,0,0
25,0,0,0,0,0.0353095,9.14371,0.240036,40.5836,35.3983,0,0.400932,0,0,4.78432,0,0,0,0,0,0,0,0,186091,280625228,0,0
26,0,2.5554,0,0.549515,0.450459,12.9145,3.54318,33.0964,0.019092,0,0.820492,0,0,32.2568,267547,403460876,17603,26545324,10591,15971228,427,203,0,0,0,0
27,0,0,0,0,0.083291,33.7868,0.03352,15.7725,2.27683,0,0.534204,0.686796,0,12.2746,0,0,0,0,0,0,0,0,10591,15971228,0,0
28,0,5.46596,0,4.19707,0.645019,12.2538,7.5568,29.5658,0.044352,0,0.709728,0,0,28.8117,267552,403468416,38369,57860452,22654,34162232,1044,328,0,0,0,0
29,0,0,0,0,0.0462078,28.0591,0.078696,21.8205,5.57558,0,4.82299,0.966688,0,10.4552,0,0,0,0,0,0,0,0,22654,34162232,0,0
30,0,24.4417,0,25.5883,1.91589,6.84163,26.2306,15.0173,0.113568,0,0.529444,0,0,14.3743,267557,403475956,134871,203385468,101300,152760400,3808,1008,0,0,0,0
31,0,0,0,0,0.120888,13.4363,0.21804,36.2249,20.3291,0,1.03848,2.31594,0,12.5414,0,0,0,0,0,0,0,0,101326,152799608,0,0
32,0,3.66118,0,3.90753,0.645574,15.7042,7.07028,26.58,0.06324,0,0.740852,0.000108,0,25.7758,267561,403481988,35803,53990924,15174,22882392,794,488,0,0,0,0
33,0,0,0,0,0.120854,17.0782,0.102328,32.6987,4.31306,0,1.00486,2.08264,0,25.2981,0,0,0,0,0,0,0,0,15298,23069384,0,0
34,0,6.05733,0,2.78497,2.31205,17.2735,6.78613,23.6246,0.030624,0,1.149,0,0,22.4449,224673,338806884,34367,51825436,25105,37858340,956,272,0,0,0,0
35,0,0,0,0,0.0794717,12.5358,0.057792,37.3232,5.10091,0,2.02926,0.761332,0,29.4317,0,0,0,0,0,0,0,0,25105,37858340,0,0
36,0,2.2234,0,0.539864,0.377204,11.0365,3.29975,35.2967,0.023088,0,4.03953,4.8e-05,0,31.234,267569,403494052,16401,24732708,9215,13896220,388,198,0,0,0,0
37,0,0,0,0,0.216158,7.90631,0.04016,41.8476,2.07907,0,4.15572,0.468512,0,35.1443,0,0,0,0,0,0,0,0,9215,13896220,0,0
38,0,39.0171,0,50.0143,2.48142,5.78226,36.5224,5.22408,0.140328,0,1.99009,0,0,3.09366,267574,403501592,188112,283672896,161709,243857172,6030,691,0,0,0,0
39,0,0,0,0,0.822001,5.81831,0.28938,43.0799,32.1511,0,2.10992,0.298144,0,8.52075,0,0,0,0,0,0,0,0,161729,243887332,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,289.222,1.78885,320.156,0.219565,3.79454,8.70342,17.7091,19.808,0.158316,0,1.0641,0,0,18.5856,267494,403380952,87812,132420496,7414,11180312,713,2424,0,0,0,0
1,0,0,0,0,0.296104,12.163,0.235316,37.3061,3.90851,0,4.32187,10.5416,0,18.5341,0,0,0,0,0,0,0,0,7414,11180312,0,0
2,0,0.699229,0,0.0434304,3.24001,21.4514,2.14192,23.1672,0.016332,0,1.14288,0,0,22.008,198824,299826592,10389,15666612,2898,4370184,161,211,0,0,0,0
3,0,0,0,0,0.0405674,20.4775,0.02582,29.4564,0.87872,0,3.43748,0.83606,0,24.3042,0,0,0,0,0,0,0,0,2922,4406376,0,0
4,0,11.9438,0,7.58041,0.875361,4.17952,12.6079,32.3395,0.056016,0,11.934,0,0,20.3494,267502,403393016,64737,97623396,49502,74649016,1832,481,0,0,0,0
5,0,0,0,0,0.0945377,21.497,0.106972,28.3037,9.77916,0,6.84414,1.28328,0,10.3971,0,0,0,0,0,0,0,0,49502,74649016,0,0
6,0,35.2718,0,47.2879,1.28658,3.28372,30.8168,14.6204,0.089256,0,10.5354,0,0,3.99579,267506,403399048,159853,241058324,146186,220448488,5238,471,0,0,0,0
7,0,0,0,0,0.10659,6.54869,0.20508,43.1419,27.9176,0,9.24872,0.564536,0,5.41109,0,0,0,0,0,0,0,0,146242,220532936,0,0
8,0,1.78764,0,0,1.19206,27.402,3.07175,18.3415,0.021972,0,0.911052,0,0,17.4084,115561,174265988,15098,22767784,7409,11172772,387,154,0,0,0,0
9,0,0,0,0,0.126535,11.6849,0.037032,38.1589,2.07437,0,5.78535,0.490036,0,29.8091,0,0,0,0,0,0,0,0,7422,11192376,0,0
10,0,13.2429,0,17.5417,0.676639,5.6512,12.2384,31.4371,0.038712,0,1.17033,0,0,30.2281,267515,403412620,63114,95175912,54886,82768088,1962,293,0,0,0,0
11,0,0,0,0,0.0571469,7.05099,0.084272,42.8109,10.4521,0,2.45824,0.457864,0,29.4427,0,0,0,0,0,0,0,0,54886,82768088,0,0
12,0,6.38982,0,6.12972,0.518756,12.8458,7.42819,29.2111,0.039936,0,10.245,0,0,18.9261,267519,403418652,37888,57135104,26483,39936364,1060,295,0,0,0,0
13,0,0,0,0,0.0852886,17.7992,0.073596,32.0458,5.66975,0,1.16399,1.00643,0,24.2056,0,0,0,0,0,0,0,0,26498,39958984,0,0
14,0,23.7798,0,18.4091,1.20175,8.48746,21.6802,18.6308,0.070212,0,0.53418,0,0,18.0264,267524,403426192,111988,168877904,98557,148623956,3543,458,0,0,0,0
15,0,0,0,0,0.241442,15.0755,0.152744,34.5303,18.8944,0,2.95083,0.431436,0,12.2536,0,0,0,0,0,0,0,0,98613,148708404,0,0
16,0,13.0479,0,21.5493,0.782382,12.4757,13.3791,23.3684,0.061248,0,0.629384,0,0,22.6777,267528,403432224,68825,103788100,54078,81549624,2100,358,0,0,0,0
17,0,0,0,0,0.0729895,12.525,0.118368,37.2838,11.2128,0,12.1526,0.591156,0,13.3273,0,0,0,0,0,0,0,0,54103,81587324,0,0
18,0,12.0312,0,10.0746,1.06657,4.93444,14.2914,29.715,0.070836,0,17.6525,0.000168,0,11.9915,267532,403438256,73336,110590688,49864,75194912,1995,626,0,0,0,0
19,0,0,0,0,0.503237,13.3722,0.13498,35.997,10.7174,0,6.91193,2.09785,0,16.2698,0,0,0,0,0,0,0,0,50087,75531196,0,0
20,0,32.0169,0,36.9858,2.29593,3.53366,31.984,12.1922,0.195468,0,3.95465,0,0,8.04213,267537,403445796,164442,247978536,132696,200105568,5145,730,0,0,0,0
21,0,0,0,0,0.586785,9.54004,0.354424,39.5191,27.4964,0,5.65849,1.0224,0,5.3418,0,0,0,0,0,0,0,0,132749,200185492,0,0
22,0,11.6336,0,9.72781,0.704494,7.3075,11.2819,30.7083,0.037872,0,0.95652,0,0,29.7139,267539,403448812,57932,87361456,48216,72709728,1724,345,0,0,0,0
23,0,0,0,0,0.0402804,8.94843,0.079544,40.934,9.19679,0,0.86632,0.090508,0,30.7803,0,0,0,0,0,0,0,0,48244,72751952,0,0
24,0,27.6799,0,39.2177,0.816939,10.2144,23.4456,15.5306,0.060996,0,0.510992,0,0,14.9586,267544,403456352,121637,183428596,114721,172999268,4099,246,0,0,0,0
25,0,0,0,0,0.0663289,10.4837,0.14796,39.3043,21.8329,0,0.709676,0,0,16.7617,0,0,0,0,0,0,0,0,114777,173083716,0,0
26,0,1.07225,0,0,1.68736,20.7378,1.7432,25.8338,0.009732,0,0.663868,0,0,25.1602,147906,223042248,8323,12551084,4444,6701552,183,117,0,0,0,0
27,0,0,0,0,0.036374,22.656,0.016668,27.2932,0.96538,0,0.959572,0.351384,0,25.0169,0,0,0,0,0,0,0,0,4444,6701552,0,0
28,0,27.7556,0,30.502,0.997098,4.749,24.5796,19.6829,0.078444,0,1.21062,0,0,18.3939,267552,403468416,127460,192209680,115035,173472780,4157,395,0,0,0,0
29,0,0,0,0,0.0389189,7.47421,0.173484,42.3167,22.1531,0,0.478032,1.10739,0,18.5782,0,0,0,0,0,0,0,0,115035,173472780,0,0
30,0,10.1827,0,6.65692,0.665126,19.6385,10.332,19.3682,0.039092,0,1.63717,0,0,17.6919,267557,403475956,53005,79931540,42203,63642124,1534,360,0,0,0,0
