Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,262.457,16.1091,288.053,16.328,1.04516,5.74465,15.1335,28.0769,0.052668,0,15.5858,0,0,12.4384,267494,403380952,77969,117577252,66765,100681620,2501,286,0,0,0,0
1,0,0,0,0,2.9195,4.70775,0.112468,42.2604,13.3249,0,6.24021,0.947864,0,21.7475,0,0,0,0,0,0,0,0,66765,100681620,0,0
2,0,4.9653,0,1.53876,2.01975,9.30906,5.95165,32.7197,0.029292,0,6.47396,2.4e-05,0,26.2164,213767,322360636,29737,44843396,20579,31033132,753,310,0,0,0,0
3,0,0,0,0,0.327387,12.1681,0.052856,37.4518,4.03481,0,5.02052,0.83606,0,27.5604,0,0,0,0,0,0,0,0,20634,31116072,0,0
4,0,11.8896,0,11.1417,1.12407,8.59952,11.3479,28.9281,0.036504,0,0.687576,0,0,28.204,267493,403379444,57850,87237800,49277,74309716,1762,305,0,0,0,0
5,0,0,0,0,0.331971,11.4235,0.07824,38.1658,9.40344,0,1.19045,0,0,27.5719,0,0,0,0,0,0,0,0,49361,74436388,0,0
6,0,18.7117,0,33.5832,0.71632,11.7673,16.2912,21.23,0.046532,0,2.32313,0,0,18.8603,267506,403399048,84318,127151544,77552,116948416,2774,239,0,0,0,0
7,0,0,0,0,0.189497,17.0297,0.107564,32.6728,14.77,0,2.55572,0.447216,0,14.8999,0,0,0,0,0,0,0,0,77580,116990640,0,0
8,0,1.56832,0,0,4.14267,20.5339,2.64563,22.674,0.015768,0,1.88546,0,0,20.7728,117014,176457112,12986,19582888,6500,9802000,290,179,0,0,0,0
9,0,0,0,0,0.137267,28.899,0.02672,20.9333,1.53588,0,2.13222,0.580508,0,16.6847,0,0,0,0,0,0,0,0,6501,9803508,0,0
10,0,44.3984,0,57.6472,1.90878,2.76204,38.7808,6.54988,0.13092,0,1.17427,0,0,5.24469,267515,403412620,200677,302620916,184012,277490096,6666,501,0,0,0,0
11,0,0,0,0,0.345086,5.89282,0.285524,43.4728,35.5386,0,1.23126,0.495324,0,6.20756,0,0,0,0,0,0,0,0,184068,277574544,0,0
12,0,2.06512,0,0,0.710557,6.24438,2.99431,40.047,0.017136,0,3.54725,0,0,36.4826,129168,194785344,14945,22537060,8559,12906972,352,185,0,0,0,0
13,0,0,0,0,0.149808,38.2178,0.029724,11.5573,1.88362,0,1.40505,0.749548,0,7.51912,0,0,0,0,0,0,0,0,8587,12949196,0,0
14,0,1.50486,0,0,1.41371,5.42506,1.62891,41.5319,0.005796,0,0.709228,0,0,40.8169,86104,129844832,7873,11872484,6237,9405396,227,56,0,0,0,0
15,0,0,0,0,0.049218,7.05607,0.011616,42.8827,1.21085,0,0.836156,0.021488,0,40.8142,0,0,0,0,0,0,0,0,6237,9405396,0,0
16,0,1.66869,0,0.910832,0.35976,40.2362,2.2223,7.14763,0.011184,0,2.29286,0,0,4.84358,267527,403430716,10911,16453788,6916,10429328,264,128,0,0,0,0
17,0,0,0,0,0.168153,4.2438,0.019872,45.5634,1.40436,0,2.58911,0.426112,0,41.1438,0,0,0,0,0,0,0,0,6916,10429328,0,0
18,0,49.424,0,58.0351,1.6566,1.64353,41.9567,4.75357,0.124932,0,1.05335,0,0,3.57529,267532,403438256,217897,328588676,204841,308900228,7427,358,0,0,0,0
19,0,0,0,0,1.2076,2.2375,0.28846,46.2715,39.557,0,2.6748,1.20342,0,2.83629,0,0,0,0,0,0,0,0,204841,308900228,0,0
20,0,19.749,0,22.3353,1.73039,5.11986,20.5042,22.6634,0.078984,0,17.3052,3.6e-05,0,5.27916,267537,403445796,105621,159276468,81851,123431308,3026,747,0,0,0,0
21,0,0,0,0,0.798641,5.70457,0.157584,43.3393,16.1585,0,20.5839,1.28494,0,5.31197,0,0,0,0,0,0,0,0,81859,123443372,0,0
22,0,6.93294,0,8.23971,0.970565,6.42559,8.72703,33.8823,0.045924,0,20.0631,7.2e-05,0,13.7732,267539,403448812,44424,66991392,28734,43330872,1119,468,0,0,0,0
23,0,0,0,0,0.636541,7.6549,0.085164,41.6235,6.01287,0,11.2975,1.84249,0,22.4707,0,0,0,0,0,0,0,0,28754,43361032,0,0
24,0,4.67625,0,4.99932,0.835198,21.2816,5.56692,22.3164,0.022524,0,0.760528,0,0,21.5333,267544,403456352,27669,41724852,19381,29226548,693,296,0,0,0,0
25,0,0,0,0,0.103139,24.2221,0.042336,25.6325,3.70114,0,1.27737,0,0,20.654,0,0,0,0,0,0,0,0,19409,29268772,0,0
26,0,5.96927,0,4.5626,0.745894,13.308,8.42286,27.5228,0.055716,0,4.40513,0,0,23.062,267547,403460876,42871,64649468,24740,37307920,1095,438,0,0,0,0
27,0,0,0,0,0.485156,17.8962,0.095996,31.5222,5.87284,0,1.31835,1.92235,0,22.4086,0,0,0,0,0,0,0,0,24812,37416496,0,0
28,0,17.8096,0,11.4355,2.40036,7.44234,26.0414,14.1323,0.147828,0,1.14323,0,0,12.8413,255672,385553376,133140,200775120,73813,111310004,2971,1784,0,0,0,0
29,0,0,0,0,0.138661,10.6825,0.25412,38.9243,15.9124,0,1.93176,6.02677,0,15.0533,0,0,0,0,0,0,0,0,73832,111338656,0,0
30,0,1.91914,0,0,10.8715,6.91469,2.71148,29.4076,0.014244,0,0.681972,0,0,28.7114,94941,143171028,13379,20175532,7954,11994632,323,157,0,0,0,0
31,0,0,0,0,0.0701023,28.5613,0.025024,21.3398,1.72572,0,1.14301,0.500648,0,17.9704,0,0,0,0,0,0,0,0,7954,11994632,0,0
32,0,1.07732,0,0,0.702522,6.50625,2.09044,40.7004,0.014796,0,1.43838,2.4e-05,0,39.2472,110387,166463596,10315,15555020,4465,6733220,217,153,0,0,0,0
33,0,0,0,0,0.135838,6.84705,0.024552,42.9921,1.16669,0,2.27487,0.660176,0,38.8904,0,0,0,0,0,0,0,0,4467,6736236,0,0
34,0,46.3931,0,56.3696,1.5794,2.79725,39.2414,6.38681,0.104916,0,1.27406,0,0,5.00783,267565,403488020,203719,307208252,192279,289956732,6911,367,0,0,0,0
35,0,0,0,0,0.219735,5.1775,0.252392,44.35,36.8089,0,2.74914,0.282172,0,4.5097,0,0,0,0,0,0,0,0,192341,290050228,0,0
36,0,2.435,0,0.790192,0.767951,4.7347,3.02369,41.4831,0.019116,0,2.46006,0,0,39.0039,189319,285493052,15008,22632064,10092,15218736,377,159,0,0,0,0
37,0,0,0,0,0.178361,5.97867,0.03362,43.8188,2.01856,0,2.74657,0.356708,0,38.697,0,0,0,0,0,0,0,0,10092,15218736,0,0
38,0,3.18996,0,0.136323,4.41292,35.922,3.24302,6.42705,0.014604,0,2.41497,0,0,3.99747,165962,250270696,16249,24503492,13221,19937268,513,70,0,0,0,0
39,0,0,0,0,0.80101,3.39949,0.028448,45.7761,2.73394,0,2.7808,0.170368,0,40.091,0,0,0,0,0,0,0,0,13277,20021716,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,304.878,3.70582,338.828,2.29216,2.51182,4.89697,24.8652,17.739,0.245688,0,1.03542,8.4e-05,0,16.4578,267493,403379444,126573,190872084,15359,23161372,3006,1526,0,0,0,0
1,0,0,0,0,0.2298,7.0712,0.393472,42.3091,16.1985,0,4.18801,6.842,0,15.0806,0,0,0,0,0,0,0,0,15386,23202088,0,0
2,0,0.663037,0,0,14.8602,17.0053,0.944908,17.1932,0.004428,0,1.21457,0,0,15.9742,43520,65628160,4275,6446700,2748,4143984,113,43,0,0,0,0
3,0,0,0,0,0.0563386,32.0006,0.007968,17.9387,0.599544,0,1.22245,0.092604,0,16.0241,0,0,0,0,0,0,0,0,2748,4143984,0,0
4,0,15.1666,0,0.408366,1.24285,3.09901,19.717,25.9398,0.098448,0,5.03181,0,0,20.8095,255127,384731516,101669,153316852,62859,94791372,2312,1320,0,0,0,0
5,0,0,0,0,0.0933962,22.5658,0.178704,26.6083,12.3645,0,4.35086,6.16538,0,3.72752,0,0,0,0,0,0,0,0,62859,94791372,0,0
6,0,29.5083,0,48.9443,1.07699,2.55981,25.5247,20.8425,0.075684,0,15.0622,0,0,5.70462,267506,403399048,132363,199603404,122299,184426892,4383,346,0,0,0,0
7,0,0,0,0,0.0957849,4.85083,0.172964,44.8791,23.3448,0,12.8673,0.505972,0,8.16102,0,0,0,0,0,0,0,0,122299,184426892,0,0
8,0,1.40763,0,0,1.06988,26.2495,1.73814,20.3933,0.008964,0,0.961468,0,0,19.4229,67876,102357008,8634,13020072,5834,8797672,243,67,0,0,0,0
