Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,325.476,52.448,338.096,60.4207,1.20759,1.13643,42.4656,5.19676,0.101556,0,1.79116,0,0,3.30405,267494,403380952,221084,333394672,217374,327799992,7795,102,0,0,0,0
1,0,0,0,0,1.24197,1.43025,0.260828,47.068,41.5115,0,0.86842,0.298336,0,4.3897,0,0,0,0,0,0,0,0,217402,327842216,0,0
2,0,1.40015,0,0,0.876854,5.59696,1.6003,41.9269,0.008556,0,0.444552,3.6e-05,0,41.4738,72657,109566756,7703,11616124,5803,8750924,213,65,0,0,0,0
3,0,0,0,0,0.0267315,7.54207,0.015412,42.4168,1.14802,0,0.486512,0.11732,0,40.665,0,0,0,0,0,0,0,0,5803,8750924,0,0
4,0,7.70793,0,3.44246,0.490967,4.46461,6.88978,38.1587,0.0198,0,0.234296,0,0,37.9046,267502,403393016,35259,53170572,31946,48174568,1142,118,0,0,0,0
5,0,0,0,0,0.0408742,4.96017,0.045212,44.9578,6.08591,0,0.497316,0,0,38.3746,0,0,0,0,0,0,0,0,31974,48216792,0,0
6,0,44.5188,0,53.2843,1.28848,3.56451,37.088,8.06837,0.09464,0,0.712408,0,0,7.26132,267506,403399048,192753,290671524,184511,278242588,6591,293,0,0,0,0
7,0,0,0,0,0.11673,4.81783,0.232972,44.8365,35.1023,0,1.44916,0.202312,0,8.08272,0,0,0,0,0,0,0,0,184511,278242588,0,0
8,0,2.85917,0,0,12.3223,16.3855,2.9646,18.3273,0.012408,0,0.474616,0,0,17.8403,104457,157521156,14721,22199268,11850,17869800,434,93,0,0,0,0
9,0,0,0,0,0.0537534,32.9766,0.024088,16.9455,2.3145,0,0.724156,0.154588,0,13.7523,0,0,0,0,0,0,0,0,11850,17869800,0,0
10,0,14.7881,0,9.9341,1.40942,5.19028,17.5771,25.8286,0.095924,0,0.73264,0,0,25,267515,403412620,90187,136001996,61290,92425320,2522,702,0,0,0,0
11,0,0,0,0,0.0794797,21.1238,0.173756,28.6231,13.4674,0,1.03807,2.03187,0,12.0857,0,0,0,0,0,0,0,0,61300,92440400,0,0
12,0,8.5927,0,6.68466,1.05628,9.66743,16.3557,22.9207,0.14134,0,0.951164,6e-05,0,21.8281,260047,392150876,83965,126619220,35613,53704404,2807,294,0,0,0,0
13,0,0,0,0,0.05641,17.885,0.242664,31.8157,14.5972,0,1.07602,0.69348,0,15.449,0,0,0,0,0,0,0,0,35671,53791868,0,0
14,0,17.7145,0,18.0839,0.752952,3.3038,16.0522,29.8954,0.048936,0,0.599824,0,0,29.2466,267524,403426192,83019,125192652,73419,110715852,2654,311,0,0,0,0
15,0,0,0,0,0.0198648,5.13718,0.109136,44.7328,14.1423,0,1.13837,0.41014,0,29.042,0,0,0,0,0,0,0,0,73419,110715852,0,0
16,0,31.3949,0,38.8111,1.01865,6.3879,26.8673,15.7251,0.073548,0,0.713656,0,0,14.9379,267528,403432224,139441,210277028,130118,196217944,4653,328,0,0,0,0
17,0,0,0,0,0.0679239,5.88512,0.17402,43.8719,24.7912,0,0.69518,0.910596,0,17.475,0,0,0,0,0,0,0,0,130146,196260168,0,0
18,0,5.1424,0,0,3.61697,26.6311,6.53688,13.2239,0.032376,0,0.73894,0,0,12.4525,129749,195661492,33116,49938928,21313,32140004,874,311,0,0,0,0
19,0,0,0,0,0.238516,28.6706,0.059044,21.0414,4.6626,0,2.11397,1.12356,0,13.1413,0,0,0,0,0,0,0,0,21313,32140004,0,0
20,0,3.51714,0,0,0.745104,2.94441,4.4439,41.8853,0.02118,0,3.28918,0,0,38.575,144791,218344828,22295,33620860,14577,21982116,553,244,0,0,0,0
21,0,0,0,0,0.174876,3.01654,0.038368,46.7712,2.95512,0,41.2765,0.66694,0,1.87267,0,0,0,0,0,0,0,0,14577,21982116,0,0
22,0,0.142838,0,0,0.922615,38.26,0.432692,10.308,0.002592,0,3.69308,0,0,6.61236,17626,26580008,1766,2663128,592,892736,28,36,0,0,0,0
23,0,0,0,0,0.132906,38.0743,0.004432,10.4404,0.150944,0,1.57574,0.138808,0,8.57492,0,0,0,0,0,0,0,0,592,892736,0,0
24,0,47.8765,0,55.0094,1.33347,5.98432,39.5032,3.18752,0.096864,0,0.133184,0,0,2.95748,267544,403456352,205291,309578828,198427,299227916,7092,246,0,0,0,0
25,0,0,0,0,0.02087,8.51838,0.243604,41.2204,37.7383,0,0.260184,0,0,3.22187,0,0,0,0,0,0,0,0,198427,299227916,0,0
26,0,2.00576,0,0,1.20474,11.7367,2.24345,34.8191,0.010056,0,0.934512,0,0,33.8746,128717,194105236,11084,16714672,8313,12536004,326,70,0,0,0,0
27,0,0,0,0,0.0735464,37.2417,0.019136,12.6577,1.73947,0,0.37806,0.149072,0,10.3911,0,0,0,0,0,0,0,0,8313,12536004,0,0
28,0,4.21661,0,0.261789,4.6431,11.3166,6.26246,27.7944,0.03726,0,0.602316,0,0,27.1549,179543,270750844,31765,47901620,17476,26353808,801,337,0,0,0,0
29,0,0,0,0,0.0262748,29.8515,0.064968,20.0568,4.27184,0,2.10575,1.34697,0,12.3323,0,0,0,0,0,0,0,0,17484,26365872,0,0
30,0,24.9172,0,33.7551,2.38756,5.66999,27.4002,14.5428,0.12786,0,0.415416,0,0,13.9995,267557,403475956,140331,211619148,103271,155732668,3907,1104,0,0,0,0
31,0,0,0,0,0.0784793,13.5876,0.239772,36.0894,20.866,0,0.629044,2.99209,0,11.6023,0,0,0,0,0,0,0,0,103272,155734176,0,0
32,0,1.42645,0,0.19604,0.950079,21.3371,3.86486,23.8478,0.03288,0,0.644052,2.4e-05,0,23.1708,210364,317228912,19352,29182816,5912,8915296,316,409,0,0,0,0
33,0,0,0,0,0.0720364,23.945,0.051724,25.926,1.68614,0,0.918532,1.84386,0,21.4775,0,0,0,0,0,0,0,0,5920,8927360,0,0
34,0,5.29368,0,0,8.47587,16.1834,4.98512,20.3547,0.017052,0,0.880756,0,0,19.4569,65696,99069568,25318,38179544,21940,33085520,809,96,0,0,0,0
35,0,0,0,0,0.0554404,7.61167,0.036292,42.2956,4.30844,0,1.2902,0.170368,0,36.5266,0,0,0,0,0,0,0,0,21940,33085520,0,0
36,0,0.497037,0,0,0.344141,9.50329,0.980624,39.1815,0.007344,0,1.96417,0,0,37.21,62560,94340480,4592,6924736,2060,3106480,88,76,0,0,0,0
37,0,0,0,0,0.0946703,4.53218,0.012132,45.3706,0.473444,0,2.12775,0.367356,0,42.402,0,0,0,0,0,0,0,0,2054,3097432,0,0
38,0,49.0165,0,58.2124,2.01138,4.18816,41.5309,2.28446,0.117636,0,0.516008,0,0,1.65081,267574,403501592,215225,324559300,203152,306353216,7331,360,0,0,0,0
39,0,0,0,0,0.638081,3.23364,0.276712,45.8611,39.0398,0,0.659216,0.031944,0,6.1302,0,0,0,0,0,0,0,0,203236,306479888,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,332.575,2.69655,371.071,0.524784,4.28567,6.54312,23.3588,15.8217,0.2145,0,1.22422,0,0,14.383,267494,403380952,116596,175826768,11176,16853408,1355,2811,0,0,0,0
1,0,0,0,0,0.279758,10.5,0.324336,38.8959,7.36277,0,4.34977,12.3944,0,14.789,0,0,0,0,0,0,0,0,11176,16853408,0,0
2,0,0.74266,0,0,6.13872,15.8876,1.29266,26.6642,0.008004,0,1.64392,0,0,25.0123,64994,98010952,6112,9216896,3078,4641624,143,77,0,0,0,0
3,0,0,0,0,0.0413415,23.6147,0.013516,26.3289,0.76738,0,3.79981,0.245096,0,21.5166,0,0,0,0,0,0,0,0,3085,4652180,0,0
4,0,5.8426,0,3.74406,0.560567,5.20054,6.37525,37.8621,0.027684,0,10.74,0,0,27.0944,231774,349515192,32369,48812452,24215,36516220,907,250,0,0,0,0
5,0,0,0,0,0.0590245,27.849,0.05296,22.0375,4.84154,0,5.23982,0.83606,0,11.1201,0,0,0,0,0,0,0,0,24215,36516220,0,0
6,0,40.3022,0,49.5812,1.22822,3.2213,34.1264,11.4288,0.09222,0,5.53276,0,0,5.80378,267506,403399048,177269,267321652,167035,251888780,5973,358,0,0,0,0
7,0,0,0,0,0.0592832,5.41791,0.22024,44.302,31.8157,0,5.88175,0.46338,0,6.14118,0,0,0,0,0,0,0,0,167035,251888780,0,0
8,0,2.91273,0,1.73239,0.479052,31.6495,3.92549,13.9495,0.0267,0,0.64806,0,0,13.2747,267510,403405080,19669,29660852,12072,18204576,549,161,0,0,0,0
9,0,0,0,0,0.0826966,7.95443,0.04616,41.9203,2.93116,0,6.64909,0.32306,0,32.017,0,0,0,0,0,0,0,0,12100,18246800,0,0
10,0,24.8219,0,33.3123,0.986966,3.7766,21.7408,23.5005,0.06216,0,0.59508,0,0,22.8433,267515,403412620,112678,169918424,102876,155137008,3676,349,0,0,0,0
11,0,0,0,0,0.0323953,5.73639,0.1432,44.0876,19.5796,0,0.967244,0.61226,0,22.9285,0,0,0,0,0,0,0,0,102876,155137008,0,0
