Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,306.979,50.4374,327.31,53.5455,1.4268,1.18223,41.5908,5.80895,0.106512,0,1.80063,9.6e-05,0,3.90171,267494,403380952,216349,326254292,209041,315233828,7496,231,0,0,0,0
1,0,0,0,0,1.06741,2.02793,0.263604,46.6445,39.9197,0,1.01596,0.49,0,5.21883,0,0,0,0,0,0,0,0,209041,315233828,0,0
2,0,3.14436,0,3.84962,0.339248,11.5274,3.71363,34.4232,0.029124,0,0.49298,3.6e-05,0,33.9011,267498,403386984,18565,27996020,13032,19652256,523,141,0,0,0,0
3,0,0,0,0,0.0278207,13.7134,0.049268,36.213,2.8176,0,0.525748,0.41014,0,32.4595,0,0,0,0,0,0,0,0,13111,19771388,0,0
4,0,14.353,0,17.6888,0.702352,5.80245,12.774,30.7227,0.038772,0,0.235896,0,0,30.448,267502,403393016,65881,99348548,59487,89706396,2131,224,0,0,0,0
5,0,0,0,0,0.0404162,7.25344,0.086924,42.6207,11.3495,0,0.520276,0,0,30.751,0,0,0,0,0,0,0,0,59515,89748620,0,0
6,0,38.0409,0,38.3702,1.15419,3.81683,32.5057,12.5301,0.089504,0,0.8327,0,0,11.6079,267506,403399048,168901,254702708,157663,237755804,5635,398,0,0,0,0
7,0,0,0,0,0.0754413,5.65822,0.211356,44.0564,30.0173,0,1.57839,0.31944,0,12.1413,0,0,0,0,0,0,0,0,157691,237798028,0,0
8,0,2.66325,0,0,4.18299,21.191,3.24043,21.3826,0.018348,0,0.500468,0,0,20.8638,153079,230843132,16044,24194352,11038,16645304,441,133,0,0,0,0
9,0,0,0,0,0.0467883,30.7631,0.032608,19.1575,2.35748,0,0.643924,0.245096,0,15.911,0,0,0,0,0,0,0,0,11038,16645304,0,0
10,0,19.1357,0,26.0637,2.03008,5.6676,23.2297,19.0729,0.13368,0,0.675876,0,0,18.2633,267515,403412620,118857,179236356,79309,119597972,3256,991,0,0,0,0
11,0,0,0,0,0.102394,16.8127,0.238284,32.8469,17.4148,0,1.00339,2.59393,0,11.8348,0,0,0,0,0,0,0,0,79364,119680912,0,0
12,0,4.82102,0,5.6924,0.776752,11.4342,8.45205,29.3426,0.069612,0,1.49048,0,0,27.7825,267519,403418652,42878,64660024,19981,30131348,1201,338,0,0,0,0
13,0,0,0,0,0.0869533,22.5498,0.116732,27.2468,6.40704,0,1.24974,0.975816,0,18.6142,0,0,0,0,0,0,0,0,19981,30131348,0,0
14,0,25.2857,0,24.5744,1.06048,6.16305,22.5077,20.2651,0.067728,0,1.07913,0,0,19.1183,267524,403426192,116543,175746844,104798,158035384,3764,400,0,0,0,0
15,0,0,0,0,0.0437205,8.79754,0.152504,41.0026,20.0724,0,1.00688,0.298336,0,19.625,0,0,0,0,0,0,0,0,104882,158162056,0,0
16,0,15.6557,0,27.553,0.981043,10.9532,15.0503,23.0171,0.054084,0,1.41696,0,0,21.5461,267528,403432224,77477,116835316,64886,97848088,2363,404,0,0,0,0
17,0,0,0,0,0.131192,13.1758,0.112164,36.5772,12.6053,0,1.46894,0.740228,0,21.7628,0,0,0,0,0,0,0,0,64914,97890312,0,0
18,0,9.52429,0,0.87645,1.75506,15.7378,15.1938,17.3194,0.092628,0,1.26559,0,0,15.9612,267532,403438256,77312,116586496,39474,59526792,1687,1076,0,0,0,0
19,0,0,0,0,0.429722,17.3883,0.156696,32.0348,9.04127,0,2.94833,3.87606,0,16.1691,0,0,0,0,0,0,0,0,39501,59567508,0,0
20,0,1.96281,0,0,3.1981,5.21943,2.79965,38.804,0.0141,0,2.44224,0,0,36.3477,133782,201743256,13699,20658092,8135,12267580,307,186,0,0,0,0
21,0,0,0,0,0.153052,3.69223,0.02458,46.1336,1.62232,0,40.0426,0.4847,0,3.98396,0,0,0,0,0,0,0,0,8135,12267580,0,0
22,0,0.410176,0,0,1.48185,38.4648,1.20842,8.84806,0.008736,0,2.32898,1.2e-05,0,6.51034,119310,179919480,5574,8405592,1700,2563600,92,108,0,0,0,0
23,0,0,0,0,0.106868,38.8999,0.014264,10.9821,0.501108,0,3.33165,0.378424,0,6.77097,0,0,0,0,0,0,0,0,1705,2571140,0,0
24,0,48.8109,0,53.4556,1.48892,3.95609,41.1629,3.40073,0.106332,0,0.1139,0,0,3.1805,267544,403456352,213780,322380240,202300,305068400,7225,409,0,0,0,0
25,0,0,0,0,0.0198311,7.28849,0.259044,42.4359,38.4859,0,0.269316,0,0,3.68068,0,0,0,0,0,0,0,0,202328,305110624,0,0
26,0,1.80791,0,0.544086,0.220726,18.3751,2.4436,28.962,0.012792,0,0.779188,0,0,28.17,267425,403276900,12054,18177432,7493,11299444,302,130,0,0,0,0
27,0,0,0,0,0.0650027,37.1219,0.02272,12.4594,1.61172,0,0.347436,0.399684,0,10.1006,0,0,0,0,0,0,0,0,7481,11281348,0,0
28,0,7.01715,0,10.3045,0.883389,14.8674,9.7906,24.479,0.058416,0,0.623748,0,0,23.7968,267552,403468416,49786,75077288,29083,43857164,1264,515,0,0,0,0
29,0,0,0,0,0.027547,25.8221,0.101852,24.052,6.76204,0,2.01297,1.96494,0,13.3121,0,0,0,0,0,0,0,0,29083,43857164,0,0
30,0,17.7683,0,14.0286,2.07073,7.18274,23.8361,16.9107,0.1326,0,0.495888,0,0,16.2822,267557,403475956,122016,184000128,73642,111052136,2930,1429,0,0,0,0
31,0,0,0,0,0.140957,15.8003,0.232072,33.827,15.6701,0,0.712256,4.95132,0,12.4933,0,0,0,0,0,0,0,0,73642,111052136,0,0
