Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,235.222,20.2902,235.725,19.8941,4.96664,3.63586,31.4944,9.91172,0.21024,0,0.308384,0.002124,0,9.39098,267494,403380952,158563,239113004,84094,126813752,4036,1629,0,0,0,0
1,0,0,0,0,0.648114,9.02468,0.364668,39.9658,21.6121,0,0.508956,2.64546,0,15.1993,0,0,0,0,0,0,0,0,84100,126822800,0,0
2,0,3.10358,0,3.58783,1.1573,26.1673,12.0947,10.5837,0.115632,0,0.2414,0.00066,0,10.2261,267498,403386984,61629,92936532,12863,19397404,1024,1178,0,0,0,0
3,0,0,0,0,0.0101074,26.2843,0.181108,23.5257,5.80628,0,0.33764,4.67466,0,12.7071,0,0,0,0,0,0,0,0,13484,20333872,0,0
4,0,31.8596,0,30.6456,1.39432,8.66728,28.3893,11.5556,0.089564,0,0.177004,0,0,11.2891,267502,403393016,147366,222227928,132044,199122352,4744,524,0,0,0,0
5,0,0,0,0,0.00714037,12.0826,0.198344,37.7131,25.2661,0,0.313096,0,0,12.134,0,0,0,0,0,0,0,0,132128,199249024,0,0
6,0,18.5221,0,19.7892,1.14163,14.4699,17.9313,16.4584,0.09834,0,0.180032,0,0,16.1801,267506,403399048,92569,139594052,76766,115763128,2807,500,0,0,0,0
7,0,0,0,0,0.00860849,9.73343,0.181452,40.0777,14.9983,0,0.42418,0.857356,0,23.7979,0,0,0,0,0,0,0,0,76794,115805352,0,0
8,0,5.51494,0,4.63861,1.64793,21.9696,18.1659,8.213,0.171444,0,0.36644,0,0,7.67512,267511,403406588,92676,139755408,22857,34468356,1607,1706,0,0,0,0
9,0,0,0,0,0.00635461,24.6951,0.267184,25.0284,8.6786,0,0.430368,7.34237,0,8.57711,0,0,0,0,0,0,0,0,22908,34545264,0,0
10,0,14.0681,0,14.8146,3.8371,2.93253,32.8698,10.3631,0.30096,0,0.314044,6e-05,0,9.74807,267515,403412620,167032,251884256,58306,87925448,3648,2321,0,0,0,0
11,0,0,0,0,0.0191982,10.8216,0.481436,38.6751,19.6561,0,0.556476,8.59465,0,9.86782,0,0,0,0,0,0,0,0,58436,88121488,0,0
