Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,290.825,49.8492,322.219,55.6175,1.48175,1.193,41.2783,6.05632,0.103644,0,2.77866,0.000168,0,3.17385,267494,403380952,214509,323479572,206603,311557324,7401,260,0,0,0,0
1,0,0,0,0,0.150461,2.97225,0.258292,46.6231,39.4886,0,1.60124,0.409984,0,5.12327,0,0,0,0,0,0,0,0,206964,312101712,0,0
2,0,0.694163,0,0,0.17933,5.97121,0.941336,42.9122,0.004328,0,1.58858,2.4e-05,0,41.3193,61593,92882244,4434,6686472,2877,4338516,105,56,0,0,0,0
3,0,0,0,0,0.0704682,12.7836,0.007976,37.142,0.562388,0,1.42768,0.171788,0,34.9802,0,0,0,0,0,0,0,0,2905,4380740,0,0
4,0,9.0977,0,5.79313,0.470733,3.80849,8.08505,37.6404,0.022788,0,0.820704,0,0,36.7969,267502,403393016,41498,62578984,37706,56860648,1355,128,0,0,0,0
5,0,0,0,0,0.0412759,4.81893,0.05264,45.0918,7.22424,0,1.97476,0.112188,0,35.7807,0,0,0,0,0,0,0,0,37706,56860648,0,0
6,0,36.2904,0,47.1515,1.05685,7.39183,30.1529,11.4031,0.075276,0,1.93264,6e-05,0,9.39515,267506,403399048,156554,236083432,150408,226815264,5373,220,0,0,0,0
7,0,0,0,0,0.0209684,7.16475,0.187396,42.6316,28.6406,0,6.22887,0.18752,0,7.57462,0,0,0,0,0,0,0,0,150548,227026384,0,0
8,0,4.85383,0,4.16811,0.221719,15.9354,4.49544,29.3476,0.013932,0,1.35921,0,0,27.9745,258361,389608388,22850,34457800,20117,30336436,725,92,0,0,0,0
9,0,0,0,0,0.0232412,25.595,0.030612,24.3507,3.85888,0,2.76466,0.207708,0,17.5195,0,0,0,0,0,0,0,0,20117,30336436,0,0
10,0,13.2156,0,18.5683,0.694287,6.06661,12.1935,31.0504,0.039108,0,2.20365,8.4e-05,0,28.8076,267515,403412620,62817,94728036,54773,82597684,1971,274,0,0,0,0
11,0,0,0,0,0.0655879,18.4345,0.085192,31.4142,10.5381,0,3.03726,0.533732,0,17.3052,0,0,0,0,0,0,0,0,54969,82893252,0,0
12,0,10.806,0,6.76609,2.44246,11.8758,16.4873,19.194,0.119688,0,2.67708,4.8e-05,0,16.3971,267519,403418652,82765,124809620,44786,67537288,2442,523,0,0,0,0
13,0,0,0,0,0.0321618,16.4907,0.20706,33.2697,13.0749,0,1.94178,1.52744,0,16.7256,0,0,0,0,0,0,0,0,44826,67597608,0,0
14,0,15.1483,0,18.0206,0.886817,7.96266,14.1272,27.0285,0.045344,0,4.21151,0,0,22.7716,267524,403426192,72793,109771844,62783,94676764,2271,331,0,0,0,0
