Simulation time: 50.0 s
Waiting for simulation script to connect on port: tcp://localhost:50001
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 47808
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   0    -82         0    0.106393039861526775    0.200000000000000011          0.50                24
   0    -82         6    0.251498794956039717    0.160128153805087131          0.90                38
   0    -82        12    0.281800517134670858    0.162221421130762544          0.98                37
   0    -82        18    0.393715788113663145    0.122169444356305223          1.41                66
   0    -82        23    0.425276808502399462    0.111803398874989482          1.61                79
   0    -77         0    0.060541099410119391    0.200000000000000011          0.33                24
   0    -77         6    0.238950122771789009    0.164398987305357291          0.50                36
   0    -77        12    0.501584782791734574    0.093658581158169399          1.33               113
   0    -77        18    0.570643522795595382    0.081649658092772609          1.77               149
   0    -77        23    0.592036351245765480    0.071981575074869450          2.13               192
   0    -72         0    0.066726756484662406    0.208514414057074771          0.19                22
   0    -72         6    0.424939959570739267    0.124034734589208454          0.57                64
   0    -72        12    0.602110822610543273    0.074743509275193590          1.43               178
   0    -72        18    0.649517792312697462    0.057735026918962581          2.63               299
   0    -72        23    0.722698775734248011    0.038320083261967369          5.69               680
   0    -67         0    0.026395984485979573    0.223606797749978964          0.13                19
   0    -67         6    0.412684953404288901    0.132453235706504385          0.45                56
   0    -67        12    0.569756709033338860    0.081378845877115941          1.21               150
   0    -67        18    0.696136225680034526    0.037397879600338288          5.49               714
   0    -67        23    0.742826981722943036    0.029160592175990215          8.63              1175
   0    -62         0    0.043229336322028189    0.223606797749978964          0.14                19
   0    -62         6    0.358912310426105496    0.137360563948689035          0.41                52
   0    -62        12    0.561411951550868982    0.080845208345444328          1.12               152
   0    -62        18    0.628889736788021181    0.071795815861773804          1.47               193
   0    -62        23    0.722306118789437068    0.028352398856187136          8.98              1243
                                                                              50.00              5774    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   1    -82         0    0.000000000000000000    0.223606797749978964          5.13                19
   1    -82         6    0.017696097855494468    0.223606797749978964          4.10                19
   1    -82        12    0.093438720029353772    0.182574185835055358          4.00                29
   1    -82        18    0.089325739213084066    0.223606797749978964          2.71                19
   1    -82        23    0.068544164336397206    0.208514414057074771          4.25                22
   1    -77         0    0.031195424152144213    0.223606797749978964          2.20                19
   1    -77         6    0.009092781127973081    0.235702260395515839          1.63                17
   1    -77        12    0.094580062369481827    0.179605302026774910          3.71                30
   1    -77        18    0.146165948894669079    0.174077655955697852          2.20                32
   1    -77        23    0.093556738861049066    0.179605302026774910          2.94                30
   1    -72         0    0.003259538276568310    0.223606797749978964          2.23                19
   1    -72         6    0.000000000000000000    0.235702260395515839          0.78                17
   1    -72        12    0.143438875220383705    0.171498585142508847          2.20                33
   1    -72        18    0.135969030876627400    0.185695338177051861          1.16                28
   1    -72        23    0.247277725706987389    0.147441956154897136          2.10                45
   1    -67         0    0.000000000000000000    0.229415733870561772          0.67                18
   1    -67         6    0.000000000000000000    0.235702260395515839          0.60                17
   1    -67        12    0.085452867667775670    0.179605302026774910          0.72                30
   1    -67        18    0.223884840951595304    0.145864991497894558          1.02                46
   1    -67        23    0.334803248744363346    0.122169444356305223          1.60                66
   1    -62         0    0.000000000000000000    0.229415733870561772          0.20                18
   1    -62         6    0.001664324999055522    0.229415733870561772          0.22                18
   1    -62        12    0.031628348406144702    0.200000000000000011          0.46                24
   1    -62        18    0.318331240393013803    0.119522860933439362          0.92                69
   1    -62        23    0.429195677857732161    0.077151674981045956          2.13               167
                                                                              49.88               851    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   2    -82         0    0.003719770531756199    0.242535625036332969          4.93                16
   2    -82         6    0.064324455802343070    0.250000000000000000          3.24                15
   2    -82        12    0.074729223725685093    0.213200716355610442          4.98                21
   2    -82        18    0.054733088220622172    0.223606797749978964          5.28                19
   2    -82        23    0.206188867390891595    0.196116135138184045          3.91                25
   2    -77         0    0.114583300494599430    0.229415733870561772          0.71                18
   2    -77         6    0.113621779070565823    0.229415733870561772          1.18                18
   2    -77        12    0.191112250439921083    0.204124145231931509          1.25                23
   2    -77        18    0.148049849000543576    0.218217890235992362          1.47                20
   2    -77        23    0.311725302568360452    0.150755672288881815          3.17                43
   2    -72         0    0.170501844087224130    0.213200716355610442          0.31                21
   2    -72         6    0.181414363022462943    0.200000000000000011          0.51                24
   2    -72        12    0.421188816612565298    0.127000127000190505          1.29                61
   2    -72        18    0.317281354483224975    0.152498570332604666          1.43                42
   2    -72        23    0.398108925651224577    0.132453235706504385          2.05                56
   2    -67         0    0.034011366662705989    0.242535625036332969          0.14                16
   2    -67         6    0.379491010027270814    0.142857142857142849          0.45                48
   2    -67        12    0.582681589395912192    0.069171446386607466          1.98               208
   2    -67        18    0.530598135402345905    0.109108945117996181          1.05                83
   2    -67        23    0.635417597560965053    0.055131784641997125          3.65               328
   2    -62         0    0.065219946625232519    0.229415733870561772          0.16                18
   2    -62         6    0.379266034966848409    0.147441956154897136          0.34                45
   2    -62        12    0.588920135390940902    0.073521462209380772          1.55               184
   2    -62        18    0.670292233455053621    0.053224629541234948          2.84               352
   2    -62        23    0.626446648193254241    0.066666666666666666          2.11               224
                                                                              49.97              1928    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   3    -82         0    0.001191458119668440    0.242535625036332969          2.32                16
   3    -82         6    0.074260241665595708    0.213200716355610442          3.19                21
   3    -82        12    0.064690759309167151    0.229415733870561772          2.78                18
   3    -82        18    0.123116371664355226    0.204124145231931509          3.64                23
   3    -82        23    0.194509857632417460    0.182574185835055358          3.76                29
   3    -77         0    0.006768768978824944    0.235702260395515839          1.06                17
   3    -77         6    0.014441308604257051    0.242535625036332969          0.86                16
   3    -77        12    0.310147110501358014    0.160128153805087131          1.33                38
   3    -77        18    0.389843406828190797    0.130188910980823858          2.18                58
   3    -77        23    0.349219082565856542    0.145864991497894558          1.56                46
   3    -72         0    0.000000000000000000    0.250000000000000000          0.22                15
   3    -72         6    0.169352420922916191    0.196116135138184045          0.35                25
   3    -72        12    0.480272232362944196    0.113227703414459577          1.10                77
   3    -72        18    0.550304947299016689    0.085749292571254424          2.06               135
   3    -72        23    0.561891878305803338    0.086066296582387042          1.79               134
   3    -67         0    0.040335577075526062    0.223606797749978964          0.19                19
   3    -67         6    0.185661104449111464    0.188982236504613599          0.22                27
   3    -67        12    0.434902158603890754    0.131306432859722544          0.56                57
   3    -67        18    0.688429101563154733    0.052128603514268693          3.05               367
   3    -67        23    0.703450457108891536    0.042107596053325945          4.77               563
   3    -62         0    0.000000000000000000    0.235702260395515839          0.17                17
   3    -62         6    0.222686896260352291    0.182574185835055358          0.24                29
   3    -62        12    0.440599744731843712    0.123091490979332738          0.48                65
   3    -62        18    0.737903289709096466    0.031053504702226845          7.22              1036
   3    -62        23    0.734599331403272271    0.038069349381344049          4.93               689
                                                                              50.00              3537    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   4    -82         0    0.001026814224444174    0.218217890235992362          3.13                20
   4    -82         6    0.006454520503337214    0.196116135138184045          3.82                25
   4    -82        12    0.023740044768130502    0.218217890235992362          2.24                20
   4    -82        18    0.171707572582629558    0.162221421130762544          3.70                37
   4    -82        23    0.114018264378557901    0.174077655955697852          3.72                32
   4    -77         0    0.001365219253678078    0.208514414057074771          1.42                22
   4    -77         6    0.072806149649677215    0.200000000000000011          1.17                24
   4    -77        12    0.090990719876528570    0.179605302026774910          1.89                30
   4    -77        18    0.234225361824012684    0.138675049056307287          2.90                51
   4    -77        23    0.224986928322119500    0.138675049056307287          2.54                51
   4    -72         0    0.007956237947757010    0.204124145231931509          0.58                23
   4    -72         6    0.049034074653891591    0.192450089729875262          0.53                26
   4    -72        12    0.192433531926203688    0.160128153805087131          0.89                38
   4    -72        18    0.344719324598216748    0.109764259989690346          3.07                82
   4    -72        23    0.290014507156091284    0.127000127000190505          2.01                61
   4    -67         0    0.000000000000000000    0.218217890235992362          0.43                20
   4    -67         6    0.067789552702238548    0.182574185835055358          0.40                29
   4    -67        12    0.301458529272948028    0.109764259989690346          1.17                82
   4    -67        18    0.410058257301291862    0.077382323253413682          3.52               166
   4    -67        23    0.383685305123642295    0.083918135829668908          2.83               141
   4    -62         0    0.000000000000000000    0.208514414057074771          0.26                22
   4    -62         6    0.076028078468487192    0.179605302026774910          0.36                30
   4    -62        12    0.226370789329156552    0.136082763487954339          0.70                53
   4    -62        18    0.383151096518210499    0.090166963466743230          1.60               122
   4    -62        23    0.489414107420436506    0.053528772757218922          4.88               348
                                                                              49.76              1555    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   5    -82         0    0.034589908328326251    0.204124145231931509          4.37                23
   5    -82         6    0.020157471371668310    0.218217890235992362          2.41                20
   5    -82        12    0.061421954305914434    0.204124145231931509          3.18                23
   5    -82        18    0.129201300735255903    0.182574185835055358          3.12                29
   5    -82        23    0.158426609893400711    0.162221421130762544          4.11                37
   5    -77         0    0.000000000000000000    0.213200716355610442          1.32                21
   5    -77         6    0.048360459732057194    0.192450089729875262          1.25                26
   5    -77        12    0.159261016543292472    0.169030850945703304          0.78                34
   5    -77        18    0.228531752475344518    0.154303349962091912          1.69                41
   5    -77        23    0.274638941239212675    0.121267812518166485          2.84                67
   5    -72         0    0.000000000000000000    0.204124145231931509          0.46                23
   5    -72         6    0.040934720293220241    0.192450089729875262          0.39                26
   5    -72        12    0.131770293296501639    0.160128153805087131          0.74                38
   5    -72        18    0.375755863894579933    0.091669849702821132          2.12               118
   5    -72        23    0.451037251672809669    0.074124931666110117          3.31               181
   5    -67         0    0.020946620280472946    0.213200716355610442          0.27                21
   5    -67         6    0.047615808952162428    0.208514414057074771          0.21                22
   5    -67        12    0.207568626898744779    0.144337567297406433          0.61                47
   5    -67        18    0.450081940122934787    0.069006555934235422          2.26               209
   5    -67        23    0.522075154313979328    0.046175709653961013          5.55               468
   5    -62         0    0.015253040895721678    0.204124145231931509          0.29                23
   5    -62         6    0.032234837940046966    0.213200716355610442          0.17                21
   5    -62        12    0.162669243771855265    0.176776695296636893          0.28                31
   5    -62        18    0.467484518823768513    0.061199006136210460          2.38               266
   5    -62        23    0.580308517160564086    0.039223227027636809          5.90               649
                                                                              49.99              2464    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   6    -82         0    0.000000000000000000    0.204124145231931509          4.96                23
   6    -82         6    0.011271504389344687    0.200000000000000011          3.14                24
   6    -82        12    0.076544428146657462    0.185695338177051861          3.46                28
   6    -82        18    0.152178942339962070    0.156173761888606072          6.24                40
   6    -82        23    0.088487928495038351    0.179605302026774910          3.92                30
   6    -77         0    0.000000000000000000    0.204124145231931509          0.97                23
   6    -77         6    0.015527468107220653    0.188982236504613599          1.47                27
   6    -77        12    0.028279705236646888    0.196116135138184045          1.17                25
   6    -77        18    0.150056639606885117    0.160128153805087131          2.19                38
   6    -77        23    0.282195447725982596    0.102062072615965754          4.09                95
   6    -72         0    0.000000000000000000    0.196116135138184045          0.59                25
   6    -72         6    0.005404614140542516    0.196116135138184045          1.07                25
   6    -72        12    0.067280649828031475    0.188982236504613599          0.61                27
   6    -72        18    0.202446676619003868    0.141421356237309503          1.31                49
   6    -72        23    0.317024571382229226    0.099503719020998915          2.36               100
   6    -67         0    0.000000000000000000    0.192450089729875262          0.31                26
   6    -67         6    0.003498311734871973    0.204124145231931509          0.34                23
   6    -67        12    0.064459096831464488    0.176776695296636893          0.34                31
   6    -67        18    0.238724327208917758    0.122169444356305223          0.81                66
   6    -67        23    0.491805047513005911    0.048911598804451846          4.88               417
   6    -62         0    0.000000000000000000    0.188982236504613599          0.33                27
   6    -62         6    0.022884121937133701    0.192450089729875262          0.24                26
   6    -62        12    0.143135252468090307    0.156173761888606072          0.41                40
   6    -62        18    0.254052670387880541    0.113227703414459577          0.72                77
   6    -62        23    0.493324438610107052    0.051031036307982877          3.81               383
                                                                              49.74              1695    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   7    -82         0    0.018363443620397470    0.229415733870561772          1.98                18
   7    -82         6    0.094961168205324215    0.200000000000000011          2.63                24
   7    -82        12    0.111530372028069966    0.208514414057074771          3.56                22
   7    -82        18    0.139978921408195400    0.196116135138184045          3.53                25
   7    -82        23    0.099143968599357785    0.192450089729875262          3.97                26
   7    -77         0    0.024908138039999191    0.229415733870561772          0.73                18
   7    -77         6    0.226051095339331348    0.179605302026774910          1.46                30
   7    -77        12    0.296108164873202129    0.142857142857142849          2.49                48
   7    -77        18    0.249745615472422994    0.169030850945703304          1.82                34
   7    -77        23    0.323323534459731610    0.141421356237309503          2.17                49
   7    -72         0    0.060487780536865585    0.218217890235992362          0.37                20
   7    -72         6    0.350191061255342939    0.144337567297406433          0.79                47
   7    -72        12    0.434982086428599812    0.136082763487954339          0.73                53
