Simulation time: 50.0 s
Waiting for simulation script to connect on port: tcp://localhost:50001
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 4999
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   0    -82         0    0.179855238095238124    0.154303349962091912          0.41                41
   0    -82         6    0.259317183098591475    0.118678165819385339          0.70                70
   0    -82        12    0.198806153846153882    0.138675049056307287          0.51                51
   0    -82        18    0.266219999999999846    0.125000000000000000          0.63                63
   0    -82        23    0.195755471698113193    0.137360563948689035          0.52                52
   0    -77         0    0.201612549019607762    0.140028008402800969          0.50                50
   0    -77         6    0.257983999999999825    0.119522860933439362          0.69                69
   0    -77        12    0.347464615384615427    0.098058067569092022          1.03               103
   0    -77        18    0.316800000000000026    0.107211253483779481          0.86                86
   0    -77        23    0.366681043478261026    0.093250480824031381          1.14               114
   0    -72         0    0.254177627118643945    0.130188910980823858          0.58                58
   0    -72         6    0.305182784810126451    0.112508790092602395          0.78                78
   0    -72        12    0.367742745098039336    0.099014754297667429          1.01               101
   0    -72        18    0.438699789473683988    0.072547625011001163          1.89               189
   0    -72        23    0.411394355828221425    0.078326044998795738          1.62               162
   0    -67         0    0.170208780487804884    0.156173761888606072          0.40                40
   0    -67         6    0.303608358208955209    0.122169444356305223          0.66                66
   0    -67        12    0.446315471698113142    0.068680281974344518          2.11               211
   0    -67        18    0.541182439024385675    0.041739193556484110          5.73               573
   0    -67        23    0.536414990723558804    0.043073049225394802          5.38               538
   0    -62         0    0.188751698113207550    0.137360563948689035          0.52                52
   0    -62         6    0.285213164556961940    0.112508790092602395          0.78                78
   0    -62        12    0.386141383647799263    0.079305158571814416          1.58               158
   0    -62        18    0.568408121353554674    0.034159349284257755          8.56               856
   0    -62        23    0.669541436077051522    0.029591497808609108         11.41              1141
                                                                              50.00              5000    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   1    -82         0    0.012447425149700604    0.077382323253413682          1.66               166
   1    -82         6    0.022381176470588241    0.076696498884737049          1.69               169
   1    -82        12    0.030147182320442008    0.074329414624716636          1.80               180
   1    -82        18    0.019671377245508982    0.077382323253413682          1.66               166
   1    -82        23    0.024956384180790964    0.075164602800282879          1.76               176
   1    -77         0    0.014268000000000006    0.079056941504209485          1.59               159
   1    -77         6    0.012752883435582823    0.078326044998795738          1.62               162
   1    -77        12    0.030901443298969069    0.071795815861773804          1.93               193
   1    -77        18    0.019671377245508982    0.077382323253413682          1.66               166
   1    -77        23    0.022969281767955808    0.074329414624716636          1.80               180
   1    -72         0    0.044113623188405789    0.069504804685691590          2.06               206
   1    -72         6    0.037951044776119415    0.070534561585859828          2.00               200
   1    -72        12    0.021283478260869571    0.073720978077448568          1.83               183
   1    -72        18    0.023573333333333325    0.075809804357890337          1.73               173
   1    -72        23    0.035509771689497711    0.067573737839948592          2.18               218
   1    -67         0    0.004608000000000001    0.083045479853739973          1.44               144
   1    -67         6    0.031385168539325853    0.074953168899586142          1.77               177
   1    -67        12    0.023802937853107355    0.075164602800282879          1.76               176
   1    -67        18    0.031690212765957446    0.072932495748947279          1.87               187
   1    -67        23    0.065702399999999994    0.057735026918962581          2.99               299
   1    -62         0    0.021415384615384610    0.074124931666110117          1.81               181
   1    -62         6    0.017934382022471919    0.074953168899586142          1.77               177
   1    -62        12    0.036729263157894758    0.072547625011001163          1.89               189
   1    -62        18    0.089814825174825197    0.048280454958526758          4.28               428
   1    -62        23    0.081696184971098318    0.053760333057047034          3.45               345
                                                                              50.00              5000    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   2    -82         0    0.094579726027397282    0.117041147196130554          0.72                72
   2    -82         6    0.116163764705882355    0.108465228909328082          0.84                84
   2    -82        12    0.128771958762886524    0.101534616513361903          0.96                96
   2    -82        18    0.113902465753424664    0.117041147196130554          0.72                72
   2    -82        23    0.099790129870129890    0.113960576459637947          0.76                76
   2    -77         0    0.092552533333333353    0.115470053837925163          0.74                74
   2    -77         6    0.116927999999999963    0.111803398874989482          0.79                79
   2    -77        12    0.161420917431192690    0.095782628522115137          1.08               108
   2    -77        18    0.140977021276595699    0.103142124625879336          0.93                93
   2    -77        23    0.116928000000000004    0.111803398874989482          0.79                79
   2    -72         0    0.136669090909090934    0.106600358177805221          0.87                87
   2    -72         6    0.162276814159291960    0.094072086838359728          1.12               112
   2    -72        12    0.175692030075188077    0.086710996952411995          1.32               132
   2    -72        18    0.164960000000000023    0.092847669088525930          1.15               115
   2    -72        23    0.183333129770992365    0.087370405666103795          1.30               130
   2    -67         0    0.099244444444444455    0.117851130197757920          0.71                71
   2    -67         6    0.109245569620253141    0.112508790092602395          0.78                78
   2    -67        12    0.223552820512820605    0.080064076902543566          1.55               155
   2    -67        18    0.249489230769231018    0.062017367294604227          2.59               259
   2    -67        23    0.279460571428570836    0.050964719143762556          3.84               384
   2    -62         0    0.138261573033707813    0.105999788000636003          0.88                88
   2    -62         6    0.185881212121212142    0.087038827977848926          1.31               131
   2    -62        12    0.256933807829181182    0.059654998627189357          2.80               280
   2    -62        18    0.333712316968128087    0.029348363544187461         11.60              1160
   2    -62        23    0.321072941176468285    0.031846487764924103          9.85               985
                                                                              50.00              5000    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   3    -82         0    0.205357419354838588    0.103695169473042526          0.92                92
   3    -82         6    0.109080701754386000    0.132453235706504385          0.56                56
   3    -82        12    0.104980000000000032    0.125000000000000000          0.63                63
   3    -82        18    0.178429090909090843    0.106600358177805221          0.87                87
   3    -82        23    0.129920000000000008    0.125000000000000000          0.63                63
   3    -77         0    0.167710843373493873    0.109764259989690346          0.82                82
   3    -77         6    0.142116571428571425    0.119522860933439362          0.69                69
   3    -77        12    0.153782857142857082    0.113960576459637947          0.76                76
   3    -77        18    0.176829890109890031    0.104828483672191830          0.90                90
   3    -77        23    0.213834893617021293    0.103142124625879336          0.93                93
   3    -72         0    0.140704864864864887    0.116247638743819284          0.73                73
   3    -72         6    0.159991898734177102    0.112508790092602395          0.78                78
   3    -72        12    0.214299259259259328    0.096225044864937631          1.07               107
   3    -72        18    0.224979478260869642    0.093250480824031381          1.14               114
   3    -72        23    0.233883909774436211    0.086710996952411995          1.32               132
   3    -67         0    0.168185679012345685    0.111111111111111105          0.80                80
   3    -67         6    0.210591683168316779    0.099503719020998915          1.00               100
   3    -67        12    0.194604356435643555    0.099503719020998915          1.00               100
   3    -67        18    0.320908387096773551    0.056796183424706478          3.09               309
   3    -67        23    0.333083171355498087    0.050572173742417362          3.90               390
   3    -62         0    0.158873599999999920    0.115470053837925163          0.74                74
   3    -62         6    0.156964571428571426    0.119522860933439362          0.69                69
   3    -62        12    0.167719024390243859    0.110431526074846548          0.81                81
   3    -62        18    0.428535818908119315    0.036490518258441337          7.50               750
   3    -62        23    0.559260011280310332    0.023749016662636548         17.72              1772
                                                                              50.00              5000    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   4    -82         0    0.052605644171779140    0.078326044998795738          1.62               162
   4    -82         6    0.045641257861635212    0.079305158571814416          1.58               158
   4    -82        12    0.061217237569060758    0.074329414624716636          1.80               180
   4    -82        18    0.063333608247422707    0.071795815861773804          1.93               193
   4    -82        23    0.059633609467455613    0.076923076923076927          1.68               168
   4    -77         0    0.039975384615384621    0.083624201000709081          1.42               142
   4    -77         6    0.027913070866141729    0.088735650941611371          1.26               126
   4    -77        12    0.052807619047619034    0.077151674981045956          1.67               167
   4    -77        18    0.047379875776397525    0.078811040623910061          1.60               160
   4    -77        23    0.050207179487179510    0.080064076902543566          1.55               155
   4    -72         0    0.034721088435374144    0.082478609884232251          1.46               146
   4    -72         6    0.047583355704697995    0.081923192051904042          1.48               148
   4    -72        12    0.049830787878787891    0.077849894416152296          1.64               164
   4    -72        18    0.092725161290322558    0.063500063500095252          2.47               247
   4    -72        23    0.051284210526315814    0.081110710565381272          1.51               151
   4    -67         0    0.021474380165289266    0.090909090909090912          1.20               120
   4    -67         6    0.044190476190476204    0.082478609884232251          1.46               146
   4    -67        12    0.083750082644628104    0.064282434653322507          2.41               241
   4    -67        18    0.114026077348066274    0.052558833122763667          3.61               361
   4    -67        23    0.116598709677419504    0.051847584736521263          3.71               371
   4    -62         0    0.047309803921568638    0.080845208345444328          1.52               152
   4    -62         6    0.035277163120567376    0.084215192106651890          1.40               140
   4    -62        12    0.041338181818181836    0.080582296402538028          1.53               153
   4    -62        18    0.114536936936937020    0.054799662435119099          3.32               332
