Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,214.864,9.71803,216.222,10.4601,0.426216,2.48943,8.44661,38.6381,0.02406,0,35.2635,0,0,3.35053,267494,403380952,43541,65659828,40277,60737716,1477,79,0,0,0,0
1,0,0,0,0,0.447503,2.19464,0.05624,47.302,7.8683,0,10.507,0.415464,0,28.5112,0,0,0,0,0,0,0,0,40277,60737716,0,0
2,0,1.4636,0,0,0.329499,3.37994,1.58804,44.7029,0.005964,0,15.2096,0,0,29.4873,89818,135445544,7729,11655332,6066,9147528,217,60,0,0,0,0
3,0,0,0,0,0.331436,29.698,0.012112,19.9586,1.15804,0,12.3981,0.314308,0,6.08815,0,0,0,0,0,0,0,0,6066,9147528,0,0
4,0,3.13471,0,4.17173,0.2151,7.0738,2.59046,40.1254,0.005568,0,4.02797,0,0,36.0918,267502,403393016,12992,19591936,12992,19591936,464,0,0,0,0,0
5,0,0,0,0,0.222137,7.20662,0.014848,42.5611,2.47034,0,29.3148,0,0,10.776,0,0,0,0,0,0,0,0,12992,19591936,0,0
6,0,35.3847,0,35.0284,0.797496,7.62355,28.2719,13.3074,0.063876,0,4.87664,0,0,8.36688,267506,403399048,147030,221721240,146654,221154232,5239,13,0,0,0,0
7,0,0,0,0,0.800208,8.06126,0.169076,40.9698,27.8883,0,5.04165,0.069212,0,7.97067,0,0,0,0,0,0,0,0,146654,221154232,0,0
8,0,1.8096,0,0,0.317529,5.50362,1.71137,42.4678,0.004944,0,12.5408,0,0,29.9221,92826,139981608,8377,12632516,7500,11310000,268,32,0,0,0,0
9,0,0,0,0,0.315603,5.35452,0.011024,44.3138,1.42813,0,13.0103,0.165996,0,29.7094,0,0,0,0,0,0,0,0,7500,11310000,0,0
10,0,5.37331,0,5.46921,0.304337,4.88845,4.83724,39.9702,0.016068,0,9.21519,0,0,30.7389,267515,403412620,24680,37217440,22270,33583160,807,76,0,0,0,0
11,0,0,0,0,0.306311,28.9243,0.034936,20.7294,4.29806,0,9.0051,0.399492,0,7.02671,0,0,0,0,0,0,0,0,22270,33583160,0,0
12,0,5.22516,0,6.71603,0.324894,6.48709,4.85677,38.3315,0.015384,0,32.0294,0,0,6.28666,264326,398603608,24781,37369748,21656,32657248,774,112,0,0,0,0
13,0,0,0,0,0.161146,7.09582,0.033844,42.7094,4.13089,0,32.0555,0.293012,0,6.23001,0,0,0,0,0,0,0,0,21684,32699472,0,0
