Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,289.189,46.6825,333.983,58.6745,3.01267,2.49895,77.8366,16.6569,0.198108,0,14.2796,0.000108,0,2.17907,534988,806761904,404224,609569792,386957,583531156,13881,556,0,0,0,0
1,0,0,0,0,0.507697,5.93056,0.489156,93.0723,73.974,0,11.21,0.846708,0,7.0416,0,0,0,0,0,0,0,0,387207,583908156,0,0
2,0,2.74806,0,0.538658,0.459928,7.06321,5.53718,86.9394,0.020892,0,6.26723,3.6e-05,0,80.6513,458423,691301884,28029,42267732,22779,34350732,817,185,0,0,0,0
3,0,0,0,0,0.132643,11.9553,0.043172,87.8686,4.37464,0,4.41062,0.54324,0,78.5401,0,0,0,0,0,0,0,0,22862,34475896,0,0
4,0,0.176255,0,0,1.00036,13.7349,0.454284,84.8108,0.000924,0,1.30946,0,0,83.5004,99434,149946472,1629,2456532,1461,2203188,53,6,0,0,0,0
5,0,0,0,0,0.0428911,13.5476,0.002104,86.4077,0.278016,0,5.96749,0,0,80.1622,0,0,0,0,0,0,0,0,1461,2203188,0,0
6,0,35.4212,0,48.1173,1.94291,11.8168,58.4792,27.7623,0.144636,0,8.20529,2.4e-05,0,19.4123,534983,806754364,303895,458273660,293611,442765388,10489,365,0,0,0,0
7,0,0,0,0,0.0853065,16.6829,0.362496,82.8652,55.8809,0,6.9996,0.196988,0,19.7877,0,0,0,0,0,0,0,0,293775,443012700,0,0
8,0,7.16384,0,0,1.0225,38.9479,13.1292,45.5845,0.040248,0,5.89964,0,0,39.6446,371486,560200888,67256,101422048,59382,89548056,2122,280,0,0,0,0
9,0,0,0,0,0.0708398,26.4522,0.08888,73.3875,11.3139,0,9.86445,0.521752,0,51.6874,0,0,0,0,0,0,0,0,59410,89590280,0,0
10,0,25.5319,0,40.2775,1.95568,8.67337,44.2682,45.1075,0.123132,0,5.07145,3.6e-05,0,39.9129,535023,806814684,229286,345763288,211637,319148596,7577,612,0,0,0,0
11,0,0,0,0,0.120338,15.5376,0.288188,84.0533,40.3787,0,9.57666,0.697636,0,33.4003,0,0,0,0,0,0,0,0,211721,319275268,0,0
12,0,4.20105,0,0,4.86739,25.6498,8.50785,60.9744,0.032112,0,11.3644,1.2e-05,0,49.5779,183412,276585296,42869,64646452,34823,52513084,1264,268,0,0,0,0
13,0,0,0,0,0.0473824,47.5168,0.064612,52.1713,6.76886,0,11.2885,0.38352,0,33.7305,0,0,0,0,0,0,0,0,34960,52719680,0,0
14,0,0.712017,0,0,4.94923,9.46865,1.55554,84.0227,0.004356,0,12.8131,0,0,71.2052,79706,120196648,6861,10346388,5902,8900216,215,31,0,0,0,0
15,0,0,0,0,0.053101,16.2958,0.009396,83.6378,1.14599,0,4.3569,0.000192,0,78.1347,0,0,0,0,0,0,0,0,5902,8900216,0,0
16,0,3.35041,0,0,0.684568,68.4355,6.82961,24.0403,0.025704,0,7.49882,3.6e-05,0,16.5158,328602,495531816,34413,51894804,27772,41880176,994,236,0,0,0,0
17,0,0,0,0,0.19614,24.6914,0.052372,75.0556,5.31886,0,8.65264,0.51662,0,60.5675,0,0,0,0,0,0,0,0,27856,42006848,0,0
18,0,33.2091,0,31.8098,3.17715,4.02595,60.415,32.3875,0.198792,0,12.9222,0.0006,0,19.2659,535065,806878020,312786,471681288,275274,415113192,9954,1220,0,0,0,0
19,0,0,0,0,0.66114,8.8519,0.432668,90.0598,53.3097,0,16.6298,3.23718,0,16.8832,0,0,0,0,0,0,0,0,276665,417210820,0,0
20,0,4.7473,0,0,1.25998,4.98499,10.4499,83.3049,0.04272,0,15.2897,0.000252,0,67.9723,381921,575936868,53326,80415608,39351,59341308,1440,468,0,0,0,0
21,0,0,0,0,0.533924,6.32034,0.08286,93.0626,7.77886,0,80.4836,0.574992,0,4.22514,0,0,0,0,0,0,0,0,39787,59998796,0,0
22,0,1.63154,0,0,0.539631,60.4904,4.4645,30.5483,0.02412,0,14.7616,4.8e-05,0,15.7626,264099,398261292,22316,33652528,13524,20394192,534,263,0,0,0,0
