Simulation time: 100.0 s
Waiting for simulation script to connect on port: tcp://localhost:50005
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 76385
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   0  -64.0        23    0.438338134020865577    0.035421817348790727          9.29               796
   0  -63.0        23    0.446605321652513210    0.039374961547907886          7.73               644
   0  -81.0        23    0.397114730047403719    0.049446817643414874         12.28               408
   0  -80.0        23    0.397742850160087980    0.049206783130512292         12.75               412
   0  -78.0        23    0.450389575910455642    0.030137438733945608         14.02              1100
   0  -74.0        23    0.443611439336975333    0.034001020045902296         11.34               864
   0  -69.0        23    0.439263140510967709    0.033463724070512735         11.22               892
   0  -62.0        23    0.463319742502201148    0.022839623660917720         21.37              1916
                                                                             100.00              7032    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   1  -64.0        23    0.362022564653220413    0.038778336716474064         11.99               664
   1  -81.0        23    0.183061453237472027    0.094072086838359728         12.60               112
   1  -77.0        23    0.250440922785635955    0.068199433947047347         19.20               214
   1  -72.0        23    0.266313943822160837    0.068518870982753166         14.73               212
   1  -71.0        23    0.270924787840913950    0.075164602800282879          9.32               176
   1  -69.0        23    0.327510556268936270    0.049206783130512292          9.13               412
   1  -66.0        23    0.307596673119808817    0.058025885318565944          6.59               296
   1  -65.0        23    0.337887253928397358    0.052631578947368418          8.15               360
   1  -62.0        23    0.344648132503872606    0.046175709653961013          7.95               468
                                                                              99.67              2914    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   2  -82.0        23    0.088570743944442948    0.223606797749978964          6.97                19
   2  -81.0        23    0.114784850189145193    0.185695338177051861          7.63                28
   2  -80.0        23    0.145430235648153799    0.149071198499985985         13.95                44
   2  -79.0        23    0.176146868752885488    0.174077655955697852          6.82                32
   2  -76.0        23    0.097209574132269688    0.200000000000000011          7.40                24
   2  -75.0        23    0.310829730432031992    0.128036879932895975          9.70                60
   2  -70.0        23    0.314418248763261632    0.124034734589208454         10.84                64
   2  -69.0        23    0.391720229916295237    0.085435765771676095         15.60               136
   2  -62.0        23    0.313352796790127341    0.092450032704204863         20.69               116
                                                                              99.58               523    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   3  -64.0        23    0.554262443231968049    0.027307730683968013         11.61              1340
   3  -82.0        23    0.263846366204770200    0.124034734589208454          8.05                64
