Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,215.734,20.5432,220.542,21.5119,1.9953,6.73407,38.0082,53.2724,0.125772,0,46.2317,0.00024,0,6.91467,534988,806761904,196766,296723128,170285,256789780,6305,724,0,0,0,0
1,0,0,0,0,1.20591,8.34895,0.27356,90.1762,33.7125,0,34.5896,2.4652,0,19.4089,0,0,0,0,0,0,0,0,170871,257673468,0,0
2,0,8.19194,0,9.73806,1.22539,8.78628,15.7774,74.2156,0.057348,0,23.8003,0.000132,0,50.3578,530211,799558188,80921,122028868,67904,102399232,2431,460,0,0,0,0
3,0,0,0,0,0.488239,25.3068,0.122444,74.0871,13.03,0,16.5483,1.54415,0,42.9647,0,0,0,0,0,0,0,0,68237,102901396,0,0
4,0,1.11495,0,0,5.26604,22.7646,2.14976,69.8238,0.00522,0,2.66789,0,0,67.1507,160331,241779148,9970,15034760,9242,13936936,331,26,0,0,0,0
5,0,0,0,0,0.125323,24.7024,0.012424,75.1641,1.76889,0,23.6103,0,0,49.7849,0,0,0,0,0,0,0,0,9298,14021384,0,0
6,0,23.9902,0,24.3162,1.90518,7.72769,41.8691,48.4978,0.118376,0,25.7976,0,0,22.5819,535013,806799604,216958,327172664,198858,299877864,7105,646,0,0,0,0
7,0,0,0,0,0.40919,16.1117,0.2745,83.2044,37.884,0,24.0384,1.00586,0,20.2762,0,0,0,0,0,0,0,0,199054,300173432,0,0
8,0,3.99427,0,0,5.66469,19.5603,7.65472,67.1201,0.025296,0,9.65251,0,0,57.4423,375700,566555600,38585,58186180,33109,49928372,1184,195,0,0,0,0
9,0,0,0,0,0.190245,33.1261,0.053728,66.624,6.32262,0,7.91713,0.31944,0,52.0648,0,0,0,0,0,0,0,0,33165,50012820,0,0
10,0,2.9704,0,0,7.09487,10.9032,5.93346,76.0654,0.020148,0,20.2275,2.4e-05,0,55.8177,298398,449984184,29541,44547828,24622,37129976,887,169,0,0,0,0
11,0,0,0,0,0.173188,36.3505,0.042012,63.4314,4.74552,0,5.94527,0.2238,0,52.5168,0,0,0,0,0,0,0,0,24682,37220456,0,0
12,0,22.1703,0,27.3961,2.10467,9.57919,40.4351,47.8782,0.130764,0,35.4722,2.4e-05,0,12.2752,535039,806838812,209283,315598764,183772,277128176,6585,891,0,0,0,0
13,0,0,0,0,0.10097,13.9541,0.28456,85.6575,35.1168,0,38.5049,1.56545,0,10.4705,0,0,0,0,0,0,0,0,183881,277292548,0,0
14,0,1.3204,0,0,5.9525,17.6565,2.84543,73.5427,0.009312,0,4.88974,0,0,68.6437,162355,244831340,13504,20364032,10945,16505060,392,92,0,0,0,0
15,0,0,0,0,0.143178,36.6903,0.01914,63.1445,2.0905,0,5.37075,0.042784,0,55.6404,0,0,0,0,0,0,0,0,10945,16505060,0,0
16,0,7.83919,0,9.51729,1.2594,11.2506,15.6805,71.8067,0.056964,0,11.6132,3.6e-05,0,60.1365,535042,806843336,80389,121226612,64980,97989840,2323,549,0,0,0,0
17,0,0,0,0,0.286126,11.5915,0.116556,88.003,12.4112,0,16.0366,1.34716,0,58.208,0,0,0,0,0,0,0,0,65092,98158736,0,0
18,0,22.8795,0,22.3341,2.84976,4.81376,44.4272,47.9217,0.158196,0,34.9876,8.4e-05,0,12.7758,535065,806878020,229562,346179496,189651,285993708,6839,1360,0,0,0,0
19,0,0,0,0,1.93509,6.39563,0.327192,91.3492,36.5033,0,45.3339,5.74479,0,3.76726,0,0,0,0,0,0,0,0,189843,286283244,0,0
20,0,17.2577,0,15.7628,2.30309,4.66023,34.6809,58.3658,0.127116,0,46.0746,0.000216,0,12.1639,535074,806891592,179202,270236616,143051,215720908,5117,1283,0,0,0,0
21,0,0,0,0,1.48207,8.28114,0.257412,89.984,27.388,0,54.5866,0.90508,0,7.10433,0,0,0,0,0,0,0,0,143532,216446256,0,0
22,0,6.32793,0,6.53447,1.34819,8.55146,15.2237,74.8811,0.07902,0,48.7288,7.2e-05,0,26.0733,535079,806899132,77786,117301288,52453,79099124,2049,730,0,0,0,0
23,0,0,0,0,0.278218,13.7975,0.148516,85.7802,10.9846,0,33.8172,1.78392,0,39.1944,0,0,0,0,0,0,0,0,52537,79225796,0,0
24,0,1.4513,0,0,8.55566,26.6169,2.86458,61.9671,0.00792,0,4.21291,0,0,57.7462,161857,244080356,13654,20590232,12030,18141240,432,58,0,0,0,0
25,0,0,0,0,0.139422,37.3087,0.0177,62.5384,2.28948,0,5.00354,0,0,55.2454,0,0,0,0,0,0,0,0,12030,18141240,0,0
26,0,14.8888,0,18.0845,1.36923,9.56179,27.4336,61.6449,0.086148,0,36.7127,0.000192,0,24.8459,535096,806924768,141681,213654948,123415,186109820,4411,649,0,0,0,0
27,0,0,0,0,0.134966,14.5245,0.18888,85.1558,23.6209,0,16.1992,1.67725,0,43.6585,0,0,0,0,0,0,0,0,123972,186949776,0,0
28,0,10.1268,0,13.7825,1.38539,12.3483,19.8049,66.4613,0.0717,0,7.17075,3.6e-05,0,59.2188,535066,806879528,101558,153149464,83942,126584536,3099,529,0,0,0,0
29,0,0,0,0,0.201064,16.7768,0.148348,82.8736,16.5729,0,10.2633,0.910788,0,55.1266,0,0,0,0,0,0,0,0,84172,126931376,0,0
30,0,3.36344,0,0,5.62557,22.0076,6.93687,65.4271,0.025056,0,7.23938,1.2e-05,0,58.1627,304710,459502680,34692,52315536,27880,42043040,996,243,0,0,0,0
31,0,0,0,0,0.195538,24.0537,0.0506,75.6973,5.32854,0,9.04786,0.436568,0,60.8844,0,0,0,0,0,0,0,0,27936,42127488,0,0
32,0,21.8456,0,26.1849,1.86654,10.0444,40.3784,47.7131,0.16518,0,25.7177,0.001308,0,21.829,535122,806963976,208886,315000088,181081,273070148,6629,831,0,0,0,0
33,0,0,0,0,0.744558,16.7272,0.345072,82.1803,35.9841,0,3.67186,2.35435,0,40.17,0,0,0,0,0,0,0,0,183883,277295564,0,0
34,0,0.64084,0,0,5.44918,29.7709,1.48854,63.2886,0.004584,0,27.7964,0,0,35.4876,69126,104242008,6471,9758268,5312,8010496,190,42,0,0,0,0
35,0,0,0,0,0.182387,36.294,0.009376,63.5113,1.01861,0,7.39898,0.05324,0,55.0405,0,0,0,0,0,0,0,0,5312,8010496,0,0
36,0,2.94579,0,0,6.09324,22.3836,6.71938,64.8009,0.028116,0,38.0354,0.000156,0,26.7372,287688,433833504,33516,50542128,24418,36822344,891,306,0,0,0,0
37,0,0,0,0,0.289086,28.3025,0.055068,71.3505,4.84266,0,37.2253,0.356708,0,28.9258,0,0,0,0,0,0,0,0,24790,37383320,0,0
38,0,21.8719,0,25.379,2.19036,6.25844,38.4528,53.1055,0.13404,0,15.5934,0,0,37.3781,535148,807003184,198866,299889928,181299,273398892,6706,399,0,0,0,0
39,0,0,0,0,1.17583,7.93886,0.29048,90.6019,35.7289,0,33.0806,0.543048,0,21.2494,0,0,0,0,0,0,0,0,181299,273398892,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,237.766,7.37448,268.321,5.22371,2.09389,7.19563,20.1243,70.5895,0.14706,0,21.6302,0.000108,0,48.8122,534988,806761904,102388,154401104,61128,92181024,2587,1072,0,0,0,0
1,0,0,0,0,0.713899,10.8473,0.247496,88.1947,13.9059,0,39.2236,3.21037,0,31.8549,0,0,0,0,0,0,0,0,61204,92295632,0,0
2,0,3.16415,0,0,1.53813,40.9109,7.05475,50.4884,0.029988,0,11.6765,3.6e-05,0,38.7819,369256,556838048,35356,53316848,26228,39551824,963,301,0,0,0,0
3,0,0,0,0,0.369067,34.776,0.057124,64.7965,5.16046,0,10.6695,0.64972,0,48.3168,0,0,0,0,0,0,0,0,26312,39678496,0,0
4,0,21.7748,0,31.931,1.73379,12.7881,38.6073,46.8749,0.11328,0,23.2957,1.2e-05,0,23.4659,534996,806773968,199865,301396420,180494,272184952,6448,690,0,0,0,0
5,0,0,0,0,0.157592,15.8172,0.258552,83.7654,34.378,0,28.8526,1.71452,0,18.8202,0,0,0,0,0,0,0,0,180578,272311624,0,0
6,0,12.7596,0,11.345,1.42493,12.302,24.2842,61.9876,0.080004,0,45.1761,0,0,16.7315,535013,806799604,124993,188489444,105766,159495128,3779,686,0,0,0,0
7,0,0,0,0,0.218481,16.73,0.170724,82.8795,20.1829,0,46.0902,1.08096,0,15.5254,0,0,0,0,0,0,0,0,105960,159787680,0,0
8,0,1.69523,0,0,3.13269,17.2,3.98522,75.681,0.018312,0,13.6928,2.4e-05,0,61.9699,226241,341171428,19293,29093844,14052,21190416,562,128,0,0,0,0
9,0,0,0,0,0.181175,36.8866,0.034604,62.9013,3.01681,0,16.0308,0.218476,0,43.6353,0,0,0,0,0,0,0,0,14116,21286928,0,0
10,0,6.16338,0,6.60082,0.663619,14.6177,11.2337,73.4887,0.0333,0,10.8455,0,0,62.6098,535026,806819208,57328,86450624,51089,77042212,1827,222,0,0,0,0
11,0,0,0,0,0.204157,15.6161,0.074648,84.1087,9.72716,0,16.9948,0.282172,0,57.1046,0,0,0,0,0,0,0,0,51089,77042212,0,0
12,0,10.0579,0,4.55718,1.0754,33.6104,18.8391,46.4787,0.059892,0,9.78794,0.000348,0,36.6306,535039,806838812,96745,145891460,83371,125723468,2979,477,0,0,0,0
13,0,0,0,0,0.203795,18.7772,0.130724,80.8919,16.0497,0,15.3786,1.01156,0,48.452,0,0,0,0,0,0,0,0,84267,127074636,0,0
14,0,27.7845,0,46.5719,2.32326,14.9384,48.5711,34.1762,0.137084,0,3.62024,1.2e-05,0,30.4189,535048,806852384,251273,378919684,230309,347305972,8236,738,0,0,0,0
15,0,0,0,0,0.173218,19.7926,0.317936,79.7198,43.904,0,14.9079,0.250228,0,20.6577,0,0,0,0,0,0,0,0,230477,347559316,0,0
16,0,5.9531,0,2.55877,0.987046,26.9896,12.2382,59.7887,0.046416,0,14.0327,6e-05,0,45.7095,535056,806864448,62357,94034356,49346,74413768,1808,420,0,0,0,0
17,0,0,0,0,0.203241,22.8789,0.093036,76.8284,9.67095,0,42.8186,0.788144,0,23.5507,0,0,0,0,0,0,0,0,49485,74623380,0,0
18,0,12.643,0,13.7934,1.72407,6.59013,25.0663,66.6189,0.091992,0,60.0193,0.0003,0,6.50731,535065,806878020,129025,194569700,104799,158036892,3798,811,0,0,0,0
19,0,0,0,0,0.772595,11.9477,0.19648,87.09,20.4194,0,29.9365,2.47585,0,34.2583,0,0,0,0,0,0,0,0,105602,159247816,0,0
20,0,36.843,0,44.8232,2.62684,4.88304,62.3365,30.1623,0.164928,0,16.9929,1.2e-05,0,13.0045,535074,806891592,323577,487954116,305396,460537168,10920,636,0,0,0,0
21,0,0,0,0,0.957543,12.6582,0.397612,85.9901,58.1795,0,13.4326,0.569668,0,13.8084,0,0,0,0,0,0,0,0,305480,460663840,0,0
22,0,4.73814,0,3.98595,0.704665,16.543,8.85305,73.9027,0.028068,0,11.7799,0,0,62.0947,535079,806899132,44800,67558400,39275,59226700,1407,193,0,0,0,0
23,0,0,0,0,0.285437,17.779,0.060936,81.8781,7.49929,0,11.2894,0.18634,0,62.903,0,0,0,0,0,0,0,0,39275,59226700,0,0
24,0,5.80725,0,6.28293,0.784748,15.1518,10.9846,73.0775,0.033804,0,4.91242,0,0,68.1313,535088,806912704,55781,84117748,48137,72590596,1721,273,0,0,0,0
25,0,0,0,0,0.217949,27.7797,0.073836,71.9273,9.17346,0,5.19276,0,0,57.561,0,0,0,0,0,0,0,0,48193,72675044,0,0
26,0,7.07759,0,4.72487,0.834826,27.2424,13.4723,58.4494,0.04398,0,12.8801,0,0,45.5252,535061,806871988,68861,103842388,58667,88469836,2097,363,0,0,0,0
27,0,0,0,0,0.199189,17.172,0.093924,82.5336,11.1909,0,18.0462,0.85184,0,52.4446,0,0,0,0,0,0,0,0,58751,88596508,0,0
28,0,13.7619,0,15.8165,1.33494,16.6363,25.5513,56.4812,0.0819,0,12.8659,0.000324,0,43.5331,535105,806938340,131707,198614156,114074,172023592,4077,627,0,0,0,0
29,0,0,0,0,0.310384,17.9908,0.178544,81.5239,21.9012,0,8.02319,1.41523,0,50.1843,0,0,0,0,0,0,0,0,114968,173371744,0,0
30,0,22.9712,0,30.1389,1.81082,10.105,40.738,47.3552,0.11946,0,15.926,0.000216,0,31.3095,535114,806951912,211031,318234748,190411,287139788,6803,733,0,0,0,0
31,0,0,0,0,0.380293,12.9341,0.271988,86.4173,36.3541,0,10.9277,1.27244,0,37.8631,0,0,0,0,0,0,0,0,190971,287984268,0,0
32,0,1.44889,0,0,4.37913,18.9563,2.95721,73.7111,0.009,0,26.4263,0,0,47.2758,105295,158784860,14117,21288436,12010,18111080,430,76,0,0,0,0
33,0,0,0,0,0.285337,31.7454,0.019368,67.9535,2.29266,0,28.7139,0.138996,0,36.808,0,0,0,0,0,0,0,0,12037,18151796,0,0
34,0,0.0332966,0,0,3.50935,21.1376,0.345448,75.0112,0.000792,0,4.61945,2.4e-05,0,70.3909,11633,17542564,627,945516,276,416208,10,13,0,0,0,0
35,0,0,0,0,0.10654,48.6545,0.00154,51.241,0.0645,0,4.48177,0.037268,0,46.6575,0,0,0,0,0,0,0,0,320,482560,0,0
36,0,5.2546,0,2.40436,0.877598,11.0803,10.0777,77.9637,0.0366,0,15.5952,2.4e-05,0,62.3319,535125,806968500,51203,77214124,43556,65682448,1566,263,0,0,0,0
37,0,0,0,0,0.339376,24.3849,0.075436,75.1996,8.365,0,7.92873,0.548372,0,58.3575,0,0,0,0,0,0,0,0,43639,65807612,0,0
38,0,30.4597,0,37.5625,3.14398,4.36899,54.4214,38.0704,0.16596,0,32.2643,0,0,5.64013,535148,807003184,281516,424526128,252484,380745872,9026,1029,0,0,0,0
39,0,0,0,0,1.11755,8.4948,0.376652,90.0104,48.1038,0,30.3705,2.22011,0,9.31602,0,0,0,0,0,0,0,0,252511,380786588,0,0
