Simulation time: 100.0 s
Waiting for simulation script to connect on port: tcp://localhost:50004
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 95884
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   0  -64.0        23    0.689951716642814739    0.031718073984777558          8.70               993
   0  -63.0        23    0.858216003430969376    0.010022576223391449         63.64              9954
   0  -81.0        23    0.408457125109846497    0.095782628522115137          2.85               108
   0  -80.0        23    0.422389472688192713    0.093658581158169399          3.02               113
   0  -78.0        23    0.510270749610356011    0.065372045046061353          3.42               233
   0  -74.0        23    0.445357336937095116    0.081110710565381272          2.25               151
   0  -69.0        23    0.634182397702754086    0.047404546313997722          4.45               444
   0  -62.0        23    0.763612902685268047    0.025540472211939846         11.65              1532
                                                                             100.00             13528    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   1  -64.0        23    0.286370162670255168    0.064150029909958425         17.51               242
   1  -81.0        23    0.118600337517568141    0.125988157669742418         10.74                62
   1  -77.0        23    0.126402631719326530    0.122169444356305223         10.53                66
   1  -72.0        23    0.163448328549048311    0.109764259989690346         11.36                82
   1  -71.0        23    0.093810651680546600    0.141421356237309503          6.16                49
   1  -69.0        23    0.265340005563602988    0.076028592126970551         12.60               172
   1  -66.0        23    0.266303740276495948    0.075809804357890337         12.46               173
   1  -65.0        23    0.213682437687753746    0.101534616513361903          4.70                96
   1  -62.0        23    0.290078907421918331    0.062622429108514954         13.64               254
                                                                              99.69              1196    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   2  -82.0        23    0.030537812334695061    0.204124145231931509          8.95                23
   2  -81.0        23    0.016802663282238305    0.223606797749978964          7.43                19
   2  -80.0        23    0.133022607268679788    0.176776695296636893         10.54                31
   2  -79.0        23    0.076308284250992814    0.192450089729875262          8.42                26
   2  -76.0        23    0.064697181127409395    0.204124145231931509          7.28                23
   2  -75.0        23    0.120137348316603387    0.192450089729875262          2.99                26
