Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,315.927,49.2859,359.119,59.7373,3.03322,2.53544,81.1171,13.3212,0.198612,0,10.2679,0.0003,0,2.85445,534988,806761904,421317,635346036,408537,616073796,14635,412,0,0,0,0
1,0,0,0,0,0.341661,5.65592,0.50176,93.5023,78.0671,0,8.05501,0.617776,0,6.76242,0,0,0,0,0,0,0,0,409237,617129396,0,0
2,0,1.45021,0,0,0.285569,7.27372,2.95781,89.4846,0.01068,0,5.09628,2.4e-05,0,84.3776,185305,279439940,14785,22295780,12021,18127668,430,99,0,0,0,0
3,0,0,0,0,0.133451,10.3184,0.022324,89.5275,2.30447,0,3.91948,0.346252,0,82.9573,0,0,0,0,0,0,0,0,12076,18210608,0,0
4,0,1.34984,0,0,0.222467,10.0362,2.44745,87.2976,0.006444,0,1.53671,0,0,85.7544,102097,153962276,12141,18308628,11189,16873012,401,34,0,0,0,0
5,0,0,0,0,0.0547928,10.046,0.015144,89.8877,2.12874,0,4.98587,0,0,82.7731,0,0,0,0,0,0,0,0,11189,16873012,0,0
6,0,48.0392,0,60.6506,2.27199,5.74118,78.2532,13.7382,0.187508,0,7.03166,3.6e-05,0,6.51901,535013,806799604,407239,614116412,398203,600490124,14226,320,0,0,0,0
7,0,0,0,0,0.113247,9.85433,0.47922,89.5525,75.7691,0,6.6686,0.31944,0,6.79529,0,0,0,0,0,0,0,0,398371,600743468,0,0
8,0,3.06474,0,0,0.381397,69.7414,5.72468,22.5453,0.018096,0,5.39584,1.2e-05,0,17.1313,257062,387649496,29121,43914468,25404,38309232,908,133,0,0,0,0
9,0,0,0,0,0.0917165,12.1703,0.03932,87.6973,4.85024,0,5.77703,0.191664,0,76.8784,0,0,0,0,0,0,0,0,25460,38393680,0,0
10,0,42.3144,0,59.8386,2.3981,7.4982,69.2931,20.8145,0.167268,0,4.67992,0,0,15.9673,535031,806826748,359931,542775948,350749,528929492,12531,324,0,0,0,0
11,0,0,0,0,0.0903471,13.7205,0.424928,85.7629,66.7258,0,4.97854,0.149264,0,13.9093,0,0,0,0,0,0,0,0,350749,528929492,0,0
12,0,2.92697,0,0,0.710911,10.0082,6.48986,82.7896,0.026412,0,12.262,0,0,70.5013,243271,366852668,32623,49195484,24262,36587096,901,267,0,0,0,0
13,0,0,0,0,0.0400072,72.0048,0.051096,27.8273,4.82121,0,12.2068,0.48316,0,10.3161,0,0,0,0,0,0,0,0,24333,36694164,0,0
14,0,2.83987,0,0.455416,0.230421,7.80927,4.90052,87.0553,0.01284,0,2.16287,0,0,84.8796,535048,806852384,24873,37508484,23540,35498320,842,48,0,0,0,0
15,0,0,0,0,0.0428825,12.6073,0.030884,87.3144,4.49551,0,2.28418,0.01084,0,80.5239,0,0,0,0,0,0,0,0,23596,35582768,0,0
16,0,1.35539,0,0,0.399157,72.9034,2.93419,22.0835,0.011064,0,3.25034,0,0,18.8221,202612,305538896,14365,21662420,11235,16942380,402,112,0,0,0,0
17,0,0,0,0,0.0893953,8.57136,0.021908,91.3135,2.14504,0,4.53934,0.202504,0,84.4267,0,0,0,0,0,0,0,0,11235,16942380,0,0
18,0,47.9952,0,57.8662,3.43329,2.45629,80.4693,13.6525,0.20844,0,8.68138,0.00048,0,4.76222,535065,806878020,417426,629478408,397838,599939704,14262,648,0,0,0,0
19,0,0,0,0,0.52049,5.35685,0.510568,93.6182,76.1667,0,11.0815,1.443,0,4.92695,0,0,0,0,0,0,0,0,398958,601628664,0,0
20,0,4.40155,0,0,0.780625,4.84443,9.3269,85.0497,0.036264,0,10.0527,0.00024,0,74.9605,163936,247215488,47686,71910488,36485,55019380,1326,383,0,0,0,0
21,0,0,0,0,0.418628,6.00452,0.071904,93.5066,7.14982,0,82.5202,0.223608,0,3.61297,0,0,0,0,0,0,0,0,36924,55681392,0,0
22,0,1.07587,0,0,0.399983,72.7342,3.21172,22.7913,0.019272,0,12.6158,1.2e-05,0,10.1562,168585,254226180,15937,24032996,8918,13448344,362,208,0,0,0,0
23,0,0,0,0,0.144239,74.8476,0.035076,24.1103,1.94066,0,7.41346,0.713416,0,14.0428,0,0,0,0,0,0,0,0,8945,13489060,0,0
24,0,46.541,0,60.7688,2.09437,8.56397,75.0805,14.2667,0.173832,0,2.10523,0,0,11.9876,535088,806912704,390768,589278144,385784,581762272,13778,177,0,0,0,0
25,0,0,0,0,0.0710673,12.7419,0.452964,86.7342,73.3658,0,2.43874,0,0,10.9297,0,0,0,0,0,0,0,0,385812,581804496,0,0
26,0,3.31615,0,0,0.455001,8.45048,6.53378,84.5644,0.0225,0,7.47712,3.6e-05,0,77.0648,357854,539643832,33292,50204336,27488,41451904,983,206,0,0,0,0
27,0,0,0,0,0.0793461,73.0719,0.046816,23.453,5.26285,0,4.30566,0.431244,0,13.4532,0,0,0,0,0,0,0,0,27600,41620800,0,0
28,0,1.34948,0,0,0.321788,72.9807,2.83146,23.8479,0.010272,0,4.30548,0,0,19.5321,144111,217319388,14046,21181368,11186,16868488,408,95,0,0,0,0
29,0,0,0,0,0.0998382,9.88442,0.02084,89.9942,2.1744,0,7.0154,0.175692,0,80.6287,0,0,0,0,0,0,0,0,11209,16903172,0,0
30,0,1.01289,0,0,0.668206,12.4481,2.07383,84.8085,0.007032,0,3.20439,0,0,81.5971,52991,79910428,10117,15256436,8396,12661168,302,61,0,0,0,0
31,0,0,0,0,0.0859313,14.1055,0.014492,85.7927,1.60185,0,4.3727,0.138424,0,79.6797,0,0,0,0,0,0,0,0,8396,12661168,0,0
32,0,5.02719,0,0,0.908066,7.55885,9.89284,81.6358,0.036864,0,8.66777,0.00024,0,72.9309,220054,331841432,50514,76175112,41671,62839868,1520,285,0,0,0,0
33,0,0,0,0,0.27706,10.0115,0.077916,89.6291,8.19289,0,8.39336,0.899756,0,72.1431,0,0,0,0,0,0,0,0,41947,63256076,0,0
34,0,44.4735,0,59.8019,1.95496,6.89398,71.8,19.3519,0.169152,0,8.47685,1.2e-05,0,10.7059,535103,806935324,373706,563548648,368646,555918168,13196,150,0,0,0,0
35,0,0,0,0,0.0590753,10.1033,0.437636,89.3956,70.2724,0,4.23504,0.07986,0,14.8083,0,0,0,0,0,0,0,0,368646,555918168,0,0
36,0,1.00421,0,0,0.38704,10.6676,2.4454,86.4956,0.0099,0,9.00635,4.8e-05,0,77.4793,86038,129745304,11760,17734080,8324,12552592,301,119,0,0,0,0
