Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,299.765,54.7453,359.448,59.5527,2.91839,1.29927,89.0457,6.74529,0.211404,0,5.21339,8.4e-05,0,1.32041,534988,806761904,463065,698302020,453791,684316828,16225,315,0,0,0,0
1,0,0,0,0,0.253692,4.51915,0.543088,94.6873,86.4252,0,4.90217,0.335604,0,3.02434,0,0,0,0,0,0,0,0,453987,684612396,0,0
2,0,1.23294,0,0,0.240411,5.7698,2.45454,91.5385,0.008616,0,4.68273,0,0,86.8472,216383,326305564,12265,18495620,10220,15411760,366,73,0,0,0,0
3,0,0,0,0,0.125517,6.70273,0.018104,93.1569,1.95197,0,3.90346,0.261068,0,87.0404,0,0,0,0,0,0,0,0,10220,15411760,0,0
4,0,1.11073,0,0,0.159047,7.86221,2.0289,89.9527,0.005592,0,1.35416,0,0,88.593,157977,238229316,10159,15319772,9207,13884156,330,34,0,0,0,0
5,0,0,0,0,0.0439733,8.17709,0.012872,91.7689,1.75187,0,1.41932,0,0,88.5978,0,0,0,0,0,0,0,0,9207,13884156,0,0
6,0,21.6848,0,60.2935,1.42461,44.8893,35.4522,18.2377,0.084144,0,2.52608,0,0,15.6274,535013,806799604,183792,277158336,179748,271059984,6420,143,0,0,0,0
7,0,0,0,0,0.0280813,13.1543,0.215568,86.6006,34.1961,0,2.41244,0.02662,0,49.9655,0,0,0,0,0,0,0,0,179804,271144432,0,0
8,0,1.50221,0,0,0.909779,9.29147,3.25453,86.5427,0.012012,0,3.13548,0,0,83.3952,91077,137344116,16129,24322532,12452,18777616,445,132,0,0,0,0
9,0,0,0,0,0.0606776,42.7739,0.023692,57.1341,2.37418,0,5.78206,0.202312,0,48.7756,0,0,0,0,0,0,0,0,12452,18777616,0,0
10,0,4.40372,0,0,0.686647,15.3238,8.38014,75.6073,0.028428,0,5.19823,0,0,70.3806,165414,249444312,42646,64310168,36503,55046524,1313,214,0,0,0,0
11,0,0,0,0,0.205772,41.6128,0.059968,58.1125,6.98908,0,5.58382,0.293012,0,45.2466,0,0,0,0,0,0,0,0,36503,55046524,0,0
