Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,189.593,6.88517,194.779,5.50058,1.97842,18.2624,21.5794,8.20254,0.214728,0,0.530716,0,0,7.4571,267494,403380952,110136,166085088,28536,43032288,2622,1313,0,0,0,0
1,0,0,0,0,6.29371,17.4248,0.34454,25.9597,14.1155,0,0.625024,6.01631,0,5.20285,0,0,0,0,0,0,0,0,28595,43121260,0,0
2,0,0.405592,0,0.328744,3.32083,15.7811,25.0118,5.89444,0.22566,0,0.473656,0,0,5.19512,267498,403386984,126481,190733348,1681,2534948,721,3804,0,0,0,0
3,0,0,0,0,2.55015,14.5569,0.331484,32.5643,4.00092,0,0.59244,18.522,0,9.44904,0,0,0,0,0,0,0,0,1684,2539472,0,0
4,0,18.8379,0,16.9415,1.73128,22.9558,17.9167,7.39901,0.186036,0,0.580176,0,0,6.6328,267502,403393016,91157,137464756,78075,117737100,3091,173,0,0,0,0
5,0,0,0,0,0.941427,23.4289,0.310944,25.3215,16.6028,0,0.702476,0.000192,0,8.0161,0,0,0,0,0,0,0,0,78365,118174420,0,0
6,0,26.5644,0,29.9688,2.98466,6.21956,31.7667,9.03574,0.336648,0,0.35538,0,0,8.34371,267506,403399048,162099,244445292,110098,166027784,5114,683,0,0,0,0
7,0,0,0,0,1.73254,3.67295,0.554236,44.0415,27.4173,0,0.489132,2.5295,0,13.6056,0,0,0,0,0,0,0,0,110145,166098660,0,0
8,0,3.14822,0,1.44406,0.82536,39.3359,6.69881,3.17319,0.06236,0,1.05123,0,0,2.0596,267510,403405080,33627,50709516,13048,19676384,777,453,0,0,0,0
9,0,0,0,0,0.180428,39.3618,0.1002,10.3908,4.11939,0,0.949072,1.70622,0,3.61614,0,0,0,0,0,0,0,0,13055,19686940,0,0
10,0,19.4544,0,21.8467,2.56902,2.20586,40.7952,4.43182,0.431868,0,0.237364,0,0,3.76259,267515,403412620,209890,316514120,80630,121590040,6041,1455,0,0,0,0
11,0,0,0,0,1.74503,3.29965,0.702596,44.2493,32.4372,0,0.330572,6.96957,0,4.51196,0,0,0,0,0,0,0,0,80631,121591548,0,0
12,0,0.0185786,0,0,12.9652,27.0366,4.7824,5.2123,0.040572,0,0.4235,0,0,4.74823,99699,150346092,23515,35460620,77,116116,17,825,0,0,0,0
13,0,0,0,0,0.0662926,10.525,0.057868,39.3474,0.120856,0,0.853776,3.64628,0,34.7265,0,0,0,0,0,0,0,0,77,116116,0,0
14,0,45.2055,0,48.8254,1.31686,5.54155,39.1076,4.03698,0.13488,0,0.280232,0,0,3.62187,267524,403426192,203265,306523620,187357,282534356,6856,404,0,0,0,0
15,0,0,0,0,0.699194,7.0571,0.294652,41.9467,36.5806,0,0.403236,1.24068,0,3.72216,0,0,0,0,0,0,0,0,187502,282753016,0,0
16,0,0.913727,0,0.399922,1.2231,17.3464,7.8368,23.6069,0.06852,0,1.06244,0,0,22.4759,267528,403432224,39069,58916052,3787,5710796,330,1071,0,0,0,0
17,0,0,0,0,0.360479,36.451,0.10236,13.0941,1.78461,0,0.961884,5.03978,0,5.30778,0,0,0,0,0,0,0,0,3787,5710796,0,0
18,0,0.0195437,0,0.0156832,4.22033,1.34815,43.9903,0.512196,0.386832,0,0.050504,0,0,0.07486,267532,403438256,225062,339393496,81,122148,80,7959,0,0,0,0
19,0,0,0,0,1.01724,5.76638,0.54928,42.7328,0.71536,0,0.19498,40.0327,0,1.78975,0,0,0,0,0,0,0,0,81,122148,0,0
20,0,0.0497037,0,0.024128,13.8877,1.52191,29.3661,5.25261,0.232968,0,1.01366,0,0,4.00598,267537,403445796,135702,204638616,206,310648,26,4821,0,0,0,0
21,0,0,0,0,1.06749,8.08937,0.330428,40.5357,0.312916,0,10.5633,18.1222,0,11.5374,0,0,0,0,0,0,0,0,206,310648,0,0
22,0,0.0176134,0,0.0247312,2.46458,16.8654,2.92526,27.7664,0.024924,0,2.66146,0,0,25.08,203430,306772440,14258,21501064,73,110084,9,502,0,0,0,0
23,0,0,0,0,0.0979789,22.6257,0.035444,27.2615,0.066528,0,6.5328,2.23741,0,18.4248,0,0,0,0,0,0,0,0,73,110084,0,0
24,0,55.9791,0,57.6888,1.63592,1.39944,46.5702,0.420204,0.230332,0,0.04852,0,0,0.141352,267544,403456352,241736,364537888,232009,349869572,8427,218,0,0,0,0
25,0,0,0,0,0.748454,3.09668,0.452948,45.7224,44.9008,0,0.184708,0,0,0.636868,0,0,0,0,0,0,0,0,232037,349911796,0,0
26,0,0.168655,0,0,22.4431,22.3069,1.43126,3.82294,0.012756,0,0.871348,0,0,2.93884,64265,96911620,7101,10708308,699,1054092,55,206,0,0,0,0
27,0,0,0,0,0.380855,42.3225,0.0191,7.29941,0.298388,0,0.836616,0.897192,0,5.26721,0,0,0,0,0,0,0,0,699,1054092,0,0
28,0,6.31671,0,7.39945,2.67028,5.66103,37.7181,3.9893,0.360876,0,0.238168,0,0,3.39026,267552,403468416,193874,292361992,26180,39479440,2373,4551,0,0,0,0
29,0,0,0,0,0.648377,6.77952,0.547412,42.058,12.8888,0,0.4825,23.0914,0,5.59533,0,0,0,0,0,0,0,0,26200,39509600,0,0
30,0,0.189887,0,0.0036192,1.40573,30.5129,13.8015,4.30093,0.12204,0,0.80968,0,0,3.36921,267557,403475956,70058,105647464,787,1186796,126,2397,0,0,0,0
31,0,0,0,0,0.0921233,35.2791,0.17512,14.4747,0.759496,0,0.957328,11.6625,0,1.09532,0,0,0,0,0,0,0,0,787,1186796,0,0
32,0,0,0,0,3.16857,7.00874,37.7099,2.1147,0.331488,0,0.212964,0,0,1.57025,267561,403481988,193343,291561244,0,0,0,6905,0,0,0,0
33,0,0,0,0,2.57869,7.13224,0.470356,39.8366,0.249012,0,0.372108,35.6418,0,3.57361,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1.05077,0,0.659298,0.992256,26.6471,7.94083,14.4273,0.071904,0,0.474612,0,0,13.8808,267565,403488020,39834,60069672,4355,6567340,436,991,0,0,0,0
35,0,0,0,0,0.194613,24.3936,0.108608,25.3107,2.36149,0,0.443392,4.61278,0,17.893,0,0,0,0,0,0,0,0,4355,6567340,0,0
36,0,0.0152006,0,0,10.1037,8.53683,20.4527,10.9146,0.16158,0,0.492668,0.000192,0,10.2601,267569,403494052,94141,141964628,63,95004,17,3347,0,0,0,0
37,0,0,0,0,1.59872,12.9498,0.230112,35.2315,0.212044,0,0.633536,10.1376,0,24.2483,0,0,0,0,0,0,0,0,63,95004,0,0
38,0,4.35173,0,3.70787,3.33248,3.44224,34.2833,8.95759,0.336408,0,0.3465,0,0,8.27468,267574,403501592,175175,264163900,18036,27198288,3366,2901,0,0,0,0
39,0,0,0,0,1.90418,6.49991,0.527372,41.0788,18.096,0,0.461604,13.0946,0,9.42658,0,0,0,0,0,0,0,0,18038,27201304,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,167.983,0,172.546,0,14.0204,2.25056,28.1578,5.59564,0.221232,0,0.279028,0,0,5.09538,267494,403380952,129057,194617956,0,0,0,4611,0,0,0,0
1,0,0,0,0,0.254108,12.8852,0.313412,36.56,0.165924,0,0.729412,11.8057,0,23.859,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.204364,0,0.249725,3.25898,6.87175,33.9126,5.98104,0.299496,0,0.467268,0,0,5.21427,267498,403386984,173520,261668160,847,1277276,170,6029,0,0,0,0
