Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,166.418,9.75471,167.835,10.7249,2.55487,11.3483,29.918,6.20424,0.301416,0,0.381456,0,0,5.52137,267494,403380952,153013,230743604,40429,60966932,3654,1816,0,0,0,0
1,0,0,0,0,6.3675,11.1083,0.483096,32.0612,19.6573,0,0.488892,8.04419,0,3.87074,0,0,0,0,0,0,0,0,40502,61077016,0,0
2,0,0.179512,0,0.0615264,2.57638,25.0346,17.5512,4.83884,0.154008,0,0.651568,0,0,4.03326,267498,403386984,88255,133088540,744,1121952,262,2903,0,0,0,0
3,0,0,0,0,1.32128,24.5048,0.223468,23.9513,1.47968,0,0.739108,13.7715,0,7.96099,0,0,0,0,0,0,0,0,744,1121952,0,0
4,0,30.7031,0,33.448,4.3559,9.33697,33.3573,2.95467,0.344624,0,0.279608,0,0,2.33044,267502,403393016,168344,253862752,127251,191894508,5287,729,0,0,0,0
5,0,0,0,0,1.1511,12.6832,0.568788,35.5964,28.4088,0,0.403456,0.02662,0,6.75757,0,0,0,0,0,0,0,0,127572,192378576,0,0
6,0,8.49885,0,5.42639,4.45909,14.8976,24.3128,6.335,0.23136,0,0.47308,0,0,5.63056,267506,403399048,121279,182888732,35224,53117792,2148,2196,0,0,0,0
7,0,0,0,0,1.1456,9.44985,0.360652,39.0434,11.5686,0,0.58326,8.7361,0,18.1555,0,0,0,0,0,0,0,0,35250,53157000,0,0
8,0,7.81361,0,8.45445,1.94531,27.0193,17.877,3.19753,0.178332,0,0.722648,0,0,2.29655,267511,403406588,90585,136602180,32384,48835072,1977,1264,0,0,0,0
9,0,0,0,0,0.298539,28.0394,0.283364,21.4125,10.6707,0,0.718724,5.07444,0,4.94867,0,0,0,0,0,0,0,0,32451,48936108,0,0
10,0,10.2776,0,10.3033,3.11834,4.58551,30.3695,11.9269,0.304844,0,0.471508,0,0,11.1505,267515,403412620,154841,233500228,42596,64234768,3380,2175,0,0,0,0
11,0,0,0,0,1.25276,7.54112,0.484052,40.7223,18.1808,0,0.515976,9.55324,0,12.4723,0,0,0,0,0,0,0,0,42621,64272468,0,0
