Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,181.751,9.45335,179.707,7.88382,3.47978,5.46295,36.8095,4.27349,0.365772,0,0.289476,0,0,3.61824,267494,403380952,188022,283537176,39180,59083440,4081,2685,0,0,0,0
1,0,0,0,0,3.88707,7.40112,0.57966,38.1526,21.8642,0,0.399376,11.6684,0,4.22059,0,0,0,0,0,0,0,0,39207,59124156,0,0
2,0,0.259617,0,0.104957,2.02982,27.2252,15.4758,5.27209,0.136368,0,0.7066,0,0,4.42912,267498,403386984,78090,117759720,1076,1622608,256,2545,0,0,0,0
3,0,0,0,0,0.862923,28.3207,0.198788,20.6205,1.4579,0,0.776876,12.1815,0,6.20422,0,0,0,0,0,0,0,0,1087,1639196,0,0
4,0,32.663,0,35.4911,4.82132,5.25399,35.5654,4.3679,0.364388,0,0.238096,0,0,3.76542,267502,403393016,179461,270627188,135374,204143992,5602,833,0,0,0,0
5,0,0,0,0,1.23997,8.93227,0.600916,39.2301,29.9952,0,0.36744,0.000192,0,8.86735,0,0,0,0,0,0,0,0,135510,204349080,0,0
6,0,8.1128,0,7.19014,3.98535,12.7472,24.1991,9.07161,0.232992,0,0.508616,0,0,8.33,267506,403399048,121184,182745472,33624,50704992,2164,2173,0,0,0,0
7,0,0,0,0,1.27944,7.02517,0.36416,41.3345,11.6772,0,0.594592,9.37604,0,19.6866,0,0,0,0,0,0,0,0,33650,50744200,0,0
8,0,3.51473,0,5.4481,1.76001,32.2622,12.9869,3.02462,0.121992,0,0.865748,1.2e-05,0,2.03686,267510,403405080,65354,98553832,14567,21967036,1026,1346,0,0,0,0
9,0,0,0,0,0.223696,33.5229,0.188516,16.0936,5.49806,0,0.83686,5.89182,0,3.86689,0,0,0,0,0,0,0,0,14569,21970052,0,0
10,0,14.111,0,10.5301,3.26194,3.80113,37.1409,5.79656,0.377808,0,0.276156,0,0,5.1426,267515,403412620,190055,286602940,58484,88193872,4404,2402,0,0,0,0
11,0,0,0,0,1.39101,5.61955,0.601556,42.3831,23.6531,0,0.389432,10.5995,0,7.74113,0,0,0,0,0,0,0,0,58512,88236096,0,0
12,0,0.00796224,0,0.006032,1.80784,32.2644,10.076,5.85141,0.087084,0,0.434688,0,0,5.32964,267518,403417144,50113,75570404,33,49764,13,1779,0,0,0,0
13,0,0,0,0,0.0946971,10.9754,0.123972,38.8056,0.134624,0,0.796648,7.70753,0,30.1668,0,0,0,0,0,0,0,0,33,49764,0,0
14,0,40.9192,0,39.7195,1.563,5.72418,37.4535,5.26449,0.157224,0,0.30648,0,0,4.80079,267524,403426192,194181,292824948,169592,255744736,6298,643,0,0,0,0
15,0,0,0,0,0.823258,7.88386,0.317868,40.9749,33.6105,0,0.426476,1.63447,0,5.30347,0,0,0,0,0,0,0,0,169768,256010144,0,0
16,0,1.18468,0,1.48809,1.32242,13.6574,8.87079,26.159,0.080184,0,0.79054,0,0,25.2883,267528,403432224,44257,66739556,4910,7404280,382,1200,0,0,0,0
17,0,0,0,0,0.509743,33.8732,0.1198,15.5068,2.08844,0,0.950192,5.34038,0,7.12781,0,0,0,0,0,0,0,0,4910,7404280,0,0
18,0,0.0429478,0,0.0259376,4.13533,1.72193,43.6048,0.606912,0.38358,0,0.059964,0,0,0.163368,267532,403438256,223130,336480040,178,268424,125,7847,0,0,0,0
19,0,0,0,0,0.558716,6.65946,0.545584,42.3,0.954676,0,0.203536,39.3762,0,1.76563,0,0,0,0,0,0,0,0,179,269932,0,0
20,0,0.0212326,0,0.0018096,16.1525,5.87773,22.2827,5.71098,0.163836,0,0.548792,0,0,4.99835,267537,403445796,95418,143890344,88,132704,21,3389,0,0,0,0
21,0,0,0,0,1.42651,11.0031,0.232688,37.3581,0.234636,0,15.0908,8.84068,0,13.192,0,0,0,0,0,0,0,0,88,132704,0,0
22,0,0.0084448,0,0,3.82903,23.0979,2.40906,20.6863,0.019968,0,3.01246,0,0,17.6539,166927,251725916,11650,17568200,35,52780,4,413,0,0,0,0
23,0,0,0,0,0.0991393,31.9391,0.028416,17.9521,0.036272,0,5.31867,1.87522,0,10.7219,0,0,0,0,0,0,0,0,35,52780,0,0
24,0,55.0712,0,56.5114,1.98299,0.915019,46.7544,0.37158,0.332308,0,0.020884,0,0,0.018388,267544,403456352,241976,364899808,228246,344194968,8389,261,0,0,0,0
25,0,0,0,0,0.890999,3.25724,0.59674,45.2737,44.8176,0,0.141136,0.000192,0,0.314796,0,0,0,0,0,0,0,0,228273,344235684,0,0
