Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,6.60734,7.20681,1.5
1,-82,15,10.1.1.2,4.1689,2.93441,1.5
2,-82,0,10.1.2.1,15.1109,9.02856,1.5
3,-82,15,10.1.2.2,16.4705,3.29978,1.5
4,-82,0,10.1.3.1,26.0309,4.5676,1.5
5,-82,15,10.1.3.2,26.4921,3.05435,1.5
6,-82,0,10.1.4.1,36.2392,3.28492,1.5
7,-82,15,10.1.4.2,33.1164,1.72151,1.5
8,-82,0,10.1.5.1,46.635,7.84704,1.5
9,-82,15,10.1.5.2,49.8113,8.14825,1.5
10,-82,0,10.1.6.1,56.0985,0.664084,1.5
11,-82,15,10.1.6.2,51.7742,2.0515,1.5
12,-82,0,10.1.7.1,63.9268,1.78956,1.5
13,-82,15,10.1.7.2,67.0693,6.88841,1.5
14,-82,0,10.1.8.1,76.6476,3.32234,1.5
15,-82,15,10.1.8.2,77.8113,2.38093,1.5
16,-82,0,10.1.9.1,85.273,5.22926,1.5
17,-82,15,10.1.9.2,88.6597,4.86988,1.5
18,-82,0,10.1.10.1,98.7793,0.504838,1.5
19,-82,15,10.1.10.2,98.0292,7.00127,1.5
20,-82,0,10.1.11.1,8.03726,18.228,1.5
21,-82,15,10.1.11.2,7.12884,10.439,1.5
22,-82,0,10.1.12.1,10.0969,16.4803,1.5
23,-82,15,10.1.12.2,14.5161,10.1512,1.5
24,-82,0,10.1.13.1,21.4744,19.5277,1.5
25,-82,15,10.1.13.2,20.57,19.3304,1.5
26,-82,0,10.1.14.1,31.6934,10.6341,1.5
27,-82,15,10.1.14.2,31.6066,15.7707,1.5
28,-82,0,10.1.15.1,43.1982,16.1123,1.5
29,-82,15,10.1.15.2,43.1359,11.7743,1.5
30,-82,0,10.1.16.1,54.6619,17.7859,1.5
31,-82,15,10.1.16.2,52.6585,12.901,1.5
32,-82,0,10.1.17.1,64.6386,12.0419,1.5
33,-82,15,10.1.17.2,69.649,19.8215,1.5
34,-82,0,10.1.18.1,75.003,10.9564,1.5
35,-82,15,10.1.18.2,78.7288,10.3237,1.5
36,-82,0,10.1.19.1,84.5572,11.188,1.5
37,-82,15,10.1.19.2,84.9075,19.2269,1.5
38,-82,0,10.1.20.1,90.7736,17.1052,1.5
39,-82,15,10.1.20.2,95.1317,15.8787,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,1.23158,1.8647,1.5
1,-82,15,10.1.1.2,7.96174,8.71649,1.5
2,-82,0,10.1.2.1,11.755,5.91755,1.5
3,-82,15,10.1.2.2,17.1075,8.03425,1.5
4,-82,0,10.1.3.1,28.4842,4.92066,1.5
5,-82,15,10.1.3.2,27.0527,8.79255,1.5
6,-82,0,10.1.4.1,31.8243,3.29692,1.5
7,-82,15,10.1.4.2,33.347,6.46142,1.5
8,-82,0,10.1.5.1,42.7115,1.69883,1.5
9,-82,15,10.1.5.2,49.2463,1.74815,1.5
10,-82,0,10.1.6.1,50.9694,5.64627,1.5
11,-82,15,10.1.6.2,51.7124,6.94845,1.5
12,-82,0,10.1.7.1,67.1588,7.66684,1.5
13,-82,15,10.1.7.2,61.9588,5.93239,1.5
14,-82,0,10.1.8.1,75.4402,0.357488,1.5
15,-82,15,10.1.8.2,72.868,1.60482,1.5
16,-82,0,10.1.9.1,85.266,0.783916,1.5
17,-82,15,10.1.9.2,80.7543,1.01686,1.5
18,-82,0,10.1.10.1,93.0673,8.39192,1.5
19,-82,15,10.1.10.2,99.3978,3.31521,1.5
20,-82,0,10.1.11.1,4.56651,18.413,1.5
21,-82,15,10.1.11.2,9.27171,19.896,1.5
22,-82,0,10.1.12.1,15.4395,12.4007,1.5
23,-82,15,10.1.12.2,16.5339,13.5472,1.5
24,-82,0,10.1.13.1,23.7902,15.3782,1.5
25,-82,15,10.1.13.2,23.4585,16.0789,1.5
26,-82,0,10.1.14.1,35.5228,11.4474,1.5
27,-82,15,10.1.14.2,31.7829,11.8019,1.5
28,-82,0,10.1.15.1,49.5763,11.8364,1.5
29,-82,15,10.1.15.2,45.5025,15.3047,1.5
30,-82,0,10.1.16.1,59.4846,13.394,1.5
31,-82,15,10.1.16.2,58.3066,18.1849,1.5
32,-82,0,10.1.17.1,69.3173,12.2656,1.5
33,-82,15,10.1.17.2,66.2639,12.8606,1.5
34,-82,0,10.1.18.1,74.4378,11.0738,1.5
35,-82,15,10.1.18.2,75.5727,19.7579,1.5
36,-82,0,10.1.19.1,85.1038,15.8096,1.5
37,-82,15,10.1.19.2,80.592,17.3428,1.5
38,-82,0,10.1.20.1,94.2396,14.2734,1.5
39,-82,15,10.1.20.2,99.9293,10.5177,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,7.3927,2.17798,1.5
1,-82,15,10.1.1.2,1.22708,1.60541,1.5
2,-82,0,10.1.2.1,15.4635,2.79912,1.5
3,-82,15,10.1.2.2,17.9064,1.93621,1.5
4,-82,0,10.1.3.1,21.6501,7.12345,1.5
5,-82,15,10.1.3.2,25.1411,6.39581,1.5
6,-82,0,10.1.4.1,33.2286,4.44167,1.5
7,-82,15,10.1.4.2,35.1289,7.07449,1.5
8,-82,0,10.1.5.1,47.0665,4.86265,1.5
9,-82,15,10.1.5.2,49.9939,0.630663,1.5
10,-82,0,10.1.6.1,53.406,2.3092,1.5
11,-82,15,10.1.6.2,58.4215,4.97503,1.5
12,-82,0,10.1.7.1,66.0383,0.787852,1.5
13,-82,15,10.1.7.2,63.4512,5.34329,1.5
14,-82,0,10.1.8.1,71.0452,9.20078,1.5
15,-82,15,10.1.8.2,79.2014,4.8035,1.5
16,-82,0,10.1.9.1,80.7038,4.5519,1.5
17,-82,15,10.1.9.2,83.6594,4.35476,1.5
18,-82,0,10.1.10.1,97.0708,0.0584616,1.5
19,-82,15,10.1.10.2,94.0175,4.01736,1.5
20,-82,0,10.1.11.1,9.50906,10.0116,1.5
21,-82,15,10.1.11.2,4.36194,17.5941,1.5
22,-82,0,10.1.12.1,19.4162,18.5461,1.5
23,-82,15,10.1.12.2,17.1431,14.8019,1.5
24,-82,0,10.1.13.1,21.6065,16.2564,1.5
25,-82,15,10.1.13.2,26.55,10.7199,1.5
26,-82,0,10.1.14.1,39.7677,11.538,1.5
27,-82,15,10.1.14.2,31.6579,11.1522,1.5
28,-82,0,10.1.15.1,48.1556,16.2729,1.5
29,-82,15,10.1.15.2,41.0893,11.9786,1.5
30,-82,0,10.1.16.1,54.5023,14.3475,1.5
31,-82,15,10.1.16.2,57.8836,15.4508,1.5
32,-82,0,10.1.17.1,63.4839,11.0735,1.5
33,-82,15,10.1.17.2,64.2684,14.7772,1.5
34,-82,0,10.1.18.1,78.7424,15.6059,1.5
35,-82,15,10.1.18.2,71.5214,10.0308,1.5
36,-82,0,10.1.19.1,89.1707,10.7591,1.5
37,-82,15,10.1.19.2,80.8106,17.2416,1.5
38,-82,0,10.1.20.1,96.7607,11.6233,1.5
39,-82,15,10.1.20.2,95.0708,11.8417,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,6.82004,6.00263,1.5
1,-82,15,10.1.1.2,6.89851,4.72854,1.5
2,-82,0,10.1.2.1,14.3332,9.64232,1.5
3,-82,15,10.1.2.2,18.4632,9.23568,1.5
4,-82,0,10.1.3.1,24.4325,3.74038,1.5
5,-82,15,10.1.3.2,22.957,3.43455,1.5
6,-82,0,10.1.4.1,33.6145,7.87433,1.5
7,-82,15,10.1.4.2,39.7649,0.890082,1.5
8,-82,0,10.1.5.1,43.927,1.54736,1.5
9,-82,15,10.1.5.2,42.5654,4.93576,1.5
10,-82,0,10.1.6.1,57.6065,5.34438,1.5
11,-82,15,10.1.6.2,58.7059,0.190716,1.5
12,-82,0,10.1.7.1,61.4992,5.50611,1.5
13,-82,15,10.1.7.2,60.6374,6.97891,1.5
14,-82,0,10.1.8.1,70.1002,2.75687,1.5
15,-82,15,10.1.8.2,71.9552,2.78732,1.5
16,-82,0,10.1.9.1,82.4739,5.8379,1.5
17,-82,15,10.1.9.2,81.185,0.32858,1.5
18,-82,0,10.1.10.1,97.1628,6.83498,1.5
19,-82,15,10.1.10.2,90.7446,7.65494,1.5
20,-82,0,10.1.11.1,4.26695,12.4624,1.5
21,-82,15,10.1.11.2,0.639371,12.8231,1.5
22,-82,0,10.1.12.1,17.5148,18.8627,1.5
23,-82,15,10.1.12.2,16.5936,15.3566,1.5
24,-82,0,10.1.13.1,26.5284,18.4041,1.5
25,-82,15,10.1.13.2,24.5713,14.5993,1.5
26,-82,0,10.1.14.1,37.8492,17.7627,1.5
27,-82,15,10.1.14.2,33.9186,14.1828,1.5
28,-82,0,10.1.15.1,41.2227,17.6704,1.5
29,-82,15,10.1.15.2,49.8261,12.791,1.5
30,-82,0,10.1.16.1,59.8814,13.2104,1.5
31,-82,15,10.1.16.2,59.1888,12.4116,1.5
32,-82,0,10.1.17.1,66.4045,12.6763,1.5
33,-82,15,10.1.17.2,60.9903,14.0915,1.5
34,-82,0,10.1.18.1,71.1554,11.6212,1.5
35,-82,15,10.1.18.2,73.418,15.2092,1.5
36,-82,0,10.1.19.1,85.7468,17.5237,1.5
37,-82,15,10.1.19.2,84.2688,16.5052,1.5
38,-82,0,10.1.20.1,94.326,15.9863,1.5
39,-82,15,10.1.20.2,93.2574,10.354,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,7.57722,1.60815,1.5
1,-82,15,10.1.1.2,6.5826,4.54845,1.5
2,-82,0,10.1.2.1,10.4536,8.85274,1.5
3,-82,15,10.1.2.2,10.3994,8.19409,1.5
4,-82,0,10.1.3.1,26.513,6.67098,1.5
5,-82,15,10.1.3.2,29.2569,0.0647597,1.5
6,-82,0,10.1.4.1,34.7035,3.0936,1.5
7,-82,15,10.1.4.2,37.1102,3.38027,1.5
8,-82,0,10.1.5.1,40.2114,9.32495,1.5
9,-82,15,10.1.5.2,40.1882,1.79317,1.5
10,-82,0,10.1.6.1,50.4694,6.08032,1.5
11,-82,15,10.1.6.2,56.9843,2.00134,1.5
12,-82,0,10.1.7.1,66.7622,9.46409,1.5
13,-82,15,10.1.7.2,67.2132,9.67572,1.5
14,-82,0,10.1.8.1,77.8106,6.181,1.5
15,-82,15,10.1.8.2,74.5914,2.43604,1.5
16,-82,0,10.1.9.1,80.4694,8.86422,1.5
17,-82,15,10.1.9.2,81.6298,0.780911,1.5
18,-82,0,10.1.10.1,92.9911,8.17182,1.5
19,-82,15,10.1.10.2,91.5649,5.71534,1.5
20,-82,0,10.1.11.1,1.74542,13.1484,1.5
21,-82,15,10.1.11.2,1.14928,14.7954,1.5
22,-82,0,10.1.12.1,15.3247,12.8522,1.5
23,-82,15,10.1.12.2,19.8133,13.4413,1.5
24,-82,0,10.1.13.1,28.9385,12.6855,1.5
25,-82,15,10.1.13.2,25.4645,12.7687,1.5
26,-82,0,10.1.14.1,33.6235,18.4157,1.5
27,-82,15,10.1.14.2,35.6047,15.2631,1.5
28,-82,0,10.1.15.1,46.4126,17.9683,1.5
29,-82,15,10.1.15.2,48.8367,17.4922,1.5
30,-82,0,10.1.16.1,50.0235,14.9209,1.5
31,-82,15,10.1.16.2,51.8141,10.6578,1.5
32,-82,0,10.1.17.1,61.323,10.2696,1.5
33,-82,15,10.1.17.2,64.0235,15.5635,1.5
34,-82,0,10.1.18.1,70.0478,14.8362,1.5
35,-82,15,10.1.18.2,76.6217,16.971,1.5
36,-82,0,10.1.19.1,83.9371,11.898,1.5
37,-82,15,10.1.19.2,81.1834,10.0125,1.5
38,-82,0,10.1.20.1,99.2878,19.4429,1.5
39,-82,15,10.1.20.2,98.0836,12.2222,1.5
Node,CST,Tx power,IP address,x,y,z
