Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,176.017,9.43839,175.333,9.85629,3.53595,5.58203,36.172,4.73293,0.35712,0,0.304592,0,0,4.07122,267494,403380952,184588,278358704,39118,58989944,3888,2711,0,0,0,0
1,0,0,0,0,4.89503,7.15675,0.564844,37.4063,20.9427,0,0.403616,11.747,0,4.31295,0,0,0,0,0,0,0,0,39194,59104552,0,0
2,0,0.295568,0,0.150197,2.1272,27.0281,15.559,5.28957,0.137292,0,0.705248,0,0,4.44703,267498,403386984,78384,118203072,1225,1847300,253,2556,0,0,0,0
3,0,0,0,0,0.968577,27.6427,0.199684,21.1928,1.42653,0,0.780748,12.1088,0,6.87673,0,0,0,0,0,0,0,0,1228,1851824,0,0
4,0,32.8068,0,33.9758,4.62603,5.18946,36.2123,3.98133,0.374244,0,0.232508,0,0,3.37458,267502,403393016,183054,276045432,135970,205042760,5703,837,0,0,0,0
5,0,0,0,0,1.22185,8.93742,0.617128,39.2274,30.6482,0,0.3634,0.032136,0,8.18365,0,0,0,0,0,0,0,0,136253,205469524,0,0
6,0,6.7252,0,5.37512,5.41492,12.3613,24.6537,7.57888,0.229504,0,0.47084,0,0,6.87853,267506,403399048,121971,183932268,27873,42032484,1878,2485,0,0,0,0
7,0,0,0,0,1.24864,8.89515,0.35456,39.5051,10.1276,0,0.568284,9.68619,0,19.1231,0,0,0,0,0,0,0,0,27876,42037008,0,0
8,0,3.71981,0,4.44257,1.90595,31.0764,13.778,3.27201,0.131124,0,0.829556,2.4e-05,0,2.3113,267511,403406588,69173,104312884,15417,23248836,1099,1374,0,0,0,0
9,0,0,0,0,0.253789,31.8174,0.202744,17.7584,5.96367,0,0.7972,5.80634,0,5.19122,0,0,0,0,0,0,0,0,15444,23289552,0,0
10,0,13.6174,0,12.7414,3.3398,4.57194,36.7523,5.33312,0.3701,0,0.293996,0,0,4.66902,267515,403412620,187691,283038028,56438,85108504,4314,2411,0,0,0,0
11,0,0,0,0,1.42941,6.18368,0.589388,41.7947,23.134,0,0.402644,10.3498,0,7.9082,0,0,0,0,0,0,0,0,56458,85138664,0,0
12,0,0.0209914,0,0.0168896,1.73973,32.3032,9.70078,6.25681,0.082716,0,0.453132,0,0,5.72096,267519,403418652,48091,72521228,87,131196,17,1702,0,0,0,0
13,0,0,0,0,0.0962797,12.0947,0.117912,37.6863,0.152644,0,0.79936,7.32112,0,29.4132,0,0,0,0,0,0,0,0,87,131196,0,0
14,0,39.6143,0,38.9456,1.83363,5.76337,38.1307,4.27294,0.177684,0,0.252308,0,0,3.84295,267524,403426192,197288,297510304,164184,247589472,6131,918,0,0,0,0
15,0,0,0,0,0.825946,9.04681,0.344448,39.7781,32.7561,0,0.375268,1.67725,0,4.9695,0,0,0,0,0,0,0,0,164301,247765908,0,0
16,0,1.22836,0,1.29628,1.41497,13.8337,9.26837,25.4876,0.084276,0,0.850464,0,0,24.5529,267528,403432224,46231,69716348,5091,7677228,415,1252,0,0,0,0
17,0,0,0,0,0.485772,34.35,0.125956,15.0448,2.25486,0,0.962964,5.44119,0,6.38577,0,0,0,0,0,0,0,0,5088,7672704,0,0
18,0,0.0246106,0,0.021112,4.26196,1.96501,43.2562,0.58438,0.380508,0,0.06744,0,0,0.136432,267532,403438256,221178,333536424,102,153816,101,7800,0,0,0,0
19,0,0,0,0,0.602767,6.96018,0.540636,41.9586,0.818812,0,0.21664,38.8208,0,2.1024,0,0,0,0,0,0,0,0,102,153816,0,0
20,0,0.0200262,0,0.0108576,15.4932,5.86284,22.174,6.49821,0.164304,0,1.01307,0,0,5.32084,267537,403445796,95732,144363856,83,125164,12,3408,0,0,0,0
21,0,0,0,0,1.39576,10.8117,0.233488,37.582,0.187296,0,14.1648,8.78999,0,14.4399,0,0,0,0,0,0,0,0,83,125164,0,0
22,0,0.00072384,0,0,0.822149,24.7872,3.82993,20.5823,0.032328,0,2.82592,0,0,17.724,267539,403448812,18734,28250872,3,4524,2,668,0,0,0,0
23,0,0,0,0,0.120477,30.9141,0.046032,18.941,0.034984,0,5.11469,2.87696,0,10.9144,0,0,0,0,0,0,0,0,3,4524,0,0
24,0,53.7058,0,54.1161,2.15426,1.02423,46.4251,0.422292,0.347876,0,0.025496,0,0,0.04892,267544,403456352,239960,361859680,222587,335661196,8218,361,0,0,0,0
25,0,0,0,0,0.829248,3.87424,0.616464,44.7006,43.9076,0,0.150908,0,0,0.642112,0,0,0,0,0,0,0,0,222668,335783344,0,0
26,0,0.0311251,0,0.0018096,0.443692,41.9401,2.81971,4.80008,0.023952,0,0.986564,0,0,3.78956,265946,401046568,13696,20653568,129,194532,12,479,0,0,0,0
27,0,0,0,0,0.529059,39.2434,0.034384,10.2142,0.081888,0,0.91318,2.25809,0,6.961,0,0,0,0,0,0,0,0,129,194532,0,0
28,0,5.65078,0,5.80399,3.21888,9.30177,33.7955,3.7193,0.323796,0,0.282652,0,0,3.11285,267552,403468416,172473,260089284,23420,35317360,2495,3674,0,0,0,0
29,0,0,0,0,0.754401,7.84285,0.496644,40.9362,13.4814,0,0.523044,17.4152,0,9.51655,0,0,0,0,0,0,0,0,23433,35336964,0,0
30,0,0.153695,0,0.200866,2.01579,25.3097,19.6123,3.08534,0.172812,0,0.666112,0,0,2.24641,267557,403475956,99758,150435064,637,960596,109,3455,0,0,0,0
31,0,0,0,0,0.133611,30.1995,0.247404,19.4373,0.709448,0,0.777912,16.3685,0,1.58148,0,0,0,0,0,0,0,0,637,960596,0,0
32,0,0,0,0,3.039,10.4871,33.7534,2.7158,0.296352,0,0.281396,0,0,2.13805,267561,403481988,172759,260520572,0,0,0,6172,0,0,0,0
33,0,0,0,0,2.4499,10.8369,0.421668,36.3093,0.223236,0,0.472496,31.1114,0,4.50214,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1.71598,0,1.58038,2.112,20.6823,11.3855,15.8251,0.103296,0,0.447736,0,0,15.2741,267565,403488020,56384,85027072,7112,10724896,544,1478,0,0,0,0
35,0,0,0,0,0.331968,16.6119,0.15514,32.906,2.97163,0,0.503384,6.06636,0,23.3646,0,0,0,0,0,0,0,0,7113,10726404,0,0
36,0,0.00337792,0,0.0012064,5.46309,13.8383,10.6026,20.1062,0.082476,0,0.717748,0,0,19.306,267569,403494052,48105,72542340,14,21112,5,1713,0,0,0,0
37,0,0,0,0,1.52444,9.79967,0.1178,38.5631,0.0889,0,0.800288,4.81197,0,32.8619,0,0,0,0,0,0,0,0,14,21112,0,0
38,0,7.24443,0,6.79686,3.47476,1.89901,40.978,3.65854,0.416684,0,0.188012,0,0,3.05385,267574,403501592,209616,316100928,30025,45277700,5104,2397,0,0,0,0
39,0,0,0,0,1.99072,4.74772,0.667064,42.5995,27.3886,0,0.303808,10.3724,0,4.5347,0,0,0,0,0,0,0,0,30028,45282224,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,141.245,0,140.695,0,15.485,2.16289,28.9508,3.4254,0.224976,0,0.219624,0,0,2.9808,267494,403380952,131142,197762136,0,0,0,4686,0,0,0,0
1,0,0,0,0,0.361253,15.3349,0.318716,33.9976,0.168732,0,0.66532,11.2539,0,21.9097,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.0260582,0,0.0036192,3.60005,6.95986,31.5264,7.94312,0.275928,0,0.515956,0,0,7.15124,267498,403386984,160558,242121464,108,162864,30,5705,0,0,0,0
3,0,0,0,0,0.356307,14.172,0.39196,35.083,0.36672,0,0.710664,27.252,0,6.75363,0,0,0,0,0,0,0,0,108,162864,0,0
4,0,0.649767,0,0.6786,1.49972,8.65009,10.7822,29.0708,0.096852,0,1.33953,1.2e-05,0,27.6344,267502,403393016,54197,81729076,2693,4061044,355,1583,0,0,0,0
5,0,0,0,0,0.302879,32.5577,0.144256,16.9983,1.98596,0,0.956828,7.25321,0,6.80234,0,0,0,0,0,0,0,0,2714,4092712,0,0
6,0,20.2762,0,20.3158,3.08695,4.53515,32.9502,9.45751,0.337584,0,1.48719,0,0,7.63273,267506,403399048,168160,253585280,84036,126726288,4408,1623,0,0,0,0
7,0,0,0,0,1.58518,7.92934,0.54528,39.9646,23.6221,0,0.482236,5.75138,0,10.1089,0,0,0,0,0,0,0,0,84039,126730812,0,0
8,0,0.13391,0,0.144768,6.65126,24.532,14.0974,4.7272,0.112296,0,0.610392,0,0,4.00451,267511,403406588,64751,97644508,555,836940,110,2205,0,0,0,0
9,0,0,0,0,2.15841,11.4981,0.161552,36.1854,0.669304,0,2.5301,7.51599,0,25.47,0,0,0,0,0,0,0,0,555,836940,0,0
10,0,18.8037,0,20.2941,5.21776,8.85395,30.1592,5.77788,0.275748,0,0.334916,0,0,5.16722,267515,403412620,150953,227637124,77933,117522964,3355,2037,0,0,0,0
11,0,0,0,0,1.04549,11.5118,0.441976,37.0042,18.071,0,0.48534,5.47359,0,12.9743,0,0,0,0,0,0,0,0,78059,117712972,0,0
12,0,0.713224,0,0.865592,1.54583,13.0541,13.7276,21.6728,0.123684,0,0.764916,0,0,20.7842,267519,403418652,69637,105012596,2956,4457648,359,2129,0,0,0,0
13,0,0,0,0,0.804202,26.9878,0.18206,22.0267,2.01754,0,0.83612,9.95266,0,9.22042,0,0,0,0,0,0,0,0,2974,4484792,0,0
14,0,13.779,0,12.4241,2.2338,15.5555,27.0601,5.1925,0.268788,0,0.361044,4.8e-05,0,4.56262,267524,403426192,138373,208666484,57108,86118864,3283,1671,0,0,0,0
15,0,0,0,0,0.849938,16.7031,0.431664,32.0519,17.6806,0,0.51336,6.94146,0,6.91644,0,0,0,0,0,0,0,0,57232,86305856,0,0
16,0,2.87364,0,2.94301,4.64845,15.185,23.4984,6.68112,0.21708,0,0.43138,0,0,6.03266,267528,403432224,117078,176553624,11910,17960280,1366,2816,0,0,0,0
17,0,0,0,0,0.819975,8.75693,0.328664,40.102,7.42875,0,0.607608,12.2688,0,19.7969,0,0,0,0,0,0,0,0,11911,17961788,0,0
18,0,0.883567,0,0.676187,3.41352,5.84819,24.6866,16.0601,0.221028,0,0.552016,0,0,15.2871,267532,403438256,124707,188058156,3662,5522296,611,3866,0,0,0,0
19,0,0,0,0,2.52069,15.2353,0.329968,31.9224,3.40188,0,0.562748,18.3298,0,9.62794,0,0,0,0,0,0,0,0,3686,5558488,0,0
20,0,5.99629,0,5.62303,3.11378,2.39441,43.5558,0.953436,0.439392,0,0.102004,0,0,0.41204,267537,403445796,223559,337126972,24852,37476816,5028,2995,0,0,0,0
21,0,0,0,0,3.17203,3.5,0.698332,42.6417,26.8791,0,0.229676,13.9064,0,1.62655,0,0,0,0,0,0,0,0,24854,37479832,0,0
22,0,3.21843,0,3.38275,1.44019,29.0765,8.91083,10.5756,0.083664,0,0.926692,0,0,9.56521,267539,403448812,44345,66872260,13339,20115212,812,777,0,0,0,0
23,0,0,0,0,0.192675,30.2385,0.131348,19.4406,4.36384,0,1.05246,2.90076,0,11.1236,0,0,0,0,0,0,0,0,13341,20118228,0,0
24,0,42.7365,0,42.0829,3.40686,3.68758,40.7916,2.11779,0.369692,0,0.181028,0,0,1.56707,267544,403456352,208661,314660788,177124,267102992,6660,798,0,0,0,0
25,0,0,0,0,1.39318,6.86666,0.625292,41.1134,35.7459,0,0.31426,0,0,5.05323,0,0,0,0,0,0,0,0,177612,267838896,0,0
26,0,0.394975,0,0.377603,1.62104,26.3627,9.59873,12.4203,0.083892,0,0.762968,0,0,11.5735,267548,403462384,47693,71921044,1637,2468596,183,1523,0,0,0,0
27,0,0,0,0,0.377988,34.7109,0.122848,14.791,1.04154,0,0.906532,6.94413,0,5.89876,0,0,0,0,0,0,0,0,1638,2470104,0,0
28,0,3.90198,0,4.13494,2.03629,17.5365,20.3138,10.1182,0.192056,0,0.537036,0,0,9.38912,267552,403468416,103469,156031252,16172,24387376,1389,2322,0,0,0,0
29,0,0,0,0,2.39417,23.5009,0.2945,23.8341,7.52065,0,0.74602,10.9803,0,4.58718,0,0,0,0,0,0,0,0,16191,24416028,0,0
30,0,2.80295,0,2.55998,2.00068,27.4814,16.5558,3.96842,0.153516,0,0.611888,4.8e-05,0,3.20297,267557,403475956,83682,126192456,11617,17518436,861,2128,0,0,0,0
31,0,0,0,0,1.15825,26.6813,0.231772,21.9296,4.73775,0,0.767248,9.84024,0,6.58438,0,0,0,0,0,0,0,0,11705,17651140,0,0
32,0,17.327,0,17.9386,2.0751,7.66821,23.5645,16.6926,0.238868,0,0.741368,0,0,15.7123,267561,403481988,120461,181655188,71813,108294004,3310,1006,0,0,0,0
33,0,0,0,0,1.38215,12.7386,0.388592,35.4915,17.7101,0,0.664628,4.26901,0,12.8477,0,0,0,0,0,0,0,0,71809,108287972,0,0
34,0,0.0072384,0,0.0036192,2.08754,11.3801,14.8441,21.694,0.128424,0,0.727468,0,0,20.8381,267565,403488020,74764,112744112,30,45240,18,2653,0,0,0,0
35,0,0,0,0,3.7978,17.6939,0.183904,28.3248,0.192888,0,0.792156,12.6245,0,14.7152,0,0,0,0,0,0,0,0,30,45240,0,0
36,0,3.05026,0,2.83202,2.63536,14.2743,26.8383,6.27932,0.249708,0,0.41788,0,0,5.61173,267569,403494052,136916,206469328,12642,19064136,1301,3595,0,0,0,0
37,0,0,0,0,2.56296,12.5844,0.37466,34.5048,7.10528,0,0.5855,16.9053,0,9.90864,0,0,0,0,0,0,0,0,12642,19064136,0,0
38,0,3.67059,0,3.41351,2.92891,5.82767,23.4906,17.7666,0.223572,0,2.1738,0,0,15.3692,267574,403501592,119062,179545496,15213,22941204,1651,2622,0,0,0,0
39,0,0,0,0,5.49965,3.82064,0.342716,40.3455,8.93408,0,1.69823,12.207,0,17.5061,0,0,0,0,0,0,0,0,15213,22941204,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,119.658,18.5788,123.994,20.0112,2.52305,10.597,27.8365,9.09306,0.277752,0,0.34974,0,0,8.46556,267494,403380952,142220,214467760,77001,116117508,3426,1670,0,0,0,0
1,0,0,0,0,1.54517,11.4124,0.44602,36.6407,18.4095,0,0.4872,7.47894,0,10.265,0,0,0,0,0,0,0,0,77097,116262276,0,0
