Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(mab_agents.py:11738): Gdk-CRITICAL **: 05:53:23.835: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Simulation time: 50.0 s
Waiting for simulation script to connect on port: tcp://localhost:50000
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 61704
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   0  -64.0        10    0.734260824032491710    0.056165595630173044          1.83               316
   0  -63.0        10    0.655899682638135029    0.075164602800282879          1.06               176
   0  -82.0        10    0.731208758376113654    0.055131784641997125          4.36               328
   0  -81.0        10    0.738030704756582612    0.051231551957855996          3.12               380
   0  -78.0        10    0.898318377034104554    0.016615972968891307         21.72              3621
   0  -72.0        10    0.830774722292214940    0.030247530200945179          7.30              1092
   0  -68.0        10    0.831827486713499487    0.030993786368687180          6.56              1040
   0  -65.0        10    0.767749484619834166    0.054473471070284329          2.02               336
   0  -62.0        10    0.744958549468276332    0.053528772757218922          2.04               348
                                                                              50.00              7637    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   1  -64.0        10    0.209105007747527716    0.128036879932895975          4.49                60
   1  -81.0        10    0.070233575924995822    0.200000000000000011          7.31                24
   1  -77.0        10    0.036677561125985282    0.200000000000000011          5.98                24
   1  -75.0        10    0.053593513450870038    0.200000000000000011          6.42                24
   1  -74.0        10    0.042917551910628161    0.218217890235992362          3.89                20
   1  -69.0        10    0.310026243269259261    0.095782628522115137          5.63               108
   1  -66.0        10    0.163839855331010920    0.156173761888606072          6.52                40
   1  -65.0        10    0.196756522384814475    0.131306432859722544          7.28                57
   1  -62.0        10    0.188993778100555204    0.149071198499985985          2.27                44
                                                                              49.80               401    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   2  -82.0        10    0.035653611446557834    0.242535625036332969          6.31                16
   2  -81.0        10    0.079272280612584720    0.200000000000000011          8.24                24
   2  -80.0        10    0.065300104675942022    0.218217890235992362          4.20                20
   2  -79.0        10    0.365004882935057562    0.132453235706504385          6.50                56
   2  -74.0        10    0.520068833914167916    0.097590007294853329          5.85               104
   2  -70.0        10    0.747207413601025716    0.028478588590558698          9.53              1232
   2  -69.0        10    0.741151859137210822    0.036835473434187860          5.55               736
   2  -67.0        10    0.712812066462840122    0.055470019622522911          2.35               324
   2  -62.0        10    0.619075208084257200    0.068518870982753166          1.45               212
                                                                              50.00              2724    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   3  -82.0        10    0.384634287327075719    0.149071198499985985          2.15                44
   3  -79.0        10    0.607069571988848700    0.070534561585859828          3.37               200
   3  -77.0        10    0.665438540760863839    0.066666666666666666          3.25               224
   3  -73.0        10    0.768345718073715322    0.028250391094058833         11.28              1252
   3  -69.0        10    0.760381077429444274    0.029000739528287075         11.37              1188
   3  -68.0        10    0.745956259910736663    0.036860489038724284          5.91               735
   3  -67.0        10    0.734495084593926428    0.041486990682251118          4.13               580
   3  -66.0        10    0.720576347566783348    0.042524325556256230          3.56               552
   3  -65.0        10    0.709396490453020778    0.046984098573493956          3.00               452
   3  -62.0        10    0.688507560635346794    0.056523341894422145          1.95               312
                                                                              49.98              5539    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   4  -63.0        10    0.393557008579958456    0.062378286155180533          1.76               256
   4  -81.0        10    0.141460128204218050    0.137360563948689035          9.37                52
   4  -78.0        10    0.375453134163113489    0.101534616513361903          4.89                96
   4  -75.0        10    0.380620920862225542    0.058420623783698597         13.71               292
   4  -69.0        10    0.408691242586951831    0.054153036107388232          7.48               340
   4  -68.0        10    0.464374037406249274    0.037450294313656908          7.20               712
   4  -65.0        10    0.433795029133117294    0.045037734911104500          3.90               492
   4  -62.0        10    0.403011235656957123    0.063245553203367583          1.68               249
                                                                              49.99              2489    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   5  -63.0        10    0.312529553187309350    0.055131784641997125          2.63               328
   5  -82.0        10    0.038012045707220256    0.140028008402800969         17.44                50
   5  -80.0        10    0.170162334773123619    0.105999788000636003          4.29                88
   5  -79.0        10    0.116062021972711399    0.120385853085769198          2.59                68
   5  -77.0        10    0.314958882232893533    0.048280454958526758         10.48               428
   5  -75.0        10    0.339795438699037222    0.074329414624716636          2.78               180
