Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,281.408,48.7108,296.555,55.7574,1.49918,1.64933,41.1157,5.74444,0.12054,0,0.828432,0,0,4.79546,267494,403380952,213608,322120864,201885,304442580,7317,319,0,0,0,0
1,0,0,0,0,1.51807,2.29886,0.280892,45.9246,38.9548,0,0.450636,0.655044,0,5.86412,0,0,0,0,0,0,0,0,201911,304481788,0,0
2,0,1.11085,0,0,4.83061,16.237,1.87752,27.0582,0.016488,0,0.245856,0,0,26.7958,105592,159232736,9024,13608192,4604,6942832,230,95,0,0,0,0
3,0,0,0,0,0.0414659,15.6269,0.026808,34.3082,1.2255,0,0.398756,0.314308,0,32.3696,0,0,0,0,0,0,0,0,4586,6915688,0,0
4,0,16.3047,0,22.6616,1.02662,6.57874,14.6523,27.7446,0.046164,0,0.326576,0,0,27.3719,267494,403380952,75266,113501128,67576,101904608,2419,270,0,0,0,0
5,0,0,0,0,0.0703706,8.0876,0.10178,41.7426,12.9026,0,0.418668,0,0,28.4213,0,0,0,0,0,0,0,0,67632,101989056,0,0
6,0,33.2508,0,29.0658,1.65383,10.3007,30.0125,8.04057,0.116424,0,0.345292,0,0,7.57885,267506,403399048,155045,233807860,137810,207817480,5014,524,0,0,0,0
7,0,0,0,0,0.185301,6.13378,0.240376,43.4429,26.749,0,1.00063,0.548564,0,15.1447,0,0,0,0,0,0,0,0,137888,207935104,0,0
8,0,10.3024,0,14.3568,1.61419,16.6374,13.6819,18.0668,0.099576,0,0.444948,0,0,17.5222,267511,403406588,69315,104527020,42699,64390092,1810,667,0,0,0,0
9,0,0,0,0,0.14649,26.1674,0.168348,23.5149,9.70286,0,0.587424,1.46962,0,11.755,0,0,0,0,0,0,0,0,42728,64433824,0,0
10,0,7.69876,0,9.13426,1.53361,10.4852,12.967,25.0145,0.11072,0,0.639596,0,0,24.2642,264345,398632260,65647,98995676,31908,48117264,1583,776,0,0,0,0
11,0,0,0,0,0.127089,21.1767,0.18094,28.5155,8.45297,0,0.923356,2.62322,0,16.516,0,0,0,0,0,0,0,0,31902,48108216,0,0
