Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,299.306,3.2428,326.669,1.50197,0.810917,7.44311,6.14098,35.6047,0.0459,0,2.29771,9.6e-05,0,33.261,267494,403380952,30717,46321236,13440,20267520,645,453,0,0,0,0
1,0,0,0,0,0.343634,6.23091,0.076596,43.344,3.48483,0,6.86408,1.32083,0,31.6743,0,0,0,0,0,0,0,0,13504,20364032,0,0
2,0,18.5506,0,24.9278,1.17814,9.25727,17.2281,22.3413,0.056748,0,1.14059,0,0,21.144,267498,403386984,88654,133690232,76884,115941072,2749,418,0,0,0,0
3,0,0,0,0,0.166539,11.0369,0.1219,38.6744,14.6536,0,1.71768,0.149264,0,22.1538,0,0,0,0,0,0,0,0,76884,115941072,0,0
4,0,24.265,0,23.7347,1.44545,6.33132,24.4449,17.778,0.108744,0,0.842572,0,0,16.8267,267502,403393016,126086,190137688,100568,151656544,3810,696,0,0,0,0
5,0,0,0,0,0.172753,12.9406,0.211572,36.6748,20.3419,0,1.15207,1.57686,0,13.6039,0,0,0,0,0,0,0,0,100643,151769644,0,0
6,0,0.967533,0,0.58631,0.343383,16.4431,2.21945,30.9878,0.015336,0,1.63857,0,0,29.3339,267212,402955696,10733,16185364,4010,6047080,186,199,0,0,0,0
7,0,0,0,0,0.0384343,25.7513,0.024584,24.1795,0.996328,0,6.76714,0.708284,0,15.7077,0,0,0,0,0,0,0,0,4010,6047080,0,0
8,0,5.69976,0,2.00745,0.554053,25.5853,6.40059,17.461,0.034332,0,2.55008,1.2e-05,0,14.8766,267510,403405080,32480,48979840,23623,35623484,893,272,0,0,0,0
9,0,0,0,0,0.103422,8.08049,0.062232,41.7561,4.76129,0,2.04734,0.580508,0,34.367,0,0,0,0,0,0,0,0,23664,35685312,0,0
10,0,41.9236,0,52.6262,1.49958,3.26386,36.3414,8.8976,0.100452,0,2.7251,0,0,6.07205,267515,403412620,188582,284381656,173755,262022540,6223,512,0,0,0,0
11,0,0,0,0,0.167697,6.36247,0.235716,43.2312,33.1563,0,3.00965,0.170368,0,6.89489,0,0,0,0,0,0,0,0,173811,262106988,0,0
12,0,1.21581,0,0.373381,0.347709,10.6692,3.22886,35.7513,0.026652,0,0.303348,2.4e-05,0,35.4213,263885,397938580,15962,24070696,5039,7598812,277,294,0,0,0,0
13,0,0,0,0,0.0436929,15.5574,0.042212,34.3538,1.50832,0,0.577744,1.20361,0,31.0641,0,0,0,0,0,0,0,0,5042,7603336,0,0
14,0,1.19602,0,0.413192,0.329553,12.8528,2.54226,34.274,0.016608,0,0.764124,0,0,33.4933,267523,403424684,12433,18748964,4957,7475156,204,241,0,0,0,0
15,0,0,0,0,0.0603373,31.79,0.026588,18.0707,1.09672,0,0.5407,0.985132,0,15.4481,0,0,0,0,0,0,0,0,4957,7475156,0,0
16,0,20.5378,0,28.1954,3.25011,9.63675,22.7027,14.4143,0.113556,0,0.455,0,0,13.8458,267528,403432224,114471,172622268,85120,128360960,3119,970,0,0,0,0
17,0,0,0,0,0.0622336,17.9829,0.20782,31.7456,16.6745,0,0.728724,0.080052,0,14.2623,0,0,0,0,0,0,0,0,85204,128487632,0,0
18,0,33.4166,0,33.4583,1.74368,4.99567,30.8308,12.4337,0.095152,0,4.4264,0,0,7.91216,267532,403438256,159385,240352580,138497,208853476,4950,745,0,0,0,0
19,0,0,0,0,0.850303,8.1079,0.209256,40.8311,26.3612,0,4.61442,0,0,9.85551,0,0,0,0,0,0,0,0,138497,208853476,0,0
20,0,46.4551,0,49.9009,1.74106,1.7296,39.983,6.54681,0.1095,0,1.87244,0,0,4.56487,267537,403445796,207387,312739596,192536,290344288,6881,528,0,0,0,0
21,0,0,0,0,0.747855,4.13414,0.258372,44.8548,36.6423,0,1.96147,0.095832,0,6.15522,0,0,0,0,0,0,0,0,192564,290386512,0,0
22,0,0.458191,0,0.251534,0.259594,18.3081,2.11058,29.3111,0.017796,0,2.32952,0,0,26.9638,267539,403448812,10220,15411760,1899,2863692,147,218,0,0,0,0
23,0,0,0,0,0.110193,25.617,0.027892,24.2446,0.794904,0,1.70564,0.9317,0,20.8123,0,0,0,0,0,0,0,0,1899,2863692,0,0
24,0,5.51904,0,1.80658,2.13876,19.2956,7.90836,20.6514,0.045564,0,0.308596,0,0,20.2972,244878,369276024,39789,60001812,22874,34493992,917,505,0,0,0,0
25,0,0,0,0,0.0385916,10.3976,0.078404,39.4851,4.91339,0,0.742524,1.74114,0,32.088,0,0,0,0,0,0,0,0,22879,34501532,0,0
26,0,6.51842,0,8.50452,0.574428,8.57617,7.69184,33.1598,0.047292,0,8.54684,7.2e-05,0,24.5656,267548,403462384,39170,59068360,27016,40740128,1121,279,0,0,0,0
27,0,0,0,0,0.222331,10.1324,0.0868,39.5568,6.00483,0,2.63458,1.02221,0,29.8952,0,0,0,0,0,0,0,0,27017,40741636,0,0
28,0,31.6668,0,40.6533,1.29147,6.47284,27.7625,14.4805,0.084828,0,1.89262,1.2e-05,0,12.5031,267552,403468416,143808,216862464,131245,197917460,4705,430,0,0,0,0
29,0,0,0,0,0.0679099,8.41351,0.19088,41.3297,25.0814,0,8.81526,0.314116,0,7.11892,0,0,0,0,0,0,0,0,131301,198001908,0,0
30,0,0.894184,0,0.22801,1.53897,15.2514,2.40035,30.8113,0.01818,0,0.486796,1.2e-05,0,30.3063,230876,348161008,11592,17480736,3706,5588648,183,231,0,0,0,0
31,0,0,0,0,0.0644827,20.7658,0.028736,29.1361,0.991712,0,0.970936,0.873136,0,26.3003,0,0,0,0,0,0,0,0,3707,5590156,0,0
32,0,27.8886,0,32.7483,1.0247,4.04479,24.9423,19.9855,0.080648,0,15.6293,0,0,4.2756,267561,403481988,129341,195046228,115586,174303688,4177,449,0,0,0,0
33,0,0,0,0,0.0954843,6.56292,0.177072,43.1618,22.2436,0,1.87334,1.12146,0,17.9234,0,0,0,0,0,0,0,0,115631,174371548,0,0
34,0,20.8007,0,20.206,0.914805,3.95108,19.3474,25.7893,0.063432,0,9.22204,0,0,16.5038,267565,403488020,100156,151035248,86210,130004680,3082,494,0,0,0,0
35,0,0,0,0,0.356779,6.2368,0.136092,43.2676,16.4284,0,8.88568,1.02753,0,16.926,0,0,0,0,0,0,0,0,86210,130004680,0,0
36,0,3.11251,0,1.73963,0.385398,21.7846,4.08479,23.7425,0.021696,0,8.95204,0,0,14.7688,264764,399264112,20470,30868760,12900,19453200,516,216,0,0,0,0
37,0,0,0,0,0.0591458,18.1807,0.038544,31.7201,2.75885,0,1.21026,0.633556,0,27.1174,0,0,0,0,0,0,0,0,12900,19453200,0,0
38,0,4.97664,0,2.80548,2.87399,14.0336,13.639,19.4518,0.097032,0,0.781876,0,0,18.5729,267574,403501592,67728,102133824,20626,31104008,950,1470,0,0,0,0
39,0,0,0,0,0.465847,16.4113,0.152116,32.9691,5.12924,0,1.05594,5.8486,0,20.9353,0,0,0,0,0,0,0,0,20636,31119088,0,0
Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,293.319,10.4964,314.071,5.98917,1.4614,5.84787,15.9027,26.7929,0.088956,0,11.0316,4.8e-05,0,15.6723,267494,403380952,81414,122772312,43503,65602524,1677,1232,0,0,0,0
1,0,0,0,0,0.484849,8.13357,0.15144,41.2297,8.99811,0,7.28784,5.21771,0,19.7261,0,0,0,0,0,0,0,0,43586,65727688,0,0
2,0,0.218841,0,0.0621296,0.426617,27.5301,2.77884,19.2639,0.024108,0,0.76946,0,0,18.4704,267498,403386984,13548,20430384,907,1367756,105,383,0,0,0,0
3,0,0,0,0,0.0548677,22.6049,0.035796,27.304,0.573532,0,0.80794,1.7535,0,24.1691,0,0,0,0,0,0,0,0,907,1367756,0,0
4,0,28.1335,0,29.1267,1.41221,3.2905,26.4736,18.8196,0.101784,0,11.0426,0,0,7.6753,267502,403393016,136879,206413532,116601,175834308,4242,650,0,0,0,0
5,0,0,0,0,0.0491111,7.7981,0.207856,41.9409,22.6146,0,0.505464,1.1768,0,17.644,0,0,0,0,0,0,0,0,116629,175876532,0,0
6,0,19.6443,0,22.1875,1.14006,4.76221,19.0325,25.0665,0.074436,0,8.48502,0,0,16.5071,267506,403399048,98281,148207748,81417,122776836,2959,551,0,0,0,0
7,0,0,0,0,0.187493,7.87901,0.149972,41.7795,15.783,0,5.84196,1.00643,0,19.1481,0,0,0,0,0,0,0,0,81417,122776836,0,0
8,0,0.810942,0,0.523578,0.68275,21.9284,2.91822,24.4669,0.024924,0,0.462424,1.2e-05,0,23.9796,267511,403406588,14075,21225100,3361,5068388,225,280,0,0,0,0
9,0,0,0,0,0.0401841,8.16438,0.03892,41.753,1.21715,0,11.8266,0.869388,0,27.8399,0,0,0,0,0,0,0,0,3365,5074420,0,0
10,0,1.89936,0,0.507894,0.433138,14.392,3.80338,31.37,0.030864,0,11.5975,3.6e-05,0,19.7416,267515,403412620,18901,28502708,7872,11870976,368,308,0,0,0,0
11,0,0,0,0,0.0995029,21.647,0.050528,28.2008,2.00098,0,4.02108,1.14998,0,21.0288,0,0,0,0,0,0,0,0,7953,11993124,0,0
12,0,16.5313,0,18.0713,0.936105,8.28982,16.8873,23.8906,0.081744,0,3.06842,0,0,20.7405,267519,403418652,87053,131275924,68515,103320620,2732,377,0,0,0,0
13,0,0,0,0,0.325619,9.41944,0.157532,40.0959,14.5823,0,2.42334,1.36314,0,21.7272,0,0,0,0,0,0,0,0,68515,103320620,0,0
14,0,20.4485,0,26.4328,1.44105,8.00805,19.9516,20.6031,0.108984,0,0.63566,0,0,19.8585,267524,403426192,102453,154499124,84750,127803000,3190,469,0,0,0,0
15,0,0,0,0,0.0328731,10.3695,0.202312,39.3938,17.0366,0,0.425052,1.07564,0,20.8565,0,0,0,0,0,0,0,0,84750,127803000,0,0
16,0,1.18155,0,0,0.777222,33.0997,1.92362,14.2069,0.01206,0,1.18542,2.4e-05,0,13.0094,157647,237731676,9262,13967096,4897,7384676,209,123,0,0,0,0
17,0,0,0,0,0.0758902,6.86228,0.020352,43.0508,1.12923,0,1.86184,0.335604,0,39.7241,0,0,0,0,0,0,0,0,4926,7428408,0,0
18,0,47.5382,0,55.4793,1.56884,1.62959,39.8744,6.94181,0.102432,0,1.99665,0,0,4.84273,267532,403438256,207009,312169572,197025,297113700,7040,353,0,0,0,0
