Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(mab_agents.py:8190): Gdk-CRITICAL **: 01:46:16.989: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
Simulation time: 50.0 s
Waiting for simulation script to connect on port: tcp://localhost:50001
Please start proper ns-3 simulation script using ./waf --run "..."
Start
Progress: 0% 10% 20% 30% 40% 50% 60% 70% 80% 90% 100%
Done
Final step: 48901
Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   0    -82         0    0.000000000000000000    0.174077655955697852          4.64                32
   0    -82         6    0.000263293257455499    0.166666666666666657          3.47                35
   0    -82        12    0.033528315673915093    0.164398987305357291          2.20                36
   0    -82        18    0.055389710873476064    0.160128153805087131          3.42                38
   0    -82        23    0.169855596975019757    0.125988157669742418          4.52                62
   0    -77         0    0.000000000000000000    0.166666666666666657          3.63                35
   0    -77         6    0.014896930929896211    0.176776695296636893          1.81                31
   0    -77        12    0.015264027027899930    0.174077655955697852          1.36                32
   0    -77        18    0.142568095090947394    0.122169444356305223          2.39                66
   0    -77        23    0.196238404613861217    0.111803398874989482          3.15                79
   0    -72         0    0.000000000000000000    0.174077655955697852          3.28                32
   0    -72         6    0.000243925651965955    0.176776695296636893          1.58                31
   0    -72        12    0.023386229148537357    0.176776695296636893          1.41                31
   0    -72        18    0.135021902048426318    0.125000000000000000          1.86                63
   0    -72        23    0.243421962873200115    0.098532927816429305          2.71               102
   0    -67         0    0.000000000000000000    0.176776695296636893          1.17                31
   0    -67         6    0.002563864664707539    0.185695338177051861          0.63                28
   0    -67        12    0.023420257317893316    0.179605302026774910          0.80                30
   0    -67        18    0.124242927134519232    0.124034734589208454          1.37                64
   0    -67        23    0.175988937548767155    0.120385853085769198          1.00                68
   0    -62         0    0.000000000000000000    0.182574185835055358          1.12                29
   0    -62         6    0.005924674986591886    0.166666666666666657          0.52                35
   0    -62        12    0.031742624783927587    0.176776695296636893          0.44                31
   0    -62        18    0.065117328098038801    0.152498570332604666          0.46                42
   0    -62        23    0.184696957346072110    0.104257207028537385          1.00                91
                                                                              49.94              1154    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   1    -82         0    0.030384056404910473    0.192450089729875262          3.22                26
   1    -82         6    0.056446152492472382    0.185695338177051861          2.78                28
   1    -82        12    0.106949267198017936    0.169030850945703304          3.21                34
   1    -82        18    0.141617648421626191    0.160128153805087131          5.52                38
   1    -82        23    0.147827025852942884    0.162221421130762544          3.42                37
   1    -77         0    0.032106448483717048    0.200000000000000011          1.59                24
   1    -77         6    0.042867122769009183    0.188982236504613599          1.47                27
   1    -77        12    0.205162158642743730    0.150755672288881815          2.82                43
   1    -77        18    0.253355650763633644    0.132453235706504385          3.33                56
   1    -77        23    0.266524692926636886    0.125000000000000000          4.23                63
   1    -72         0    0.000000000000000000    0.223606797749978964          0.27                19
   1    -72         6    0.128239400571920237    0.174077655955697852          0.85                32
   1    -72        12    0.235430894874143704    0.127000127000190505          1.32                61
   1    -72        18    0.330328967502368398    0.109764259989690346          2.23                82
   1    -72        23    0.264128929046528405    0.124034734589208454          1.85                64
   1    -67         0    0.008719743277148159    0.204124145231931509          0.31                23
   1    -67         6    0.015764546808865430    0.218217890235992362          0.29                20
   1    -67        12    0.285359943470299415    0.125988157669742418          0.83                62
   1    -67        18    0.360321843931335151    0.098058067569092022          1.51               103
   1    -67        23    0.414234120933814787    0.074953168899586142          2.53               177
   1    -62         0    0.001383661763643315    0.208514414057074771          0.22                22
   1    -62         6    0.080183043953615127    0.182574185835055358          0.29                29
   1    -62        12    0.306552543371709951    0.119522860933439362          0.64                69
   1    -62        18    0.467815822307413531    0.058621038176054914          2.72               290
   1    -62        23    0.466973258451271356    0.062622429108514954          2.53               254
                                                                              49.97              1683    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   2    -82         0    0.017656445045549692    0.208514414057074771          1.62                22
   2    -82         6    0.012990311834665921    0.223606797749978964          1.73                19
   2    -82        12    0.087017092893852135    0.200000000000000011          1.17                24
   2    -82        18    0.120369328591193619    0.182574185835055358          2.28                29
   2    -82        23    0.171250596252445153    0.174077655955697852          2.01                32
   2    -77         0    0.000000000000000000    0.208514414057074771          0.45                22
   2    -77         6    0.073711469934411383    0.200000000000000011          0.39                24
   2    -77        12    0.324541234378262988    0.132453235706504385          1.12                56
   2    -77        18    0.403956335392934074    0.112508790092602395          1.59                78
   2    -77        23    0.397224297932196047    0.117851130197757920          1.55                71
   2    -72         0    0.026955140482267093    0.204124145231931509          0.36                23
   2    -72         6    0.086664517523335399    0.188982236504613599          0.30                27
   2    -72        12    0.312618592368114623    0.137360563948689035          0.57                52
   2    -72        18    0.596505636762745040    0.056888012398857428          3.06               308
   2    -72        23    0.633214123409858054    0.046274481338274755          4.42               466
   2    -67         0    0.000000000000000000    0.218217890235992362          0.13                20
   2    -67         6    0.038630233575596924    0.204124145231931509          0.19                23
   2    -67        12    0.273225488452082887    0.142857142857142849          0.44                48
   2    -67        18    0.605945897277405887    0.053300179088902611          2.77               351
   2    -67        23    0.743360241507283748    0.024126172032669039         12.28              1717
   2    -62         0    0.000000000000000000    0.235702260395515839          0.21                17
   2    -62         6    0.084141119749332721    0.192450089729875262          0.18                26
   2    -62        12    0.255517264035097169    0.156173761888606072          0.30                40
   2    -62        18    0.627725412979609043    0.055215763037423274          2.17               327
   2    -62        23    0.730587537064047443    0.027503266206804603          8.71              1321
                                                                              49.99              5143    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   3    -82         0    0.000000000000000000    0.229415733870561772          4.48                18
   3    -82         6    0.051216113299543800    0.192450089729875262          5.24                26
   3    -82        12    0.038366370695324947    0.208514414057074771          3.36                22
   3    -82        18    0.099001179052006977    0.188982236504613599          3.74                27
   3    -82        23    0.114690744398960265    0.179605302026774910          4.43                30
   3    -77         0    0.000000000000000000    0.213200716355610442          3.05                21
   3    -77         6    0.011240099204269388    0.218217890235992362          1.16                20
   3    -77        12    0.061281848250821933    0.192450089729875262          1.94                26
   3    -77        18    0.140874561004765086    0.171498585142508847          1.86                33
   3    -77        23    0.142093623007259418    0.150755672288881815          2.99                43
   3    -72         0    0.000000000000000000    0.223606797749978964          1.04                19
   3    -72         6    0.020094059100672235    0.229415733870561772          0.67                18
   3    -72        12    0.120380514237379499    0.169030850945703304          1.31                34
   3    -72        18    0.209176259249431146    0.133630620956212198          1.88                55
   3    -72        23    0.283264137039754782    0.113227703414459577          2.34                77
   3    -67         0    0.000000000000000000    0.213200716355610442          0.57                21
   3    -67         6    0.032857573325623946    0.192450089729875262          1.50                26
   3    -67        12    0.118421035202677605    0.176776695296636893          0.90                31
   3    -67        18    0.170878324857154401    0.145864991497894558          1.22                46
   3    -67        23    0.307047547286875000    0.127000127000190505          1.50                61
   3    -62         0    0.000000000000000000    0.196116135138184045          1.44                25
   3    -62         6    0.005824033954783901    0.213200716355610442          0.38                21
   3    -62        12    0.142142535516566804    0.171498585142508847          0.40                33
   3    -62        18    0.150341530756065545    0.179605302026774910          0.28                30
   3    -62        23    0.319775943291703058    0.105409255338945976          1.97                89
                                                                              49.68               852    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   4    -82         0    0.000151958674445488    0.223606797749978964          4.48                19
   4    -82         6    0.023311243756070129    0.229415733870561772          3.86                18
   4    -82        12    0.041606503429812175    0.229415733870561772          3.66                18
   4    -82        18    0.022915428302588574    0.223606797749978964          4.41                19
   4    -82        23    0.071537971369616302    0.229415733870561772          3.29                18
   4    -77         0    0.000000000000000000    0.223606797749978964          2.54                19
   4    -77         6    0.028834811132342361    0.229415733870561772          0.99                18
   4    -77        12    0.121673673356867448    0.218217890235992362          2.04                20
   4    -77        18    0.198387047064625982    0.164398987305357291          1.83                36
   4    -77        23    0.159704789880385917    0.196116135138184045          2.10                25
   4    -72         0    0.000000000000000000    0.229415733870561772          1.34                18
   4    -72         6    0.000000000000000000    0.229415733870561772          0.92                18
   4    -72        12    0.027504683188258872    0.229415733870561772          1.49                18
   4    -72        18    0.153904870273143812    0.185695338177051861          2.30                28
   4    -72        23    0.251397865844508073    0.160128153805087131          1.78                38
   4    -67         0    0.000000000000000000    0.277350098112614574          0.30                12
   4    -67         6    0.002848539947416408    0.250000000000000000          0.79                15
   4    -67        12    0.055727507452592619    0.235702260395515839          0.70                17
   4    -67        18    0.205585291187647706    0.176776695296636893          1.03                31
   4    -67        23    0.364299086293958629    0.114707866935280886          2.89                75
   4    -62         0    0.000000000000000000    0.258198889747161098          0.23                14
   4    -62         6    0.012572746629375867    0.229415733870561772          0.23                18
   4    -62        12    0.108060093596264645    0.208514414057074771          0.36                22
   4    -62        18    0.236856659874631892    0.149071198499985985          2.01                44
   4    -62        23    0.376482821385637489    0.105999788000636003          4.21                88
                                                                              49.78               666    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   5    -82         0    0.038315056005091559    0.229415733870561772          2.22                18
   5    -82         6    0.193831933454544220    0.171498585142508847          2.95                33
   5    -82        12    0.137369472428008871    0.200000000000000011          1.99                24
   5    -82        18    0.141006874567654511    0.196116135138184045          2.47                25
   5    -82        23    0.113169281492281129    0.213200716355610442          1.85                21
   5    -77         0    0.095404990348293847    0.204124145231931509          0.66                23
   5    -77         6    0.275578471774046485    0.158113883008418971          1.13                39
   5    -77        12    0.318979946188900410    0.147441956154897136          1.43                45
   5    -77        18    0.327271996244820895    0.149071198499985985          1.26                44
   5    -77        23    0.362748341748474756    0.133630620956212198          1.36                55
   5    -72         0    0.212394199531349553    0.182574185835055358          0.41                29
   5    -72         6    0.440208474830598717    0.111803398874989482          0.97                79
   5    -72        12    0.509348768800878871    0.093250480824031381          1.37               114
   5    -72        18    0.511904127853793356    0.099503719020998915          1.23               100
   5    -72        23    0.492647157865663710    0.093658581158169399          1.49               113
   5    -67         0    0.242034313859581962    0.179605302026774910          0.19                30
   5    -67         6    0.416451546892387281    0.128036879932895975          0.47                60
   5    -67        12    0.670088124668296925    0.052128603514268693          2.81               367
   5    -67        18    0.665437951375741243    0.051639777949432225          2.97               374
   5    -67        23    0.653279383218794751    0.055131784641997125          2.55               328
   5    -62         0    0.167499159950057958    0.188982236504613599          0.18                27
   5    -62         6    0.498308046251652481    0.092847669088525930          0.75               115
   5    -62        12    0.764052842589279857    0.032444284226152510          5.87               949
   5    -62        18    0.766168440450454402    0.035093120317179823          5.23               811
   5    -62        23    0.755926985443962529    0.032224549634855451          6.15               962
                                                                              49.98              4785    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   6    -82         0    0.000000000000000000    0.204124145231931509          5.46                23
   6    -82         6    0.000000000000000000    0.218217890235992362          5.91                20
   6    -82        12    0.025526664523399422    0.185695338177051861          6.30                28
   6    -82        18    0.057546465124688549    0.179605302026774910          6.15                30
   6    -82        23    0.059229381293956579    0.213200716355610442          2.95                21
   6    -77         0    0.000000000000000000    0.200000000000000011          1.88                24
   6    -77         6    0.007560175971555814    0.208514414057074771          1.90                22
   6    -77        12    0.002748698163892451    0.200000000000000011          1.38                24
   6    -77        18    0.142882883150533102    0.156173761888606072          1.44                40
   6    -77        23    0.186434869575426709    0.134839972492648424          2.74                54
   6    -72         0    0.000000000000000000    0.204124145231931509          1.49                23
   6    -72         6    0.000000000000000000    0.200000000000000011          0.80                24
   6    -72        12    0.038478373104295235    0.196116135138184045          0.60                25
   6    -72        18    0.159438167274954051    0.150755672288881815          0.90                43
   6    -72        23    0.364192329823255612    0.070534561585859828          3.65               200
   6    -67         0    0.000000000000000000    0.213200716355610442          0.83                21
   6    -67         6    0.000000000000000000    0.204124145231931509          0.40                23
   6    -67        12    0.010459134176496236    0.200000000000000011          0.25                24
   6    -67        18    0.084021586988322988    0.169030850945703304          0.38                34
   6    -67        23    0.322376673876651809    0.092450032704204863          1.55               116
   6    -62         0    0.000000000000000000    0.204124145231931509          0.75                23
   6    -62         6    0.000000000000000000    0.204124145231931509          0.36                23
   6    -62        12    0.055179636449066705    0.185695338177051861          0.28                28
   6    -62        18    0.196532953131776489    0.138675049056307287          0.45                51
   6    -62        23    0.343341332216676176    0.092450032704204863          1.19               116
                                                                              49.99              1060    Tot

Node    CST    Tx pow                    Mean                     Std    Played (s)    Played (count)
   7    -82         0    0.000000000000000000    0.223606797749978964          3.00                19
