Node,Aggregate thput,Throughput,Last agg thput,Last thput,Idle,CCA busy,Tx,Rx,Rx ME ok,Rx SBSS ok,Rx OBSS ok,Rx ME err,Rx SBSS err,Rx OBSS err,Mac Tx packets,Mac Tx bytes,Tx packets,Tx bytes,TxOk packets,TxOk bytes,ACK received,ACK missed,Mac Rx packets,Mac Rx bytes,Mac Rx drop packets,Mac Rx drop bytes
0,231.838,1.92469,264.814,1.36022,2.74554,17.0898,6.83974,23.3232,0.047964,0,6.3098,0.000684,0,16.9647,267494,403380952,31979,48224332,7977,12029316,353,791,0,0,0,0
1,0,0,0,0,0.499926,10.8909,0.0786,38.5288,2.04768,0,13.045,1.77627,0,21.6598,0,0,0,0,0,0,0,0,8188,12347504,0,0
2,0,7.05696,0,5.55728,0.895906,11.3057,9.22513,28.5679,0.047196,0,4.34225,0,0,24.1785,267498,403386984,46946,70794568,29248,44105984,1089,589,0,0,0,0
3,0,0,0,0,0.322333,14.5465,0.083296,35.0428,5.82879,0,4.43589,1.19592,0,23.5822,0,0,0,0,0,0,0,0,29271,44140668,0,0
4,0,27.2921,0,37.5305,1.82887,7.91181,27.9252,12.3343,0.11424,0,3.13102,4.8e-05,0,9.08903,267502,403393016,143948,217073584,113114,170575912,4168,975,0,0,0,0
5,0,0,0,0,0.20042,11.7185,0.224956,37.851,22.2745,0,3.61183,1.51374,0,10.4509,0,0,0,0,0,0,0,0,113306,170865448,0,0
6,0,2.10396,0,1.38253,1.14949,12.335,4.66506,31.8454,0.033348,0,9.21078,0.000108,0,22.6012,217287,327668796,23101,34836308,8720,13149760,391,435,0,0,0,0
7,0,0,0,0,0.196465,21.725,0.054772,27.9842,2.10936,0,6.9989,1.33853,0,17.5374,0,0,0,0,0,0,0,0,8724,13155792,0,0
8,0,1.95871,0,0.0440336,0.905628,16.0157,3.49149,29.5905,0.021132,0,6.1813,1.2e-05,0,23.3881,169664,255853312,17303,26092924,8118,12241944,325,294,0,0,0,0
9,0,0,0,0,0.188088,14.8992,0.035248,34.8808,1.75918,0,8.48674,0.74638,0,23.8885,0,0,0,0,0,0,0,0,8151,12291708,0,0
10,0,26.7502,0,33.7816,1.57643,9.66912,25.9558,12.7935,0.094764,0,2.40439,0,0,10.2944,267515,403412620,133801,201771908,110868,167188944,4053,729,0,0,0,0
11,0,0,0,0,0.167026,12.5165,0.195304,37.1161,21.6267,0,2.6399,0.479196,0,12.3703,0,0,0,0,0,0,0,0,111031,167434748,0,0
12,0,2.44031,0,1.57073,1.25138,16.7643,5.9102,26.0746,0.043188,0,2.45962,0.000204,0,23.5716,267519,403418652,28925,43618900,10114,15251912,487,546,0,0,0,0
